seqnames	start	end	strand	transcript_id	type	gene_id
chr19	4237	4365	-	ENST00000309324.9	UTR	NA
chr19	4366	4463	-	ENST00000309324.9	CDS	ENSG00000174917.9
chr19	4463	5160	-	ENST00000309324.9	intron	ENSG00000174917.9
chr19	5160	5211	-	ENST00000309324.9	CDS	ENSG00000174917.9
chr19	5211	5401	-	ENST00000309324.9	intron	ENSG00000174917.9
chr19	5401	5578	-	ENST00000309324.9	CDS	ENSG00000174917.9
chr19	5578	6273	-	ENST00000309324.9	intron	ENSG00000174917.9
chr19	6273	6304	-	ENST00000309324.9	CDS	ENSG00000174917.9
chr19	6305	6331	-	ENST00000309324.9	UTR	NA
chr19	2	4368	-	ONT19.28.70776	UTR	NA
chr19	4369	4463	-	ONT19.28.70776	CDS	MICOS13
chr19	4463	5160	-	ONT19.28.70776	intron	MICOS13
chr19	5160	5211	-	ONT19.28.70776	CDS	MICOS13
chr19	5211	5401	-	ONT19.28.70776	intron	MICOS13
chr19	5401	5578	-	ONT19.28.70776	CDS	MICOS13
chr19	5578	5870	-	ONT19.28.70776	intron	MICOS13
chr19	5870	5967	-	ONT19.28.70776	CDS	MICOS13
chr19	5968	6074	-	ONT19.28.70776	UTR	NA
chr19	5	4368	-	ONT19.28.70782	UTR	NA
chr19	4369	4463	-	ONT19.28.70782	CDS	MICOS13
chr19	4463	5160	-	ONT19.28.70782	intron	MICOS13
chr19	5160	5211	-	ONT19.28.70782	CDS	MICOS13
chr19	5211	5401	-	ONT19.28.70782	intron	MICOS13
chr19	5401	5578	-	ONT19.28.70782	CDS	MICOS13
chr19	5578	6273	-	ONT19.28.70782	intron	MICOS13
chr19	6273	6304	-	ONT19.28.70782	CDS	MICOS13
chr19	6305	6361	-	ONT19.28.70782	UTR	NA
chr19	7	4457	-	ONT19.28.70787	UTR	NA
chr19	4458	4463	-	ONT19.28.70787	CDS	MICOS13
chr19	4463	5160	-	ONT19.28.70787	intron	MICOS13
chr19	5160	5211	-	ONT19.28.70787	CDS	MICOS13
chr19	5211	5401	-	ONT19.28.70787	intron	MICOS13
chr19	5401	5578	-	ONT19.28.70787	CDS	MICOS13
chr19	5578	5679	-	ONT19.28.70787	intron	MICOS13
chr19	5679	5967	-	ONT19.28.70787	CDS	MICOS13
chr19	5968	6064	-	ONT19.28.70787	UTR	NA
chr19	5	4463	-	ONT19.28.70790	UTR	NA
chr19	4463	5160	-	ONT19.28.70790	intron	NA
chr19	5160	5301	-	ONT19.28.70790	UTR	NA
chr19	5302	5578	-	ONT19.28.70790	CDS	MICOS13
chr19	5578	6273	-	ONT19.28.70790	intron	MICOS13
chr19	6273	6304	-	ONT19.28.70790	CDS	MICOS13
chr19	6305	6320	-	ONT19.28.70790	UTR	NA
chr19	2	4368	-	ONT19.28.70793	UTR	NA
chr19	4369	4463	-	ONT19.28.70793	CDS	MICOS13
chr19	4463	5160	-	ONT19.28.70793	intron	MICOS13
chr19	5160	5211	-	ONT19.28.70793	CDS	MICOS13
chr19	5211	5401	-	ONT19.28.70793	intron	MICOS13
chr19	5401	5578	-	ONT19.28.70793	CDS	MICOS13
chr19	5578	5870	-	ONT19.28.70793	intron	MICOS13
chr19	5870	5967	-	ONT19.28.70793	CDS	MICOS13
chr19	5968	6006	-	ONT19.28.70793	UTR	NA
chr19	17	48	-	ONT19.28.70807	UTR	NA
chr19	48	4238	-	ONT19.28.70807	intron	NA
chr19	4238	4368	-	ONT19.28.70807	UTR	NA
chr19	4369	4463	-	ONT19.28.70807	CDS	MICOS13
chr19	4463	5160	-	ONT19.28.70807	intron	MICOS13
chr19	5160	5211	-	ONT19.28.70807	CDS	MICOS13
chr19	5211	5401	-	ONT19.28.70807	intron	MICOS13
chr19	5401	5457	-	ONT19.28.70807	CDS	MICOS13
chr19	5458	5578	-	ONT19.28.70807	UTR	NA
chr19	2936	4368	-	ONT19.28.70828	UTR	NA
chr19	4369	4463	-	ONT19.28.70828	CDS	MICOS13
chr19	4463	5160	-	ONT19.28.70828	intron	MICOS13
chr19	5160	5211	-	ONT19.28.70828	CDS	MICOS13
chr19	5211	5401	-	ONT19.28.70828	intron	MICOS13
chr19	5401	5578	-	ONT19.28.70828	CDS	MICOS13
chr19	5578	5870	-	ONT19.28.70828	intron	MICOS13
chr19	5870	5967	-	ONT19.28.70828	CDS	MICOS13
chr19	5968	6066	-	ONT19.28.70828	UTR	NA
chr19	3644	4368	-	ONT19.28.70832	UTR	NA
chr19	4369	4463	-	ONT19.28.70832	CDS	MICOS13
chr19	4463	5160	-	ONT19.28.70832	intron	MICOS13
chr19	5160	5211	-	ONT19.28.70832	CDS	MICOS13
chr19	5211	5401	-	ONT19.28.70832	intron	MICOS13
chr19	5401	5578	-	ONT19.28.70832	CDS	MICOS13
chr19	5578	5870	-	ONT19.28.70832	intron	MICOS13
chr19	5870	5967	-	ONT19.28.70832	CDS	MICOS13
chr19	5968	6014	-	ONT19.28.70832	UTR	NA
chr19	3740	4368	-	ONT19.28.70835	UTR	NA
chr19	4369	4463	-	ONT19.28.70835	CDS	MICOS13
chr19	4463	5160	-	ONT19.28.70835	intron	MICOS13
chr19	5160	5211	-	ONT19.28.70835	CDS	MICOS13
chr19	5211	5401	-	ONT19.28.70835	intron	MICOS13
chr19	5401	5578	-	ONT19.28.70835	CDS	MICOS13
chr19	5578	6273	-	ONT19.28.70835	intron	MICOS13
chr19	6273	6304	-	ONT19.28.70835	CDS	MICOS13
chr19	6305	6360	-	ONT19.28.70835	UTR	NA
chr19	4237	4368	-	ONT19.28.70843	UTR	NA
chr19	4369	4463	-	ONT19.28.70843	CDS	MICOS13
chr19	4463	5160	-	ONT19.28.70843	intron	MICOS13
chr19	5160	5211	-	ONT19.28.70843	CDS	MICOS13
chr19	5211	5401	-	ONT19.28.70843	intron	MICOS13
chr19	5401	5578	-	ONT19.28.70843	CDS	MICOS13
chr19	5578	6273	-	ONT19.28.70843	intron	MICOS13
