seqnames	start	end	strand	transcript_id	type	gene_id
chr6	2608	4300	-	ENST00000339697.5	UTR	NA
chr6	4301	4436	-	ENST00000339697.5	CDS	ENSG00000111897.7
chr6	4436	6031	-	ENST00000339697.5	intron	ENSG00000111897.7
chr6	6031	6261	-	ENST00000339697.5	CDS	ENSG00000111897.7
chr6	6261	6378	-	ENST00000339697.5	intron	ENSG00000111897.7
chr6	6378	6522	-	ENST00000339697.5	CDS	ENSG00000111897.7
chr6	6522	7217	-	ENST00000339697.5	intron	ENSG00000111897.7
chr6	7217	7307	-	ENST00000339697.5	CDS	ENSG00000111897.7
chr6	7307	7441	-	ENST00000339697.5	intron	ENSG00000111897.7
chr6	7441	7610	-	ENST00000339697.5	CDS	ENSG00000111897.7
chr6	7610	7958	-	ENST00000339697.5	intron	ENSG00000111897.7
chr6	7958	8095	-	ENST00000339697.5	CDS	ENSG00000111897.7
chr6	8095	8215	-	ENST00000339697.5	intron	ENSG00000111897.7
chr6	8215	8294	-	ENST00000339697.5	CDS	ENSG00000111897.7
chr6	8294	8488	-	ENST00000339697.5	intron	ENSG00000111897.7
chr6	8488	8657	-	ENST00000339697.5	CDS	ENSG00000111897.7
chr6	8657	8765	-	ENST00000339697.5	intron	ENSG00000111897.7
chr6	8765	8926	-	ENST00000339697.5	CDS	ENSG00000111897.7
chr6	8926	9235	-	ENST00000339697.5	intron	ENSG00000111897.7
chr6	9235	9276	-	ENST00000339697.5	CDS	ENSG00000111897.7
chr6	9277	9343	-	ENST00000339697.5	UTR	NA
chr6	2608	4303	-	ONT6.7013.1004	UTR	NA
chr6	4304	4436	-	ONT6.7013.1004	CDS	SERINC1
chr6	4436	6031	-	ONT6.7013.1004	intron	SERINC1
chr6	6031	6261	-	ONT6.7013.1004	CDS	SERINC1
chr6	6261	6378	-	ONT6.7013.1004	intron	SERINC1
chr6	6378	6522	-	ONT6.7013.1004	CDS	SERINC1
chr6	6522	7958	-	ONT6.7013.1004	intron	SERINC1
chr6	7958	8095	-	ONT6.7013.1004	CDS	SERINC1
chr6	8095	8215	-	ONT6.7013.1004	intron	SERINC1
chr6	8215	8294	-	ONT6.7013.1004	CDS	SERINC1
chr6	8294	8488	-	ONT6.7013.1004	intron	SERINC1
chr6	8488	8657	-	ONT6.7013.1004	CDS	SERINC1
chr6	8657	8765	-	ONT6.7013.1004	intron	SERINC1
chr6	8765	8926	-	ONT6.7013.1004	CDS	SERINC1
chr6	8926	9235	-	ONT6.7013.1004	intron	SERINC1
chr6	9235	9276	-	ONT6.7013.1004	CDS	SERINC1
chr6	9277	9336	-	ONT6.7013.1004	UTR	NA
chr6	2597	4303	-	ONT6.7013.1009	UTR	NA
chr6	4304	4436	-	ONT6.7013.1009	CDS	SERINC1
chr6	4436	6031	-	ONT6.7013.1009	intron	SERINC1
chr6	6031	6261	-	ONT6.7013.1009	CDS	SERINC1
chr6	6261	6378	-	ONT6.7013.1009	intron	SERINC1
chr6	6378	6522	-	ONT6.7013.1009	CDS	SERINC1
chr6	6522	8875	-	ONT6.7013.1009	intron	SERINC1
chr6	8875	8926	-	ONT6.7013.1009	CDS	SERINC1
chr6	8926	9235	-	ONT6.7013.1009	intron	SERINC1
chr6	9235	9276	-	ONT6.7013.1009	CDS	SERINC1
chr6	9277	9316	-	ONT6.7013.1009	UTR	NA
chr6	2597	4436	-	ONT6.7013.1010	UTR	NA
chr6	4436	6031	-	ONT6.7013.1010	intron	NA
chr6	6031	6243	-	ONT6.7013.1010	UTR	NA
chr6	6244	6261	-	ONT6.7013.1010	CDS	SERINC1
chr6	6261	6378	-	ONT6.7013.1010	intron	SERINC1
chr6	6378	6522	-	ONT6.7013.1010	CDS	SERINC1
chr6	6522	7451	-	ONT6.7013.1010	intron	SERINC1
chr6	7451	7610	-	ONT6.7013.1010	CDS	SERINC1
chr6	7610	7958	-	ONT6.7013.1010	intron	SERINC1
chr6	7958	8095	-	ONT6.7013.1010	CDS	SERINC1
chr6	8095	8215	-	ONT6.7013.1010	intron	SERINC1
chr6	8215	8294	-	ONT6.7013.1010	CDS	SERINC1
chr6	8294	8488	-	ONT6.7013.1010	intron	SERINC1
chr6	8488	8657	-	ONT6.7013.1010	CDS	SERINC1
chr6	8657	8765	-	ONT6.7013.1010	intron	SERINC1
chr6	8765	8926	-	ONT6.7013.1010	CDS	SERINC1
chr6	8926	9235	-	ONT6.7013.1010	intron	SERINC1
chr6	9235	9276	-	ONT6.7013.1010	CDS	SERINC1
chr6	9277	9342	-	ONT6.7013.1010	UTR	NA
chr6	2597	4303	-	ONT6.7013.1011	UTR	NA
chr6	4304	4436	-	ONT6.7013.1011	CDS	SERINC1
chr6	4436	6031	-	ONT6.7013.1011	intron	SERINC1
chr6	6031	6261	-	ONT6.7013.1011	CDS	SERINC1
chr6	6261	6378	-	ONT6.7013.1011	intron	SERINC1
chr6	6378	6522	-	ONT6.7013.1011	CDS	SERINC1
chr6	6522	7217	-	ONT6.7013.1011	intron	SERINC1
chr6	7217	7307	-	ONT6.7013.1011	CDS	SERINC1
chr6	7307	8529	-	ONT6.7013.1011	intron	SERINC1
chr6	8529	8657	-	ONT6.7013.1011	CDS	SERINC1
chr6	8657	8765	-	ONT6.7013.1011	intron	SERINC1
chr6	8765	8926	-	ONT6.7013.1011	CDS	SERINC1
chr6	8926	9235	-	ONT6.7013.1011	intron	SERINC1
chr6	9235	9276	-	ONT6.7013.1011	CDS	SERINC1
chr6	9277	9321	-	ONT6.7013.1011	UTR	NA
chr6	2608	4303	-	ONT6.7013.1012	UTR	NA
chr6	4304	4436	-	ONT6.7013.1012	CDS	SERINC1
chr6	4436	6031	-	ONT6.7013.1012	intron	SERINC1
chr6	6031	6261	-	ONT6.7013.1012	CDS	SERINC1
chr6	6261	6378	-	ONT6.7013.1012	intron	SERINC1
chr6	6378	6522	-	ONT6.7013.1012	CDS	SERINC1
chr6	6522	7217	-	ONT6.7013.1012	intron	SERINC1
chr6	7217	7307	-	ONT6.7013.1012	CDS	SERINC1
chr6	7307	7441	-	ONT6.7013.1012	intron	SERINC1
chr6	7441	7610	-	ONT6.7013.1012	CDS	SERINC1
chr6	7610	7958	-	ONT6.7013.1012	intron	SERINC1
chr6	7958	8095	-	ONT6.7013.1012	CDS	SERINC1
chr6	8095	8215	-	ONT6.7013.1012	intron	SERINC1
chr6	8215	8294	-	ONT6.7013.1012	CDS	SERINC1
chr6	8294	8488	-	ONT6.7013.1012	intron	SERINC1
chr6	8488	8639	-	ONT6.7013.1012	CDS	SERINC1
chr6	8639	8819	-	ONT6.7013.1012	intron	SERINC1
chr6	8819	8926	-	ONT6.7013.1012	CDS	SERINC1
chr6	8926	9235	-	ONT6.7013.1012	intron	SERINC1
chr6	9235	9276	-	ONT6.7013.1012	CDS	SERINC1
chr6	9277	9375	-	ONT6.7013.1012	UTR	NA
chr6	2608	4299	-	ONT6.7013.1013	UTR	NA
chr6	4300	4373	-	ONT6.7013.1013	CDS	SERINC1
chr6	4373	6074	-	ONT6.7013.1013	intron	SERINC1
chr6	6074	6261	-	ONT6.7013.1013	CDS	SERINC1
chr6	6261	6378	-	ONT6.7013.1013	intron	SERINC1
chr6	6378	6522	-	ONT6.7013.1013	CDS	SERINC1
chr6	6522	7217	-	ONT6.7013.1013	intron	SERINC1
chr6	7217	7307	-	ONT6.7013.1013	CDS	SERINC1
chr6	7307	7441	-	ONT6.7013.1013	intron	SERINC1
chr6	7441	7610	-	ONT6.7013.1013	CDS	SERINC1
chr6	7610	7958	-	ONT6.7013.1013	intron	SERINC1
chr6	7958	8095	-	ONT6.7013.1013	CDS	SERINC1
chr6	8095	8215	-	ONT6.7013.1013	intron	SERINC1
chr6	8215	8294	-	ONT6.7013.1013	CDS	SERINC1
chr6	8294	8488	-	ONT6.7013.1013	intron	SERINC1
chr6	8488	8657	-	ONT6.7013.1013	CDS	SERINC1
chr6	8657	8765	-	ONT6.7013.1013	intron	SERINC1
chr6	8765	8926	-	ONT6.7013.1013	CDS	SERINC1
chr6	8926	9235	-	ONT6.7013.1013	intron	SERINC1
chr6	9235	9276	-	ONT6.7013.1013	CDS	SERINC1
chr6	9277	9350	-	ONT6.7013.1013	UTR	NA
chr6	2608	4436	-	ONT6.7013.1017	UTR	NA
chr6	4436	6031	-	ONT6.7013.1017	intron	NA
chr6	6031	6261	-	ONT6.7013.1017	UTR	NA
chr6	6261	6378	-	ONT6.7013.1017	intron	NA
chr6	6378	6522	-	ONT6.7013.1017	UTR	NA
chr6	6522	7356	-	ONT6.7013.1017	intron	NA
chr6	7356	7422	-	ONT6.7013.1017	UTR	NA
chr6	7423	7610	-	ONT6.7013.1017	CDS	SERINC1
chr6	7610	7958	-	ONT6.7013.1017	intron	SERINC1
chr6	7958	8095	-	ONT6.7013.1017	CDS	SERINC1
chr6	8095	8215	-	ONT6.7013.1017	intron	SERINC1
chr6	8215	8294	-	ONT6.7013.1017	CDS	SERINC1
