seqnames	start	end	strand	transcript_id	type	gene_id
chr11	174	234	+	ENST00000314133.4	UTR	NA
chr11	235	348	+	ENST00000314133.4	CDS	ENSG00000176340.4
chr11	348	980	+	ENST00000314133.4	intron	ENSG00000176340.4
chr11	980	1078	+	ENST00000314133.4	CDS	ENSG00000176340.4
chr11	1079	1298	+	ENST00000314133.4	UTR	NA
chr11	2	234	+	ONT11.3444.43817	UTR	NA
chr11	235	348	+	ONT11.3444.43817	CDS	COX8A
chr11	348	980	+	ONT11.3444.43817	intron	COX8A
chr11	980	1075	+	ONT11.3444.43817	CDS	COX8A
chr11	1076	1298	+	ONT11.3444.43817	UTR	NA
chr11	102	234	+	ONT11.3444.43819	UTR	NA
chr11	235	348	+	ONT11.3444.43819	CDS	COX8A
chr11	348	980	+	ONT11.3444.43819	intron	COX8A
chr11	980	1075	+	ONT11.3444.43819	CDS	COX8A
chr11	1076	1298	+	ONT11.3444.43819	UTR	NA
chr11	96	234	+	ONT11.3444.43820	UTR	NA
chr11	235	340	+	ONT11.3444.43820	CDS	COX8A
chr11	340	980	+	ONT11.3444.43820	intron	COX8A
chr11	980	1104	+	ONT11.3444.43820	CDS	COX8A
chr11	1105	1298	+	ONT11.3444.43820	UTR	NA
chr11	103	234	+	ONT11.3444.43821	UTR	NA
chr11	235	360	+	ONT11.3444.43821	CDS	COX8A
chr11	360	999	+	ONT11.3444.43821	intron	COX8A
chr11	999	1013	+	ONT11.3444.43821	CDS	COX8A
chr11	1014	1298	+	ONT11.3444.43821	UTR	NA
chr11	159	234	+	ONT11.3444.43825	UTR	NA
chr11	235	348	+	ONT11.3444.43825	CDS	COX8A
chr11	348	990	+	ONT11.3444.43825	intron	COX8A
chr11	990	1013	+	ONT11.3444.43825	CDS	COX8A
chr11	1014	1298	+	ONT11.3444.43825	UTR	NA
chr11	111	234	+	ONT11.3444.43827	UTR	NA
chr11	235	327	+	ONT11.3444.43827	CDS	COX8A
