seqnames	start	end	strand	transcript_id	type	gene_id
chr3	2	3367	-	ENST00000394198.7	UTR	NA
chr3	3368	3526	-	ENST00000394198.7	CDS	ENSG00000170854.18
chr3	3526	3982	-	ENST00000394198.7	intron	ENSG00000170854.18
chr3	3982	4071	-	ENST00000394198.7	CDS	ENSG00000170854.18
chr3	4071	5545	-	ENST00000394198.7	intron	ENSG00000170854.18
chr3	5545	5633	-	ENST00000394198.7	CDS	ENSG00000170854.18
chr3	5633	5798	-	ENST00000394198.7	intron	ENSG00000170854.18
chr3	5798	5969	-	ENST00000394198.7	CDS	ENSG00000170854.18
chr3	5969	6087	-	ENST00000394198.7	intron	ENSG00000170854.18
chr3	6087	6189	-	ENST00000394198.7	CDS	ENSG00000170854.18
chr3	6189	7409	-	ENST00000394198.7	intron	ENSG00000170854.18
chr3	7409	7512	-	ENST00000394198.7	CDS	ENSG00000170854.18
chr3	7512	7615	-	ENST00000394198.7	intron	ENSG00000170854.18
chr3	7615	7743	-	ENST00000394198.7	CDS	ENSG00000170854.18
chr3	7743	10125	-	ENST00000394198.7	intron	ENSG00000170854.18
chr3	10125	10244	-	ENST00000394198.7	CDS	ENSG00000170854.18
chr3	10244	10568	-	ENST00000394198.7	intron	ENSG00000170854.18
chr3	10568	11002	-	ENST00000394198.7	CDS	ENSG00000170854.18
chr3	11003	11038	-	ENST00000394198.7	UTR	NA
chr3	11038	11932	-	ENST00000394198.7	intron	NA
chr3	11932	11982	-	ENST00000394198.7	UTR	NA
chr3	2	3370	-	ONT3.4593.3792	UTR	NA
chr3	3371	3526	-	ONT3.4593.3792	CDS	RIOX2
chr3	3526	3982	-	ONT3.4593.3792	intron	RIOX2
chr3	3982	4071	-	ONT3.4593.3792	CDS	RIOX2
chr3	4071	5545	-	ONT3.4593.3792	intron	RIOX2
chr3	5545	5633	-	ONT3.4593.3792	CDS	RIOX2
chr3	5633	5798	-	ONT3.4593.3792	intron	RIOX2
chr3	5798	5969	-	ONT3.4593.3792	CDS	RIOX2
chr3	5969	6087	-	ONT3.4593.3792	intron	RIOX2
chr3	6087	6189	-	ONT3.4593.3792	CDS	RIOX2
chr3	6189	7409	-	ONT3.4593.3792	intron	RIOX2
chr3	7409	7512	-	ONT3.4593.3792	CDS	RIOX2
chr3	7512	7615	-	ONT3.4593.3792	intron	RIOX2
chr3	7615	7743	-	ONT3.4593.3792	CDS	RIOX2
chr3	7743	10125	-	ONT3.4593.3792	intron	RIOX2
chr3	10125	10244	-	ONT3.4593.3792	CDS	RIOX2
chr3	10244	10568	-	ONT3.4593.3792	intron	RIOX2
chr3	10568	11002	-	ONT3.4593.3792	CDS	RIOX2
chr3	11003	11038	-	ONT3.4593.3792	UTR	NA
chr3	11038	11932	-	ONT3.4593.3792	intron	NA
chr3	11932	11972	-	ONT3.4593.3792	UTR	NA
chr3	2	3370	-	ONT3.4593.3813	UTR	NA
chr3	3371	3526	-	ONT3.4593.3813	CDS	RIOX2
chr3	3526	3982	-	ONT3.4593.3813	intron	RIOX2
chr3	3982	4071	-	ONT3.4593.3813	CDS	RIOX2
chr3	4071	5545	-	ONT3.4593.3813	intron	RIOX2
chr3	5545	5633	-	ONT3.4593.3813	CDS	RIOX2
chr3	5633	5798	-	ONT3.4593.3813	intron	RIOX2
chr3	5798	5969	-	ONT3.4593.3813	CDS	RIOX2
chr3	5969	6087	-	ONT3.4593.3813	intron	RIOX2
chr3	6087	6189	-	ONT3.4593.3813	CDS	RIOX2
chr3	6189	7409	-	ONT3.4593.3813	intron	RIOX2
chr3	7409	7512	-	ONT3.4593.3813	CDS	RIOX2
chr3	7512	7615	-	ONT3.4593.3813	intron	RIOX2
chr3	7615	7743	-	ONT3.4593.3813	CDS	RIOX2
chr3	7743	10125	-	ONT3.4593.3813	intron	RIOX2
chr3	10125	10244	-	ONT3.4593.3813	CDS	RIOX2
chr3	10244	10568	-	ONT3.4593.3813	intron	RIOX2
chr3	10568	11002	-	ONT3.4593.3813	CDS	RIOX2
chr3	11003	11036	-	ONT3.4593.3813	UTR	NA
chr3	3	3370	-	ONT3.4593.3819	UTR	NA
chr3	3371	3526	-	ONT3.4593.3819	CDS	RIOX2
chr3	3526	3982	-	ONT3.4593.3819	intron	RIOX2
chr3	3982	4071	-	ONT3.4593.3819	CDS	RIOX2
chr3	4071	5545	-	ONT3.4593.3819	intron	RIOX2
chr3	5545	5633	-	ONT3.4593.3819	CDS	RIOX2
chr3	5633	5798	-	ONT3.4593.3819	intron	RIOX2
chr3	5798	5873	-	ONT3.4593.3819	CDS	RIOX2
chr3	5874	5966	-	ONT3.4593.3819	UTR	NA
chr3	5966	6087	-	ONT3.4593.3819	intron	NA
chr3	6087	6189	-	ONT3.4593.3819	UTR	NA
chr3	6189	7409	-	ONT3.4593.3819	intron	NA
chr3	7409	7514	-	ONT3.4593.3819	UTR	NA
