seqnames	start	end	strand	transcript_id	type	gene_id
chrX	657	1361	-	ENST00000373298.7	UTR	NA
chrX	1362	1450	-	ENST00000373298.7	CDS	ENSG00000078596.11
chrX	1450	1564	-	ENST00000373298.7	intron	ENSG00000078596.11
chrX	1564	1714	-	ENST00000373298.7	CDS	ENSG00000078596.11
chrX	1714	2816	-	ENST00000373298.7	intron	ENSG00000078596.11
chrX	2816	2926	-	ENST00000373298.7	CDS	ENSG00000078596.11
chrX	2926	3177	-	ENST00000373298.7	intron	ENSG00000078596.11
chrX	3177	3374	-	ENST00000373298.7	CDS	ENSG00000078596.11
chrX	3374	3503	-	ENST00000373298.7	intron	ENSG00000078596.11
chrX	3503	3634	-	ENST00000373298.7	CDS	ENSG00000078596.11
chrX	3634	4037	-	ENST00000373298.7	intron	ENSG00000078596.11
chrX	4037	4150	-	ENST00000373298.7	CDS	ENSG00000078596.11
chrX	4151	4266	-	ENST00000373298.7	UTR	NA
chrX	657	1450	-	ONTX.3747.1011	UTR	NA
chrX	1450	1564	-	ONTX.3747.1011	intron	NA
chrX	1564	1714	-	ONTX.3747.1011	UTR	NA
chrX	1714	2812	-	ONTX.3747.1011	intron	NA
chrX	2812	2926	-	ONTX.3747.1011	UTR	NA
chrX	2926	3177	-	ONTX.3747.1011	intron	NA
chrX	3177	3374	-	ONTX.3747.1011	UTR	NA
chrX	3374	3503	-	ONTX.3747.1011	intron	NA
chrX	3503	3573	-	ONTX.3747.1011	UTR	NA
chrX	3574	3624	-	ONTX.3747.1011	CDS	ITM2A
chrX	3624	4037	-	ONTX.3747.1011	intron	ITM2A
chrX	4037	4150	-	ONTX.3747.1011	CDS	ITM2A
chrX	4151	4261	-	ONTX.3747.1011	UTR	NA
chrX	662	1215	-	ONTX.3747.1016	UTR	NA
chrX	1216	1251	-	ONTX.3747.1016	CDS	ITM2A
chrX	1251	1389	-	ONTX.3747.1016	intron	ITM2A
chrX	1389	1450	-	ONTX.3747.1016	CDS	ITM2A
chrX	1450	1564	-	ONTX.3747.1016	intron	ITM2A
chrX	1564	1714	-	ONTX.3747.1016	CDS	ITM2A
chrX	1714	2816	-	ONTX.3747.1016	intron	ITM2A
chrX	2816	2926	-	ONTX.3747.1016	CDS	ITM2A
chrX	2926	3177	-	ONTX.3747.1016	intron	ITM2A
chrX	3177	3374	-	ONTX.3747.1016	CDS	ITM2A
chrX	3374	3503	-	ONTX.3747.1016	intron	ITM2A
chrX	3503	3634	-	ONTX.3747.1016	CDS	ITM2A
chrX	3634	4037	-	ONTX.3747.1016	intron	ITM2A
chrX	4037	4150	-	ONTX.3747.1016	CDS	ITM2A
chrX	4151	4262	-	ONTX.3747.1016	UTR	NA
chrX	657	1336	-	ONTX.3747.1028	UTR	NA
chrX	1337	1450	-	ONTX.3747.1028	CDS	ITM2A
chrX	1450	1688	-	ONTX.3747.1028	intron	ITM2A
chrX	1688	1714	-	ONTX.3747.1028	CDS	ITM2A
chrX	1714	2816	-	ONTX.3747.1028	intron	ITM2A
chrX	2816	2926	-	ONTX.3747.1028	CDS	ITM2A
chrX	2926	3177	-	ONTX.3747.1028	intron	ITM2A
chrX	3177	3374	-	ONTX.3747.1028	CDS	ITM2A
chrX	3374	3503	-	ONTX.3747.1028	intron	ITM2A
chrX	3503	3634	-	ONTX.3747.1028	CDS	ITM2A
chrX	3634	4037	-	ONTX.3747.1028	intron	ITM2A
chrX	4037	4150	-	ONTX.3747.1028	CDS	ITM2A
chrX	4151	4260	-	ONTX.3747.1028	UTR	NA
chrX	657	1450	-	ONTX.3747.1030	UTR	NA
chrX	1450	1564	-	ONTX.3747.1030	intron	NA
chrX	1564	1649	-	ONTX.3747.1030	UTR	NA
chrX	1650	1714	-	ONTX.3747.1030	CDS	ITM2A
chrX	1714	2816	-	ONTX.3747.1030	intron	ITM2A
chrX	2816	2896	-	ONTX.3747.1030	CDS	ITM2A
chrX	2896	3212	-	ONTX.3747.1030	intron	ITM2A
chrX	3212	3374	-	ONTX.3747.1030	CDS	ITM2A
chrX	3374	3503	-	ONTX.3747.1030	intron	ITM2A
chrX	3503	3634	-	ONTX.3747.1030	CDS	ITM2A
chrX	3634	4037	-	ONTX.3747.1030	intron	ITM2A
chrX	4037	4150	-	ONTX.3747.1030	CDS	ITM2A
