seqnames	start	end	strand	transcript_id	type	gene_id
chr8	2	2451	-	ENST00000276297.9	UTR	NA
chr8	2452	2572	-	ENST00000276297.9	CDS	ENSG00000164741.15
chr8	2572	2673	-	ENST00000276297.9	intron	ENSG00000164741.15
chr8	2673	2846	-	ENST00000276297.9	CDS	ENSG00000164741.15
chr8	2846	2947	-	ENST00000276297.9	intron	ENSG00000164741.15
chr8	2947	3164	-	ENST00000276297.9	CDS	ENSG00000164741.15
chr8	3164	3265	-	ENST00000276297.9	intron	ENSG00000164741.15
chr8	3265	3483	-	ENST00000276297.9	CDS	ENSG00000164741.15
chr8	3483	3584	-	ENST00000276297.9	intron	ENSG00000164741.15
chr8	3584	3698	-	ENST00000276297.9	CDS	ENSG00000164741.15
chr8	3698	3799	-	ENST00000276297.9	intron	ENSG00000164741.15
chr8	3799	4012	-	ENST00000276297.9	CDS	ENSG00000164741.15
chr8	4012	4117	-	ENST00000276297.9	intron	ENSG00000164741.15
chr8	4117	4315	-	ENST00000276297.9	CDS	ENSG00000164741.15
chr8	4315	4416	-	ENST00000276297.9	intron	ENSG00000164741.15
chr8	4416	4575	-	ENST00000276297.9	CDS	ENSG00000164741.15
chr8	4575	4684	-	ENST00000276297.9	intron	ENSG00000164741.15
chr8	4684	4860	-	ENST00000276297.9	CDS	ENSG00000164741.15
chr8	4860	4964	-	ENST00000276297.9	intron	ENSG00000164741.15
chr8	4964	6387	-	ENST00000276297.9	CDS	ENSG00000164741.15
chr8	6387	6492	-	ENST00000276297.9	intron	ENSG00000164741.15
chr8	6492	6555	-	ENST00000276297.9	CDS	ENSG00000164741.15
chr8	6555	6656	-	ENST00000276297.9	intron	ENSG00000164741.15
chr8	6656	6737	-	ENST00000276297.9	CDS	ENSG00000164741.15
chr8	6737	6840	-	ENST00000276297.9	intron	ENSG00000164741.15
chr8	6840	6911	-	ENST00000276297.9	CDS	ENSG00000164741.15
chr8	6911	8832	-	ENST00000276297.9	intron	ENSG00000164741.15
chr8	8832	8865	-	ENST00000276297.9	CDS	ENSG00000164741.15
chr8	8865	9412	-	ENST00000276297.9	intron	ENSG00000164741.15
chr8	9412	9552	-	ENST00000276297.9	CDS	ENSG00000164741.15
chr8	9552	9653	-	ENST00000276297.9	intron	ENSG00000164741.15
chr8	9653	9802	-	ENST00000276297.9	CDS	ENSG00000164741.15
chr8	9802	11261	-	ENST00000276297.9	intron	ENSG00000164741.15
chr8	11261	12286	-	ENST00000276297.9	CDS	ENSG00000164741.15
chr8	12287	12408	-	ENST00000276297.9	UTR	NA
chr8	12408	12509	-	ENST00000276297.9	intron	NA
chr8	12509	12758	-	ENST00000276297.9	UTR	NA
chr8	7	2454	-	ONT8.517.18370	UTR	NA
chr8	2455	2572	-	ONT8.517.18370	CDS	DLC1
chr8	2572	2673	-	ONT8.517.18370	intron	DLC1
chr8	2673	2846	-	ONT8.517.18370	CDS	DLC1
chr8	2846	2947	-	ONT8.517.18370	intron	DLC1
chr8	2947	3164	-	ONT8.517.18370	CDS	DLC1
chr8	3164	3265	-	ONT8.517.18370	intron	DLC1
chr8	3265	3483	-	ONT8.517.18370	CDS	DLC1
chr8	3483	3584	-	ONT8.517.18370	intron	DLC1
chr8	3584	3698	-	ONT8.517.18370	CDS	DLC1
chr8	3698	3799	-	ONT8.517.18370	intron	DLC1
