seqnames	start	end	strand	transcript_id	type	gene_id
chr8	4185	4853	-	ENST00000220849.10	UTR	NA
chr8	4854	4892	-	ENST00000220849.10	CDS	ENSG00000104408.11
chr8	4892	5952	-	ENST00000220849.10	intron	ENSG00000104408.11
chr8	5952	6086	-	ENST00000220849.10	CDS	ENSG00000104408.11
chr8	6086	6370	-	ENST00000220849.10	intron	ENSG00000104408.11
chr8	6370	6472	-	ENST00000220849.10	CDS	ENSG00000104408.11
chr8	6472	7310	-	ENST00000220849.10	intron	ENSG00000104408.11
chr8	7310	7419	-	ENST00000220849.10	CDS	ENSG00000104408.11
chr8	7419	7902	-	ENST00000220849.10	intron	ENSG00000104408.11
chr8	7902	8003	-	ENST00000220849.10	CDS	ENSG00000104408.11
chr8	8003	8174	-	ENST00000220849.10	intron	ENSG00000104408.11
chr8	8174	8300	-	ENST00000220849.10	CDS	ENSG00000104408.11
chr8	8300	11454	-	ENST00000220849.10	intron	ENSG00000104408.11
chr8	11454	11578	-	ENST00000220849.10	CDS	ENSG00000104408.11
chr8	11578	11720	-	ENST00000220849.10	intron	ENSG00000104408.11
chr8	11720	11845	-	ENST00000220849.10	CDS	ENSG00000104408.11
chr8	11845	15778	-	ENST00000220849.10	intron	ENSG00000104408.11
chr8	15778	15882	-	ENST00000220849.10	CDS	ENSG00000104408.11
chr8	15882	16036	-	ENST00000220849.10	intron	ENSG00000104408.11
chr8	16036	16078	-	ENST00000220849.10	CDS	ENSG00000104408.11
chr8	16078	16257	-	ENST00000220849.10	intron	ENSG00000104408.11
chr8	16257	16374	-	ENST00000220849.10	CDS	ENSG00000104408.11
chr8	16374	16549	-	ENST00000220849.10	intron	ENSG00000104408.11
chr8	16549	16663	-	ENST00000220849.10	CDS	ENSG00000104408.11
chr8	16663	18121	-	ENST00000220849.10	intron	ENSG00000104408.11
chr8	18121	18213	-	ENST00000220849.10	CDS	ENSG00000104408.11
chr8	18214	18225	-	ENST00000220849.10	UTR	NA
chr8	2	2617	-	ONT8.5929.1640	UTR	NA
chr8	2618	2632	-	ONT8.5929.1640	CDS	EIF3E
chr8	2632	5952	-	ONT8.5929.1640	intron	EIF3E
chr8	5952	6086	-	ONT8.5929.1640	CDS	EIF3E
chr8	6086	6370	-	ONT8.5929.1640	intron	EIF3E
chr8	6370	6472	-	ONT8.5929.1640	CDS	EIF3E
chr8	6472	7310	-	ONT8.5929.1640	intron	EIF3E
chr8	7310	7419	-	ONT8.5929.1640	CDS	EIF3E
chr8	7419	7902	-	ONT8.5929.1640	intron	EIF3E
chr8	7902	8003	-	ONT8.5929.1640	CDS	EIF3E
chr8	8003	8174	-	ONT8.5929.1640	intron	EIF3E
chr8	8174	8300	-	ONT8.5929.1640	CDS	EIF3E
chr8	8300	11454	-	ONT8.5929.1640	intron	EIF3E
chr8	11454	11578	-	ONT8.5929.1640	CDS	EIF3E
chr8	11578	11720	-	ONT8.5929.1640	intron	EIF3E
chr8	11720	11845	-	ONT8.5929.1640	CDS	EIF3E
chr8	11845	15778	-	ONT8.5929.1640	intron	EIF3E
chr8	15778	15882	-	ONT8.5929.1640	CDS	EIF3E
chr8	15882	16036	-	ONT8.5929.1640	intron	EIF3E
chr8	16036	16078	-	ONT8.5929.1640	CDS	EIF3E
chr8	16078	16257	-	ONT8.5929.1640	intron	EIF3E
chr8	16257	16374	-	ONT8.5929.1640	CDS	EIF3E
chr8	16374	16549	-	ONT8.5929.1640	intron	EIF3E
chr8	16549	16663	-	ONT8.5929.1640	CDS	EIF3E
chr8	16663	18121	-	ONT8.5929.1640	intron	EIF3E
chr8	18121	18213	-	ONT8.5929.1640	CDS	EIF3E
chr8	18214	18226	-	ONT8.5929.1640	UTR	NA
chr8	2733	4856	-	ONT8.5929.1888	UTR	NA
chr8	4857	4892	-	ONT8.5929.1888	CDS	EIF3E
chr8	4892	5952	-	ONT8.5929.1888	intron	EIF3E
chr8	5952	6086	-	ONT8.5929.1888	CDS	EIF3E
