seqnames	start	end	strand	transcript_id	type	gene_id
chr2	377	496	+	ENST00000306434.8	UTR	NA
chr2	497	587	+	ENST00000306434.8	CDS	ENSG00000168906.13
chr2	587	1016	+	ENST00000306434.8	intron	ENSG00000168906.13
chr2	1016	1093	+	ENST00000306434.8	CDS	ENSG00000168906.13
chr2	1093	1188	+	ENST00000306434.8	intron	ENSG00000168906.13
chr2	1188	1310	+	ENST00000306434.8	CDS	ENSG00000168906.13
chr2	1310	1566	+	ENST00000306434.8	intron	ENSG00000168906.13
chr2	1566	1678	+	ENST00000306434.8	CDS	ENSG00000168906.13
chr2	1678	1762	+	ENST00000306434.8	intron	ENSG00000168906.13
chr2	1762	1905	+	ENST00000306434.8	CDS	ENSG00000168906.13
chr2	1905	2088	+	ENST00000306434.8	intron	ENSG00000168906.13
chr2	2088	2306	+	ENST00000306434.8	CDS	ENSG00000168906.13
chr2	2306	2498	+	ENST00000306434.8	intron	ENSG00000168906.13
chr2	2498	2680	+	ENST00000306434.8	CDS	ENSG00000168906.13
chr2	2680	2834	+	ENST00000306434.8	intron	ENSG00000168906.13
chr2	2834	2967	+	ENST00000306434.8	CDS	ENSG00000168906.13
chr2	2967	3603	+	ENST00000306434.8	intron	ENSG00000168906.13
chr2	3603	3708	+	ENST00000306434.8	CDS	ENSG00000168906.13
chr2	3709	5214	+	ENST00000306434.8	UTR	NA
chr2	2	496	+	ONT2.5135.11879	UTR	NA
chr2	497	587	+	ONT2.5135.11879	CDS	MAT2A
chr2	587	1016	+	ONT2.5135.11879	intron	MAT2A
chr2	1016	1093	+	ONT2.5135.11879	CDS	MAT2A
chr2	1093	1188	+	ONT2.5135.11879	intron	MAT2A
chr2	1188	1310	+	ONT2.5135.11879	CDS	MAT2A
chr2	1310	1566	+	ONT2.5135.11879	intron	MAT2A
chr2	1566	1678	+	ONT2.5135.11879	CDS	MAT2A
chr2	1678	1762	+	ONT2.5135.11879	intron	MAT2A
chr2	1762	1905	+	ONT2.5135.11879	CDS	MAT2A
chr2	1905	2088	+	ONT2.5135.11879	intron	MAT2A
chr2	2088	2306	+	ONT2.5135.11879	CDS	MAT2A
chr2	2306	2498	+	ONT2.5135.11879	intron	MAT2A
chr2	2498	2680	+	ONT2.5135.11879	CDS	MAT2A
chr2	2680	2834	+	ONT2.5135.11879	intron	MAT2A
chr2	2834	2971	+	ONT2.5135.11879	CDS	MAT2A
chr2	2972	5213	+	ONT2.5135.11879	UTR	NA
chr2	95	496	+	ONT2.5135.11880	UTR	NA
chr2	497	587	+	ONT2.5135.11880	CDS	MAT2A
chr2	587	1016	+	ONT2.5135.11880	intron	MAT2A
chr2	1016	1093	+	ONT2.5135.11880	CDS	MAT2A
chr2	1093	1188	+	ONT2.5135.11880	intron	MAT2A
chr2	1188	1310	+	ONT2.5135.11880	CDS	MAT2A
chr2	1310	1566	+	ONT2.5135.11880	intron	MAT2A
chr2	1566	1678	+	ONT2.5135.11880	CDS	MAT2A
chr2	1678	1762	+	ONT2.5135.11880	intron	MAT2A
chr2	1762	1905	+	ONT2.5135.11880	CDS	MAT2A
chr2	1905	2088	+	ONT2.5135.11880	intron	MAT2A
chr2	2088	2306	+	ONT2.5135.11880	CDS	MAT2A
chr2	2306	2498	+	ONT2.5135.11880	intron	MAT2A
chr2	2498	2680	+	ONT2.5135.11880	CDS	MAT2A
chr2	2680	2834	+	ONT2.5135.11880	intron	MAT2A
chr2	2834	2971	+	ONT2.5135.11880	CDS	MAT2A
chr2	2972	5213	+	ONT2.5135.11880	UTR	NA
chr2	250	496	+	ONT2.5135.11883	UTR	NA
chr2	497	587	+	ONT2.5135.11883	CDS	MAT2A
chr2	587	1016	+	ONT2.5135.11883	intron	MAT2A
chr2	1016	1093	+	ONT2.5135.11883	CDS	MAT2A
chr2	1093	1188	+	ONT2.5135.11883	intron	MAT2A
chr2	1188	1310	+	ONT2.5135.11883	CDS	MAT2A
chr2	1310	1566	+	ONT2.5135.11883	intron	MAT2A
chr2	1566	1678	+	ONT2.5135.11883	CDS	MAT2A
chr2	1678	1762	+	ONT2.5135.11883	intron	MAT2A
chr2	1762	1905	+	ONT2.5135.11883	CDS	MAT2A
chr2	1905	2088	+	ONT2.5135.11883	intron	MAT2A
chr2	2088	2306	+	ONT2.5135.11883	CDS	MAT2A
chr2	2306	2498	+	ONT2.5135.11883	intron	MAT2A
chr2	2498	2680	+	ONT2.5135.11883	CDS	MAT2A
chr2	2680	2834	+	ONT2.5135.11883	intron	MAT2A
chr2	2834	2971	+	ONT2.5135.11883	CDS	MAT2A
chr2	2972	5213	+	ONT2.5135.11883	UTR	NA
chr2	324	496	+	ONT2.5135.11884	UTR	NA
chr2	497	587	+	ONT2.5135.11884	CDS	MAT2A
chr2	587	1016	+	ONT2.5135.11884	intron	MAT2A
chr2	1016	1093	+	ONT2.5135.11884	CDS	MAT2A
chr2	1093	1188	+	ONT2.5135.11884	intron	MAT2A
chr2	1188	1310	+	ONT2.5135.11884	CDS	MAT2A
chr2	1310	1566	+	ONT2.5135.11884	intron	MAT2A
chr2	1566	1678	+	ONT2.5135.11884	CDS	MAT2A
chr2	1678	1762	+	ONT2.5135.11884	intron	MAT2A
chr2	1762	1905	+	ONT2.5135.11884	CDS	MAT2A
chr2	1905	2088	+	ONT2.5135.11884	intron	MAT2A
chr2	2088	2306	+	ONT2.5135.11884	CDS	MAT2A
