seqnames	start	end	strand	transcript_id	type	gene_id
chr11	34	84	+	ENST00000281441.8	UTR	NA
chr11	84	952	+	ENST00000281441.8	intron	NA
chr11	952	959	+	ENST00000281441.8	UTR	NA
chr11	960	1137	+	ENST00000281441.8	CDS	ENSG00000151715.8
chr11	1137	1238	+	ENST00000281441.8	intron	ENSG00000151715.8
chr11	1238	1444	+	ENST00000281441.8	CDS	ENSG00000151715.8
chr11	1444	1545	+	ENST00000281441.8	intron	ENSG00000151715.8
chr11	1545	1729	+	ENST00000281441.8	CDS	ENSG00000151715.8
chr11	1729	1830	+	ENST00000281441.8	intron	ENSG00000151715.8
chr11	1830	1975	+	ENST00000281441.8	CDS	ENSG00000151715.8
chr11	1975	2076	+	ENST00000281441.8	intron	ENSG00000151715.8
chr11	2076	2190	+	ENST00000281441.8	CDS	ENSG00000151715.8
chr11	2191	3505	+	ENST00000281441.8	UTR	NA
chr11	45	84	+	ONT11.6007.388	UTR	NA
chr11	84	493	+	ONT11.6007.388	intron	NA
chr11	493	599	+	ONT11.6007.388	UTR	NA
chr11	599	700	+	ONT11.6007.388	intron	NA
chr11	700	849	+	ONT11.6007.388	UTR	NA
chr11	849	952	+	ONT11.6007.388	intron	NA
chr11	952	959	+	ONT11.6007.388	UTR	NA
chr11	960	1137	+	ONT11.6007.388	CDS	TMEM45B
chr11	1137	1238	+	ONT11.6007.388	intron	TMEM45B
chr11	1238	1444	+	ONT11.6007.388	CDS	TMEM45B
chr11	1444	1545	+	ONT11.6007.388	intron	TMEM45B
chr11	1545	1729	+	ONT11.6007.388	CDS	TMEM45B
chr11	1729	1830	+	ONT11.6007.388	intron	TMEM45B
chr11	1830	1975	+	ONT11.6007.388	CDS	TMEM45B
chr11	1975	2076	+	ONT11.6007.388	intron	TMEM45B
chr11	2076	2187	+	ONT11.6007.388	CDS	TMEM45B
chr11	2188	3013	+	ONT11.6007.388	UTR	NA
chr11	4	84	+	ONT11.6007.390	UTR	NA
chr11	84	952	+	ONT11.6007.390	intron	NA
chr11	952	959	+	ONT11.6007.390	UTR	NA
chr11	960	1137	+	ONT11.6007.390	CDS	TMEM45B
chr11	1137	1238	+	ONT11.6007.390	intron	TMEM45B
chr11	1238	1444	+	ONT11.6007.390	CDS	TMEM45B
chr11	1444	1545	+	ONT11.6007.390	intron	TMEM45B
chr11	1545	1729	+	ONT11.6007.390	CDS	TMEM45B
chr11	1729	1830	+	ONT11.6007.390	intron	TMEM45B
chr11	1830	1975	+	ONT11.6007.390	CDS	TMEM45B
chr11	1975	2076	+	ONT11.6007.390	intron	TMEM45B
chr11	2076	2187	+	ONT11.6007.390	CDS	TMEM45B
chr11	2188	3013	+	ONT11.6007.390	UTR	NA
chr11	52	84	+	ONT11.6007.391	UTR	NA
chr11	84	952	+	ONT11.6007.391	intron	NA
chr11	952	959	+	ONT11.6007.391	UTR	NA
chr11	960	1137	+	ONT11.6007.391	CDS	TMEM45B
chr11	1137	1238	+	ONT11.6007.391	intron	TMEM45B
chr11	1238	1444	+	ONT11.6007.391	CDS	TMEM45B
chr11	1444	1545	+	ONT11.6007.391	intron	TMEM45B
chr11	1545	1729	+	ONT11.6007.391	CDS	TMEM45B
chr11	1729	1830	+	ONT11.6007.391	intron	TMEM45B
chr11	1830	1975	+	ONT11.6007.391	CDS	TMEM45B
chr11	1975	2076	+	ONT11.6007.391	intron	TMEM45B
chr11	2076	2187	+	ONT11.6007.391	CDS	TMEM45B
chr11	2188	2702	+	ONT11.6007.391	UTR	NA
chr11	2	84	+	ONT11.6007.393	UTR	NA
chr11	84	952	+	ONT11.6007.393	intron	NA
chr11	952	959	+	ONT11.6007.393	UTR	NA
chr11	960	1137	+	ONT11.6007.393	CDS	TMEM45B
chr11	1137	1238	+	ONT11.6007.393	intron	TMEM45B
chr11	1238	1444	+	ONT11.6007.393	CDS	TMEM45B
chr11	1444	1545	+	ONT11.6007.393	intron	TMEM45B
chr11	1545	1729	+	ONT11.6007.393	CDS	TMEM45B
chr11	1729	1830	+	ONT11.6007.393	intron	TMEM45B
chr11	1830	1975	+	ONT11.6007.393	CDS	TMEM45B
chr11	1975	2076	+	ONT11.6007.393	intron	TMEM45B
chr11	2076	2187	+	ONT11.6007.393	CDS	TMEM45B
chr11	2188	2506	+	ONT11.6007.393	UTR	NA
chr11	2	84	+	ONT11.6007.394	UTR	NA
chr11	84	952	+	ONT11.6007.394	intron	NA
chr11	952	959	+	ONT11.6007.394	UTR	NA
chr11	960	1137	+	ONT11.6007.394	CDS	TMEM45B
chr11	1137	1545	+	ONT11.6007.394	intron	TMEM45B
chr11	1545	1729	+	ONT11.6007.394	CDS	TMEM45B
chr11	1729	1830	+	ONT11.6007.394	intron	TMEM45B
chr11	1830	1975	+	ONT11.6007.394	CDS	TMEM45B
chr11	1975	2076	+	ONT11.6007.394	intron	TMEM45B
chr11	2076	2187	+	ONT11.6007.394	CDS	TMEM45B
chr11	2188	2702	+	ONT11.6007.394	UTR	NA
chr11	43	84	+	ONT11.6007.396	UTR	NA
chr11	84	700	+	ONT11.6007.396	intron	NA
chr11	700	849	+	ONT11.6007.396	UTR	NA
chr11	849	952	+	ONT11.6007.396	intron	NA
chr11	952	959	+	ONT11.6007.396	UTR	NA
chr11	960	1137	+	ONT11.6007.396	CDS	TMEM45B
chr11	1137	1238	+	ONT11.6007.396	intron	TMEM45B
chr11	1238	1444	+	ONT11.6007.396	CDS	TMEM45B
chr11	1444	1545	+	ONT11.6007.396	intron	TMEM45B
chr11	1545	1729	+	ONT11.6007.396	CDS	TMEM45B
chr11	1729	1830	+	ONT11.6007.396	intron	TMEM45B
chr11	1830	1975	+	ONT11.6007.396	CDS	TMEM45B
chr11	1975	2076	+	ONT11.6007.396	intron	TMEM45B
chr11	2076	2187	+	ONT11.6007.396	CDS	TMEM45B
chr11	2188	3013	+	ONT11.6007.396	UTR	NA
chr11	3	84	+	ONT11.6007.397	UTR	NA
chr11	84	952	+	ONT11.6007.397	intron	NA
chr11	952	959	+	ONT11.6007.397	UTR	NA
chr11	960	1137	+	ONT11.6007.397	CDS	TMEM45B
chr11	1137	1238	+	ONT11.6007.397	intron	TMEM45B
chr11	1238	1444	+	ONT11.6007.397	CDS	TMEM45B
chr11	1444	1545	+	ONT11.6007.397	intron	TMEM45B
chr11	1545	1729	+	ONT11.6007.397	CDS	TMEM45B
chr11	1729	1830	+	ONT11.6007.397	intron	TMEM45B
chr11	1830	1975	+	ONT11.6007.397	CDS	TMEM45B
chr11	1975	2076	+	ONT11.6007.397	intron	TMEM45B
chr11	2076	2187	+	ONT11.6007.397	CDS	TMEM45B
chr11	2188	2353	+	ONT11.6007.397	UTR	NA
chr11	4	84	+	ONT11.6007.399	UTR	NA
chr11	84	952	+	ONT11.6007.399	intron	NA
chr11	952	959	+	ONT11.6007.399	UTR	NA
chr11	960	1137	+	ONT11.6007.399	CDS	TMEM45B
chr11	1137	1238	+	ONT11.6007.399	intron	TMEM45B
chr11	1238	1444	+	ONT11.6007.399	CDS	TMEM45B
chr11	1444	1545	+	ONT11.6007.399	intron	TMEM45B
chr11	1545	1729	+	ONT11.6007.399	CDS	TMEM45B
chr11	1729	1830	+	ONT11.6007.399	intron	TMEM45B
chr11	1830	1975	+	ONT11.6007.399	CDS	TMEM45B
chr11	1975	2076	+	ONT11.6007.399	intron	TMEM45B
chr11	2076	2187	+	ONT11.6007.399	CDS	TMEM45B
chr11	2188	4756	+	ONT11.6007.399	UTR	NA
chr11	50	84	+	ONT11.6007.401	UTR	NA
chr11	84	700	+	ONT11.6007.401	intron	NA
chr11	700	849	+	ONT11.6007.401	UTR	NA
chr11	849	952	+	ONT11.6007.401	intron	NA
chr11	952	959	+	ONT11.6007.401	UTR	NA
chr11	960	1137	+	ONT11.6007.401	CDS	TMEM45B
chr11	1137	1238	+	ONT11.6007.401	intron	TMEM45B
chr11	1238	1444	+	ONT11.6007.401	CDS	TMEM45B
chr11	1444	1545	+	ONT11.6007.401	intron	TMEM45B
chr11	1545	1729	+	ONT11.6007.401	CDS	TMEM45B
chr11	1729	1830	+	ONT11.6007.401	intron	TMEM45B
chr11	1830	1975	+	ONT11.6007.401	CDS	TMEM45B
chr11	1975	2076	+	ONT11.6007.401	intron	TMEM45B
chr11	2076	2187	+	ONT11.6007.401	CDS	TMEM45B
chr11	2188	2704	+	ONT11.6007.401	UTR	NA
chr11	34	84	+	ONT11.6007.404	UTR	NA
chr11	84	493	+	ONT11.6007.404	intron	NA
