seqnames	start	end	strand	transcript_id	type	gene_id
chrX	536	1225	-	ENST00000338883.9	UTR	NA
chrX	1226	1310	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	1310	1411	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	1411	1487	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	1487	1565	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	1565	1665	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	1665	1766	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	1766	1878	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	1878	1979	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	1979	2144	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	2144	2245	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	2245	2350	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	2350	2451	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	2451	2636	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	2636	2737	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	2737	2911	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	2911	3497	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	3497	3656	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	3656	3757	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	3757	3940	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	3940	4041	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	4041	4198	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	4198	4299	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	4299	4404	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	4404	4505	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	4505	4635	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	4635	4736	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	4736	4863	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	4863	4964	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	4964	5097	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	5097	5198	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	5198	5285	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	5285	5386	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	5386	5481	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	5481	5582	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	5582	5631	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	5631	5732	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	5732	5839	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	5839	5940	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	5940	6090	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	6090	6191	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	6191	6350	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	6350	6451	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	6451	6563	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	6563	6664	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	6664	6834	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	6834	6935	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	6935	7041	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	7041	7142	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	7142	7310	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	7310	7411	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	7411	7604	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	7604	7705	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	7705	7728	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	7728	7829	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	7829	7968	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	7968	8069	-	ENST00000338883.9	intron	ENSG00000180815.15
chrX	8069	8432	-	ENST00000338883.9	CDS	ENSG00000180815.15
chrX	8433	8676	-	ENST00000338883.9	UTR	NA
chrX	2	154	-	ONTX.978.7137	UTR	NA
chrX	155	224	-	ONTX.978.7137	CDS	MAP3K15
chrX	224	1411	-	ONTX.978.7137	intron	MAP3K15
chrX	1411	1487	-	ONTX.978.7137	CDS	MAP3K15
chrX	1487	1565	-	ONTX.978.7137	intron	MAP3K15
chrX	1565	1665	-	ONTX.978.7137	CDS	MAP3K15
chrX	1665	1766	-	ONTX.978.7137	intron	MAP3K15
chrX	1766	1878	-	ONTX.978.7137	CDS	MAP3K15
chrX	1878	1979	-	ONTX.978.7137	intron	MAP3K15
chrX	1979	2144	-	ONTX.978.7137	CDS	MAP3K15
chrX	2144	2245	-	ONTX.978.7137	intron	MAP3K15
chrX	2245	2350	-	ONTX.978.7137	CDS	MAP3K15
chrX	2350	2451	-	ONTX.978.7137	intron	MAP3K15
chrX	2451	2549	-	ONTX.978.7137	CDS	MAP3K15
chrX	2550	2636	-	ONTX.978.7137	UTR	NA
chrX	2636	2737	-	ONTX.978.7137	intron	NA
chrX	2737	3262	-	ONTX.978.7137	UTR	NA
chrX	2	154	-	ONTX.978.7140	UTR	NA
chrX	155	224	-	ONTX.978.7140	CDS	MAP3K15
chrX	224	1411	-	ONTX.978.7140	intron	MAP3K15
chrX	1411	1487	-	ONTX.978.7140	CDS	MAP3K15
chrX	1487	1565	-	ONTX.978.7140	intron	MAP3K15
chrX	1565	1665	-	ONTX.978.7140	CDS	MAP3K15
chrX	1665	1766	-	ONTX.978.7140	intron	MAP3K15
chrX	1766	1878	-	ONTX.978.7140	CDS	MAP3K15
chrX	1878	1979	-	ONTX.978.7140	intron	MAP3K15
chrX	1979	2144	-	ONTX.978.7140	CDS	MAP3K15
chrX	2144	2245	-	ONTX.978.7140	intron	MAP3K15
chrX	2245	2350	-	ONTX.978.7140	CDS	MAP3K15
chrX	2350	2451	-	ONTX.978.7140	intron	MAP3K15
chrX	2451	2636	-	ONTX.978.7140	CDS	MAP3K15
chrX	2636	2737	-	ONTX.978.7140	intron	MAP3K15
chrX	2737	2911	-	ONTX.978.7140	CDS	MAP3K15
chrX	2911	3497	-	ONTX.978.7140	intron	MAP3K15
chrX	3497	3612	-	ONTX.978.7140	CDS	MAP3K15
chrX	3613	3628	-	ONTX.978.7140	UTR	NA
chrX	325	1228	-	ONTX.978.7184	UTR	NA
chrX	1229	1310	-	ONTX.978.7184	CDS	MAP3K15
chrX	1310	1411	-	ONTX.978.7184	intron	MAP3K15
chrX	1411	1487	-	ONTX.978.7184	CDS	MAP3K15
chrX	1487	1565	-	ONTX.978.7184	intron	MAP3K15
chrX	1565	1665	-	ONTX.978.7184	CDS	MAP3K15
chrX	1665	1766	-	ONTX.978.7184	intron	MAP3K15
chrX	1766	1878	-	ONTX.978.7184	CDS	MAP3K15
chrX	1878	1979	-	ONTX.978.7184	intron	MAP3K15
chrX	1979	2144	-	ONTX.978.7184	CDS	MAP3K15
chrX	2144	2245	-	ONTX.978.7184	intron	MAP3K15
chrX	2245	2350	-	ONTX.978.7184	CDS	MAP3K15
chrX	2350	2451	-	ONTX.978.7184	intron	MAP3K15
chrX	2451	2636	-	ONTX.978.7184	CDS	MAP3K15
chrX	2636	2737	-	ONTX.978.7184	intron	MAP3K15
chrX	2737	2911	-	ONTX.978.7184	CDS	MAP3K15
chrX	2911	3497	-	ONTX.978.7184	intron	MAP3K15
chrX	3497	3612	-	ONTX.978.7184	CDS	MAP3K15
chrX	3613	3624	-	ONTX.978.7184	UTR	NA
chrX	530	1228	-	ONTX.978.7188	UTR	NA
chrX	1229	1310	-	ONTX.978.7188	CDS	MAP3K15
chrX	1310	1411	-	ONTX.978.7188	intron	MAP3K15
chrX	1411	1487	-	ONTX.978.7188	CDS	MAP3K15
chrX	1487	1565	-	ONTX.978.7188	intron	MAP3K15
chrX	1565	1665	-	ONTX.978.7188	CDS	MAP3K15
chrX	1665	1766	-	ONTX.978.7188	intron	MAP3K15
chrX	1766	1878	-	ONTX.978.7188	CDS	MAP3K15
chrX	1878	1979	-	ONTX.978.7188	intron	MAP3K15
chrX	1979	2144	-	ONTX.978.7188	CDS	MAP3K15
chrX	2144	2245	-	ONTX.978.7188	intron	MAP3K15
chrX	2245	2350	-	ONTX.978.7188	CDS	MAP3K15
chrX	2350	2451	-	ONTX.978.7188	intron	MAP3K15
chrX	2451	2636	-	ONTX.978.7188	CDS	MAP3K15
chrX	2636	2737	-	ONTX.978.7188	intron	MAP3K15
chrX	2737	2911	-	ONTX.978.7188	CDS	MAP3K15
chrX	2911	3497	-	ONTX.978.7188	intron	MAP3K15
chrX	3497	3612	-	ONTX.978.7188	CDS	MAP3K15
chrX	3613	3628	-	ONTX.978.7188	UTR	NA
chrX	530	1228	-	ONTX.978.7189	UTR	NA
chrX	1229	1310	-	ONTX.978.7189	CDS	MAP3K15
chrX	1310	1411	-	ONTX.978.7189	intron	MAP3K15
chrX	1411	1487	-	ONTX.978.7189	CDS	MAP3K15
chrX	1487	1565	-	ONTX.978.7189	intron	MAP3K15
chrX	1565	1665	-	ONTX.978.7189	CDS	MAP3K15
chrX	1665	1766	-	ONTX.978.7189	intron	MAP3K15
chrX	1766	1878	-	ONTX.978.7189	CDS	MAP3K15
chrX	1878	1979	-	ONTX.978.7189	intron	MAP3K15
chrX	1979	2144	-	ONTX.978.7189	CDS	MAP3K15
chrX	2144	2245	-	ONTX.978.7189	intron	MAP3K15
