seqnames	start	end	strand	transcript_id	type	gene_id
chr10	2	4560	-	ENST00000373935.4	UTR	NA
chr10	4561	5183	-	ENST00000373935.4	CDS	ENSG00000151151.6
chr10	5183	5284	-	ENST00000373935.4	intron	ENSG00000151151.6
chr10	5284	5365	-	ENST00000373935.4	CDS	ENSG00000151151.6
chr10	5365	5466	-	ENST00000373935.4	intron	ENSG00000151151.6
chr10	5466	5638	-	ENST00000373935.4	CDS	ENSG00000151151.6
chr10	5638	6722	-	ENST00000373935.4	intron	ENSG00000151151.6
chr10	6722	6818	-	ENST00000373935.4	CDS	ENSG00000151151.6
chr10	6818	6928	-	ENST00000373935.4	intron	ENSG00000151151.6
chr10	6928	7013	-	ENST00000373935.4	CDS	ENSG00000151151.6
chr10	7013	7114	-	ENST00000373935.4	intron	ENSG00000151151.6
chr10	7114	7306	-	ENST00000373935.4	CDS	ENSG00000151151.6
chr10	7307	7586	-	ENST00000373935.4	UTR	NA
chr10	1958	4563	-	ONT10.2911.124	UTR	NA
chr10	4564	5183	-	ONT10.2911.124	CDS	IPMK
chr10	5183	5284	-	ONT10.2911.124	intron	IPMK
chr10	5284	5365	-	ONT10.2911.124	CDS	IPMK
chr10	5365	5466	-	ONT10.2911.124	intron	IPMK
chr10	5466	5638	-	ONT10.2911.124	CDS	IPMK
chr10	5638	6722	-	ONT10.2911.124	intron	IPMK
chr10	6722	6818	-	ONT10.2911.124	CDS	IPMK
chr10	6818	6928	-	ONT10.2911.124	intron	IPMK
chr10	6928	7013	-	ONT10.2911.124	CDS	IPMK
chr10	7013	7114	-	ONT10.2911.124	intron	IPMK
chr10	7114	7306	-	ONT10.2911.124	CDS	IPMK
chr10	7307	7652	-	ONT10.2911.124	UTR	NA
chr10	2477	4563	-	ONT10.2911.143	UTR	NA
chr10	4564	5183	-	ONT10.2911.143	CDS	IPMK
chr10	5183	5284	-	ONT10.2911.143	intron	IPMK
chr10	5284	5365	-	ONT10.2911.143	CDS	IPMK
chr10	5365	5466	-	ONT10.2911.143	intron	IPMK
chr10	5466	5638	-	ONT10.2911.143	CDS	IPMK
chr10	5638	6722	-	ONT10.2911.143	intron	IPMK
chr10	6722	6818	-	ONT10.2911.143	CDS	IPMK
chr10	6818	6928	-	ONT10.2911.143	intron	IPMK
chr10	6928	7013	-	ONT10.2911.143	CDS	IPMK
chr10	7013	7114	-	ONT10.2911.143	intron	IPMK
chr10	7114	7306	-	ONT10.2911.143	CDS	IPMK
chr10	7307	7617	-	ONT10.2911.143	UTR	NA
chr10	2537	4563	-	ONT10.2911.149	UTR	NA
chr10	4564	5183	-	ONT10.2911.149	CDS	IPMK
chr10	5183	5284	-	ONT10.2911.149	intron	IPMK
chr10	5284	5365	-	ONT10.2911.149	CDS	IPMK
chr10	5365	5466	-	ONT10.2911.149	intron	IPMK
chr10	5466	5638	-	ONT10.2911.149	CDS	IPMK
chr10	5638	6722	-	ONT10.2911.149	intron	IPMK
chr10	6722	6818	-	ONT10.2911.149	CDS	IPMK
chr10	6818	6919	-	ONT10.2911.149	intron	IPMK
chr10	6919	7013	-	ONT10.2911.149	CDS	IPMK
chr10	7013	7114	-	ONT10.2911.149	intron	IPMK
chr10	7114	7306	-	ONT10.2911.149	CDS	IPMK
chr10	7307	7647	-	ONT10.2911.149	UTR	NA
chr10	2620	4563	-	ONT10.2911.157	UTR	NA
chr10	4564	5183	-	ONT10.2911.157	CDS	IPMK
chr10	5183	5284	-	ONT10.2911.157	intron	IPMK
chr10	5284	5365	-	ONT10.2911.157	CDS	IPMK
chr10	5365	5466	-	ONT10.2911.157	intron	IPMK
chr10	5466	5638	-	ONT10.2911.157	CDS	IPMK
chr10	5638	6722	-	ONT10.2911.157	intron	IPMK
chr10	6722	6818	-	ONT10.2911.157	CDS	IPMK
chr10	6818	6928	-	ONT10.2911.157	intron	IPMK
chr10	6928	7013	-	ONT10.2911.157	CDS	IPMK
chr10	7013	7114	-	ONT10.2911.157	intron	IPMK
chr10	7114	7306	-	ONT10.2911.157	CDS	IPMK
chr10	7307	7626	-	ONT10.2911.157	UTR	NA
chr10	4360	4563	-	ONT10.2911.213	UTR	NA
chr10	4564	5183	-	ONT10.2911.213	CDS	IPMK
chr10	5183	5284	-	ONT10.2911.213	intron	IPMK
chr10	5284	5365	-	ONT10.2911.213	CDS	IPMK
chr10	5365	5466	-	ONT10.2911.213	intron	IPMK
chr10	5466	5638	-	ONT10.2911.213	CDS	IPMK
chr10	5638	6722	-	ONT10.2911.213	intron	IPMK
chr10	6722	6818	-	ONT10.2911.213	CDS	IPMK
chr10	6818	6928	-	ONT10.2911.213	intron	IPMK
chr10	6928	7013	-	ONT10.2911.213	CDS	IPMK
chr10	7013	7114	-	ONT10.2911.213	intron	IPMK
chr10	7114	7306	-	ONT10.2911.213	CDS	IPMK
chr10	7307	7632	-	ONT10.2911.213	UTR	NA
chr10	4341	4563	-	ONT10.2911.215	UTR	NA
chr10	4564	5183	-	ONT10.2911.215	CDS	IPMK
chr10	5183	5284	-	ONT10.2911.215	intron	IPMK
chr10	5284	5365	-	ONT10.2911.215	CDS	IPMK
chr10	5365	5466	-	ONT10.2911.215	intron	IPMK
chr10	5466	5504	-	ONT10.2911.215	CDS	IPMK
chr10	5505	5583	-	ONT10.2911.215	UTR	NA
chr10	4483	4563	-	ONT10.2911.231	UTR	NA
chr10	4564	5183	-	ONT10.2911.231	CDS	IPMK
chr10	5183	5284	-	ONT10.2911.231	intron	IPMK
chr10	5284	5365	-	ONT10.2911.231	CDS	IPMK
chr10	5365	5466	-	ONT10.2911.231	intron	IPMK
chr10	5466	5638	-	ONT10.2911.231	CDS	IPMK
chr10	5638	6722	-	ONT10.2911.231	intron	IPMK
chr10	6722	6818	-	ONT10.2911.231	CDS	IPMK
chr10	6818	6928	-	ONT10.2911.231	intron	IPMK
chr10	6928	7013	-	ONT10.2911.231	CDS	IPMK
chr10	7013	7114	-	ONT10.2911.231	intron	IPMK
chr10	7114	7306	-	ONT10.2911.231	CDS	IPMK
chr10	7307	7673	-	ONT10.2911.231	UTR	NA
chr10	19	4563	-	ONT10.2911.47	UTR	NA
chr10	4564	5183	-	ONT10.2911.47	CDS	IPMK
chr10	5183	5284	-	ONT10.2911.47	intron	IPMK
chr10	5284	5365	-	ONT10.2911.47	CDS	IPMK
chr10	5365	5466	-	ONT10.2911.47	intron	IPMK
chr10	5466	5638	-	ONT10.2911.47	CDS	IPMK
chr10	5638	6722	-	ONT10.2911.47	intron	IPMK
chr10	6722	6818	-	ONT10.2911.47	CDS	IPMK
chr10	6818	6928	-	ONT10.2911.47	intron	IPMK
chr10	6928	7013	-	ONT10.2911.47	CDS	IPMK
chr10	7013	7114	-	ONT10.2911.47	intron	IPMK
chr10	7114	7306	-	ONT10.2911.47	CDS	IPMK
chr10	7307	7595	-	ONT10.2911.47	UTR	NA
chr10	5739	6689	-	ONT10.2911.537	UTR	NA
chr10	6690	6818	-	ONT10.2911.537	CDS	IPMK
chr10	6818	6928	-	ONT10.2911.537	intron	IPMK
chr10	6928	7013	-	ONT10.2911.537	CDS	IPMK
chr10	7013	7114	-	ONT10.2911.537	intron	IPMK
chr10	7114	7306	-	ONT10.2911.537	CDS	IPMK
chr10	7307	7638	-	ONT10.2911.537	UTR	NA
chr10	5	4563	-	ONT10.2911.83	UTR	NA
chr10	4564	5183	-	ONT10.2911.83	CDS	IPMK
chr10	5183	5284	-	ONT10.2911.83	intron	IPMK
chr10	5284	5365	-	ONT10.2911.83	CDS	IPMK
chr10	5365	5466	-	ONT10.2911.83	intron	IPMK
chr10	5466	5638	-	ONT10.2911.83	CDS	IPMK
chr10	5638	6722	-	ONT10.2911.83	intron	IPMK
chr10	6722	6818	-	ONT10.2911.83	CDS	IPMK
chr10	6818	6919	-	ONT10.2911.83	intron	IPMK
chr10	6919	7013	-	ONT10.2911.83	CDS	IPMK
chr10	7013	7114	-	ONT10.2911.83	intron	IPMK
chr10	7114	7306	-	ONT10.2911.83	CDS	IPMK
chr10	7307	7638	-	ONT10.2911.83	UTR	NA
chr10	2	5183	-	ENST00000373935.4	exon	ENSG00000151151.6
chr10	5183	5284	-	ENST00000373935.4	intron	ENSG00000151151.6
chr10	5284	5365	-	ENST00000373935.4	exon	ENSG00000151151.6
chr10	5365	5466	-	ENST00000373935.4	intron	ENSG00000151151.6
chr10	5466	5638	-	ENST00000373935.4	exon	ENSG00000151151.6
chr10	5638	6722	-	ENST00000373935.4	intron	ENSG00000151151.6
