seqnames	start	end	strand	transcript_id	type	gene_id
chr12	109	567	-	ENST00000408946.7	UTR	NA
chr12	568	1051	-	ENST00000408946.7	CDS	ENSG00000170473.17
chr12	1051	1171	-	ENST00000408946.7	intron	ENSG00000170473.17
chr12	1171	1264	-	ENST00000408946.7	CDS	ENSG00000170473.17
chr12	1264	1649	-	ENST00000408946.7	intron	ENSG00000170473.17
chr12	1649	1688	-	ENST00000408946.7	CDS	ENSG00000170473.17
chr12	1689	1818	-	ENST00000408946.7	UTR	NA
chr12	2	570	-	ONT12.1874.5749	UTR	NA
chr12	571	1051	-	ONT12.1874.5749	CDS	PYM1
chr12	1051	1171	-	ONT12.1874.5749	intron	PYM1
chr12	1171	1264	-	ONT12.1874.5749	CDS	PYM1
chr12	1264	1464	-	ONT12.1874.5749	intron	PYM1
chr12	1464	1500	-	ONT12.1874.5749	CDS	PYM1
chr12	1501	1512	-	ONT12.1874.5749	UTR	NA
chr12	113	570	-	ONT12.1874.5750	UTR	NA
chr12	571	1051	-	ONT12.1874.5750	CDS	PYM1
chr12	1051	1171	-	ONT12.1874.5750	intron	PYM1
chr12	1171	1264	-	ONT12.1874.5750	CDS	PYM1
chr12	1264	1649	-	ONT12.1874.5750	intron	PYM1
chr12	1649	1688	-	ONT12.1874.5750	CDS	PYM1
chr12	1689	1984	-	ONT12.1874.5750	UTR	NA
chr12	110	570	-	ONT12.1874.5751	UTR	NA
chr12	571	1051	-	ONT12.1874.5751	CDS	PYM1
chr12	1051	1171	-	ONT12.1874.5751	intron	PYM1
chr12	1171	1264	-	ONT12.1874.5751	CDS	PYM1
chr12	1264	1464	-	ONT12.1874.5751	intron	PYM1
chr12	1464	1500	-	ONT12.1874.5751	CDS	PYM1
chr12	1501	1548	-	ONT12.1874.5751	UTR	NA
chr12	110	570	-	ONT12.1874.5761	UTR	NA
chr12	571	1051	-	ONT12.1874.5761	CDS	PYM1
chr12	1051	1173	-	ONT12.1874.5761	intron	PYM1
chr12	1173	1198	-	ONT12.1874.5761	CDS	PYM1
chr12	1199	1255	-	ONT12.1874.5761	UTR	NA
chr12	114	570	-	ONT12.1874.5769	UTR	NA
