seqnames	start	end	strand	transcript_id	type	gene_id
chr11	4	1039	-	ENST00000683756.1	UTR	NA
chr11	1040	1533	-	ENST00000683756.1	CDS	ENSG00000110497.15
chr11	1533	1645	-	ENST00000683756.1	intron	ENSG00000110497.15
chr11	1645	1838	-	ENST00000683756.1	CDS	ENSG00000110497.15
chr11	1838	2419	-	ENST00000683756.1	intron	ENSG00000110497.15
chr11	2419	2511	-	ENST00000683756.1	CDS	ENSG00000110497.15
chr11	2511	4157	-	ENST00000683756.1	intron	ENSG00000110497.15
chr11	4157	4296	-	ENST00000683756.1	CDS	ENSG00000110497.15
chr11	4296	4850	-	ENST00000683756.1	intron	ENSG00000110497.15
chr11	4850	5004	-	ENST00000683756.1	CDS	ENSG00000110497.15
chr11	5004	5431	-	ENST00000683756.1	intron	ENSG00000110497.15
chr11	5431	5619	-	ENST00000683756.1	CDS	ENSG00000110497.15
chr11	5619	5720	-	ENST00000683756.1	intron	ENSG00000110497.15
chr11	5720	5830	-	ENST00000683756.1	CDS	ENSG00000110497.15
chr11	5830	6832	-	ENST00000683756.1	intron	ENSG00000110497.15
chr11	6832	6932	-	ENST00000683756.1	CDS	ENSG00000110497.15
chr11	6932	7236	-	ENST00000683756.1	intron	ENSG00000110497.15
chr11	7236	7316	-	ENST00000683756.1	CDS	ENSG00000110497.15
chr11	7316	7986	-	ENST00000683756.1	intron	ENSG00000110497.15
chr11	7986	8165	-	ENST00000683756.1	CDS	ENSG00000110497.15
chr11	8165	8269	-	ENST00000683756.1	intron	ENSG00000110497.15
chr11	8269	8355	-	ENST00000683756.1	CDS	ENSG00000110497.15
chr11	8355	8603	-	ENST00000683756.1	intron	ENSG00000110497.15
chr11	8603	10056	-	ENST00000683756.1	CDS	ENSG00000110497.15
chr11	10056	10157	-	ENST00000683756.1	intron	ENSG00000110497.15
chr11	10157	10223	-	ENST00000683756.1	CDS	ENSG00000110497.15
chr11	10223	10325	-	ENST00000683756.1	intron	ENSG00000110497.15
chr11	10325	10497	-	ENST00000683756.1	CDS	ENSG00000110497.15
chr11	10497	10606	-	ENST00000683756.1	intron	ENSG00000110497.15
chr11	10606	10789	-	ENST00000683756.1	CDS	ENSG00000110497.15
chr11	10789	10892	-	ENST00000683756.1	intron	ENSG00000110497.15
chr11	10892	10950	-	ENST00000683756.1	CDS	ENSG00000110497.15
chr11	10950	11053	-	ENST00000683756.1	intron	ENSG00000110497.15
chr11	11053	11190	-	ENST00000683756.1	CDS	ENSG00000110497.15
chr11	11191	11307	-	ENST00000683756.1	UTR	NA
chr11	11307	11626	-	ENST00000683756.1	intron	NA
chr11	11626	11821	-	ENST00000683756.1	UTR	NA
chr11	4	1042	-	ONT11.2884.10262	UTR	NA
chr11	1043	1533	-	ONT11.2884.10262	CDS	AMBRA1
chr11	1533	1645	-	ONT11.2884.10262	intron	AMBRA1
chr11	1645	1838	-	ONT11.2884.10262	CDS	AMBRA1
chr11	1838	2419	-	ONT11.2884.10262	intron	AMBRA1
chr11	2419	2511	-	ONT11.2884.10262	CDS	AMBRA1
chr11	2511	4157	-	ONT11.2884.10262	intron	AMBRA1
chr11	4157	4296	-	ONT11.2884.10262	CDS	AMBRA1
chr11	4296	4850	-	ONT11.2884.10262	intron	AMBRA1
chr11	4850	5004	-	ONT11.2884.10262	CDS	AMBRA1
chr11	5004	5431	-	ONT11.2884.10262	intron	AMBRA1
chr11	5431	5619	-	ONT11.2884.10262	CDS	AMBRA1
chr11	5619	5720	-	ONT11.2884.10262	intron	AMBRA1
chr11	5720	5830	-	ONT11.2884.10262	CDS	AMBRA1
chr11	5830	6832	-	ONT11.2884.10262	intron	AMBRA1
chr11	6832	6932	-	ONT11.2884.10262	CDS	AMBRA1
chr11	6932	7236	-	ONT11.2884.10262	intron	AMBRA1
chr11	7236	7316	-	ONT11.2884.10262	CDS	AMBRA1
chr11	7316	7986	-	ONT11.2884.10262	intron	AMBRA1
chr11	7986	8165	-	ONT11.2884.10262	CDS	AMBRA1
chr11	8165	8603	-	ONT11.2884.10262	intron	AMBRA1
chr11	8603	9639	-	ONT11.2884.10262	CDS	AMBRA1
chr11	9639	9910	-	ONT11.2884.10262	intron	AMBRA1
chr11	9910	10056	-	ONT11.2884.10262	CDS	AMBRA1
chr11	10056	10157	-	ONT11.2884.10262	intron	AMBRA1
chr11	10157	10223	-	ONT11.2884.10262	CDS	AMBRA1
chr11	10223	10325	-	ONT11.2884.10262	intron	AMBRA1
chr11	10325	10497	-	ONT11.2884.10262	CDS	AMBRA1
chr11	10497	10606	-	ONT11.2884.10262	intron	AMBRA1
chr11	10606	10789	-	ONT11.2884.10262	CDS	AMBRA1
chr11	10789	10892	-	ONT11.2884.10262	intron	AMBRA1
chr11	10892	10950	-	ONT11.2884.10262	CDS	AMBRA1
chr11	10950	11053	-	ONT11.2884.10262	intron	AMBRA1
chr11	11053	11190	-	ONT11.2884.10262	CDS	AMBRA1
chr11	11191	11307	-	ONT11.2884.10262	UTR	NA
chr11	11307	11626	-	ONT11.2884.10262	intron	NA
chr11	11626	11815	-	ONT11.2884.10262	UTR	NA
chr11	7	1042	-	ONT11.2884.10263	UTR	NA
chr11	1043	1533	-	ONT11.2884.10263	CDS	AMBRA1
chr11	1533	1645	-	ONT11.2884.10263	intron	AMBRA1
chr11	1645	1838	-	ONT11.2884.10263	CDS	AMBRA1
chr11	1838	2419	-	ONT11.2884.10263	intron	AMBRA1
chr11	2419	2511	-	ONT11.2884.10263	CDS	AMBRA1
chr11	2511	4157	-	ONT11.2884.10263	intron	AMBRA1
chr11	4157	4296	-	ONT11.2884.10263	CDS	AMBRA1
chr11	4296	4850	-	ONT11.2884.10263	intron	AMBRA1
chr11	4850	5004	-	ONT11.2884.10263	CDS	AMBRA1
chr11	5004	5431	-	ONT11.2884.10263	intron	AMBRA1
chr11	5431	5455	-	ONT11.2884.10263	CDS	AMBRA1
chr11	5456	5603	-	ONT11.2884.10263	UTR	NA
chr11	4	1042	-	ONT11.2884.10264	UTR	NA
chr11	1043	1533	-	ONT11.2884.10264	CDS	AMBRA1
chr11	1533	1645	-	ONT11.2884.10264	intron	AMBRA1
chr11	1645	1838	-	ONT11.2884.10264	CDS	AMBRA1
chr11	1838	2419	-	ONT11.2884.10264	intron	AMBRA1
chr11	2419	2511	-	ONT11.2884.10264	CDS	AMBRA1
chr11	2511	4157	-	ONT11.2884.10264	intron	AMBRA1
chr11	4157	4296	-	ONT11.2884.10264	CDS	AMBRA1
chr11	4296	4850	-	ONT11.2884.10264	intron	AMBRA1
chr11	4850	5004	-	ONT11.2884.10264	CDS	AMBRA1
chr11	5004	5431	-	ONT11.2884.10264	intron	AMBRA1
chr11	5431	5619	-	ONT11.2884.10264	CDS	AMBRA1
chr11	5619	5720	-	ONT11.2884.10264	intron	AMBRA1
chr11	5720	5830	-	ONT11.2884.10264	CDS	AMBRA1
chr11	5830	6832	-	ONT11.2884.10264	intron	AMBRA1
chr11	6832	6932	-	ONT11.2884.10264	CDS	AMBRA1
chr11	6932	7236	-	ONT11.2884.10264	intron	AMBRA1
chr11	7236	7316	-	ONT11.2884.10264	CDS	AMBRA1
chr11	7316	7986	-	ONT11.2884.10264	intron	AMBRA1
chr11	7986	8165	-	ONT11.2884.10264	CDS	AMBRA1
chr11	8165	8269	-	ONT11.2884.10264	intron	AMBRA1
chr11	8269	8355	-	ONT11.2884.10264	CDS	AMBRA1
chr11	8355	8603	-	ONT11.2884.10264	intron	AMBRA1
chr11	8603	8643	-	ONT11.2884.10264	CDS	AMBRA1
chr11	8644	9020	-	ONT11.2884.10264	UTR	NA
chr11	4	1042	-	ONT11.2884.10266	UTR	NA
chr11	1043	1533	-	ONT11.2884.10266	CDS	AMBRA1
chr11	1533	1645	-	ONT11.2884.10266	intron	AMBRA1
chr11	1645	1807	-	ONT11.2884.10266	CDS	AMBRA1
chr11	1808	1838	-	ONT11.2884.10266	UTR	NA
chr11	1838	2419	-	ONT11.2884.10266	intron	NA
chr11	2419	2508	-	ONT11.2884.10266	UTR	NA
