seqnames	start	end	strand	transcript_id	type	gene_id
chr1	499	580	+	ENST00000644510.2	UTR	NA
chr1	581	673	+	ENST00000644510.2	CDS	ENSG00000136631.15
chr1	673	775	+	ENST00000644510.2	intron	ENSG00000136631.15
chr1	775	909	+	ENST00000644510.2	CDS	ENSG00000136631.15
chr1	909	2571	+	ENST00000644510.2	intron	ENSG00000136631.15
chr1	2571	2631	+	ENST00000644510.2	CDS	ENSG00000136631.15
chr1	2631	3587	+	ENST00000644510.2	intron	ENSG00000136631.15
chr1	3587	3666	+	ENST00000644510.2	CDS	ENSG00000136631.15
chr1	3666	4270	+	ENST00000644510.2	intron	ENSG00000136631.15
chr1	4270	4338	+	ENST00000644510.2	CDS	ENSG00000136631.15
chr1	4338	4448	+	ENST00000644510.2	intron	ENSG00000136631.15
chr1	4448	4585	+	ENST00000644510.2	CDS	ENSG00000136631.15
chr1	4585	5023	+	ENST00000644510.2	intron	ENSG00000136631.15
chr1	5023	5133	+	ENST00000644510.2	CDS	ENSG00000136631.15
chr1	5133	6164	+	ENST00000644510.2	intron	ENSG00000136631.15
chr1	6164	6298	+	ENST00000644510.2	CDS	ENSG00000136631.15
chr1	6298	6706	+	ENST00000644510.2	intron	ENSG00000136631.15
chr1	6706	6819	+	ENST00000644510.2	CDS	ENSG00000136631.15
chr1	6819	6933	+	ENST00000644510.2	intron	ENSG00000136631.15
chr1	6933	7100	+	ENST00000644510.2	CDS	ENSG00000136631.15
chr1	7100	12019	+	ENST00000644510.2	intron	ENSG00000136631.15
chr1	12019	12177	+	ENST00000644510.2	CDS	ENSG00000136631.15
chr1	12177	12286	+	ENST00000644510.2	intron	ENSG00000136631.15
chr1	12286	12393	+	ENST00000644510.2	CDS	ENSG00000136631.15
chr1	12393	12651	+	ENST00000644510.2	intron	ENSG00000136631.15
chr1	12651	12772	+	ENST00000644510.2	CDS	ENSG00000136631.15
chr1	12772	15749	+	ENST00000644510.2	intron	ENSG00000136631.15
chr1	15749	15880	+	ENST00000644510.2	CDS	ENSG00000136631.15
chr1	15880	19058	+	ENST00000644510.2	intron	ENSG00000136631.15
chr1	19058	19148	+	ENST00000644510.2	CDS	ENSG00000136631.15
chr1	19149	19678	+	ENST00000644510.2	UTR	NA
chr1	24	329	+	ONT1.4980.26276	UTR	NA
chr1	329	775	+	ONT1.4980.26276	intron	NA
chr1	775	789	+	ONT1.4980.26276	UTR	NA
chr1	790	909	+	ONT1.4980.26276	CDS	VPS45
chr1	909	2571	+	ONT1.4980.26276	intron	VPS45
chr1	2571	2631	+	ONT1.4980.26276	CDS	VPS45
chr1	2631	3587	+	ONT1.4980.26276	intron	VPS45
chr1	3587	3666	+	ONT1.4980.26276	CDS	VPS45
chr1	3666	4270	+	ONT1.4980.26276	intron	VPS45
chr1	4270	4338	+	ONT1.4980.26276	CDS	VPS45
chr1	4338	4448	+	ONT1.4980.26276	intron	VPS45
chr1	4448	4585	+	ONT1.4980.26276	CDS	VPS45
chr1	4585	5023	+	ONT1.4980.26276	intron	VPS45
chr1	5023	5133	+	ONT1.4980.26276	CDS	VPS45
chr1	5133	6164	+	ONT1.4980.26276	intron	VPS45
chr1	6164	6298	+	ONT1.4980.26276	CDS	VPS45
chr1	6298	6706	+	ONT1.4980.26276	intron	VPS45
chr1	6706	6819	+	ONT1.4980.26276	CDS	VPS45
chr1	6819	6933	+	ONT1.4980.26276	intron	VPS45
chr1	6933	7100	+	ONT1.4980.26276	CDS	VPS45
chr1	7100	12019	+	ONT1.4980.26276	intron	VPS45
chr1	12019	12177	+	ONT1.4980.26276	CDS	VPS45
chr1	12177	12286	+	ONT1.4980.26276	intron	VPS45
chr1	12286	12393	+	ONT1.4980.26276	CDS	VPS45
chr1	12393	12651	+	ONT1.4980.26276	intron	VPS45
chr1	12651	12772	+	ONT1.4980.26276	CDS	VPS45
chr1	12772	15749	+	ONT1.4980.26276	intron	VPS45
chr1	15749	15880	+	ONT1.4980.26276	CDS	VPS45
chr1	15880	19058	+	ONT1.4980.26276	intron	VPS45
chr1	19058	19145	+	ONT1.4980.26276	CDS	VPS45
chr1	19146	19666	+	ONT1.4980.26276	UTR	NA
chr1	31	580	+	ONT1.4980.26278	UTR	NA
chr1	581	673	+	ONT1.4980.26278	CDS	VPS45
chr1	673	775	+	ONT1.4980.26278	intron	VPS45
chr1	775	909	+	ONT1.4980.26278	CDS	VPS45
chr1	909	2571	+	ONT1.4980.26278	intron	VPS45
chr1	2571	2631	+	ONT1.4980.26278	CDS	VPS45
chr1	2631	3587	+	ONT1.4980.26278	intron	VPS45
chr1	3587	3666	+	ONT1.4980.26278	CDS	VPS45
chr1	3666	4270	+	ONT1.4980.26278	intron	VPS45
chr1	4270	4338	+	ONT1.4980.26278	CDS	VPS45
chr1	4338	4448	+	ONT1.4980.26278	intron	VPS45
chr1	4448	4585	+	ONT1.4980.26278	CDS	VPS45
chr1	4585	5023	+	ONT1.4980.26278	intron	VPS45
chr1	5023	5133	+	ONT1.4980.26278	CDS	VPS45
chr1	5133	6164	+	ONT1.4980.26278	intron	VPS45
chr1	6164	6298	+	ONT1.4980.26278	CDS	VPS45
chr1	6298	6706	+	ONT1.4980.26278	intron	VPS45
chr1	6706	6819	+	ONT1.4980.26278	CDS	VPS45
chr1	6819	6933	+	ONT1.4980.26278	intron	VPS45
chr1	6933	7100	+	ONT1.4980.26278	CDS	VPS45
chr1	7100	12019	+	ONT1.4980.26278	intron	VPS45
chr1	12019	12177	+	ONT1.4980.26278	CDS	VPS45
chr1	12177	12286	+	ONT1.4980.26278	intron	VPS45
chr1	12286	12393	+	ONT1.4980.26278	CDS	VPS45
chr1	12393	12651	+	ONT1.4980.26278	intron	VPS45
chr1	12651	12772	+	ONT1.4980.26278	CDS	VPS45
chr1	12772	15749	+	ONT1.4980.26278	intron	VPS45
chr1	15749	15880	+	ONT1.4980.26278	CDS	VPS45
chr1	15880	19058	+	ONT1.4980.26278	intron	VPS45
chr1	19058	19145	+	ONT1.4980.26278	CDS	VPS45
chr1	19146	19676	+	ONT1.4980.26278	UTR	NA
chr1	2	329	+	ONT1.4980.26288	UTR	NA
chr1	329	775	+	ONT1.4980.26288	intron	NA
chr1	775	789	+	ONT1.4980.26288	UTR	NA
chr1	790	909	+	ONT1.4980.26288	CDS	VPS45
chr1	909	2571	+	ONT1.4980.26288	intron	VPS45
chr1	2571	2631	+	ONT1.4980.26288	CDS	VPS45
chr1	2631	3587	+	ONT1.4980.26288	intron	VPS45
chr1	3587	3666	+	ONT1.4980.26288	CDS	VPS45
chr1	3666	4270	+	ONT1.4980.26288	intron	VPS45
chr1	4270	4338	+	ONT1.4980.26288	CDS	VPS45
chr1	4338	4448	+	ONT1.4980.26288	intron	VPS45
chr1	4448	4575	+	ONT1.4980.26288	CDS	VPS45
chr1	4575	5023	+	ONT1.4980.26288	intron	VPS45
chr1	5023	5029	+	ONT1.4980.26288	CDS	VPS45
chr1	5030	5133	+	ONT1.4980.26288	UTR	NA
chr1	5133	6164	+	ONT1.4980.26288	intron	NA
chr1	6164	6298	+	ONT1.4980.26288	UTR	NA
chr1	6298	6706	+	ONT1.4980.26288	intron	NA
