seqnames	start	end	strand	transcript_id	type	gene_id
chr6	2	833	+	ENST00000359775.10	UTR	NA
chr6	834	1078	+	ENST00000359775.10	CDS	ENSG00000175048.17
chr6	1078	2991	+	ENST00000359775.10	intron	ENSG00000175048.17
chr6	2991	3151	+	ENST00000359775.10	CDS	ENSG00000175048.17
chr6	3151	5263	+	ENST00000359775.10	intron	ENSG00000175048.17
chr6	5263	5421	+	ENST00000359775.10	CDS	ENSG00000175048.17
chr6	5421	5525	+	ENST00000359775.10	intron	ENSG00000175048.17
chr6	5525	5662	+	ENST00000359775.10	CDS	ENSG00000175048.17
chr6	5662	6414	+	ENST00000359775.10	intron	ENSG00000175048.17
chr6	6414	6462	+	ENST00000359775.10	CDS	ENSG00000175048.17
chr6	6462	6704	+	ENST00000359775.10	intron	ENSG00000175048.17
chr6	6704	6806	+	ENST00000359775.10	CDS	ENSG00000175048.17
chr6	6806	6907	+	ENST00000359775.10	intron	ENSG00000175048.17
chr6	6907	7016	+	ENST00000359775.10	CDS	ENSG00000175048.17
chr6	7016	7119	+	ENST00000359775.10	intron	ENSG00000175048.17
chr6	7119	7221	+	ENST00000359775.10	CDS	ENSG00000175048.17
chr6	7221	7322	+	ENST00000359775.10	intron	ENSG00000175048.17
chr6	7322	7723	+	ENST00000359775.10	CDS	ENSG00000175048.17
chr6	7724	12755	+	ENST00000359775.10	UTR	NA
chr6	1789	2055	+	ONT6.8768.1055	UTR	NA
chr6	2055	2991	+	ONT6.8768.1055	intron	NA
chr6	2991	3060	+	ONT6.8768.1055	UTR	NA
chr6	3061	3151	+	ONT6.8768.1055	CDS	ZDHHC14
chr6	3151	5263	+	ONT6.8768.1055	intron	ZDHHC14
chr6	5263	5421	+	ONT6.8768.1055	CDS	ZDHHC14
chr6	5421	5525	+	ONT6.8768.1055	intron	ZDHHC14
chr6	5525	5662	+	ONT6.8768.1055	CDS	ZDHHC14
chr6	5662	6414	+	ONT6.8768.1055	intron	ZDHHC14
chr6	6414	6462	+	ONT6.8768.1055	CDS	ZDHHC14
chr6	6462	6704	+	ONT6.8768.1055	intron	ZDHHC14
chr6	6704	6806	+	ONT6.8768.1055	CDS	ZDHHC14
chr6	6806	6907	+	ONT6.8768.1055	intron	ZDHHC14
chr6	6907	7016	+	ONT6.8768.1055	CDS	ZDHHC14
chr6	7016	7119	+	ONT6.8768.1055	intron	ZDHHC14
chr6	7119	7221	+	ONT6.8768.1055	CDS	ZDHHC14
chr6	7221	7322	+	ONT6.8768.1055	intron	ZDHHC14
chr6	7322	7720	+	ONT6.8768.1055	CDS	ZDHHC14
chr6	7721	8536	+	ONT6.8768.1055	UTR	NA
chr6	1997	2055	+	ONT6.8768.1073	UTR	NA
chr6	2055	2991	+	ONT6.8768.1073	intron	NA
chr6	2991	3060	+	ONT6.8768.1073	UTR	NA
chr6	3061	3151	+	ONT6.8768.1073	CDS	ZDHHC14
chr6	3151	5263	+	ONT6.8768.1073	intron	ZDHHC14
chr6	5263	5421	+	ONT6.8768.1073	CDS	ZDHHC14
chr6	5421	5525	+	ONT6.8768.1073	intron	ZDHHC14
chr6	5525	5662	+	ONT6.8768.1073	CDS	ZDHHC14
chr6	5662	6414	+	ONT6.8768.1073	intron	ZDHHC14
chr6	6414	6462	+	ONT6.8768.1073	CDS	ZDHHC14
chr6	6462	6704	+	ONT6.8768.1073	intron	ZDHHC14
chr6	6704	6806	+	ONT6.8768.1073	CDS	ZDHHC14
chr6	6806	6907	+	ONT6.8768.1073	intron	ZDHHC14
chr6	6907	7016	+	ONT6.8768.1073	CDS	ZDHHC14
chr6	7016	7119	+	ONT6.8768.1073	intron	ZDHHC14
chr6	7119	7221	+	ONT6.8768.1073	CDS	ZDHHC14
chr6	7221	7322	+	ONT6.8768.1073	intron	ZDHHC14
chr6	7322	7720	+	ONT6.8768.1073	CDS	ZDHHC14
chr6	7721	8534	+	ONT6.8768.1073	UTR	NA
chr6	1997	2055	+	ONT6.8768.1078	UTR	NA
chr6	2055	2991	+	ONT6.8768.1078	intron	NA
chr6	2991	3151	+	ONT6.8768.1078	UTR	NA
chr6	3151	5263	+	ONT6.8768.1078	intron	NA
chr6	5263	5421	+	ONT6.8768.1078	UTR	NA
chr6	5421	5525	+	ONT6.8768.1078	intron	NA
chr6	5525	5662	+	ONT6.8768.1078	UTR	NA
chr6	5662	6414	+	ONT6.8768.1078	intron	NA
chr6	6414	6471	+	ONT6.8768.1078	UTR	NA
chr6	6471	6705	+	ONT6.8768.1078	intron	NA
chr6	6705	6806	+	ONT6.8768.1078	UTR	NA
chr6	6806	6907	+	ONT6.8768.1078	intron	NA
chr6	6907	7016	+	ONT6.8768.1078	UTR	NA
chr6	7016	7119	+	ONT6.8768.1078	intron	NA
chr6	7119	7188	+	ONT6.8768.1078	UTR	NA
chr6	7189	7221	+	ONT6.8768.1078	CDS	ZDHHC14
chr6	7221	7322	+	ONT6.8768.1078	intron	ZDHHC14
chr6	7322	7720	+	ONT6.8768.1078	CDS	ZDHHC14
chr6	7721	8536	+	ONT6.8768.1078	UTR	NA
chr6	1997	2055	+	ONT6.8768.1081	UTR	NA
chr6	2055	2991	+	ONT6.8768.1081	intron	NA
chr6	2991	3151	+	ONT6.8768.1081	UTR	NA
chr6	3151	3252	+	ONT6.8768.1081	intron	NA
chr6	3252	3489	+	ONT6.8768.1081	UTR	NA
chr6	3489	5263	+	ONT6.8768.1081	intron	NA
chr6	5263	5421	+	ONT6.8768.1081	UTR	NA
chr6	5421	5525	+	ONT6.8768.1081	intron	NA
chr6	5525	5592	+	ONT6.8768.1081	UTR	NA
chr6	5593	5662	+	ONT6.8768.1081	CDS	ZDHHC14
