seqnames	start	end	strand	transcript_id	type	gene_id
chr18	2967	4461	-	ENST00000269503.9	UTR	NA
chr18	4462	4659	-	ENST00000269503.9	CDS	ENSG00000141668.10
chr18	4659	4764	-	ENST00000269503.9	intron	ENSG00000141668.10
chr18	4764	4883	-	ENST00000269503.9	CDS	ENSG00000141668.10
chr18	4883	5927	-	ENST00000269503.9	intron	ENSG00000141668.10
chr18	5927	6286	-	ENST00000269503.9	CDS	ENSG00000141668.10
chr18	6287	6449	-	ENST00000269503.9	UTR	NA
chr18	6449	6860	-	ENST00000269503.9	intron	NA
chr18	6860	6904	-	ENST00000269503.9	UTR	NA
chr18	6904	7088	-	ENST00000269503.9	intron	NA
chr18	7088	7453	-	ENST00000269503.9	UTR	NA
chr18	3084	4464	-	ONT18.4899.1008	UTR	NA
chr18	4465	4653	-	ONT18.4899.1008	CDS	CBLN2
chr18	4654	4659	-	ONT18.4899.1008	UTR	NA
chr18	4659	4764	-	ONT18.4899.1008	intron	NA
chr18	4764	4841	-	ONT18.4899.1008	UTR	NA
chr18	3655	4464	-	ONT18.4899.1027	UTR	NA
chr18	4465	4653	-	ONT18.4899.1027	CDS	CBLN2
chr18	4654	4659	-	ONT18.4899.1027	UTR	NA
chr18	4659	4764	-	ONT18.4899.1027	intron	NA
chr18	4764	4886	-	ONT18.4899.1027	UTR	NA
chr18	3847	4464	-	ONT18.4899.1043	UTR	NA
chr18	4465	4659	-	ONT18.4899.1043	CDS	CBLN2
chr18	4659	4764	-	ONT18.4899.1043	intron	CBLN2
chr18	4764	4883	-	ONT18.4899.1043	CDS	CBLN2
chr18	4883	5927	-	ONT18.4899.1043	intron	CBLN2
chr18	5927	6247	-	ONT18.4899.1043	CDS	CBLN2
chr18	6248	6267	-	ONT18.4899.1043	UTR	NA
chr18	7765	9196	-	ONT18.4899.2453	UTR	NA
chr18	9197	9364	-	ONT18.4899.2453	CDS	CBLN2
chr18	9365	10952	-	ONT18.4899.2453	UTR	NA
chr18	10952	11053	-	ONT18.4899.2453	intron	NA
chr18	11053	11122	-	ONT18.4899.2453	UTR	NA
chr18	7767	9196	-	ONT18.4899.2457	UTR	NA
chr18	9197	9364	-	ONT18.4899.2457	CDS	CBLN2
chr18	9365	10952	-	ONT18.4899.2457	UTR	NA
chr18	10952	11080	-	ONT18.4899.2457	intron	NA
chr18	11080	11133	-	ONT18.4899.2457	UTR	NA
chr18	2	4652	-	ONT18.4899.465	UTR	NA
chr18	4653	4654	-	ONT18.4899.465	CDS	CBLN2
chr18	4654	4760	-	ONT18.4899.465	intron	CBLN2
chr18	4760	4883	-	ONT18.4899.465	CDS	CBLN2
chr18	4883	5927	-	ONT18.4899.465	intron	CBLN2
chr18	5927	6286	-	ONT18.4899.465	CDS	CBLN2
chr18	6287	6293	-	ONT18.4899.465	UTR	NA
chr18	2	4464	-	ONT18.4899.473	UTR	NA
chr18	4465	4659	-	ONT18.4899.473	CDS	CBLN2
chr18	4659	4764	-	ONT18.4899.473	intron	CBLN2
chr18	4764	4883	-	ONT18.4899.473	CDS	CBLN2
chr18	4883	5927	-	ONT18.4899.473	intron	CBLN2
chr18	5927	5965	-	ONT18.4899.473	CDS	CBLN2
chr18	5966	6169	-	ONT18.4899.473	UTR	NA
chr18	404	4464	-	ONT18.4899.554	UTR	NA
chr18	4465	4653	-	ONT18.4899.554	CDS	CBLN2
chr18	4654	4659	-	ONT18.4899.554	UTR	NA
chr18	4659	4764	-	ONT18.4899.554	intron	NA
chr18	4764	4882	-	ONT18.4899.554	UTR	NA
chr18	789	4464	-	ONT18.4899.614	UTR	NA
chr18	4465	4653	-	ONT18.4899.614	CDS	CBLN2
chr18	4654	4659	-	ONT18.4899.614	UTR	NA
chr18	4659	4764	-	ONT18.4899.614	intron	NA
chr18	4764	4883	-	ONT18.4899.614	UTR	NA
chr18	1204	4464	-	ONT18.4899.667	UTR	NA
chr18	4465	4659	-	ONT18.4899.667	CDS	CBLN2
chr18	4659	4764	-	ONT18.4899.667	intron	CBLN2
chr18	4764	4883	-	ONT18.4899.667	CDS	CBLN2
chr18	4883	5927	-	ONT18.4899.667	intron	CBLN2
chr18	5927	5965	-	ONT18.4899.667	CDS	CBLN2
chr18	5966	6134	-	ONT18.4899.667	UTR	NA
chr18	1198	4464	-	ONT18.4899.672	UTR	NA
chr18	4465	4659	-	ONT18.4899.672	CDS	CBLN2
chr18	4659	4764	-	ONT18.4899.672	intron	CBLN2
chr18	4764	4883	-	ONT18.4899.672	CDS	CBLN2
