seqnames	start	end	strand	transcript_id	type	gene_id
chr16	214	300	+	ENST00000268668.11	UTR	NA
chr16	301	430	+	ENST00000268668.11	CDS	ENSG00000140990.15
chr16	430	1829	+	ENST00000268668.11	intron	ENSG00000140990.15
chr16	1829	1967	+	ENST00000268668.11	CDS	ENSG00000140990.15
chr16	1967	2173	+	ENST00000268668.11	intron	ENSG00000140990.15
chr16	2173	2312	+	ENST00000268668.11	CDS	ENSG00000140990.15
chr16	2312	2473	+	ENST00000268668.11	intron	ENSG00000140990.15
chr16	2473	2585	+	ENST00000268668.11	CDS	ENSG00000140990.15
chr16	2586	2651	+	ENST00000268668.11	UTR	NA
chr16	2	162	+	ONT16.73.11503	UTR	NA
chr16	163	430	+	ONT16.73.11503	CDS	NDUFB10
chr16	430	1829	+	ONT16.73.11503	intron	NDUFB10
chr16	1829	1967	+	ONT16.73.11503	CDS	NDUFB10
chr16	1967	2173	+	ONT16.73.11503	intron	NDUFB10
chr16	2173	2312	+	ONT16.73.11503	CDS	NDUFB10
chr16	2312	2473	+	ONT16.73.11503	intron	NDUFB10
chr16	2473	2582	+	ONT16.73.11503	CDS	NDUFB10
chr16	2583	2651	+	ONT16.73.11503	UTR	NA
chr16	130	162	+	ONT16.73.11505	UTR	NA
chr16	163	430	+	ONT16.73.11505	CDS	NDUFB10
chr16	430	1829	+	ONT16.73.11505	intron	NDUFB10
chr16	1829	1967	+	ONT16.73.11505	CDS	NDUFB10
chr16	1967	2173	+	ONT16.73.11505	intron	NDUFB10
chr16	2173	2312	+	ONT16.73.11505	CDS	NDUFB10
chr16	2312	2473	+	ONT16.73.11505	intron	NDUFB10
chr16	2473	2582	+	ONT16.73.11505	CDS	NDUFB10
chr16	2583	2651	+	ONT16.73.11505	UTR	NA
chr16	169	300	+	ONT16.73.11508	UTR	NA
chr16	301	430	+	ONT16.73.11508	CDS	NDUFB10
chr16	430	1829	+	ONT16.73.11508	intron	NDUFB10
chr16	1829	1967	+	ONT16.73.11508	CDS	NDUFB10
chr16	1967	2173	+	ONT16.73.11508	intron	NDUFB10
chr16	2173	2312	+	ONT16.73.11508	CDS	NDUFB10
chr16	2312	2473	+	ONT16.73.11508	intron	NDUFB10
chr16	2473	2582	+	ONT16.73.11508	CDS	NDUFB10
chr16	2583	2651	+	ONT16.73.11508	UTR	NA
chr16	189	300	+	ONT16.73.11509	UTR	NA
chr16	301	430	+	ONT16.73.11509	CDS	NDUFB10
chr16	430	1838	+	ONT16.73.11509	intron	NDUFB10
chr16	1838	1967	+	ONT16.73.11509	CDS	NDUFB10
chr16	1967	2173	+	ONT16.73.11509	intron	NDUFB10
chr16	2173	2312	+	ONT16.73.11509	CDS	NDUFB10
chr16	2312	2473	+	ONT16.73.11509	intron	NDUFB10
chr16	2473	2582	+	ONT16.73.11509	CDS	NDUFB10
chr16	2583	2651	+	ONT16.73.11509	UTR	NA
chr16	154	162	+	ONT16.73.11510	UTR	NA
chr16	163	430	+	ONT16.73.11510	CDS	NDUFB10
chr16	430	1829	+	ONT16.73.11510	intron	NDUFB10
chr16	1829	1952	+	ONT16.73.11510	CDS	NDUFB10
chr16	1952	2173	+	ONT16.73.11510	intron	NDUFB10
chr16	2173	2316	+	ONT16.73.11510	CDS	NDUFB10
chr16	2316	2478	+	ONT16.73.11510	intron	NDUFB10
chr16	2478	2637	+	ONT16.73.11510	CDS	NDUFB10
chr16	2638	2649	+	ONT16.73.11510	UTR	NA
chr16	219	300	+	ONT16.73.11511	UTR	NA
chr16	301	430	+	ONT16.73.11511	CDS	NDUFB10
chr16	430	1829	+	ONT16.73.11511	intron	NDUFB10
chr16	1829	1934	+	ONT16.73.11511	CDS	NDUFB10
chr16	1934	2173	+	ONT16.73.11511	intron	NDUFB10
chr16	2173	2312	+	ONT16.73.11511	CDS	NDUFB10
chr16	2312	2473	+	ONT16.73.11511	intron	NDUFB10
chr16	2473	2582	+	ONT16.73.11511	CDS	NDUFB10
chr16	2583	2651	+	ONT16.73.11511	UTR	NA
chr16	192	300	+	ONT16.73.11514	UTR	NA
chr16	301	430	+	ONT16.73.11514	CDS	NDUFB10
chr16	430	1829	+	ONT16.73.11514	intron	NDUFB10
chr16	1829	1967	+	ONT16.73.11514	CDS	NDUFB10
chr16	1967	2173	+	ONT16.73.11514	intron	NDUFB10
chr16	2173	2410	+	ONT16.73.11514	CDS	NDUFB10
chr16	2411	2668	+	ONT16.73.11514	UTR	NA
chr16	192	300	+	ONT16.73.11517	UTR	NA
chr16	301	430	+	ONT16.73.11517	CDS	NDUFB10
chr16	430	1829	+	ONT16.73.11517	intron	NDUFB10
chr16	1829	1967	+	ONT16.73.11517	CDS	NDUFB10
chr16	1967	2173	+	ONT16.73.11517	intron	NDUFB10
chr16	2173	2287	+	ONT16.73.11517	CDS	NDUFB10
chr16	2287	2473	+	ONT16.73.11517	intron	NDUFB10
chr16	2473	2637	+	ONT16.73.11517	CDS	NDUFB10
chr16	2638	2650	+	ONT16.73.11517	UTR	NA
chr16	184	300	+	ONT16.73.11518	UTR	NA
chr16	301	423	+	ONT16.73.11518	CDS	NDUFB10
chr16	423	1829	+	ONT16.73.11518	intron	NDUFB10
chr16	1829	1837	+	ONT16.73.11518	CDS	NDUFB10
chr16	1838	1967	+	ONT16.73.11518	UTR	NA
chr16	1967	2173	+	ONT16.73.11518	intron	NA
chr16	2173	2312	+	ONT16.73.11518	UTR	NA
chr16	2312	2473	+	ONT16.73.11518	intron	NA
chr16	2473	2652	+	ONT16.73.11518	UTR	NA
chr16	191	300	+	ONT16.73.11520	UTR	NA
chr16	301	430	+	ONT16.73.11520	CDS	NDUFB10
chr16	430	1838	+	ONT16.73.11520	intron	NDUFB10
chr16	1838	1967	+	ONT16.73.11520	CDS	NDUFB10
chr16	1967	2173	+	ONT16.73.11520	intron	NDUFB10
chr16	2173	2287	+	ONT16.73.11520	CDS	NDUFB10
chr16	2287	2473	+	ONT16.73.11520	intron	NDUFB10
chr16	2473	2637	+	ONT16.73.11520	CDS	NDUFB10
chr16	2638	2651	+	ONT16.73.11520	UTR	NA
chr16	186	300	+	ONT16.73.11525	UTR	NA
chr16	301	430	+	ONT16.73.11525	CDS	NDUFB10
chr16	430	1829	+	ONT16.73.11525	intron	NDUFB10
chr16	1829	1968	+	ONT16.73.11525	CDS	NDUFB10
chr16	1969	2651	+	ONT16.73.11525	UTR	NA
chr16	184	300	+	ONT16.73.11526	UTR	NA
chr16	301	430	+	ONT16.73.11526	CDS	NDUFB10
chr16	430	1829	+	ONT16.73.11526	intron	NDUFB10
chr16	1829	1968	+	ONT16.73.11526	CDS	NDUFB10
chr16	1969	1989	+	ONT16.73.11526	UTR	NA
chr16	1989	2173	+	ONT16.73.11526	intron	NA
chr16	2173	2312	+	ONT16.73.11526	UTR	NA
chr16	2312	2478	+	ONT16.73.11526	intron	NA
chr16	2478	2651	+	ONT16.73.11526	UTR	NA
chr16	184	300	+	ONT16.73.11527	UTR	NA
chr16	301	430	+	ONT16.73.11527	CDS	NDUFB10
chr16	430	1838	+	ONT16.73.11527	intron	NDUFB10
chr16	1838	1934	+	ONT16.73.11527	CDS	NDUFB10
chr16	1934	2173	+	ONT16.73.11527	intron	NDUFB10
chr16	2173	2312	+	ONT16.73.11527	CDS	NDUFB10
chr16	2312	2473	+	ONT16.73.11527	intron	NDUFB10
chr16	2473	2582	+	ONT16.73.11527	CDS	NDUFB10
chr16	2583	2641	+	ONT16.73.11527	UTR	NA
chr16	186	300	+	ONT16.73.11528	UTR	NA
chr16	301	430	+	ONT16.73.11528	CDS	NDUFB10
chr16	430	1829	+	ONT16.73.11528	intron	NDUFB10
