seqnames	start	end	strand	transcript_id	type	gene_id
chr19	2007	6117	-	ENST00000392161.4	UTR	NA
chr19	6118	7487	-	ENST00000392161.4	CDS	ENSG00000181007.9
chr19	7487	7588	-	ENST00000392161.4	intron	ENSG00000181007.9
chr19	7588	7680	-	ENST00000392161.4	CDS	ENSG00000181007.9
chr19	7680	8997	-	ENST00000392161.4	intron	ENSG00000181007.9
chr19	8997	9123	-	ENST00000392161.4	CDS	ENSG00000181007.9
chr19	9123	9237	-	ENST00000392161.4	intron	ENSG00000181007.9
chr19	9237	9248	-	ENST00000392161.4	CDS	ENSG00000181007.9
chr19	9249	9323	-	ENST00000392161.4	UTR	NA
chr19	9323	9425	-	ENST00000392161.4	intron	NA
chr19	9425	9577	-	ENST00000392161.4	UTR	NA
chr19	2	1785	-	ONT19.515.20072	UTR	NA
chr19	1786	1886	-	ONT19.515.20072	CDS	ZFP82
chr19	1886	7588	-	ONT19.515.20072	intron	ZFP82
chr19	7588	7680	-	ONT19.515.20072	CDS	ZFP82
chr19	7680	8997	-	ONT19.515.20072	intron	ZFP82
chr19	8997	9123	-	ONT19.515.20072	CDS	ZFP82
chr19	9123	9237	-	ONT19.515.20072	intron	ZFP82
chr19	9237	9248	-	ONT19.515.20072	CDS	ZFP82
chr19	9249	9323	-	ONT19.515.20072	UTR	NA
chr19	9323	9425	-	ONT19.515.20072	intron	NA
chr19	9425	9588	-	ONT19.515.20072	UTR	NA
chr19	569	1785	-	ONT19.515.20122	UTR	NA
chr19	1786	1886	-	ONT19.515.20122	CDS	ZFP82
chr19	1886	7588	-	ONT19.515.20122	intron	ZFP82
chr19	7588	7680	-	ONT19.515.20122	CDS	ZFP82
chr19	7680	8997	-	ONT19.515.20122	intron	ZFP82
chr19	8997	9123	-	ONT19.515.20122	CDS	ZFP82
chr19	9123	9237	-	ONT19.515.20122	intron	ZFP82
chr19	9237	9248	-	ONT19.515.20122	CDS	ZFP82
chr19	9249	9323	-	ONT19.515.20122	UTR	NA
chr19	9323	9425	-	ONT19.515.20122	intron	NA
chr19	9425	9589	-	ONT19.515.20122	UTR	NA
chr19	563	1877	-	ONT19.515.20124	UTR	NA
chr19	1878	1906	-	ONT19.515.20124	CDS	ZFP82
chr19	1906	7588	-	ONT19.515.20124	intron	ZFP82
chr19	7588	7680	-	ONT19.515.20124	CDS	ZFP82
chr19	7680	8997	-	ONT19.515.20124	intron	ZFP82
chr19	8997	9123	-	ONT19.515.20124	CDS	ZFP82
chr19	9123	9237	-	ONT19.515.20124	intron	ZFP82
chr19	9237	9248	-	ONT19.515.20124	CDS	ZFP82
chr19	9249	9323	-	ONT19.515.20124	UTR	NA
chr19	9323	9425	-	ONT19.515.20124	intron	NA
