seqnames	start	end	strand	transcript_id	type	gene_id
chr2	2	8427	-	ENST00000375258.9	UTR	NA
chr2	8428	8618	-	ENST00000375258.9	CDS	ENSG00000123600.21
chr2	8618	8719	-	ENST00000375258.9	intron	ENSG00000123600.21
chr2	8719	8784	-	ENST00000375258.9	CDS	ENSG00000123600.21
chr2	8784	8885	-	ENST00000375258.9	intron	ENSG00000123600.21
chr2	8885	8991	-	ENST00000375258.9	CDS	ENSG00000123600.21
chr2	8991	9092	-	ENST00000375258.9	intron	ENSG00000123600.21
chr2	9092	9231	-	ENST00000375258.9	CDS	ENSG00000123600.21
chr2	9231	9371	-	ENST00000375258.9	intron	ENSG00000123600.21
chr2	9371	9434	-	ENST00000375258.9	CDS	ENSG00000123600.21
chr2	9434	9690	-	ENST00000375258.9	intron	ENSG00000123600.21
chr2	9690	9739	-	ENST00000375258.9	CDS	ENSG00000123600.21
chr2	9739	11421	-	ENST00000375258.9	intron	ENSG00000123600.21
chr2	11421	11791	-	ENST00000375258.9	CDS	ENSG00000123600.21
chr2	11791	12121	-	ENST00000375258.9	intron	ENSG00000123600.21
chr2	12121	12212	-	ENST00000375258.9	CDS	ENSG00000123600.21
chr2	12212	12314	-	ENST00000375258.9	intron	ENSG00000123600.21
chr2	12314	12459	-	ENST00000375258.9	CDS	ENSG00000123600.21
chr2	12460	12468	-	ENST00000375258.9	UTR	NA
chr2	12468	13817	-	ENST00000375258.9	intron	NA
chr2	13817	13924	-	ENST00000375258.9	UTR	NA
chr2	7483	8430	-	ONT2.10190.6197	UTR	NA
chr2	8431	8618	-	ONT2.10190.6197	CDS	METTL8
chr2	8618	8719	-	ONT2.10190.6197	intron	METTL8
chr2	8719	8784	-	ONT2.10190.6197	CDS	METTL8
chr2	8784	8885	-	ONT2.10190.6197	intron	METTL8
chr2	8885	8991	-	ONT2.10190.6197	CDS	METTL8
chr2	8991	9092	-	ONT2.10190.6197	intron	METTL8
chr2	9092	9231	-	ONT2.10190.6197	CDS	METTL8
chr2	9231	9371	-	ONT2.10190.6197	intron	METTL8
chr2	9371	9434	-	ONT2.10190.6197	CDS	METTL8
chr2	9434	9690	-	ONT2.10190.6197	intron	METTL8
chr2	9690	9739	-	ONT2.10190.6197	CDS	METTL8
chr2	9739	11421	-	ONT2.10190.6197	intron	METTL8
chr2	11421	11791	-	ONT2.10190.6197	CDS	METTL8
chr2	11791	12121	-	ONT2.10190.6197	intron	METTL8
chr2	12121	12212	-	ONT2.10190.6197	CDS	METTL8
chr2	12212	12314	-	ONT2.10190.6197	intron	METTL8
chr2	12314	12459	-	ONT2.10190.6197	CDS	METTL8
chr2	12460	12468	-	ONT2.10190.6197	UTR	NA
chr2	12468	13817	-	ONT2.10190.6197	intron	NA
chr2	13817	14055	-	ONT2.10190.6197	UTR	NA
chr2	7483	8430	-	ONT2.10190.6198	UTR	NA
