seqnames	start	end	strand	transcript_id	type	gene_id
chr1	2	3946	-	ENST00000367511.4	UTR	NA
chr1	3947	5067	-	ENST00000367511.4	CDS	ENSG00000135842.17
chr1	5067	5168	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	5168	5279	-	ENST00000367511.4	CDS	ENSG00000135842.17
chr1	5279	5380	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	5380	5487	-	ENST00000367511.4	CDS	ENSG00000135842.17
chr1	5487	5588	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	5588	5698	-	ENST00000367511.4	CDS	ENSG00000135842.17
chr1	5698	5799	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	5799	5960	-	ENST00000367511.4	CDS	ENSG00000135842.17
chr1	5960	6061	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	6061	6248	-	ENST00000367511.4	CDS	ENSG00000135842.17
chr1	6248	6349	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	6349	6511	-	ENST00000367511.4	CDS	ENSG00000135842.17
chr1	6511	6612	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	6612	6716	-	ENST00000367511.4	CDS	ENSG00000135842.17
chr1	6716	6817	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	6817	6932	-	ENST00000367511.4	CDS	ENSG00000135842.17
chr1	6932	7033	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	7033	7200	-	ENST00000367511.4	CDS	ENSG00000135842.17
chr1	7200	7301	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	7301	7415	-	ENST00000367511.4	CDS	ENSG00000135842.17
chr1	7415	7516	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	7516	7647	-	ENST00000367511.4	CDS	ENSG00000135842.17
chr1	7647	7748	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	7748	7878	-	ENST00000367511.4	CDS	ENSG00000135842.17
chr1	7878	7979	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	7979	8036	-	ENST00000367511.4	CDS	ENSG00000135842.17
chr1	8037	8185	-	ENST00000367511.4	UTR	NA
chr1	2	5067	-	ENST00000367511.4	exon	ENSG00000135842.17
chr1	5067	5168	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	5168	5279	-	ENST00000367511.4	exon	ENSG00000135842.17
chr1	5279	5380	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	5380	5487	-	ENST00000367511.4	exon	ENSG00000135842.17
chr1	5487	5588	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	5588	5698	-	ENST00000367511.4	exon	ENSG00000135842.17
chr1	5698	5799	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	5799	5960	-	ENST00000367511.4	exon	ENSG00000135842.17
chr1	5960	6061	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	6061	6248	-	ENST00000367511.4	exon	ENSG00000135842.17
chr1	6248	6349	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	6349	6511	-	ENST00000367511.4	exon	ENSG00000135842.17
chr1	6511	6612	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	6612	6716	-	ENST00000367511.4	exon	ENSG00000135842.17
chr1	6716	6817	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	6817	6932	-	ENST00000367511.4	exon	ENSG00000135842.17
chr1	6932	7033	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	7033	7200	-	ENST00000367511.4	exon	ENSG00000135842.17
chr1	7200	7301	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	7301	7415	-	ENST00000367511.4	exon	ENSG00000135842.17
chr1	7415	7516	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	7516	7647	-	ENST00000367511.4	exon	ENSG00000135842.17
chr1	7647	7748	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	7748	7878	-	ENST00000367511.4	exon	ENSG00000135842.17
chr1	7878	7979	-	ENST00000367511.4	intron	ENSG00000135842.17
chr1	7979	8185	-	ENST00000367511.4	exon	ENSG00000135842.17
chr1	6649	6716	-	ONT1.6132.183	exon	NIBAN1
chr1	6717	6783	-	ONT1.6132.183	exon	NIBAN1
chr1	7552	7647	-	ONT1.6132.323	exon	NIBAN1
chr1	7648	7778	-	ONT1.6132.323	exon	NIBAN1
chr1	7779	7984	-	ONT1.6132.323	exon	NIBAN1
chr1	4515	5067	-	ONT1.6132.94	exon	NIBAN1
chr1	5068	5179	-	ONT1.6132.94	exon	NIBAN1
chr1	5180	5287	-	ONT1.6132.94	exon	NIBAN1
chr1	5288	5398	-	ONT1.6132.94	exon	NIBAN1
chr1	5399	5560	-	ONT1.6132.94	exon	NIBAN1
chr1	5561	5748	-	ONT1.6132.94	exon	NIBAN1
chr1	5749	5911	-	ONT1.6132.94	exon	NIBAN1
chr1	5912	6016	-	ONT1.6132.94	exon	NIBAN1
chr1	6017	6132	-	ONT1.6132.94	exon	NIBAN1
chr1	6133	6300	-	ONT1.6132.94	exon	NIBAN1
chr1	6301	6415	-	ONT1.6132.94	exon	NIBAN1
chr1	6416	6547	-	ONT1.6132.94	exon	NIBAN1
chr1	6548	6678	-	ONT1.6132.94	exon	NIBAN1
chr1	6679	7092	-	ONT1.6132.94	exon	NIBAN1
