seqnames	start	end	strand	transcript_id	type	gene_id
chr18	2	436	+	ENST00000400345.8	UTR	NA
chr18	437	484	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	484	1685	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	1685	1758	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	1758	2468	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	2468	2549	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	2549	3047	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	3047	3085	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	3085	3190	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	3190	3243	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	3243	3348	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	3348	3398	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	3398	3500	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	3500	3561	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	3561	3664	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	3664	3766	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	3766	3869	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	3869	4035	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	4035	4136	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	4136	4268	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	4268	4371	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	4371	4547	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	4547	4648	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	4648	4722	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	4722	6308	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	6308	6367	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	6367	7517	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	7517	7648	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	7648	7828	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	7828	7947	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	7947	8049	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	8049	8246	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	8246	8348	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	8348	8425	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	8425	8526	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	8526	8580	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	8580	8685	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	8685	8743	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	8743	9679	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	9679	9744	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	9744	9849	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	9849	10078	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	10078	10183	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	10183	10304	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	10304	10418	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	10418	10488	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	10488	11193	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	11193	11288	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	11288	11393	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	11393	11466	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	11466	11713	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	11713	11773	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	11773	11884	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	11884	11943	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	11943	12050	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	12050	12157	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	12157	13390	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	13390	13486	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	13486	13587	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	13587	13659	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	13659	13764	+	ENST00000400345.8	intron	ENSG00000049759.20
chr18	13764	13869	+	ENST00000400345.8	CDS	ENSG00000049759.20
chr18	13870	19136	+	ENST00000400345.8	UTR	NA
chr18	4136	4268	+	ONT18.3621.10011	UTR	NA
chr18	4268	4371	+	ONT18.3621.10011	intron	NA
chr18	4371	4547	+	ONT18.3621.10011	UTR	NA
chr18	4547	4648	+	ONT18.3621.10011	intron	NA
chr18	4648	4722	+	ONT18.3621.10011	UTR	NA
chr18	4722	7517	+	ONT18.3621.10011	intron	NA
chr18	7517	7642	+	ONT18.3621.10011	UTR	NA
chr18	7643	7648	+	ONT18.3621.10011	CDS	NEDD4L
chr18	7648	7828	+	ONT18.3621.10011	intron	NEDD4L
chr18	7828	7947	+	ONT18.3621.10011	CDS	NEDD4L
chr18	7947	8049	+	ONT18.3621.10011	intron	NEDD4L
chr18	8049	8246	+	ONT18.3621.10011	CDS	NEDD4L
chr18	8246	8348	+	ONT18.3621.10011	intron	NEDD4L
chr18	8348	8425	+	ONT18.3621.10011	CDS	NEDD4L
chr18	8425	8526	+	ONT18.3621.10011	intron	NEDD4L
chr18	8526	8580	+	ONT18.3621.10011	CDS	NEDD4L
chr18	8580	8685	+	ONT18.3621.10011	intron	NEDD4L
chr18	8685	8743	+	ONT18.3621.10011	CDS	NEDD4L
chr18	8743	9679	+	ONT18.3621.10011	intron	NEDD4L
chr18	9679	9744	+	ONT18.3621.10011	CDS	NEDD4L
chr18	9744	9849	+	ONT18.3621.10011	intron	NEDD4L
chr18	9849	10078	+	ONT18.3621.10011	CDS	NEDD4L
chr18	10078	10183	+	ONT18.3621.10011	intron	NEDD4L
chr18	10183	10304	+	ONT18.3621.10011	CDS	NEDD4L
chr18	10304	10418	+	ONT18.3621.10011	intron	NEDD4L
chr18	10418	10488	+	ONT18.3621.10011	CDS	NEDD4L
chr18	10488	11193	+	ONT18.3621.10011	intron	NEDD4L
chr18	11193	11288	+	ONT18.3621.10011	CDS	NEDD4L
chr18	11288	11393	+	ONT18.3621.10011	intron	NEDD4L
chr18	11393	11466	+	ONT18.3621.10011	CDS	NEDD4L
chr18	11466	11713	+	ONT18.3621.10011	intron	NEDD4L
chr18	11713	11773	+	ONT18.3621.10011	CDS	NEDD4L
chr18	11773	11884	+	ONT18.3621.10011	intron	NEDD4L
chr18	11884	11943	+	ONT18.3621.10011	CDS	NEDD4L
chr18	11943	12050	+	ONT18.3621.10011	intron	NEDD4L
chr18	12050	12157	+	ONT18.3621.10011	CDS	NEDD4L
chr18	12157	13390	+	ONT18.3621.10011	intron	NEDD4L
chr18	13390	13486	+	ONT18.3621.10011	CDS	NEDD4L
chr18	13486	13587	+	ONT18.3621.10011	intron	NEDD4L
chr18	13587	13659	+	ONT18.3621.10011	CDS	NEDD4L
chr18	13659	13764	+	ONT18.3621.10011	intron	NEDD4L
chr18	13764	13866	+	ONT18.3621.10011	CDS	NEDD4L
chr18	13867	14175	+	ONT18.3621.10011	UTR	NA
chr18	4136	4268	+	ONT18.3621.10018	UTR	NA
chr18	4268	4371	+	ONT18.3621.10018	intron	NA
chr18	4371	4547	+	ONT18.3621.10018	UTR	NA
chr18	4547	4648	+	ONT18.3621.10018	intron	NA
chr18	4648	4722	+	ONT18.3621.10018	UTR	NA
chr18	4722	7517	+	ONT18.3621.10018	intron	NA
chr18	7517	7642	+	ONT18.3621.10018	UTR	NA
chr18	7643	7648	+	ONT18.3621.10018	CDS	NEDD4L
chr18	7648	7828	+	ONT18.3621.10018	intron	NEDD4L
chr18	7828	7947	+	ONT18.3621.10018	CDS	NEDD4L
chr18	7947	8049	+	ONT18.3621.10018	intron	NEDD4L
chr18	8049	8246	+	ONT18.3621.10018	CDS	NEDD4L
chr18	8246	8348	+	ONT18.3621.10018	intron	NEDD4L
chr18	8348	8425	+	ONT18.3621.10018	CDS	NEDD4L
chr18	8425	8526	+	ONT18.3621.10018	intron	NEDD4L
chr18	8526	8580	+	ONT18.3621.10018	CDS	NEDD4L
chr18	8580	8685	+	ONT18.3621.10018	intron	NEDD4L
chr18	8685	8743	+	ONT18.3621.10018	CDS	NEDD4L
chr18	8743	9679	+	ONT18.3621.10018	intron	NEDD4L
chr18	9679	9744	+	ONT18.3621.10018	CDS	NEDD4L
chr18	9744	9849	+	ONT18.3621.10018	intron	NEDD4L
chr18	9849	10078	+	ONT18.3621.10018	CDS	NEDD4L
chr18	10078	10183	+	ONT18.3621.10018	intron	NEDD4L
chr18	10183	10304	+	ONT18.3621.10018	CDS	NEDD4L
chr18	10304	10418	+	ONT18.3621.10018	intron	NEDD4L
chr18	10418	10488	+	ONT18.3621.10018	CDS	NEDD4L
chr18	10488	11193	+	ONT18.3621.10018	intron	NEDD4L
chr18	11193	11288	+	ONT18.3621.10018	CDS	NEDD4L
chr18	11288	11393	+	ONT18.3621.10018	intron	NEDD4L
chr18	11393	11466	+	ONT18.3621.10018	CDS	NEDD4L
chr18	11466	11713	+	ONT18.3621.10018	intron	NEDD4L
chr18	11713	11773	+	ONT18.3621.10018	CDS	NEDD4L
chr18	11773	11884	+	ONT18.3621.10018	intron	NEDD4L
chr18	11884	11943	+	ONT18.3621.10018	CDS	NEDD4L
chr18	11943	12050	+	ONT18.3621.10018	intron	NEDD4L
chr18	12050	12157	+	ONT18.3621.10018	CDS	NEDD4L
chr18	12157	13390	+	ONT18.3621.10018	intron	NEDD4L
chr18	13390	13486	+	ONT18.3621.10018	CDS	NEDD4L
chr18	13486	13587	+	ONT18.3621.10018	intron	NEDD4L
chr18	13587	13659	+	ONT18.3621.10018	CDS	NEDD4L
chr18	13659	13764	+	ONT18.3621.10018	intron	NEDD4L
chr18	13764	13866	+	ONT18.3621.10018	CDS	NEDD4L
chr18	13867	14299	+	ONT18.3621.10018	UTR	NA
chr18	4148	4268	+	ONT18.3621.10022	UTR	NA
chr18	4268	4371	+	ONT18.3621.10022	intron	NA
chr18	4371	4547	+	ONT18.3621.10022	UTR	NA
chr18	4547	4648	+	ONT18.3621.10022	intron	NA
chr18	4648	4722	+	ONT18.3621.10022	UTR	NA
chr18	4722	7517	+	ONT18.3621.10022	intron	NA
chr18	7517	7642	+	ONT18.3621.10022	UTR	NA
chr18	7643	7648	+	ONT18.3621.10022	CDS	NEDD4L
chr18	7648	7828	+	ONT18.3621.10022	intron	NEDD4L
chr18	7828	7947	+	ONT18.3621.10022	CDS	NEDD4L
chr18	7947	8049	+	ONT18.3621.10022	intron	NEDD4L
chr18	8049	8246	+	ONT18.3621.10022	CDS	NEDD4L
chr18	8246	8348	+	ONT18.3621.10022	intron	NEDD4L
chr18	8348	8425	+	ONT18.3621.10022	CDS	NEDD4L
chr18	8425	8526	+	ONT18.3621.10022	intron	NEDD4L
chr18	8526	8580	+	ONT18.3621.10022	CDS	NEDD4L
chr18	8580	8685	+	ONT18.3621.10022	intron	NEDD4L
chr18	8685	8743	+	ONT18.3621.10022	CDS	NEDD4L
chr18	8743	9679	+	ONT18.3621.10022	intron	NEDD4L
chr18	9679	9744	+	ONT18.3621.10022	CDS	NEDD4L
chr18	9744	9849	+	ONT18.3621.10022	intron	NEDD4L
chr18	9849	10078	+	ONT18.3621.10022	CDS	NEDD4L
chr18	10078	10183	+	ONT18.3621.10022	intron	NEDD4L
chr18	10183	10304	+	ONT18.3621.10022	CDS	NEDD4L
chr18	10304	10418	+	ONT18.3621.10022	intron	NEDD4L
chr18	10418	10488	+	ONT18.3621.10022	CDS	NEDD4L
chr18	10488	11193	+	ONT18.3621.10022	intron	NEDD4L
chr18	11193	11288	+	ONT18.3621.10022	CDS	NEDD4L
chr18	11288	11393	+	ONT18.3621.10022	intron	NEDD4L
chr18	11393	11466	+	ONT18.3621.10022	CDS	NEDD4L
chr18	11466	11713	+	ONT18.3621.10022	intron	NEDD4L
chr18	11713	11773	+	ONT18.3621.10022	CDS	NEDD4L
chr18	11773	11884	+	ONT18.3621.10022	intron	NEDD4L
chr18	11884	11943	+	ONT18.3621.10022	CDS	NEDD4L
chr18	11943	12050	+	ONT18.3621.10022	intron	NEDD4L
chr18	12050	12157	+	ONT18.3621.10022	CDS	NEDD4L
chr18	12157	13390	+	ONT18.3621.10022	intron	NEDD4L
chr18	13390	13486	+	ONT18.3621.10022	CDS	NEDD4L
chr18	13486	13587	+	ONT18.3621.10022	intron	NEDD4L
chr18	13587	13659	+	ONT18.3621.10022	CDS	NEDD4L
chr18	13659	13764	+	ONT18.3621.10022	intron	NEDD4L
chr18	13764	13866	+	ONT18.3621.10022	CDS	NEDD4L
chr18	13867	15001	+	ONT18.3621.10022	UTR	NA
chr18	4189	4268	+	ONT18.3621.10041	UTR	NA
chr18	4268	4371	+	ONT18.3621.10041	intron	NA
chr18	4371	4547	+	ONT18.3621.10041	UTR	NA
chr18	4547	4648	+	ONT18.3621.10041	intron	NA
chr18	4648	4722	+	ONT18.3621.10041	UTR	NA
chr18	4722	7517	+	ONT18.3621.10041	intron	NA
chr18	7517	7642	+	ONT18.3621.10041	UTR	NA
chr18	7643	7648	+	ONT18.3621.10041	CDS	NEDD4L
chr18	7648	7828	+	ONT18.3621.10041	intron	NEDD4L
chr18	7828	7947	+	ONT18.3621.10041	CDS	NEDD4L
chr18	7947	8049	+	ONT18.3621.10041	intron	NEDD4L
chr18	8049	8246	+	ONT18.3621.10041	CDS	NEDD4L
chr18	8246	8348	+	ONT18.3621.10041	intron	NEDD4L
chr18	8348	8425	+	ONT18.3621.10041	CDS	NEDD4L
chr18	8425	8526	+	ONT18.3621.10041	intron	NEDD4L
chr18	8526	8580	+	ONT18.3621.10041	CDS	NEDD4L
chr18	8580	8685	+	ONT18.3621.10041	intron	NEDD4L
chr18	8685	8743	+	ONT18.3621.10041	CDS	NEDD4L
chr18	8743	9679	+	ONT18.3621.10041	intron	NEDD4L
chr18	9679	9744	+	ONT18.3621.10041	CDS	NEDD4L
chr18	9744	9849	+	ONT18.3621.10041	intron	NEDD4L
chr18	9849	10078	+	ONT18.3621.10041	CDS	NEDD4L
chr18	10078	10183	+	ONT18.3621.10041	intron	NEDD4L
chr18	10183	10304	+	ONT18.3621.10041	CDS	NEDD4L
chr18	10304	10418	+	ONT18.3621.10041	intron	NEDD4L
chr18	10418	10488	+	ONT18.3621.10041	CDS	NEDD4L
chr18	10488	11193	+	ONT18.3621.10041	intron	NEDD4L
chr18	11193	11288	+	ONT18.3621.10041	CDS	NEDD4L
chr18	11288	11393	+	ONT18.3621.10041	intron	NEDD4L
chr18	11393	11466	+	ONT18.3621.10041	CDS	NEDD4L
chr18	11466	11713	+	ONT18.3621.10041	intron	NEDD4L
chr18	11713	11773	+	ONT18.3621.10041	CDS	NEDD4L
chr18	11773	11884	+	ONT18.3621.10041	intron	NEDD4L
chr18	11884	11943	+	ONT18.3621.10041	CDS	NEDD4L
chr18	11943	12050	+	ONT18.3621.10041	intron	NEDD4L
chr18	12050	12157	+	ONT18.3621.10041	CDS	NEDD4L
chr18	12157	13390	+	ONT18.3621.10041	intron	NEDD4L
chr18	13390	13486	+	ONT18.3621.10041	CDS	NEDD4L
chr18	13486	13587	+	ONT18.3621.10041	intron	NEDD4L
chr18	13587	13659	+	ONT18.3621.10041	CDS	NEDD4L
chr18	13659	13764	+	ONT18.3621.10041	intron	NEDD4L
chr18	13764	13866	+	ONT18.3621.10041	CDS	NEDD4L
chr18	13867	14181	+	ONT18.3621.10041	UTR	NA
chr18	4251	4268	+	ONT18.3621.10046	UTR	NA
chr18	4268	4371	+	ONT18.3621.10046	intron	NA
chr18	4371	4547	+	ONT18.3621.10046	UTR	NA
chr18	4547	4648	+	ONT18.3621.10046	intron	NA
chr18	4648	4722	+	ONT18.3621.10046	UTR	NA
chr18	4722	7517	+	ONT18.3621.10046	intron	NA
chr18	7517	7642	+	ONT18.3621.10046	UTR	NA
chr18	7643	7648	+	ONT18.3621.10046	CDS	NEDD4L
chr18	7648	7828	+	ONT18.3621.10046	intron	NEDD4L
chr18	7828	7947	+	ONT18.3621.10046	CDS	NEDD4L
chr18	7947	8049	+	ONT18.3621.10046	intron	NEDD4L
chr18	8049	8246	+	ONT18.3621.10046	CDS	NEDD4L
chr18	8246	8348	+	ONT18.3621.10046	intron	NEDD4L
chr18	8348	8425	+	ONT18.3621.10046	CDS	NEDD4L
chr18	8425	8526	+	ONT18.3621.10046	intron	NEDD4L
chr18	8526	8580	+	ONT18.3621.10046	CDS	NEDD4L
chr18	8580	8685	+	ONT18.3621.10046	intron	NEDD4L
chr18	8685	8743	+	ONT18.3621.10046	CDS	NEDD4L
chr18	8743	9679	+	ONT18.3621.10046	intron	NEDD4L
chr18	9679	9744	+	ONT18.3621.10046	CDS	NEDD4L
chr18	9744	9849	+	ONT18.3621.10046	intron	NEDD4L
chr18	9849	10078	+	ONT18.3621.10046	CDS	NEDD4L
chr18	10078	10183	+	ONT18.3621.10046	intron	NEDD4L
chr18	10183	10304	+	ONT18.3621.10046	CDS	NEDD4L
chr18	10304	10418	+	ONT18.3621.10046	intron	NEDD4L
chr18	10418	10488	+	ONT18.3621.10046	CDS	NEDD4L
chr18	10488	11193	+	ONT18.3621.10046	intron	NEDD4L
chr18	11193	11288	+	ONT18.3621.10046	CDS	NEDD4L
chr18	11288	11393	+	ONT18.3621.10046	intron	NEDD4L
chr18	11393	11466	+	ONT18.3621.10046	CDS	NEDD4L
chr18	11466	11713	+	ONT18.3621.10046	intron	NEDD4L
chr18	11713	11773	+	ONT18.3621.10046	CDS	NEDD4L
chr18	11773	11884	+	ONT18.3621.10046	intron	NEDD4L
chr18	11884	11943	+	ONT18.3621.10046	CDS	NEDD4L
chr18	11943	12050	+	ONT18.3621.10046	intron	NEDD4L
chr18	12050	12157	+	ONT18.3621.10046	CDS	NEDD4L
chr18	12157	13390	+	ONT18.3621.10046	intron	NEDD4L
chr18	13390	13486	+	ONT18.3621.10046	CDS	NEDD4L
chr18	13486	13587	+	ONT18.3621.10046	intron	NEDD4L
chr18	13587	13659	+	ONT18.3621.10046	CDS	NEDD4L
chr18	13659	13764	+	ONT18.3621.10046	intron	NEDD4L
chr18	13764	13866	+	ONT18.3621.10046	CDS	NEDD4L
chr18	13867	14293	+	ONT18.3621.10046	UTR	NA
chr18	4251	4268	+	ONT18.3621.10048	UTR	NA
chr18	4268	4371	+	ONT18.3621.10048	intron	NA
chr18	4371	4547	+	ONT18.3621.10048	UTR	NA
chr18	4547	4648	+	ONT18.3621.10048	intron	NA
chr18	4648	4722	+	ONT18.3621.10048	UTR	NA
chr18	4722	7517	+	ONT18.3621.10048	intron	NA
chr18	7517	7642	+	ONT18.3621.10048	UTR	NA
chr18	7643	7648	+	ONT18.3621.10048	CDS	NEDD4L
chr18	7648	7828	+	ONT18.3621.10048	intron	NEDD4L
chr18	7828	7947	+	ONT18.3621.10048	CDS	NEDD4L
chr18	7947	8049	+	ONT18.3621.10048	intron	NEDD4L
chr18	8049	8246	+	ONT18.3621.10048	CDS	NEDD4L
chr18	8246	8348	+	ONT18.3621.10048	intron	NEDD4L
chr18	8348	8425	+	ONT18.3621.10048	CDS	NEDD4L
chr18	8425	8526	+	ONT18.3621.10048	intron	NEDD4L
chr18	8526	8580	+	ONT18.3621.10048	CDS	NEDD4L
chr18	8580	8685	+	ONT18.3621.10048	intron	NEDD4L
chr18	8685	8743	+	ONT18.3621.10048	CDS	NEDD4L
chr18	8743	9679	+	ONT18.3621.10048	intron	NEDD4L
chr18	9679	9744	+	ONT18.3621.10048	CDS	NEDD4L
chr18	9744	9849	+	ONT18.3621.10048	intron	NEDD4L
chr18	9849	10078	+	ONT18.3621.10048	CDS	NEDD4L
chr18	10078	10183	+	ONT18.3621.10048	intron	NEDD4L
chr18	10183	10304	+	ONT18.3621.10048	CDS	NEDD4L
chr18	10304	10418	+	ONT18.3621.10048	intron	NEDD4L
chr18	10418	10488	+	ONT18.3621.10048	CDS	NEDD4L
chr18	10488	11193	+	ONT18.3621.10048	intron	NEDD4L
chr18	11193	11288	+	ONT18.3621.10048	CDS	NEDD4L
chr18	11288	11393	+	ONT18.3621.10048	intron	NEDD4L
chr18	11393	11466	+	ONT18.3621.10048	CDS	NEDD4L
chr18	11466	11713	+	ONT18.3621.10048	intron	NEDD4L
chr18	11713	11773	+	ONT18.3621.10048	CDS	NEDD4L
chr18	11773	11884	+	ONT18.3621.10048	intron	NEDD4L
chr18	11884	11943	+	ONT18.3621.10048	CDS	NEDD4L
chr18	11943	12050	+	ONT18.3621.10048	intron	NEDD4L
chr18	12050	12157	+	ONT18.3621.10048	CDS	NEDD4L
chr18	12157	13390	+	ONT18.3621.10048	intron	NEDD4L
chr18	13390	13486	+	ONT18.3621.10048	CDS	NEDD4L
chr18	13486	13587	+	ONT18.3621.10048	intron	NEDD4L
chr18	13587	13659	+	ONT18.3621.10048	CDS	NEDD4L
chr18	13659	13764	+	ONT18.3621.10048	intron	NEDD4L
chr18	13764	13866	+	ONT18.3621.10048	CDS	NEDD4L
chr18	13867	15245	+	ONT18.3621.10048	UTR	NA
chr18	4220	4268	+	ONT18.3621.10054	UTR	NA
chr18	4268	4371	+	ONT18.3621.10054	intron	NA
chr18	4371	4547	+	ONT18.3621.10054	UTR	NA
chr18	4547	4648	+	ONT18.3621.10054	intron	NA
chr18	4648	4722	+	ONT18.3621.10054	UTR	NA
chr18	4722	7517	+	ONT18.3621.10054	intron	NA
chr18	7517	7642	+	ONT18.3621.10054	UTR	NA
chr18	7643	7648	+	ONT18.3621.10054	CDS	NEDD4L
chr18	7648	7828	+	ONT18.3621.10054	intron	NEDD4L
chr18	7828	7947	+	ONT18.3621.10054	CDS	NEDD4L
chr18	7947	8049	+	ONT18.3621.10054	intron	NEDD4L
chr18	8049	8246	+	ONT18.3621.10054	CDS	NEDD4L
chr18	8246	8348	+	ONT18.3621.10054	intron	NEDD4L
chr18	8348	8425	+	ONT18.3621.10054	CDS	NEDD4L
chr18	8425	8526	+	ONT18.3621.10054	intron	NEDD4L
chr18	8526	8580	+	ONT18.3621.10054	CDS	NEDD4L
chr18	8580	8685	+	ONT18.3621.10054	intron	NEDD4L
chr18	8685	8743	+	ONT18.3621.10054	CDS	NEDD4L
chr18	8743	9679	+	ONT18.3621.10054	intron	NEDD4L
chr18	9679	9744	+	ONT18.3621.10054	CDS	NEDD4L
chr18	9744	9849	+	ONT18.3621.10054	intron	NEDD4L
chr18	9849	10078	+	ONT18.3621.10054	CDS	NEDD4L
chr18	10078	10183	+	ONT18.3621.10054	intron	NEDD4L
chr18	10183	10304	+	ONT18.3621.10054	CDS	NEDD4L
chr18	10304	10418	+	ONT18.3621.10054	intron	NEDD4L
chr18	10418	10488	+	ONT18.3621.10054	CDS	NEDD4L
chr18	10488	11193	+	ONT18.3621.10054	intron	NEDD4L
chr18	11193	11288	+	ONT18.3621.10054	CDS	NEDD4L
chr18	11288	11393	+	ONT18.3621.10054	intron	NEDD4L
chr18	11393	11466	+	ONT18.3621.10054	CDS	NEDD4L
chr18	11466	11713	+	ONT18.3621.10054	intron	NEDD4L
chr18	11713	11773	+	ONT18.3621.10054	CDS	NEDD4L
chr18	11773	11884	+	ONT18.3621.10054	intron	NEDD4L
chr18	11884	11943	+	ONT18.3621.10054	CDS	NEDD4L
chr18	11943	12050	+	ONT18.3621.10054	intron	NEDD4L
chr18	12050	12157	+	ONT18.3621.10054	CDS	NEDD4L
chr18	12157	13390	+	ONT18.3621.10054	intron	NEDD4L
chr18	13390	13486	+	ONT18.3621.10054	CDS	NEDD4L
chr18	13486	13587	+	ONT18.3621.10054	intron	NEDD4L
chr18	13587	13659	+	ONT18.3621.10054	CDS	NEDD4L
chr18	13659	13764	+	ONT18.3621.10054	intron	NEDD4L
chr18	13764	13866	+	ONT18.3621.10054	CDS	NEDD4L
chr18	13867	15002	+	ONT18.3621.10054	UTR	NA
chr18	4369	4547	+	ONT18.3621.10088	UTR	NA
chr18	4547	4648	+	ONT18.3621.10088	intron	NA
chr18	4648	4722	+	ONT18.3621.10088	UTR	NA
chr18	4722	7517	+	ONT18.3621.10088	intron	NA
chr18	7517	7642	+	ONT18.3621.10088	UTR	NA
chr18	7643	7648	+	ONT18.3621.10088	CDS	NEDD4L
