seqnames	start	end	strand	transcript_id	type	gene_id
chr10	35	2068	-	ENST00000369077.4	UTR	NA
chr10	2069	2195	-	ENST00000369077.4	CDS	ENSG00000197771.13
chr10	2195	2300	-	ENST00000369077.4	intron	ENSG00000197771.13
chr10	2300	2388	-	ENST00000369077.4	CDS	ENSG00000197771.13
chr10	2388	2493	-	ENST00000369077.4	intron	ENSG00000197771.13
chr10	2493	2657	-	ENST00000369077.4	CDS	ENSG00000197771.13
chr10	2657	3114	-	ENST00000369077.4	intron	ENSG00000197771.13
chr10	3114	3247	-	ENST00000369077.4	CDS	ENSG00000197771.13
chr10	3247	3354	-	ENST00000369077.4	intron	ENSG00000197771.13
chr10	3354	3519	-	ENST00000369077.4	CDS	ENSG00000197771.13
chr10	3519	5174	-	ENST00000369077.4	intron	ENSG00000197771.13
chr10	5174	5291	-	ENST00000369077.4	CDS	ENSG00000197771.13
chr10	5291	5392	-	ENST00000369077.4	intron	ENSG00000197771.13
chr10	5392	5515	-	ENST00000369077.4	CDS	ENSG00000197771.13
chr10	5515	5622	-	ENST00000369077.4	intron	ENSG00000197771.13
chr10	5622	5794	-	ENST00000369077.4	CDS	ENSG00000197771.13
chr10	5794	5897	-	ENST00000369077.4	intron	ENSG00000197771.13
chr10	5897	5997	-	ENST00000369077.4	CDS	ENSG00000197771.13
chr10	5997	6100	-	ENST00000369077.4	intron	ENSG00000197771.13
chr10	6100	6251	-	ENST00000369077.4	CDS	ENSG00000197771.13
chr10	6251	6400	-	ENST00000369077.4	intron	ENSG00000197771.13
chr10	6400	6544	-	ENST00000369077.4	CDS	ENSG00000197771.13
chr10	6544	6657	-	ENST00000369077.4	intron	ENSG00000197771.13
chr10	6657	6758	-	ENST00000369077.4	CDS	ENSG00000197771.13
chr10	6758	6860	-	ENST00000369077.4	intron	ENSG00000197771.13
chr10	6860	6901	-	ENST00000369077.4	CDS	ENSG00000197771.13
chr10	6901	7002	-	ENST00000369077.4	intron	ENSG00000197771.13
chr10	7002	7142	-	ENST00000369077.4	CDS	ENSG00000197771.13
chr10	7142	7244	-	ENST00000369077.4	intron	ENSG00000197771.13
chr10	7244	7329	-	ENST00000369077.4	CDS	ENSG00000197771.13
chr10	7329	7633	-	ENST00000369077.4	intron	ENSG00000197771.13
chr10	7633	7693	-	ENST00000369077.4	CDS	ENSG00000197771.13
chr10	7694	7949	-	ENST00000369077.4	UTR	NA
chr10	2	2071	-	ONT10.5551.4336	UTR	NA
chr10	2072	2195	-	ONT10.5551.4336	CDS	MCMBP
chr10	2195	2300	-	ONT10.5551.4336	intron	MCMBP
chr10	2300	2388	-	ONT10.5551.4336	CDS	MCMBP
chr10	2388	2493	-	ONT10.5551.4336	intron	MCMBP
chr10	2493	2615	-	ONT10.5551.4336	CDS	MCMBP
chr10	2616	2658	-	ONT10.5551.4336	UTR	NA
chr10	52	2145	-	ONT10.5551.4338	UTR	NA
chr10	2146	2195	-	ONT10.5551.4338	CDS	MCMBP
chr10	2195	2300	-	ONT10.5551.4338	intron	MCMBP
chr10	2300	2384	-	ONT10.5551.4338	CDS	MCMBP
chr10	2384	2493	-	ONT10.5551.4338	intron	MCMBP
chr10	2493	2657	-	ONT10.5551.4338	CDS	MCMBP
chr10	2657	3114	-	ONT10.5551.4338	intron	MCMBP
chr10	3114	3176	-	ONT10.5551.4338	CDS	MCMBP
chr10	3177	3249	-	ONT10.5551.4338	UTR	NA
chr10	4	2071	-	ONT10.5551.4341	UTR	NA
chr10	2072	2195	-	ONT10.5551.4341	CDS	MCMBP
chr10	2195	2300	-	ONT10.5551.4341	intron	MCMBP
chr10	2300	2388	-	ONT10.5551.4341	CDS	MCMBP
chr10	2388	2493	-	ONT10.5551.4341	intron	MCMBP
chr10	2493	2657	-	ONT10.5551.4341	CDS	MCMBP
chr10	2657	3114	-	ONT10.5551.4341	intron	MCMBP
chr10	3114	3176	-	ONT10.5551.4341	CDS	MCMBP
chr10	3177	3247	-	ONT10.5551.4341	UTR	NA
chr10	3247	3354	-	ONT10.5551.4341	intron	NA
chr10	3354	3368	-	ONT10.5551.4341	UTR	NA
chr10	35	2071	-	ONT10.5551.4344	UTR	NA
chr10	2072	2195	-	ONT10.5551.4344	CDS	MCMBP
chr10	2195	2300	-	ONT10.5551.4344	intron	MCMBP
chr10	2300	2388	-	ONT10.5551.4344	CDS	MCMBP
chr10	2388	2493	-	ONT10.5551.4344	intron	MCMBP
chr10	2493	2657	-	ONT10.5551.4344	CDS	MCMBP
chr10	2657	3114	-	ONT10.5551.4344	intron	MCMBP
chr10	3114	3176	-	ONT10.5551.4344	CDS	MCMBP
chr10	3177	3179	-	ONT10.5551.4344	UTR	NA
chr10	51	2071	-	ONT10.5551.4373	UTR	NA
chr10	2072	2195	-	ONT10.5551.4373	CDS	MCMBP
chr10	2195	2300	-	ONT10.5551.4373	intron	MCMBP
chr10	2300	2388	-	ONT10.5551.4373	CDS	MCMBP
chr10	2388	2493	-	ONT10.5551.4373	intron	MCMBP
chr10	2493	2657	-	ONT10.5551.4373	CDS	MCMBP
chr10	2657	3114	-	ONT10.5551.4373	intron	MCMBP
chr10	3114	3247	-	ONT10.5551.4373	CDS	MCMBP
chr10	3247	3354	-	ONT10.5551.4373	intron	MCMBP
chr10	3354	3507	-	ONT10.5551.4373	CDS	MCMBP
chr10	3508	3519	-	ONT10.5551.4373	UTR	NA
