seqnames	start	end	strand	transcript_id	type	gene_id
chr10	2	5119	-	ENST00000379562.9	UTR	NA
chr10	5120	5182	-	ENST00000379562.9	CDS	ENSG00000151657.12
chr10	5182	7374	-	ENST00000379562.9	intron	ENSG00000151657.12
chr10	7374	7474	-	ENST00000379562.9	CDS	ENSG00000151657.12
chr10	7474	8670	-	ENST00000379562.9	intron	ENSG00000151657.12
chr10	8670	8769	-	ENST00000379562.9	CDS	ENSG00000151657.12
chr10	8769	8878	-	ENST00000379562.9	intron	ENSG00000151657.12
chr10	8878	8946	-	ENST00000379562.9	CDS	ENSG00000151657.12
chr10	8946	9071	-	ENST00000379562.9	intron	ENSG00000151657.12
chr10	9071	9121	-	ENST00000379562.9	CDS	ENSG00000151657.12
chr10	9121	9304	-	ENST00000379562.9	intron	ENSG00000151657.12
chr10	9304	9433	-	ENST00000379562.9	CDS	ENSG00000151657.12
chr10	9433	9980	-	ENST00000379562.9	intron	ENSG00000151657.12
chr10	9980	10040	-	ENST00000379562.9	CDS	ENSG00000151657.12
chr10	10040	10141	-	ENST00000379562.9	intron	ENSG00000151657.12
chr10	10141	10189	-	ENST00000379562.9	CDS	ENSG00000151657.12
chr10	10189	11013	-	ENST00000379562.9	intron	ENSG00000151657.12
chr10	11013	11194	-	ENST00000379562.9	CDS	ENSG00000151657.12
chr10	11194	11311	-	ENST00000379562.9	intron	ENSG00000151657.12
chr10	11311	11433	-	ENST00000379562.9	CDS	ENSG00000151657.12
chr10	11433	11519	-	ENST00000379562.9	intron	ENSG00000151657.12
chr10	11519	11562	-	ENST00000379562.9	CDS	ENSG00000151657.12
chr10	11562	11663	-	ENST00000379562.9	intron	ENSG00000151657.12
chr10	11663	11757	-	ENST00000379562.9	CDS	ENSG00000151657.12
chr10	11757	11860	-	ENST00000379562.9	intron	ENSG00000151657.12
chr10	11860	11976	-	ENST00000379562.9	CDS	ENSG00000151657.12
chr10	11977	12033	-	ENST00000379562.9	UTR	NA
chr10	7073	7310	-	ONT10.585.1004	UTR	NA
chr10	7311	7474	-	ONT10.585.1004	CDS	KIN
chr10	7474	8670	-	ONT10.585.1004	intron	KIN
chr10	8670	8769	-	ONT10.585.1004	CDS	KIN
chr10	8769	8878	-	ONT10.585.1004	intron	KIN
chr10	8878	8946	-	ONT10.585.1004	CDS	KIN
chr10	8946	9071	-	ONT10.585.1004	intron	KIN
chr10	9071	9121	-	ONT10.585.1004	CDS	KIN
chr10	9121	9304	-	ONT10.585.1004	intron	KIN
chr10	9304	9433	-	ONT10.585.1004	CDS	KIN
chr10	9433	9980	-	ONT10.585.1004	intron	KIN
chr10	9980	10040	-	ONT10.585.1004	CDS	KIN
chr10	10040	10141	-	ONT10.585.1004	intron	KIN
chr10	10141	10189	-	ONT10.585.1004	CDS	KIN
chr10	10189	11013	-	ONT10.585.1004	intron	KIN
chr10	11013	11194	-	ONT10.585.1004	CDS	KIN
chr10	11194	11311	-	ONT10.585.1004	intron	KIN
chr10	11311	11433	-	ONT10.585.1004	CDS	KIN
chr10	11433	11519	-	ONT10.585.1004	intron	KIN
chr10	11519	11562	-	ONT10.585.1004	CDS	KIN
chr10	11562	11663	-	ONT10.585.1004	intron	KIN
chr10	11663	11757	-	ONT10.585.1004	CDS	KIN
chr10	11757	11860	-	ONT10.585.1004	intron	KIN
chr10	11860	11976	-	ONT10.585.1004	CDS	KIN
chr10	11977	12026	-	ONT10.585.1004	UTR	NA
chr10	7575	8537	-	ONT10.585.1012	UTR	NA
chr10	8538	8569	-	ONT10.585.1012	CDS	KIN
chr10	8569	8670	-	ONT10.585.1012	intron	KIN
chr10	8670	8769	-	ONT10.585.1012	CDS	KIN
chr10	8769	8878	-	ONT10.585.1012	intron	KIN
