seqnames	start	end	strand	transcript_id	type	gene_id
chr3	27	107	-	ENST00000449682.3	UTR	NA
chr3	108	269	-	ENST00000449682.3	CDS	ENSG00000173531.16
chr3	269	374	-	ENST00000449682.3	intron	ENSG00000173531.16
chr3	374	513	-	ENST00000449682.3	CDS	ENSG00000173531.16
chr3	513	610	-	ENST00000449682.3	intron	ENSG00000173531.16
chr3	610	716	-	ENST00000449682.3	CDS	ENSG00000173531.16
chr3	716	798	-	ENST00000449682.3	intron	ENSG00000173531.16
chr3	798	944	-	ENST00000449682.3	CDS	ENSG00000173531.16
chr3	944	1072	-	ENST00000449682.3	intron	ENSG00000173531.16
chr3	1072	1149	-	ENST00000449682.3	CDS	ENSG00000173531.16
chr3	1149	1322	-	ENST00000449682.3	intron	ENSG00000173531.16
chr3	1322	1442	-	ENST00000449682.3	CDS	ENSG00000173531.16
chr3	1442	1531	-	ENST00000449682.3	intron	ENSG00000173531.16
chr3	1531	1566	-	ENST00000449682.3	CDS	ENSG00000173531.16
chr3	1566	1656	-	ENST00000449682.3	intron	ENSG00000173531.16
chr3	1656	1792	-	ENST00000449682.3	CDS	ENSG00000173531.16
chr3	1792	1893	-	ENST00000449682.3	intron	ENSG00000173531.16
chr3	1893	1995	-	ENST00000449682.3	CDS	ENSG00000173531.16
chr3	1995	2095	-	ENST00000449682.3	intron	ENSG00000173531.16
chr3	2095	2225	-	ENST00000449682.3	CDS	ENSG00000173531.16
chr3	2225	2346	-	ENST00000449682.3	intron	ENSG00000173531.16
chr3	2346	2514	-	ENST00000449682.3	CDS	ENSG00000173531.16
chr3	2514	2615	-	ENST00000449682.3	intron	ENSG00000173531.16
chr3	2615	2733	-	ENST00000449682.3	CDS	ENSG00000173531.16
chr3	2733	2834	-	ENST00000449682.3	intron	ENSG00000173531.16
chr3	2834	2954	-	ENST00000449682.3	CDS	ENSG00000173531.16
chr3	2954	3036	-	ENST00000449682.3	intron	ENSG00000173531.16
chr3	3036	3172	-	ENST00000449682.3	CDS	ENSG00000173531.16
chr3	3172	3251	-	ENST00000449682.3	intron	ENSG00000173531.16
chr3	3251	3365	-	ENST00000449682.3	CDS	ENSG00000173531.16
chr3	3365	3443	-	ENST00000449682.3	intron	ENSG00000173531.16
chr3	3443	3555	-	ENST00000449682.3	CDS	ENSG00000173531.16
chr3	3555	3637	-	ENST00000449682.3	intron	ENSG00000173531.16
chr3	3637	3784	-	ENST00000449682.3	CDS	ENSG00000173531.16
chr3	3784	3885	-	ENST00000449682.3	intron	ENSG00000173531.16
