seqnames	start	end	strand	transcript_id	type	gene_id
chr10	2	855	-	ENST00000585281.6	UTR	NA
chr10	856	915	-	ENST00000585281.6	CDS	ENSG00000265190.7
chr10	915	1016	-	ENST00000585281.6	intron	ENSG00000265190.7
chr10	1016	1138	-	ENST00000585281.6	CDS	ENSG00000265190.7
chr10	1138	1239	-	ENST00000585281.6	intron	ENSG00000265190.7
chr10	1239	1297	-	ENST00000585281.6	CDS	ENSG00000265190.7
chr10	1297	1398	-	ENST00000585281.6	intron	ENSG00000265190.7
chr10	1398	1493	-	ENST00000585281.6	CDS	ENSG00000265190.7
chr10	1493	1594	-	ENST00000585281.6	intron	ENSG00000265190.7
chr10	1594	1687	-	ENST00000585281.6	CDS	ENSG00000265190.7
chr10	1687	1788	-	ENST00000585281.6	intron	ENSG00000265190.7
chr10	1788	1847	-	ENST00000585281.6	CDS	ENSG00000265190.7
chr10	1847	1948	-	ENST00000585281.6	intron	ENSG00000265190.7
chr10	1948	2027	-	ENST00000585281.6	CDS	ENSG00000265190.7
chr10	2027	2128	-	ENST00000585281.6	intron	ENSG00000265190.7
chr10	2128	2218	-	ENST00000585281.6	CDS	ENSG00000265190.7
chr10	2218	2620	-	ENST00000585281.6	intron	ENSG00000265190.7
chr10	2620	2733	-	ENST00000585281.6	CDS	ENSG00000265190.7
chr10	2733	2834	-	ENST00000585281.6	intron	ENSG00000265190.7
chr10	2834	2928	-	ENST00000585281.6	CDS	ENSG00000265190.7
chr10	2928	3029	-	ENST00000585281.6	intron	ENSG00000265190.7
chr10	3029	3119	-	ENST00000585281.6	CDS	ENSG00000265190.7
chr10	3119	3220	-	ENST00000585281.6	intron	ENSG00000265190.7
chr10	3220	3243	-	ENST00000585281.6	CDS	ENSG00000265190.7
chr10	3244	3422	-	ENST00000585281.6	UTR	NA
chr10	7	858	-	ONT10.2096.85	UTR	NA
chr10	859	915	-	ONT10.2096.85	CDS	ANXA8
chr10	915	1016	-	ONT10.2096.85	intron	ANXA8
chr10	1016	1138	-	ONT10.2096.85	CDS	ANXA8
chr10	1138	1239	-	ONT10.2096.85	intron	ANXA8
chr10	1239	1297	-	ONT10.2096.85	CDS	ANXA8
chr10	1297	1398	-	ONT10.2096.85	intron	ANXA8
chr10	1398	1493	-	ONT10.2096.85	CDS	ANXA8
chr10	1493	1594	-	ONT10.2096.85	intron	ANXA8
chr10	1594	1648	-	ONT10.2096.85	CDS	ANXA8
chr10	1649	1687	-	ONT10.2096.85	UTR	NA
chr10	1687	1788	-	ONT10.2096.85	intron	NA
chr10	1788	1842	-	ONT10.2096.85	UTR	NA
chr10	1842	2128	-	ONT10.2096.85	intron	NA
chr10	2128	2306	-	ONT10.2096.85	UTR	NA
chr10	8	858	-	ONT10.2096.86	UTR	NA
chr10	859	915	-	ONT10.2096.86	CDS	ANXA8
chr10	915	1016	-	ONT10.2096.86	intron	ANXA8
chr10	1016	1138	-	ONT10.2096.86	CDS	ANXA8
chr10	1138	1239	-	ONT10.2096.86	intron	ANXA8
chr10	1239	1297	-	ONT10.2096.86	CDS	ANXA8
chr10	1297	1398	-	ONT10.2096.86	intron	ANXA8
chr10	1398	1493	-	ONT10.2096.86	CDS	ANXA8
chr10	1493	1594	-	ONT10.2096.86	intron	ANXA8
chr10	1594	1687	-	ONT10.2096.86	CDS	ANXA8
chr10	1687	1788	-	ONT10.2096.86	intron	ANXA8
chr10	1788	1847	-	ONT10.2096.86	CDS	ANXA8
chr10	1847	2128	-	ONT10.2096.86	intron	ANXA8
chr10	2128	2139	-	ONT10.2096.86	CDS	ANXA8
chr10	2140	2494	-	ONT10.2096.86	UTR	NA
chr10	8	858	-	ONT10.2096.93	UTR	NA
chr10	859	915	-	ONT10.2096.93	CDS	ANXA8
chr10	915	1016	-	ONT10.2096.93	intron	ANXA8
chr10	1016	1138	-	ONT10.2096.93	CDS	ANXA8
chr10	1138	1239	-	ONT10.2096.93	intron	ANXA8
chr10	1239	1297	-	ONT10.2096.93	CDS	ANXA8
chr10	1297	1398	-	ONT10.2096.93	intron	ANXA8
chr10	1398	1493	-	ONT10.2096.93	CDS	ANXA8
chr10	1493	1594	-	ONT10.2096.93	intron	ANXA8
chr10	1594	1687	-	ONT10.2096.93	CDS	ANXA8
chr10	1687	1788	-	ONT10.2096.93	intron	ANXA8
chr10	1788	1847	-	ONT10.2096.93	CDS	ANXA8
