seqnames	start	end	strand	transcript_id	type	gene_id
chr20	29	173	+	ENST00000371621.5	UTR	NA
chr20	174	236	+	ENST00000371621.5	CDS	ENSG00000196396.10
chr20	236	337	+	ENST00000371621.5	intron	ENSG00000196396.10
chr20	337	427	+	ENST00000371621.5	CDS	ENSG00000196396.10
chr20	427	532	+	ENST00000371621.5	intron	ENSG00000196396.10
chr20	532	632	+	ENST00000371621.5	CDS	ENSG00000196396.10
chr20	632	733	+	ENST00000371621.5	intron	ENSG00000196396.10
chr20	733	831	+	ENST00000371621.5	CDS	ENSG00000196396.10
chr20	831	932	+	ENST00000371621.5	intron	ENSG00000196396.10
chr20	932	1069	+	ENST00000371621.5	CDS	ENSG00000196396.10
chr20	1069	3600	+	ENST00000371621.5	intron	ENSG00000196396.10
chr20	3600	3809	+	ENST00000371621.5	CDS	ENSG00000196396.10
chr20	3809	4348	+	ENST00000371621.5	intron	ENSG00000196396.10
chr20	4348	4509	+	ENST00000371621.5	CDS	ENSG00000196396.10
chr20	4509	4617	+	ENST00000371621.5	intron	ENSG00000196396.10
chr20	4617	4840	+	ENST00000371621.5	CDS	ENSG00000196396.10
chr20	4840	6179	+	ENST00000371621.5	intron	ENSG00000196396.10
chr20	6179	6374	+	ENST00000371621.5	CDS	ENSG00000196396.10
chr20	6374	7606	+	ENST00000371621.5	intron	ENSG00000196396.10
chr20	7606	7632	+	ENST00000371621.5	CDS	ENSG00000196396.10
chr20	7633	10155	+	ENST00000371621.5	UTR	NA
chr20	532	596	+	ONT20.2508.1030	UTR	NA
chr20	597	632	+	ONT20.2508.1030	CDS	PTPN1
chr20	632	733	+	ONT20.2508.1030	intron	PTPN1
chr20	733	831	+	ONT20.2508.1030	CDS	PTPN1
chr20	831	932	+	ONT20.2508.1030	intron	PTPN1
chr20	932	1069	+	ONT20.2508.1030	CDS	PTPN1
chr20	1069	3600	+	ONT20.2508.1030	intron	PTPN1
chr20	3600	3809	+	ONT20.2508.1030	CDS	PTPN1
chr20	3809	4348	+	ONT20.2508.1030	intron	PTPN1
chr20	4348	4509	+	ONT20.2508.1030	CDS	PTPN1
chr20	4509	4617	+	ONT20.2508.1030	intron	PTPN1
chr20	4617	4840	+	ONT20.2508.1030	CDS	PTPN1
chr20	4840	6179	+	ONT20.2508.1030	intron	PTPN1
chr20	6179	6374	+	ONT20.2508.1030	CDS	PTPN1
chr20	6374	7606	+	ONT20.2508.1030	intron	PTPN1
chr20	7606	7629	+	ONT20.2508.1030	CDS	PTPN1
chr20	7630	9482	+	ONT20.2508.1030	UTR	NA
chr20	941	973	+	ONT20.2508.1103	UTR	NA
chr20	974	1069	+	ONT20.2508.1103	CDS	PTPN1
chr20	1069	3600	+	ONT20.2508.1103	intron	PTPN1
chr20	3600	3809	+	ONT20.2508.1103	CDS	PTPN1
chr20	3809	4348	+	ONT20.2508.1103	intron	PTPN1
chr20	4348	4509	+	ONT20.2508.1103	CDS	PTPN1
chr20	4509	4617	+	ONT20.2508.1103	intron	PTPN1
chr20	4617	4840	+	ONT20.2508.1103	CDS	PTPN1
chr20	4840	6179	+	ONT20.2508.1103	intron	PTPN1
chr20	6179	6374	+	ONT20.2508.1103	CDS	PTPN1
chr20	6374	7606	+	ONT20.2508.1103	intron	PTPN1
chr20	7606	7629	+	ONT20.2508.1103	CDS	PTPN1
chr20	7630	9484	+	ONT20.2508.1103	UTR	NA
chr20	1013	1069	+	ONT20.2508.1112	UTR	NA
chr20	1069	3600	+	ONT20.2508.1112	intron	NA
chr20	3600	3809	+	ONT20.2508.1112	UTR	NA
chr20	3809	4348	+	ONT20.2508.1112	intron	PTPN1
chr20	4348	4509	+	ONT20.2508.1112	CDS	PTPN1
chr20	4509	4617	+	ONT20.2508.1112	intron	PTPN1
chr20	4617	4840	+	ONT20.2508.1112	CDS	PTPN1
chr20	4840	6179	+	ONT20.2508.1112	intron	PTPN1
chr20	6179	6374	+	ONT20.2508.1112	CDS	PTPN1
chr20	6374	7606	+	ONT20.2508.1112	intron	PTPN1
chr20	7606	7629	+	ONT20.2508.1112	CDS	PTPN1
chr20	7630	9484	+	ONT20.2508.1112	UTR	NA
chr20	3237	4347	+	ONT20.2508.1158	UTR	NA
chr20	4348	4509	+	ONT20.2508.1158	CDS	PTPN1
chr20	4509	4617	+	ONT20.2508.1158	intron	PTPN1
chr20	4617	4840	+	ONT20.2508.1158	CDS	PTPN1
chr20	4840	6179	+	ONT20.2508.1158	intron	PTPN1
chr20	6179	6389	+	ONT20.2508.1158	CDS	PTPN1
chr20	6390	9480	+	ONT20.2508.1158	UTR	NA
chr20	3600	3809	+	ONT20.2508.1163	UTR	NA
chr20	3809	4348	+	ONT20.2508.1163	intron	PTPN1
chr20	4348	4509	+	ONT20.2508.1163	CDS	PTPN1
chr20	4509	4617	+	ONT20.2508.1163	intron	PTPN1
chr20	4617	4840	+	ONT20.2508.1163	CDS	PTPN1
chr20	4840	6179	+	ONT20.2508.1163	intron	PTPN1
chr20	6179	6389	+	ONT20.2508.1163	CDS	PTPN1
chr20	6390	6734	+	ONT20.2508.1163	UTR	NA
chr20	3665	3809	+	ONT20.2508.1167	UTR	NA
chr20	3809	4348	+	ONT20.2508.1167	intron	PTPN1
chr20	4348	4509	+	ONT20.2508.1167	CDS	PTPN1
chr20	4509	4617	+	ONT20.2508.1167	intron	PTPN1
chr20	4617	4840	+	ONT20.2508.1167	CDS	PTPN1
chr20	4840	6179	+	ONT20.2508.1167	intron	PTPN1
chr20	6179	6374	+	ONT20.2508.1167	CDS	PTPN1
chr20	6374	7606	+	ONT20.2508.1167	intron	PTPN1
chr20	7606	7629	+	ONT20.2508.1167	CDS	PTPN1
chr20	7630	9499	+	ONT20.2508.1167	UTR	NA
chr20	3732	3809	+	ONT20.2508.1171	UTR	NA
chr20	3809	4348	+	ONT20.2508.1171	intron	PTPN1
chr20	4348	4509	+	ONT20.2508.1171	CDS	PTPN1
chr20	4509	4617	+	ONT20.2508.1171	intron	PTPN1
chr20	4617	4840	+	ONT20.2508.1171	CDS	PTPN1
chr20	4840	6179	+	ONT20.2508.1171	intron	PTPN1
chr20	6179	6374	+	ONT20.2508.1171	CDS	PTPN1
chr20	6374	7606	+	ONT20.2508.1171	intron	PTPN1
chr20	7606	7629	+	ONT20.2508.1171	CDS	PTPN1
chr20	7630	9484	+	ONT20.2508.1171	UTR	NA
chr20	3769	3809	+	ONT20.2508.1176	UTR	NA
chr20	3809	4348	+	ONT20.2508.1176	intron	PTPN1
chr20	4348	4509	+	ONT20.2508.1176	CDS	PTPN1
chr20	4509	4617	+	ONT20.2508.1176	intron	PTPN1
chr20	4617	4840	+	ONT20.2508.1176	CDS	PTPN1
chr20	4840	6179	+	ONT20.2508.1176	intron	PTPN1
chr20	6179	6389	+	ONT20.2508.1176	CDS	PTPN1
chr20	6390	9484	+	ONT20.2508.1176	UTR	NA
chr20	4358	4401	+	ONT20.2508.1187	UTR	NA
chr20	4402	4509	+	ONT20.2508.1187	CDS	PTPN1
chr20	4509	4617	+	ONT20.2508.1187	intron	PTPN1
chr20	4617	4840	+	ONT20.2508.1187	CDS	PTPN1
chr20	4840	6179	+	ONT20.2508.1187	intron	PTPN1
chr20	6179	6374	+	ONT20.2508.1187	CDS	PTPN1
chr20	6374	7606	+	ONT20.2508.1187	intron	PTPN1
chr20	7606	7629	+	ONT20.2508.1187	CDS	PTPN1
chr20	7630	9484	+	ONT20.2508.1187	UTR	NA
chr20	4761	4840	+	ONT20.2508.1210	UTR	NA
chr20	4840	6179	+	ONT20.2508.1210	intron	NA
chr20	6179	6179	+	ONT20.2508.1210	UTR	NA
chr20	6180	6374	+	ONT20.2508.1210	CDS	PTPN1
chr20	6374	7606	+	ONT20.2508.1210	intron	PTPN1
chr20	7606	7629	+	ONT20.2508.1210	CDS	PTPN1
chr20	7630	9495	+	ONT20.2508.1210	UTR	NA
chr20	6177	6179	+	ONT20.2508.1233	UTR	NA
chr20	6180	6374	+	ONT20.2508.1233	CDS	PTPN1
chr20	6374	7606	+	ONT20.2508.1233	intron	PTPN1
chr20	7606	7629	+	ONT20.2508.1233	CDS	PTPN1
chr20	7630	9480	+	ONT20.2508.1233	UTR	NA
chr20	6177	6179	+	ONT20.2508.1234	UTR	NA
chr20	6180	6374	+	ONT20.2508.1234	CDS	PTPN1
chr20	6374	7606	+	ONT20.2508.1234	intron	PTPN1
chr20	7606	7629	+	ONT20.2508.1234	CDS	PTPN1
chr20	7630	9676	+	ONT20.2508.1234	UTR	NA
chr20	26	173	+	ONT20.2508.368	UTR	NA
chr20	174	236	+	ONT20.2508.368	CDS	PTPN1
chr20	236	337	+	ONT20.2508.368	intron	PTPN1
chr20	337	427	+	ONT20.2508.368	CDS	PTPN1
chr20	427	532	+	ONT20.2508.368	intron	PTPN1
chr20	532	632	+	ONT20.2508.368	CDS	PTPN1
chr20	632	733	+	ONT20.2508.368	intron	PTPN1
chr20	733	831	+	ONT20.2508.368	CDS	PTPN1
chr20	831	932	+	ONT20.2508.368	intron	PTPN1
chr20	932	1069	+	ONT20.2508.368	CDS	PTPN1
