seqnames	start	end	strand	transcript_id	type	gene_id
chr19	5	1078	-	ENST00000221665.5	UTR	NA
chr19	1079	2275	-	ENST00000221665.5	CDS	ENSG00000179943.8
chr19	2275	2376	-	ENST00000221665.5	intron	ENSG00000179943.8
chr19	2376	2672	-	ENST00000221665.5	CDS	ENSG00000179943.8
chr19	2673	2705	-	ENST00000221665.5	UTR	NA
chr19	2705	2806	-	ENST00000221665.5	intron	NA
chr19	2806	2849	-	ENST00000221665.5	UTR	NA
chr19	2	1081	-	ONT19.736.7029	UTR	NA
chr19	1082	2275	-	ONT19.736.7029	CDS	FIZ1
chr19	2275	2376	-	ONT19.736.7029	intron	FIZ1
chr19	2376	2672	-	ONT19.736.7029	CDS	FIZ1
chr19	2673	2693	-	ONT19.736.7029	UTR	NA
chr19	5	1081	-	ONT19.736.7047	UTR	NA
chr19	1082	1382	-	ONT19.736.7047	CDS	FIZ1
chr19	1382	2808	-	ONT19.736.7047	intron	FIZ1
chr19	2808	2830	-	ONT19.736.7047	CDS	FIZ1
chr19	2831	2871	-	ONT19.736.7047	UTR	NA
chr19	8	1081	-	ONT19.736.7053	UTR	NA
chr19	1082	1344	-	ONT19.736.7053	CDS	FIZ1
chr19	1344	2588	-	ONT19.736.7053	intron	FIZ1
chr19	2588	2672	-	ONT19.736.7053	CDS	FIZ1
chr19	2673	2705	-	ONT19.736.7053	UTR	NA
chr19	2705	2806	-	ONT19.736.7053	intron	NA
chr19	2806	2834	-	ONT19.736.7053	UTR	NA
chr19	5	2275	-	ENST00000221665.5	exon	ENSG00000179943.8
chr19	2275	2376	-	ENST00000221665.5	intron	ENSG00000179943.8
chr19	2376	2705	-	ENST00000221665.5	exon	ENSG00000179943.8
chr19	2705	2806	-	ENST00000221665.5	intron	NA
chr19	2806	2849	-	ENST00000221665.5	exon	ENSG00000179943.8
chr19	2	2275	-	ONT19.736.7029	exon	FIZ1
chr19	2275	2376	-	ONT19.736.7029	intron	FIZ1
chr19	2376	2693	-	ONT19.736.7029	exon	FIZ1
chr19	5	2275	-	ONT19.736.7042	exon	FIZ1
chr19	2276	2486	-	ONT19.736.7042	exon	FIZ1
chr19	5	1382	-	ONT19.736.7047	exon	FIZ1
chr19	1382	2808	-	ONT19.736.7047	intron	FIZ1
chr19	2808	2871	-	ONT19.736.7047	exon	FIZ1
chr19	8	1344	-	ONT19.736.7053	exon	FIZ1
chr19	1344	2588	-	ONT19.736.7053	intron	FIZ1
chr19	2588	2705	-	ONT19.736.7053	exon	FIZ1
chr19	2705	2806	-	ONT19.736.7053	intron	NA
chr19	2806	2834	-	ONT19.736.7053	exon	FIZ1
