seqnames	start	end	strand	transcript_id	type	gene_id
chr9	32	70	+	ENST00000374183.5	UTR	NA
chr9	71	271	+	ENST00000374183.5	CDS	ENSG00000119411.11
chr9	271	377	+	ENST00000374183.5	intron	ENSG00000119411.11
chr9	377	475	+	ENST00000374183.5	CDS	ENSG00000119411.11
chr9	475	576	+	ENST00000374183.5	intron	ENSG00000119411.11
chr9	576	806	+	ENST00000374183.5	CDS	ENSG00000119411.11
chr9	806	1762	+	ENST00000374183.5	intron	ENSG00000119411.11
chr9	1762	1787	+	ENST00000374183.5	CDS	ENSG00000119411.11
chr9	1787	1905	+	ENST00000374183.5	intron	ENSG00000119411.11
chr9	1905	2029	+	ENST00000374183.5	CDS	ENSG00000119411.11
chr9	2029	2140	+	ENST00000374183.5	intron	ENSG00000119411.11
chr9	2140	2669	+	ENST00000374183.5	CDS	ENSG00000119411.11
chr9	2670	3746	+	ENST00000374183.5	UTR	NA
chr9	2	70	+	ONT9.4276.31000	UTR	NA
chr9	71	271	+	ONT9.4276.31000	CDS	BSPRY
chr9	271	377	+	ONT9.4276.31000	intron	BSPRY
chr9	377	475	+	ONT9.4276.31000	CDS	BSPRY
chr9	475	576	+	ONT9.4276.31000	intron	BSPRY
chr9	576	806	+	ONT9.4276.31000	CDS	BSPRY
chr9	806	1762	+	ONT9.4276.31000	intron	BSPRY
chr9	1762	1787	+	ONT9.4276.31000	CDS	BSPRY
chr9	1787	1905	+	ONT9.4276.31000	intron	BSPRY
chr9	1905	2029	+	ONT9.4276.31000	CDS	BSPRY
chr9	2029	2140	+	ONT9.4276.31000	intron	BSPRY
chr9	2140	2666	+	ONT9.4276.31000	CDS	BSPRY
chr9	2667	3746	+	ONT9.4276.31000	UTR	NA
chr9	70	70	+	ONT9.4276.31005	UTR	NA
chr9	71	271	+	ONT9.4276.31005	CDS	BSPRY
chr9	271	377	+	ONT9.4276.31005	intron	BSPRY
chr9	377	475	+	ONT9.4276.31005	CDS	BSPRY
chr9	475	576	+	ONT9.4276.31005	intron	BSPRY
chr9	576	806	+	ONT9.4276.31005	CDS	BSPRY
chr9	806	1762	+	ONT9.4276.31005	intron	BSPRY
chr9	1762	1787	+	ONT9.4276.31005	CDS	BSPRY
chr9	1787	1905	+	ONT9.4276.31005	intron	BSPRY
chr9	1905	2029	+	ONT9.4276.31005	CDS	BSPRY
chr9	2029	2140	+	ONT9.4276.31005	intron	BSPRY
chr9	2140	2666	+	ONT9.4276.31005	CDS	BSPRY
chr9	2667	3757	+	ONT9.4276.31005	UTR	NA
chr9	103	271	+	ONT9.4276.31006	UTR	NA
chr9	271	377	+	ONT9.4276.31006	intron	NA
chr9	377	475	+	ONT9.4276.31006	UTR	NA
chr9	475	576	+	ONT9.4276.31006	intron	NA
chr9	576	578	+	ONT9.4276.31006	UTR	NA
chr9	579	806	+	ONT9.4276.31006	CDS	BSPRY
chr9	806	1762	+	ONT9.4276.31006	intron	BSPRY
