seqnames	start	end	strand	transcript_id	type	gene_id
chr9	37	75	+	ENST00000343053.6	UTR	NA
chr9	76	321	+	ENST00000343053.6	CDS	ENSG00000188986.9
chr9	321	617	+	ENST00000343053.6	intron	ENSG00000188986.9
chr9	617	780	+	ENST00000343053.6	CDS	ENSG00000188986.9
chr9	780	1039	+	ENST00000343053.6	intron	ENSG00000188986.9
chr9	1039	1138	+	ENST00000343053.6	CDS	ENSG00000188986.9
chr9	1138	1256	+	ENST00000343053.6	intron	ENSG00000188986.9
chr9	1256	1486	+	ENST00000343053.6	CDS	ENSG00000188986.9
chr9	1486	1602	+	ENST00000343053.6	intron	ENSG00000188986.9
chr9	1602	1787	+	ENST00000343053.6	CDS	ENSG00000188986.9
chr9	1787	1890	+	ENST00000343053.6	intron	ENSG00000188986.9
chr9	1890	2002	+	ENST00000343053.6	CDS	ENSG00000188986.9
chr9	2002	2103	+	ENST00000343053.6	intron	ENSG00000188986.9
chr9	2103	2205	+	ENST00000343053.6	CDS	ENSG00000188986.9
chr9	2205	2313	+	ENST00000343053.6	intron	ENSG00000188986.9
chr9	2313	2408	+	ENST00000343053.6	CDS	ENSG00000188986.9
chr9	2408	2509	+	ENST00000343053.6	intron	ENSG00000188986.9
chr9	2509	2651	+	ENST00000343053.6	CDS	ENSG00000188986.9
chr9	2651	2752	+	ENST00000343053.6	intron	ENSG00000188986.9
chr9	2752	2858	+	ENST00000343053.6	CDS	ENSG00000188986.9
chr9	2858	3340	+	ENST00000343053.6	intron	ENSG00000188986.9
chr9	3340	3481	+	ENST00000343053.6	CDS	ENSG00000188986.9
chr9	3481	3666	+	ENST00000343053.6	intron	ENSG00000188986.9
chr9	3666	3774	+	ENST00000343053.6	CDS	ENSG00000188986.9
chr9	3774	3941	+	ENST00000343053.6	intron	ENSG00000188986.9
chr9	3941	4090	+	ENST00000343053.6	CDS	ENSG00000188986.9
chr9	4091	4701	+	ENST00000343053.6	UTR	NA
chr9	36	219	+	ONT9.5276.16799	UTR	NA
chr9	220	321	+	ONT9.5276.16799	CDS	NELFB
chr9	321	617	+	ONT9.5276.16799	intron	NELFB
chr9	617	780	+	ONT9.5276.16799	CDS	NELFB
chr9	780	1039	+	ONT9.5276.16799	intron	NELFB
chr9	1039	1138	+	ONT9.5276.16799	CDS	NELFB
chr9	1138	1256	+	ONT9.5276.16799	intron	NELFB
chr9	1256	1486	+	ONT9.5276.16799	CDS	NELFB
chr9	1486	1602	+	ONT9.5276.16799	intron	NELFB
chr9	1602	1787	+	ONT9.5276.16799	CDS	NELFB
chr9	1787	1890	+	ONT9.5276.16799	intron	NELFB
chr9	1890	2002	+	ONT9.5276.16799	CDS	NELFB
chr9	2002	2103	+	ONT9.5276.16799	intron	NELFB
chr9	2103	2205	+	ONT9.5276.16799	CDS	NELFB
chr9	2205	2313	+	ONT9.5276.16799	intron	NELFB
chr9	2313	2408	+	ONT9.5276.16799	CDS	NELFB
chr9	2408	2509	+	ONT9.5276.16799	intron	NELFB
chr9	2509	2651	+	ONT9.5276.16799	CDS	NELFB
chr9	2651	2752	+	ONT9.5276.16799	intron	NELFB
chr9	2752	2858	+	ONT9.5276.16799	CDS	NELFB
chr9	2858	3340	+	ONT9.5276.16799	intron	NELFB
chr9	3340	3481	+	ONT9.5276.16799	CDS	NELFB
chr9	3481	3666	+	ONT9.5276.16799	intron	NELFB
chr9	3666	3774	+	ONT9.5276.16799	CDS	NELFB
chr9	3774	3941	+	ONT9.5276.16799	intron	NELFB
chr9	3941	4087	+	ONT9.5276.16799	CDS	NELFB
chr9	4088	4701	+	ONT9.5276.16799	UTR	NA
chr9	2	219	+	ONT9.5276.16802	UTR	NA
chr9	220	321	+	ONT9.5276.16802	CDS	NELFB
chr9	321	617	+	ONT9.5276.16802	intron	NELFB
chr9	617	780	+	ONT9.5276.16802	CDS	NELFB
chr9	780	1039	+	ONT9.5276.16802	intron	NELFB
chr9	1039	1138	+	ONT9.5276.16802	CDS	NELFB
chr9	1138	1256	+	ONT9.5276.16802	intron	NELFB
chr9	1256	1486	+	ONT9.5276.16802	CDS	NELFB
chr9	1486	1602	+	ONT9.5276.16802	intron	NELFB
chr9	1602	1787	+	ONT9.5276.16802	CDS	NELFB
chr9	1787	1890	+	ONT9.5276.16802	intron	NELFB
chr9	1890	1994	+	ONT9.5276.16802	CDS	NELFB
chr9	1994	2103	+	ONT9.5276.16802	intron	NELFB
chr9	2103	2126	+	ONT9.5276.16802	CDS	NELFB
chr9	2127	2205	+	ONT9.5276.16802	UTR	NA
chr9	2205	2313	+	ONT9.5276.16802	intron	NA
chr9	2313	2408	+	ONT9.5276.16802	UTR	NA
chr9	2408	2509	+	ONT9.5276.16802	intron	NA
chr9	2509	2651	+	ONT9.5276.16802	UTR	NA
chr9	2651	2752	+	ONT9.5276.16802	intron	NA
chr9	2752	2858	+	ONT9.5276.16802	UTR	NA
chr9	2858	3340	+	ONT9.5276.16802	intron	NA
chr9	3340	3481	+	ONT9.5276.16802	UTR	NA
chr9	3481	3666	+	ONT9.5276.16802	intron	NA
chr9	3666	3774	+	ONT9.5276.16802	UTR	NA
chr9	3774	3941	+	ONT9.5276.16802	intron	NA
chr9	3941	4701	+	ONT9.5276.16802	UTR	NA
chr9	7	219	+	ONT9.5276.16803	UTR	NA
chr9	220	321	+	ONT9.5276.16803	CDS	NELFB
chr9	321	617	+	ONT9.5276.16803	intron	NELFB
chr9	617	910	+	ONT9.5276.16803	CDS	NELFB
chr9	911	1138	+	ONT9.5276.16803	UTR	NA
chr9	1138	1256	+	ONT9.5276.16803	intron	NA
chr9	1256	1486	+	ONT9.5276.16803	UTR	NA
chr9	1486	1602	+	ONT9.5276.16803	intron	NA
chr9	1602	1787	+	ONT9.5276.16803	UTR	NA
chr9	1787	1890	+	ONT9.5276.16803	intron	NA
chr9	1890	2002	+	ONT9.5276.16803	UTR	NA
chr9	2002	2103	+	ONT9.5276.16803	intron	NA
chr9	2103	2205	+	ONT9.5276.16803	UTR	NA
chr9	2205	2313	+	ONT9.5276.16803	intron	NA
chr9	2313	2408	+	ONT9.5276.16803	UTR	NA
chr9	2408	2509	+	ONT9.5276.16803	intron	NA
chr9	2509	2651	+	ONT9.5276.16803	UTR	NA
chr9	2651	2752	+	ONT9.5276.16803	intron	NA
chr9	2752	2858	+	ONT9.5276.16803	UTR	NA
chr9	2858	3340	+	ONT9.5276.16803	intron	NA
chr9	3340	3481	+	ONT9.5276.16803	UTR	NA
chr9	3481	3666	+	ONT9.5276.16803	intron	NA
chr9	3666	3774	+	ONT9.5276.16803	UTR	NA
chr9	3774	3941	+	ONT9.5276.16803	intron	NA
chr9	3941	4705	+	ONT9.5276.16803	UTR	NA
chr9	7	219	+	ONT9.5276.16805	UTR	NA
chr9	220	321	+	ONT9.5276.16805	CDS	NELFB
chr9	321	617	+	ONT9.5276.16805	intron	NELFB
chr9	617	780	+	ONT9.5276.16805	CDS	NELFB
chr9	780	2602	+	ONT9.5276.16805	intron	NELFB
chr9	2602	2651	+	ONT9.5276.16805	CDS	NELFB
chr9	2651	2752	+	ONT9.5276.16805	intron	NELFB
chr9	2752	2858	+	ONT9.5276.16805	CDS	NELFB
chr9	2858	3340	+	ONT9.5276.16805	intron	NELFB
chr9	3340	3481	+	ONT9.5276.16805	CDS	NELFB
chr9	3481	3666	+	ONT9.5276.16805	intron	NELFB
chr9	3666	3774	+	ONT9.5276.16805	CDS	NELFB
chr9	3774	3941	+	ONT9.5276.16805	intron	NELFB
chr9	3941	3956	+	ONT9.5276.16805	CDS	NELFB
chr9	3957	4698	+	ONT9.5276.16805	UTR	NA
chr9	38	56	+	ONT9.5276.16811	UTR	NA
chr9	56	1308	+	ONT9.5276.16811	intron	NA
chr9	1308	1486	+	ONT9.5276.16811	UTR	NA
chr9	1486	1602	+	ONT9.5276.16811	intron	NA
chr9	1602	1622	+	ONT9.5276.16811	UTR	NA
chr9	1623	1787	+	ONT9.5276.16811	CDS	NELFB
chr9	1787	1890	+	ONT9.5276.16811	intron	NELFB
chr9	1890	2002	+	ONT9.5276.16811	CDS	NELFB
chr9	2002	2103	+	ONT9.5276.16811	intron	NELFB
chr9	2103	2205	+	ONT9.5276.16811	CDS	NELFB
chr9	2205	2313	+	ONT9.5276.16811	intron	NELFB
chr9	2313	2408	+	ONT9.5276.16811	CDS	NELFB
chr9	2408	2509	+	ONT9.5276.16811	intron	NELFB
