seqnames	start	end	strand	transcript_id	type	gene_id
chr11	2	193	+	ENST00000683400.1	UTR	NA
chr11	194	275	+	ENST00000683400.1	CDS	ENSG00000182667.15
chr11	275	1121	+	ENST00000683400.1	intron	ENSG00000182667.15
chr11	1121	1205	+	ENST00000683400.1	CDS	ENSG00000182667.15
chr11	1205	4556	+	ENST00000683400.1	intron	ENSG00000182667.15
chr11	4556	4788	+	ENST00000683400.1	CDS	ENSG00000182667.15
chr11	4788	5337	+	ENST00000683400.1	intron	ENSG00000182667.15
chr11	5337	5462	+	ENST00000683400.1	CDS	ENSG00000182667.15
chr11	5462	6648	+	ENST00000683400.1	intron	ENSG00000182667.15
chr11	6648	6782	+	ENST00000683400.1	CDS	ENSG00000182667.15
chr11	6782	7426	+	ENST00000683400.1	intron	ENSG00000182667.15
chr11	7426	7546	+	ENST00000683400.1	CDS	ENSG00000182667.15
chr11	7546	8249	+	ENST00000683400.1	intron	ENSG00000182667.15
chr11	8249	8400	+	ENST00000683400.1	CDS	ENSG00000182667.15
chr11	8400	8641	+	ENST00000683400.1	intron	ENSG00000182667.15
chr11	8641	8673	+	ENST00000683400.1	CDS	ENSG00000182667.15
chr11	8673	8909	+	ENST00000683400.1	intron	ENSG00000182667.15
chr11	8909	9012	+	ENST00000683400.1	CDS	ENSG00000182667.15
chr11	9013	10685	+	ENST00000683400.1	UTR	NA
chr11	4552	4788	+	ONT11.6079.10025	UTR	NA
chr11	4788	5337	+	ONT11.6079.10025	intron	NA
chr11	5337	5462	+	ONT11.6079.10025	UTR	NA
chr11	5462	6648	+	ONT11.6079.10025	intron	NA
chr11	6648	6782	+	ONT11.6079.10025	UTR	NA
chr11	6782	7426	+	ONT11.6079.10025	intron	NA
chr11	7426	7536	+	ONT11.6079.10025	UTR	NA
chr11	7537	7546	+	ONT11.6079.10025	CDS	NTM
chr11	7546	8027	+	ONT11.6079.10025	intron	NTM
chr11	8027	8144	+	ONT11.6079.10025	CDS	NTM
chr11	8144	8249	+	ONT11.6079.10025	intron	NTM
chr11	8249	8400	+	ONT11.6079.10025	CDS	NTM
chr11	8400	8909	+	ONT11.6079.10025	intron	NTM
chr11	8909	9009	+	ONT11.6079.10025	CDS	NTM
chr11	9010	10680	+	ONT11.6079.10025	UTR	NA
chr11	4552	4788	+	ONT11.6079.10049	UTR	NA
chr11	4788	5337	+	ONT11.6079.10049	intron	NA
chr11	5337	5378	+	ONT11.6079.10049	UTR	NA
chr11	5379	5384	+	ONT11.6079.10049	CDS	NTM
chr11	5384	5396	+	ONT11.6079.10049	intron	NTM
chr11	5396	5462	+	ONT11.6079.10049	CDS	NTM
chr11	5462	6648	+	ONT11.6079.10049	intron	NTM
chr11	6648	6782	+	ONT11.6079.10049	CDS	NTM
chr11	6782	7426	+	ONT11.6079.10049	intron	NTM
chr11	7426	7546	+	ONT11.6079.10049	CDS	NTM
chr11	7546	8249	+	ONT11.6079.10049	intron	NTM
chr11	8249	8400	+	ONT11.6079.10049	CDS	NTM
chr11	8400	8909	+	ONT11.6079.10049	intron	NTM
chr11	8909	9009	+	ONT11.6079.10049	CDS	NTM
chr11	9010	10684	+	ONT11.6079.10049	UTR	NA
chr11	4552	4704	+	ONT11.6079.10062	UTR	NA
chr11	4705	4792	+	ONT11.6079.10062	CDS	NTM
chr11	4792	5337	+	ONT11.6079.10062	intron	NTM
chr11	5337	5462	+	ONT11.6079.10062	CDS	NTM
chr11	5462	6648	+	ONT11.6079.10062	intron	NTM
chr11	6648	6782	+	ONT11.6079.10062	CDS	NTM
chr11	6782	7426	+	ONT11.6079.10062	intron	NTM
chr11	7426	7546	+	ONT11.6079.10062	CDS	NTM
chr11	7546	8249	+	ONT11.6079.10062	intron	NTM
chr11	8249	8400	+	ONT11.6079.10062	CDS	NTM
chr11	8400	8909	+	ONT11.6079.10062	intron	NTM
chr11	8909	9009	+	ONT11.6079.10062	CDS	NTM
chr11	9010	9128	+	ONT11.6079.10062	UTR	NA
chr11	9128	9179	+	ONT11.6079.10062	intron	NA
chr11	9179	10685	+	ONT11.6079.10062	UTR	NA
chr11	4552	4788	+	ONT11.6079.10117	UTR	NA
chr11	4788	5337	+	ONT11.6079.10117	intron	NA
chr11	5337	5462	+	ONT11.6079.10117	UTR	NA
chr11	5462	6648	+	ONT11.6079.10117	intron	NA
chr11	6648	6782	+	ONT11.6079.10117	UTR	NA
chr11	6782	7426	+	ONT11.6079.10117	intron	NA
chr11	7426	7546	+	ONT11.6079.10117	UTR	NA
chr11	7546	7848	+	ONT11.6079.10117	intron	NA
chr11	7848	7860	+	ONT11.6079.10117	UTR	NA
chr11	7861	7926	+	ONT11.6079.10117	CDS	NTM
chr11	7926	8047	+	ONT11.6079.10117	intron	NTM
chr11	8047	8144	+	ONT11.6079.10117	CDS	NTM
chr11	8144	8249	+	ONT11.6079.10117	intron	NTM
chr11	8249	8400	+	ONT11.6079.10117	CDS	NTM
chr11	8400	8909	+	ONT11.6079.10117	intron	NTM
chr11	8909	9009	+	ONT11.6079.10117	CDS	NTM
chr11	9010	10683	+	ONT11.6079.10117	UTR	NA
chr11	4552	4704	+	ONT11.6079.10301	UTR	NA
chr11	4705	4792	+	ONT11.6079.10301	CDS	NTM
chr11	4792	5337	+	ONT11.6079.10301	intron	NTM
chr11	5337	5462	+	ONT11.6079.10301	CDS	NTM
chr11	5462	6648	+	ONT11.6079.10301	intron	NTM
chr11	6648	6782	+	ONT11.6079.10301	CDS	NTM
chr11	6782	7426	+	ONT11.6079.10301	intron	NTM
chr11	7426	7546	+	ONT11.6079.10301	CDS	NTM
chr11	7546	8249	+	ONT11.6079.10301	intron	NTM
chr11	8249	8400	+	ONT11.6079.10301	CDS	NTM
chr11	8400	8909	+	ONT11.6079.10301	intron	NTM
chr11	8909	9009	+	ONT11.6079.10301	CDS	NTM
chr11	9010	9413	+	ONT11.6079.10301	UTR	NA
chr11	9413	9425	+	ONT11.6079.10301	intron	NA
chr11	9425	10680	+	ONT11.6079.10301	UTR	NA
chr11	4552	4788	+	ONT11.6079.10329	UTR	NA
