seqnames	start	end	strand	transcript_id	type	gene_id
chr2	9	3792	-	ENST00000295049.9	UTR	NA
chr2	3793	4065	-	ENST00000295049.9	CDS	ENSG00000162944.11
chr2	4065	4930	-	ENST00000295049.9	intron	ENSG00000162944.11
chr2	4930	5008	-	ENST00000295049.9	CDS	ENSG00000162944.11
chr2	5008	5109	-	ENST00000295049.9	intron	ENSG00000162944.11
chr2	5109	5212	-	ENST00000295049.9	CDS	ENSG00000162944.11
chr2	5212	5535	-	ENST00000295049.9	intron	ENSG00000162944.11
chr2	5535	5656	-	ENST00000295049.9	CDS	ENSG00000162944.11
chr2	5656	7640	-	ENST00000295049.9	intron	ENSG00000162944.11
chr2	7640	7849	-	ENST00000295049.9	CDS	ENSG00000162944.11
chr2	7849	8790	-	ENST00000295049.9	intron	ENSG00000162944.11
chr2	8790	9069	-	ENST00000295049.9	CDS	ENSG00000162944.11
chr2	9069	9172	-	ENST00000295049.9	intron	ENSG00000162944.11
chr2	9172	9286	-	ENST00000295049.9	CDS	ENSG00000162944.11
chr2	9286	9387	-	ENST00000295049.9	intron	ENSG00000162944.11
chr2	9387	9570	-	ENST00000295049.9	CDS	ENSG00000162944.11
chr2	9570	9673	-	ENST00000295049.9	intron	ENSG00000162944.11
chr2	9673	9814	-	ENST00000295049.9	CDS	ENSG00000162944.11
chr2	9815	9940	-	ENST00000295049.9	UTR	NA
chr2	2	3795	-	ONT2.11357.25921	UTR	NA
chr2	3796	4065	-	ONT2.11357.25921	CDS	RFTN2
chr2	4065	4930	-	ONT2.11357.25921	intron	RFTN2
chr2	4930	5008	-	ONT2.11357.25921	CDS	RFTN2
chr2	5008	5109	-	ONT2.11357.25921	intron	RFTN2
chr2	5109	5212	-	ONT2.11357.25921	CDS	RFTN2
chr2	5212	5535	-	ONT2.11357.25921	intron	RFTN2
chr2	5535	5656	-	ONT2.11357.25921	CDS	RFTN2
chr2	5656	7640	-	ONT2.11357.25921	intron	RFTN2
chr2	7640	7849	-	ONT2.11357.25921	CDS	RFTN2
chr2	7849	8790	-	ONT2.11357.25921	intron	RFTN2
chr2	8790	9069	-	ONT2.11357.25921	CDS	RFTN2
chr2	9069	9172	-	ONT2.11357.25921	intron	RFTN2
chr2	9172	9286	-	ONT2.11357.25921	CDS	RFTN2
chr2	9286	9387	-	ONT2.11357.25921	intron	RFTN2
chr2	9387	9570	-	ONT2.11357.25921	CDS	RFTN2
chr2	9570	9673	-	ONT2.11357.25921	intron	RFTN2
chr2	9673	9814	-	ONT2.11357.25921	CDS	RFTN2
chr2	9815	10212	-	ONT2.11357.25921	UTR	NA
chr2	15	3795	-	ONT2.11357.25922	UTR	NA
chr2	3796	4065	-	ONT2.11357.25922	CDS	RFTN2
chr2	4065	4930	-	ONT2.11357.25922	intron	RFTN2
chr2	4930	5008	-	ONT2.11357.25922	CDS	RFTN2
chr2	5008	5109	-	ONT2.11357.25922	intron	RFTN2
chr2	5109	5212	-	ONT2.11357.25922	CDS	RFTN2
chr2	5212	5535	-	ONT2.11357.25922	intron	RFTN2
chr2	5535	5656	-	ONT2.11357.25922	CDS	RFTN2
chr2	5656	7640	-	ONT2.11357.25922	intron	RFTN2
chr2	7640	7849	-	ONT2.11357.25922	CDS	RFTN2
chr2	7849	8790	-	ONT2.11357.25922	intron	RFTN2
chr2	8790	9069	-	ONT2.11357.25922	CDS	RFTN2
chr2	9069	9172	-	ONT2.11357.25922	intron	RFTN2
chr2	9172	9286	-	ONT2.11357.25922	CDS	RFTN2
chr2	9286	9387	-	ONT2.11357.25922	intron	RFTN2
chr2	9387	9570	-	ONT2.11357.25922	CDS	RFTN2
chr2	9570	9673	-	ONT2.11357.25922	intron	RFTN2
chr2	9673	9814	-	ONT2.11357.25922	CDS	RFTN2
chr2	9815	10389	-	ONT2.11357.25922	UTR	NA
chr2	2023	3795	-	ONT2.11357.26015	UTR	NA
chr2	3796	4065	-	ONT2.11357.26015	CDS	RFTN2
chr2	4065	4930	-	ONT2.11357.26015	intron	RFTN2
chr2	4930	5008	-	ONT2.11357.26015	CDS	RFTN2
chr2	5008	5109	-	ONT2.11357.26015	intron	RFTN2
chr2	5109	5212	-	ONT2.11357.26015	CDS	RFTN2
chr2	5212	5535	-	ONT2.11357.26015	intron	RFTN2
chr2	5535	5656	-	ONT2.11357.26015	CDS	RFTN2
chr2	5656	7640	-	ONT2.11357.26015	intron	RFTN2
chr2	7640	7849	-	ONT2.11357.26015	CDS	RFTN2
chr2	7849	8790	-	ONT2.11357.26015	intron	RFTN2
chr2	8790	9069	-	ONT2.11357.26015	CDS	RFTN2
