seqnames	start	end	strand	transcript_id	type	gene_id
chr17	176	276	+	ENST00000320033.5	UTR	NA
chr17	276	394	+	ENST00000320033.5	intron	NA
chr17	394	465	+	ENST00000320033.5	UTR	NA
chr17	466	1074	+	ENST00000320033.5	CDS	ENSG00000175906.5
chr17	1075	1870	+	ENST00000320033.5	UTR	NA
chr17	2	276	+	ONT17.1087.36566	UTR	NA
chr17	276	394	+	ONT17.1087.36566	intron	NA
chr17	394	465	+	ONT17.1087.36566	UTR	NA
chr17	466	1071	+	ONT17.1087.36566	CDS	ARL4D
chr17	1072	1666	+	ONT17.1087.36566	UTR	NA
chr17	152	276	+	ONT17.1087.36567	UTR	NA
chr17	276	394	+	ONT17.1087.36567	intron	NA
chr17	394	465	+	ONT17.1087.36567	UTR	NA
chr17	466	1071	+	ONT17.1087.36567	CDS	ARL4D
chr17	1072	1674	+	ONT17.1087.36567	UTR	NA
chr17	185	276	+	ONT17.1087.36570	UTR	NA
chr17	276	394	+	ONT17.1087.36570	intron	NA
chr17	394	465	+	ONT17.1087.36570	UTR	NA
chr17	466	1071	+	ONT17.1087.36570	CDS	ARL4D
chr17	1072	1869	+	ONT17.1087.36570	UTR	NA
chr17	144	276	+	ONT17.1087.36571	UTR	NA
chr17	276	394	+	ONT17.1087.36571	intron	NA
chr17	394	465	+	ONT17.1087.36571	UTR	NA
chr17	466	684	+	ONT17.1087.36571	CDS	ARL4D
chr17	684	1089	+	ONT17.1087.36571	intron	ARL4D
chr17	1089	1103	+	ONT17.1087.36571	CDS	ARL4D
chr17	1104	1674	+	ONT17.1087.36571	UTR	NA
chr17	176	276	+	ONT17.1087.36574	UTR	NA
chr17	276	394	+	ONT17.1087.36574	intron	NA
chr17	394	465	+	ONT17.1087.36574	UTR	NA
chr17	466	1071	+	ONT17.1087.36574	CDS	ARL4D
chr17	1072	1404	+	ONT17.1087.36574	UTR	NA
chr17	133	276	+	ONT17.1087.36575	UTR	NA
chr17	276	394	+	ONT17.1087.36575	intron	NA
chr17	394	465	+	ONT17.1087.36575	UTR	NA
chr17	466	686	+	ONT17.1087.36575	CDS	ARL4D
chr17	686	1089	+	ONT17.1087.36575	intron	ARL4D
chr17	1089	1317	+	ONT17.1087.36575	CDS	ARL4D
chr17	1318	1869	+	ONT17.1087.36575	UTR	NA
chr17	178	276	+	ONT17.1087.36576	UTR	NA
chr17	276	403	+	ONT17.1087.36576	intron	NA
chr17	403	465	+	ONT17.1087.36576	UTR	NA
chr17	466	1071	+	ONT17.1087.36576	CDS	ARL4D
chr17	1072	1674	+	ONT17.1087.36576	UTR	NA
chr17	176	276	+	ONT17.1087.36580	UTR	NA
chr17	276	414	+	ONT17.1087.36580	intron	NA
chr17	414	465	+	ONT17.1087.36580	UTR	NA
chr17	466	1071	+	ONT17.1087.36580	CDS	ARL4D
chr17	1072	1674	+	ONT17.1087.36580	UTR	NA
chr17	177	276	+	ONT17.1087.36582	UTR	NA
chr17	276	403	+	ONT17.1087.36582	intron	NA
chr17	403	465	+	ONT17.1087.36582	UTR	NA
chr17	466	1071	+	ONT17.1087.36582	CDS	ARL4D
chr17	1072	1869	+	ONT17.1087.36582	UTR	NA
chr17	174	276	+	ONT17.1087.36585	UTR	NA
chr17	276	414	+	ONT17.1087.36585	intron	NA
chr17	414	465	+	ONT17.1087.36585	UTR	NA
chr17	466	1071	+	ONT17.1087.36585	CDS	ARL4D
chr17	1072	1869	+	ONT17.1087.36585	UTR	NA
chr17	180	276	+	ONT17.1087.36588	UTR	NA
chr17	276	394	+	ONT17.1087.36588	intron	NA
chr17	394	465	+	ONT17.1087.36588	UTR	NA
chr17	466	1071	+	ONT17.1087.36588	CDS	ARL4D
chr17	1072	1234	+	ONT17.1087.36588	UTR	NA
