seqnames	start	end	strand	transcript_id	type	gene_id
chr12	2	396	+	ENST00000258526.9	UTR	NA
chr12	397	1458	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	1458	1559	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	1559	1699	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	1699	2468	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	2468	2602	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	2602	2857	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	2857	2957	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	2957	3838	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	3838	3952	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	3952	4053	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	4053	4200	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	4200	4301	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	4301	4388	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	4388	4489	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	4489	4591	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	4591	4692	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	4692	4778	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	4778	4879	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	4879	5018	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	5018	5119	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	5119	5298	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	5298	5399	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	5399	5486	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	5486	5587	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	5587	5790	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	5790	5891	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	5891	6076	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	6076	6181	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	6181	6283	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	6283	6389	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	6389	6490	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	6490	6592	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	6592	6695	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	6695	8362	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	8362	8400	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	8400	8501	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	8501	8625	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	8625	8726	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	8726	8924	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	8924	9358	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	9358	9504	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	9504	9606	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	9606	9783	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	9783	9885	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	9885	9988	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	9988	10089	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	10089	10143	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	10143	10249	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	10249	10280	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	10280	10376	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	10376	10483	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	10483	10584	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	10584	10747	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	10747	11148	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	11148	11295	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	11295	11396	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	11396	11536	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	11536	11617	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	11617	11691	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	11691	11792	+	ENST00000258526.9	intron	ENSG00000136040.9
chr12	11792	11899	+	ENST00000258526.9	CDS	ENSG00000136040.9
chr12	11900	14286	+	ENST00000258526.9	UTR	NA
chr12	367	396	+	ONT12.3890.11441	UTR	NA
chr12	397	1458	+	ONT12.3890.11441	CDS	PLXNC1
chr12	1458	1559	+	ONT12.3890.11441	intron	PLXNC1
chr12	1559	1699	+	ONT12.3890.11441	CDS	PLXNC1
chr12	1699	2468	+	ONT12.3890.11441	intron	PLXNC1
chr12	2468	2602	+	ONT12.3890.11441	CDS	PLXNC1
chr12	2602	2857	+	ONT12.3890.11441	intron	PLXNC1
chr12	2857	2957	+	ONT12.3890.11441	CDS	PLXNC1
chr12	2957	3838	+	ONT12.3890.11441	intron	PLXNC1
chr12	3838	3952	+	ONT12.3890.11441	CDS	PLXNC1
chr12	3952	4053	+	ONT12.3890.11441	intron	PLXNC1
chr12	4053	4200	+	ONT12.3890.11441	CDS	PLXNC1
chr12	4200	4301	+	ONT12.3890.11441	intron	PLXNC1
chr12	4301	4388	+	ONT12.3890.11441	CDS	PLXNC1
chr12	4388	4489	+	ONT12.3890.11441	intron	PLXNC1
chr12	4489	4591	+	ONT12.3890.11441	CDS	PLXNC1
chr12	4591	4692	+	ONT12.3890.11441	intron	PLXNC1
chr12	4692	4778	+	ONT12.3890.11441	CDS	PLXNC1
chr12	4778	4879	+	ONT12.3890.11441	intron	PLXNC1
chr12	4879	5018	+	ONT12.3890.11441	CDS	PLXNC1
chr12	5018	5119	+	ONT12.3890.11441	intron	PLXNC1
chr12	5119	5298	+	ONT12.3890.11441	CDS	PLXNC1
chr12	5298	5399	+	ONT12.3890.11441	intron	PLXNC1
chr12	5399	5486	+	ONT12.3890.11441	CDS	PLXNC1
chr12	5486	5587	+	ONT12.3890.11441	intron	PLXNC1
chr12	5587	5790	+	ONT12.3890.11441	CDS	PLXNC1
chr12	5790	5891	+	ONT12.3890.11441	intron	PLXNC1
chr12	5891	6076	+	ONT12.3890.11441	CDS	PLXNC1
chr12	6076	6181	+	ONT12.3890.11441	intron	PLXNC1
chr12	6181	6283	+	ONT12.3890.11441	CDS	PLXNC1
chr12	6283	6389	+	ONT12.3890.11441	intron	PLXNC1
chr12	6389	6490	+	ONT12.3890.11441	CDS	PLXNC1
chr12	6490	6592	+	ONT12.3890.11441	intron	PLXNC1
chr12	6592	6710	+	ONT12.3890.11441	CDS	PLXNC1
chr12	6711	8227	+	ONT12.3890.11441	UTR	NA
chr12	379	396	+	ONT12.3890.11444	UTR	NA
chr12	397	1458	+	ONT12.3890.11444	CDS	PLXNC1
chr12	1458	1559	+	ONT12.3890.11444	intron	PLXNC1
chr12	1559	2113	+	ONT12.3890.11444	CDS	PLXNC1
chr12	2114	2367	+	ONT12.3890.11444	UTR	NA
chr12	1073	1185	+	ONT12.3890.11468	UTR	NA
chr12	1186	1458	+	ONT12.3890.11468	CDS	PLXNC1
chr12	1458	1559	+	ONT12.3890.11468	intron	PLXNC1
chr12	1559	1699	+	ONT12.3890.11468	CDS	PLXNC1
chr12	1699	2468	+	ONT12.3890.11468	intron	PLXNC1
chr12	2468	2602	+	ONT12.3890.11468	CDS	PLXNC1
chr12	2602	2857	+	ONT12.3890.11468	intron	PLXNC1
chr12	2857	2957	+	ONT12.3890.11468	CDS	PLXNC1
chr12	2957	3838	+	ONT12.3890.11468	intron	PLXNC1
chr12	3838	3952	+	ONT12.3890.11468	CDS	PLXNC1
chr12	3952	4053	+	ONT12.3890.11468	intron	PLXNC1
chr12	4053	4200	+	ONT12.3890.11468	CDS	PLXNC1
chr12	4200	4301	+	ONT12.3890.11468	intron	PLXNC1
chr12	4301	4388	+	ONT12.3890.11468	CDS	PLXNC1
chr12	4388	4489	+	ONT12.3890.11468	intron	PLXNC1
chr12	4489	4591	+	ONT12.3890.11468	CDS	PLXNC1
