seqnames	start	end	strand	transcript_id	type	gene_id
chr4	1062	1213	+	ENST00000264893.11	UTR	NA
chr4	1214	1240	+	ENST00000264893.11	CDS	ENSG00000138758.12
chr4	1240	2079	+	ENST00000264893.11	intron	ENSG00000138758.12
chr4	2079	2193	+	ENST00000264893.11	CDS	ENSG00000138758.12
chr4	2193	2299	+	ENST00000264893.11	intron	ENSG00000138758.12
chr4	2299	2494	+	ENST00000264893.11	CDS	ENSG00000138758.12
chr4	2494	4550	+	ENST00000264893.11	intron	ENSG00000138758.12
chr4	4550	4736	+	ENST00000264893.11	CDS	ENSG00000138758.12
chr4	4736	5266	+	ENST00000264893.11	intron	ENSG00000138758.12
chr4	5266	5427	+	ENST00000264893.11	CDS	ENSG00000138758.12
chr4	5427	5528	+	ENST00000264893.11	intron	ENSG00000138758.12
chr4	5528	5624	+	ENST00000264893.11	CDS	ENSG00000138758.12
chr4	5624	6393	+	ENST00000264893.11	intron	ENSG00000138758.12
chr4	6393	6561	+	ENST00000264893.11	CDS	ENSG00000138758.12
chr4	6561	10207	+	ENST00000264893.11	intron	ENSG00000138758.12
chr4	10207	10339	+	ENST00000264893.11	CDS	ENSG00000138758.12
chr4	10339	10449	+	ENST00000264893.11	intron	ENSG00000138758.12
chr4	10449	10636	+	ENST00000264893.11	CDS	ENSG00000138758.12
chr4	10636	14056	+	ENST00000264893.11	intron	ENSG00000138758.12
chr4	14056	14074	+	ENST00000264893.11	CDS	ENSG00000138758.12
chr4	14075	18174	+	ENST00000264893.11	UTR	NA
chr4	2	103	+	ONT4.6095.16010	UTR	NA
chr4	103	204	+	ONT4.6095.16010	intron	NA
chr4	204	267	+	ONT4.6095.16010	UTR	NA
chr4	268	291	+	ONT4.6095.16010	CDS	SEPTIN11
chr4	291	2079	+	ONT4.6095.16010	intron	SEPTIN11
chr4	2079	2193	+	ONT4.6095.16010	CDS	SEPTIN11
chr4	2193	2299	+	ONT4.6095.16010	intron	SEPTIN11
chr4	2299	2494	+	ONT4.6095.16010	CDS	SEPTIN11
chr4	2494	4550	+	ONT4.6095.16010	intron	SEPTIN11
chr4	4550	4736	+	ONT4.6095.16010	CDS	SEPTIN11
chr4	4736	5266	+	ONT4.6095.16010	intron	SEPTIN11
chr4	5266	5427	+	ONT4.6095.16010	CDS	SEPTIN11
chr4	5427	5528	+	ONT4.6095.16010	intron	SEPTIN11
chr4	5528	5624	+	ONT4.6095.16010	CDS	SEPTIN11
chr4	5624	6393	+	ONT4.6095.16010	intron	SEPTIN11
chr4	6393	6561	+	ONT4.6095.16010	CDS	SEPTIN11
chr4	6561	10207	+	ONT4.6095.16010	intron	SEPTIN11
chr4	10207	10339	+	ONT4.6095.16010	CDS	SEPTIN11
chr4	10339	10449	+	ONT4.6095.16010	intron	SEPTIN11
chr4	10449	10636	+	ONT4.6095.16010	CDS	SEPTIN11
chr4	10636	16329	+	ONT4.6095.16010	intron	SEPTIN11
chr4	16329	16353	+	ONT4.6095.16010	CDS	SEPTIN11
chr4	16354	16396	+	ONT4.6095.16010	UTR	NA
chr4	16396	19035	+	ONT4.6095.16010	intron	NA
chr4	19035	19446	+	ONT4.6095.16010	UTR	NA
chr4	392	510	+	ONT4.6095.16460	UTR	NA
chr4	511	708	+	ONT4.6095.16460	CDS	SEPTIN11
chr4	708	2079	+	ONT4.6095.16460	intron	SEPTIN11
chr4	2079	2193	+	ONT4.6095.16460	CDS	SEPTIN11
chr4	2193	2299	+	ONT4.6095.16460	intron	SEPTIN11
chr4	2299	2494	+	ONT4.6095.16460	CDS	SEPTIN11
chr4	2494	4550	+	ONT4.6095.16460	intron	SEPTIN11
chr4	4550	4736	+	ONT4.6095.16460	CDS	SEPTIN11
chr4	4736	5266	+	ONT4.6095.16460	intron	SEPTIN11
chr4	5266	5427	+	ONT4.6095.16460	CDS	SEPTIN11
chr4	5427	5528	+	ONT4.6095.16460	intron	SEPTIN11
chr4	5528	5624	+	ONT4.6095.16460	CDS	SEPTIN11
chr4	5624	6393	+	ONT4.6095.16460	intron	SEPTIN11
chr4	6393	6561	+	ONT4.6095.16460	CDS	SEPTIN11
chr4	6561	10207	+	ONT4.6095.16460	intron	SEPTIN11
chr4	10207	10339	+	ONT4.6095.16460	CDS	SEPTIN11
chr4	10339	10449	+	ONT4.6095.16460	intron	SEPTIN11
chr4	10449	10636	+	ONT4.6095.16460	CDS	SEPTIN11
chr4	10636	16332	+	ONT4.6095.16460	intron	SEPTIN11
chr4	16332	16353	+	ONT4.6095.16460	CDS	SEPTIN11
chr4	16354	16396	+	ONT4.6095.16460	UTR	NA
chr4	16396	18365	+	ONT4.6095.16460	intron	NA
chr4	18365	18630	+	ONT4.6095.16460	UTR	NA
chr4	565	660	+	ONT4.6095.16467	UTR	NA
chr4	661	708	+	ONT4.6095.16467	CDS	SEPTIN11
chr4	708	2079	+	ONT4.6095.16467	intron	SEPTIN11
chr4	2079	2193	+	ONT4.6095.16467	CDS	SEPTIN11
chr4	2193	2299	+	ONT4.6095.16467	intron	SEPTIN11
chr4	2299	2494	+	ONT4.6095.16467	CDS	SEPTIN11
chr4	2494	4550	+	ONT4.6095.16467	intron	SEPTIN11
chr4	4550	4736	+	ONT4.6095.16467	CDS	SEPTIN11
chr4	4736	5266	+	ONT4.6095.16467	intron	SEPTIN11
chr4	5266	5427	+	ONT4.6095.16467	CDS	SEPTIN11
chr4	5427	5528	+	ONT4.6095.16467	intron	SEPTIN11
chr4	5528	5624	+	ONT4.6095.16467	CDS	SEPTIN11
chr4	5624	6393	+	ONT4.6095.16467	intron	SEPTIN11
chr4	6393	6561	+	ONT4.6095.16467	CDS	SEPTIN11
chr4	6561	10207	+	ONT4.6095.16467	intron	SEPTIN11
chr4	10207	10339	+	ONT4.6095.16467	CDS	SEPTIN11
chr4	10339	10449	+	ONT4.6095.16467	intron	SEPTIN11
chr4	10449	10636	+	ONT4.6095.16467	CDS	SEPTIN11
chr4	10636	16332	+	ONT4.6095.16467	intron	SEPTIN11
chr4	16332	16353	+	ONT4.6095.16467	CDS	SEPTIN11
chr4	16354	16396	+	ONT4.6095.16467	UTR	NA
chr4	16396	19035	+	ONT4.6095.16467	intron	NA
chr4	19035	19446	+	ONT4.6095.16467	UTR	NA
chr4	561	708	+	ONT4.6095.16468	UTR	NA
chr4	708	1821	+	ONT4.6095.16468	intron	NA
chr4	1821	1921	+	ONT4.6095.16468	UTR	NA
chr4	1922	1978	+	ONT4.6095.16468	CDS	SEPTIN11
chr4	1978	2079	+	ONT4.6095.16468	intron	SEPTIN11
chr4	2079	2193	+	ONT4.6095.16468	CDS	SEPTIN11
chr4	2193	2299	+	ONT4.6095.16468	intron	SEPTIN11
chr4	2299	2494	+	ONT4.6095.16468	CDS	SEPTIN11
chr4	2494	4550	+	ONT4.6095.16468	intron	SEPTIN11
chr4	4550	4736	+	ONT4.6095.16468	CDS	SEPTIN11
chr4	4736	5266	+	ONT4.6095.16468	intron	SEPTIN11
chr4	5266	5427	+	ONT4.6095.16468	CDS	SEPTIN11
chr4	5427	5528	+	ONT4.6095.16468	intron	SEPTIN11
chr4	5528	5624	+	ONT4.6095.16468	CDS	SEPTIN11
chr4	5624	6393	+	ONT4.6095.16468	intron	SEPTIN11
chr4	6393	6561	+	ONT4.6095.16468	CDS	SEPTIN11
chr4	6561	10207	+	ONT4.6095.16468	intron	SEPTIN11
chr4	10207	10339	+	ONT4.6095.16468	CDS	SEPTIN11
chr4	10339	10449	+	ONT4.6095.16468	intron	SEPTIN11
chr4	10449	10636	+	ONT4.6095.16468	CDS	SEPTIN11
chr4	10636	16329	+	ONT4.6095.16468	intron	SEPTIN11
chr4	16329	16353	+	ONT4.6095.16468	CDS	SEPTIN11
chr4	16354	16396	+	ONT4.6095.16468	UTR	NA
chr4	16396	19035	+	ONT4.6095.16468	intron	NA
chr4	19035	19446	+	ONT4.6095.16468	UTR	NA
chr4	577	660	+	ONT4.6095.16475	UTR	NA
chr4	661	708	+	ONT4.6095.16475	CDS	SEPTIN11
chr4	708	2079	+	ONT4.6095.16475	intron	SEPTIN11
chr4	2079	2193	+	ONT4.6095.16475	CDS	SEPTIN11
chr4	2193	2299	+	ONT4.6095.16475	intron	SEPTIN11
chr4	2299	2494	+	ONT4.6095.16475	CDS	SEPTIN11
chr4	2494	4550	+	ONT4.6095.16475	intron	SEPTIN11
chr4	4550	4736	+	ONT4.6095.16475	CDS	SEPTIN11
chr4	4736	5266	+	ONT4.6095.16475	intron	SEPTIN11
chr4	5266	5427	+	ONT4.6095.16475	CDS	SEPTIN11
chr4	5427	5528	+	ONT4.6095.16475	intron	SEPTIN11
chr4	5528	5624	+	ONT4.6095.16475	CDS	SEPTIN11
chr4	5624	6393	+	ONT4.6095.16475	intron	SEPTIN11
chr4	6393	6561	+	ONT4.6095.16475	CDS	SEPTIN11
chr4	6561	10207	+	ONT4.6095.16475	intron	SEPTIN11
chr4	10207	10339	+	ONT4.6095.16475	CDS	SEPTIN11
chr4	10339	10449	+	ONT4.6095.16475	intron	SEPTIN11
chr4	10449	10636	+	ONT4.6095.16475	CDS	SEPTIN11
chr4	10636	16332	+	ONT4.6095.16475	intron	SEPTIN11
chr4	16332	16353	+	ONT4.6095.16475	CDS	SEPTIN11
chr4	16354	16396	+	ONT4.6095.16475	UTR	NA
chr4	16396	18365	+	ONT4.6095.16475	intron	NA
chr4	18365	19446	+	ONT4.6095.16475	UTR	NA
chr4	809	1213	+	ONT4.6095.16483	UTR	NA
chr4	1214	1240	+	ONT4.6095.16483	CDS	SEPTIN11
chr4	1240	2079	+	ONT4.6095.16483	intron	SEPTIN11
chr4	2079	2193	+	ONT4.6095.16483	CDS	SEPTIN11
chr4	2193	2299	+	ONT4.6095.16483	intron	SEPTIN11
chr4	2299	2494	+	ONT4.6095.16483	CDS	SEPTIN11
chr4	2494	4550	+	ONT4.6095.16483	intron	SEPTIN11
chr4	4550	4736	+	ONT4.6095.16483	CDS	SEPTIN11
chr4	4736	5266	+	ONT4.6095.16483	intron	SEPTIN11
chr4	5266	5427	+	ONT4.6095.16483	CDS	SEPTIN11
chr4	5427	5528	+	ONT4.6095.16483	intron	SEPTIN11
chr4	5528	5624	+	ONT4.6095.16483	CDS	SEPTIN11
chr4	5624	6393	+	ONT4.6095.16483	intron	SEPTIN11
chr4	6393	6561	+	ONT4.6095.16483	CDS	SEPTIN11
chr4	6561	10207	+	ONT4.6095.16483	intron	SEPTIN11
chr4	10207	10339	+	ONT4.6095.16483	CDS	SEPTIN11
chr4	10339	10449	+	ONT4.6095.16483	intron	SEPTIN11
chr4	10449	10636	+	ONT4.6095.16483	CDS	SEPTIN11
chr4	10636	16332	+	ONT4.6095.16483	intron	SEPTIN11
chr4	16332	16353	+	ONT4.6095.16483	CDS	SEPTIN11
chr4	16354	16396	+	ONT4.6095.16483	UTR	NA
chr4	16396	19035	+	ONT4.6095.16483	intron	NA
chr4	19035	19444	+	ONT4.6095.16483	UTR	NA
chr4	983	1213	+	ONT4.6095.16486	UTR	NA
chr4	1214	1240	+	ONT4.6095.16486	CDS	SEPTIN11
chr4	1240	2079	+	ONT4.6095.16486	intron	SEPTIN11
chr4	2079	2193	+	ONT4.6095.16486	CDS	SEPTIN11
chr4	2193	2299	+	ONT4.6095.16486	intron	SEPTIN11
chr4	2299	2494	+	ONT4.6095.16486	CDS	SEPTIN11
chr4	2494	4550	+	ONT4.6095.16486	intron	SEPTIN11
chr4	4550	4736	+	ONT4.6095.16486	CDS	SEPTIN11
chr4	4736	5266	+	ONT4.6095.16486	intron	SEPTIN11
chr4	5266	5427	+	ONT4.6095.16486	CDS	SEPTIN11
chr4	5427	5528	+	ONT4.6095.16486	intron	SEPTIN11
chr4	5528	5624	+	ONT4.6095.16486	CDS	SEPTIN11
chr4	5624	6393	+	ONT4.6095.16486	intron	SEPTIN11
chr4	6393	6561	+	ONT4.6095.16486	CDS	SEPTIN11
chr4	6561	10207	+	ONT4.6095.16486	intron	SEPTIN11
chr4	10207	10339	+	ONT4.6095.16486	CDS	SEPTIN11
chr4	10339	10449	+	ONT4.6095.16486	intron	SEPTIN11
chr4	10449	10636	+	ONT4.6095.16486	CDS	SEPTIN11
chr4	10636	14056	+	ONT4.6095.16486	intron	SEPTIN11
chr4	14056	14071	+	ONT4.6095.16486	CDS	SEPTIN11
chr4	14072	15218	+	ONT4.6095.16486	UTR	NA
chr4	969	1213	+	ONT4.6095.16487	UTR	NA
chr4	1214	1240	+	ONT4.6095.16487	CDS	SEPTIN11
chr4	1240	2079	+	ONT4.6095.16487	intron	SEPTIN11
chr4	2079	2193	+	ONT4.6095.16487	CDS	SEPTIN11
chr4	2193	2299	+	ONT4.6095.16487	intron	SEPTIN11
chr4	2299	2494	+	ONT4.6095.16487	CDS	SEPTIN11
chr4	2494	4550	+	ONT4.6095.16487	intron	SEPTIN11
chr4	4550	4736	+	ONT4.6095.16487	CDS	SEPTIN11
chr4	4736	5266	+	ONT4.6095.16487	intron	SEPTIN11
chr4	5266	5427	+	ONT4.6095.16487	CDS	SEPTIN11
chr4	5427	5528	+	ONT4.6095.16487	intron	SEPTIN11
chr4	5528	5624	+	ONT4.6095.16487	CDS	SEPTIN11
chr4	5624	6393	+	ONT4.6095.16487	intron	SEPTIN11
chr4	6393	6561	+	ONT4.6095.16487	CDS	SEPTIN11
chr4	6561	10207	+	ONT4.6095.16487	intron	SEPTIN11
chr4	10207	10339	+	ONT4.6095.16487	CDS	SEPTIN11
chr4	10339	10449	+	ONT4.6095.16487	intron	SEPTIN11
chr4	10449	10636	+	ONT4.6095.16487	CDS	SEPTIN11
chr4	10636	16329	+	ONT4.6095.16487	intron	SEPTIN11
chr4	16329	16353	+	ONT4.6095.16487	CDS	SEPTIN11
chr4	16354	16396	+	ONT4.6095.16487	UTR	NA
chr4	16396	19035	+	ONT4.6095.16487	intron	NA
chr4	19035	19458	+	ONT4.6095.16487	UTR	NA
chr4	1064	1213	+	ONT4.6095.16489	UTR	NA
chr4	1214	1240	+	ONT4.6095.16489	CDS	SEPTIN11
chr4	1240	2079	+	ONT4.6095.16489	intron	SEPTIN11
chr4	2079	2193	+	ONT4.6095.16489	CDS	SEPTIN11
chr4	2193	2299	+	ONT4.6095.16489	intron	SEPTIN11
chr4	2299	2494	+	ONT4.6095.16489	CDS	SEPTIN11
chr4	2494	4550	+	ONT4.6095.16489	intron	SEPTIN11
chr4	4550	4736	+	ONT4.6095.16489	CDS	SEPTIN11
chr4	4736	5266	+	ONT4.6095.16489	intron	SEPTIN11
chr4	5266	5427	+	ONT4.6095.16489	CDS	SEPTIN11
chr4	5427	5528	+	ONT4.6095.16489	intron	SEPTIN11
chr4	5528	5624	+	ONT4.6095.16489	CDS	SEPTIN11
chr4	5624	6393	+	ONT4.6095.16489	intron	SEPTIN11
chr4	6393	6561	+	ONT4.6095.16489	CDS	SEPTIN11
chr4	6561	10207	+	ONT4.6095.16489	intron	SEPTIN11
chr4	10207	10339	+	ONT4.6095.16489	CDS	SEPTIN11
chr4	10339	10449	+	ONT4.6095.16489	intron	SEPTIN11
chr4	10449	10636	+	ONT4.6095.16489	CDS	SEPTIN11
chr4	10636	14056	+	ONT4.6095.16489	intron	SEPTIN11
chr4	14056	14071	+	ONT4.6095.16489	CDS	SEPTIN11
chr4	14072	14463	+	ONT4.6095.16489	UTR	NA
chr4	1102	1213	+	ONT4.6095.16490	UTR	NA
chr4	1214	1240	+	ONT4.6095.16490	CDS	SEPTIN11
chr4	1240	2079	+	ONT4.6095.16490	intron	SEPTIN11
chr4	2079	2193	+	ONT4.6095.16490	CDS	SEPTIN11
chr4	2193	2299	+	ONT4.6095.16490	intron	SEPTIN11
