seqnames	start	end	strand	transcript_id	type	gene_id
chr8	6	2881	-	ENST00000521861.6	UTR	NA
chr8	2882	2979	-	ENST00000521861.6	CDS	ENSG00000147677.12
chr8	2979	4347	-	ENST00000521861.6	intron	ENSG00000147677.12
chr8	4347	4479	-	ENST00000521861.6	CDS	ENSG00000147677.12
chr8	4479	4691	-	ENST00000521861.6	intron	ENSG00000147677.12
chr8	4691	4811	-	ENST00000521861.6	CDS	ENSG00000147677.12
chr8	4811	5415	-	ENST00000521861.6	intron	ENSG00000147677.12
chr8	5415	5564	-	ENST00000521861.6	CDS	ENSG00000147677.12
chr8	5564	6774	-	ENST00000521861.6	intron	ENSG00000147677.12
chr8	6774	6873	-	ENST00000521861.6	CDS	ENSG00000147677.12
chr8	6873	8372	-	ENST00000521861.6	intron	ENSG00000147677.12
chr8	8372	8539	-	ENST00000521861.6	CDS	ENSG00000147677.12
chr8	8539	9328	-	ENST00000521861.6	intron	ENSG00000147677.12
chr8	9328	9484	-	ENST00000521861.6	CDS	ENSG00000147677.12
chr8	9484	10202	-	ENST00000521861.6	intron	ENSG00000147677.12
chr8	10202	10336	-	ENST00000521861.6	CDS	ENSG00000147677.12
chr8	10337	10359	-	ENST00000521861.6	UTR	NA
chr8	15	2884	-	ONT8.6676.1007	UTR	NA
chr8	2885	2979	-	ONT8.6676.1007	CDS	EIF3H
chr8	2979	4347	-	ONT8.6676.1007	intron	EIF3H
chr8	4347	4455	-	ONT8.6676.1007	CDS	EIF3H
chr8	4456	4473	-	ONT8.6676.1007	UTR	NA
chr8	4473	4687	-	ONT8.6676.1007	intron	NA
chr8	4687	4811	-	ONT8.6676.1007	UTR	NA
chr8	4811	5411	-	ONT8.6676.1007	intron	NA
chr8	5411	5564	-	ONT8.6676.1007	UTR	NA
chr8	5564	6774	-	ONT8.6676.1007	intron	NA
chr8	6774	6873	-	ONT8.6676.1007	UTR	NA
chr8	6873	8372	-	ONT8.6676.1007	intron	NA
chr8	8372	8506	-	ONT8.6676.1007	UTR	NA
chr8	8	2979	-	ONT8.6676.1022	UTR	NA
chr8	2979	4347	-	ONT8.6676.1022	intron	NA
chr8	4347	4479	-	ONT8.6676.1022	UTR	NA
chr8	4479	4691	-	ONT8.6676.1022	intron	NA
chr8	4691	4811	-	ONT8.6676.1022	UTR	NA
chr8	4811	5415	-	ONT8.6676.1022	intron	NA
chr8	5415	5564	-	ONT8.6676.1022	UTR	NA
chr8	5564	6774	-	ONT8.6676.1022	intron	NA
chr8	6774	6852	-	ONT8.6676.1022	UTR	NA
chr8	6852	8368	-	ONT8.6676.1022	intron	NA
chr8	8368	8369	-	ONT8.6676.1022	UTR	NA
chr8	8370	8539	-	ONT8.6676.1022	CDS	EIF3H
chr8	8539	9328	-	ONT8.6676.1022	intron	EIF3H
chr8	9328	9484	-	ONT8.6676.1022	CDS	EIF3H
chr8	9484	10202	-	ONT8.6676.1022	intron	EIF3H
chr8	10202	10336	-	ONT8.6676.1022	CDS	EIF3H
chr8	10337	10359	-	ONT8.6676.1022	UTR	NA
chr8	11	2979	-	ONT8.6676.1038	UTR	NA
chr8	2979	4347	-	ONT8.6676.1038	intron	NA
chr8	4347	4479	-	ONT8.6676.1038	UTR	NA
chr8	4479	4691	-	ONT8.6676.1038	intron	NA
chr8	4691	4811	-	ONT8.6676.1038	UTR	NA
chr8	4811	5415	-	ONT8.6676.1038	intron	NA
chr8	5415	5564	-	ONT8.6676.1038	UTR	NA
chr8	5564	6774	-	ONT8.6676.1038	intron	NA
chr8	6774	6873	-	ONT8.6676.1038	UTR	NA
chr8	6873	8372	-	ONT8.6676.1038	intron	NA
chr8	8372	8493	-	ONT8.6676.1038	UTR	NA
chr8	8494	8528	-	ONT8.6676.1038	CDS	EIF3H
chr8	8528	9322	-	ONT8.6676.1038	intron	EIF3H
chr8	9322	9484	-	ONT8.6676.1038	CDS	EIF3H
chr8	9484	10202	-	ONT8.6676.1038	intron	EIF3H
chr8	10202	10336	-	ONT8.6676.1038	CDS	EIF3H
chr8	10337	10345	-	ONT8.6676.1038	UTR	NA
chr8	9	2884	-	ONT8.6676.1040	UTR	NA
chr8	2885	2979	-	ONT8.6676.1040	CDS	EIF3H
chr8	2979	4347	-	ONT8.6676.1040	intron	EIF3H
chr8	4347	4461	-	ONT8.6676.1040	CDS	EIF3H
