seqnames	start	end	strand	transcript_id	type	gene_id
chr8	162	219	+	ENST00000360375.8	UTR	NA
chr8	220	323	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	323	743	+	ENST00000360375.8	intron	ENSG00000133739.16
chr8	743	948	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	948	1053	+	ENST00000360375.8	intron	ENSG00000133739.16
chr8	1053	1118	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	1118	2027	+	ENST00000360375.8	intron	ENSG00000133739.16
chr8	2027	2194	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	2194	2826	+	ENST00000360375.8	intron	ENSG00000133739.16
chr8	2826	3001	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	3001	3101	+	ENST00000360375.8	intron	ENSG00000133739.16
chr8	3101	3310	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	3310	3507	+	ENST00000360375.8	intron	ENSG00000133739.16
chr8	3507	3700	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	3700	3801	+	ENST00000360375.8	intron	ENSG00000133739.16
chr8	3801	3948	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	3948	4049	+	ENST00000360375.8	intron	ENSG00000133739.16
chr8	4049	4197	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	4197	4298	+	ENST00000360375.8	intron	ENSG00000133739.16
chr8	4298	4502	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	4502	4603	+	ENST00000360375.8	intron	ENSG00000133739.16
chr8	4603	4742	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	4742	4846	+	ENST00000360375.8	intron	ENSG00000133739.16
chr8	4846	5047	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	5047	5188	+	ENST00000360375.8	intron	ENSG00000133739.16
chr8	5188	5373	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	5373	5474	+	ENST00000360375.8	intron	ENSG00000133739.16
chr8	5474	5648	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	5648	5751	+	ENST00000360375.8	intron	ENSG00000133739.16
chr8	5751	5914	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	5914	6015	+	ENST00000360375.8	intron	ENSG00000133739.16
chr8	6015	6223	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	6223	6318	+	ENST00000360375.8	intron	ENSG00000133739.16
chr8	6318	6455	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	6455	6561	+	ENST00000360375.8	intron	ENSG00000133739.16
chr8	6561	6696	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	6696	6802	+	ENST00000360375.8	intron	ENSG00000133739.16
chr8	6802	6927	+	ENST00000360375.8	CDS	ENSG00000133739.16
chr8	6928	7493	+	ENST00000360375.8	UTR	NA
chr8	4152	4197	+	ONT8.4918.1015	UTR	NA
chr8	4197	4298	+	ONT8.4918.1015	intron	NA
chr8	4298	4349	+	ONT8.4918.1015	UTR	NA
chr8	4350	4502	+	ONT8.4918.1015	CDS	LRRCC1
chr8	4502	4603	+	ONT8.4918.1015	intron	LRRCC1
chr8	4603	4742	+	ONT8.4918.1015	CDS	LRRCC1
chr8	4742	4846	+	ONT8.4918.1015	intron	LRRCC1
chr8	4846	5047	+	ONT8.4918.1015	CDS	LRRCC1
chr8	5047	5188	+	ONT8.4918.1015	intron	LRRCC1
chr8	5188	5373	+	ONT8.4918.1015	CDS	LRRCC1
chr8	5373	5474	+	ONT8.4918.1015	intron	LRRCC1
chr8	5474	5648	+	ONT8.4918.1015	CDS	LRRCC1
chr8	5648	5751	+	ONT8.4918.1015	intron	LRRCC1
chr8	5751	5914	+	ONT8.4918.1015	CDS	LRRCC1
chr8	5914	6015	+	ONT8.4918.1015	intron	LRRCC1
chr8	6015	6223	+	ONT8.4918.1015	CDS	LRRCC1
chr8	6223	6318	+	ONT8.4918.1015	intron	LRRCC1
chr8	6318	6455	+	ONT8.4918.1015	CDS	LRRCC1
chr8	6455	6561	+	ONT8.4918.1015	intron	LRRCC1
chr8	6561	6696	+	ONT8.4918.1015	CDS	LRRCC1
chr8	6696	6802	+	ONT8.4918.1015	intron	LRRCC1
chr8	6802	6924	+	ONT8.4918.1015	CDS	LRRCC1
chr8	6925	7483	+	ONT8.4918.1015	UTR	NA
chr8	4416	4466	+	ONT8.4918.1030	UTR	NA
chr8	4467	4502	+	ONT8.4918.1030	CDS	LRRCC1
chr8	4502	4603	+	ONT8.4918.1030	intron	LRRCC1
chr8	4603	4742	+	ONT8.4918.1030	CDS	LRRCC1
chr8	4742	4846	+	ONT8.4918.1030	intron	LRRCC1
chr8	4846	5047	+	ONT8.4918.1030	CDS	LRRCC1
chr8	5047	5188	+	ONT8.4918.1030	intron	LRRCC1
chr8	5188	5373	+	ONT8.4918.1030	CDS	LRRCC1
chr8	5373	5474	+	ONT8.4918.1030	intron	LRRCC1
chr8	5474	5648	+	ONT8.4918.1030	CDS	LRRCC1
chr8	5648	5751	+	ONT8.4918.1030	intron	LRRCC1
chr8	5751	5914	+	ONT8.4918.1030	CDS	LRRCC1
chr8	5914	6015	+	ONT8.4918.1030	intron	LRRCC1
