seqnames	start	end	strand	transcript_id	type	gene_id
chr10	2	148	+	ENST00000372141.7	UTR	NA
chr10	149	971	+	ENST00000372141.7	CDS	ENSG00000185737.13
chr10	971	5345	+	ENST00000372141.7	intron	ENSG00000185737.13
chr10	5345	5474	+	ENST00000372141.7	CDS	ENSG00000185737.13
chr10	5474	5576	+	ENST00000372141.7	intron	ENSG00000185737.13
chr10	5576	5649	+	ENST00000372141.7	CDS	ENSG00000185737.13
chr10	5649	5750	+	ENST00000372141.7	intron	ENSG00000185737.13
chr10	5750	5776	+	ENST00000372141.7	CDS	ENSG00000185737.13
chr10	5776	6178	+	ENST00000372141.7	intron	ENSG00000185737.13
chr10	6178	6280	+	ENST00000372141.7	CDS	ENSG00000185737.13
chr10	6280	6381	+	ENST00000372141.7	intron	ENSG00000185737.13
chr10	6381	6507	+	ENST00000372141.7	CDS	ENSG00000185737.13
chr10	6507	6609	+	ENST00000372141.7	intron	ENSG00000185737.13
chr10	6609	6736	+	ENST00000372141.7	CDS	ENSG00000185737.13
chr10	6736	7444	+	ENST00000372141.7	intron	ENSG00000185737.13
chr10	7444	7614	+	ENST00000372141.7	CDS	ENSG00000185737.13
chr10	7614	7888	+	ENST00000372141.7	intron	ENSG00000185737.13
chr10	7888	8398	+	ENST00000372141.7	CDS	ENSG00000185737.13
chr10	8399	9968	+	ENST00000372141.7	UTR	NA
chr10	5575	5649	+	ONT10.3977.19335	UTR	NA
chr10	5649	5753	+	ONT10.3977.19335	intron	NA
chr10	5753	5772	+	ONT10.3977.19335	UTR	NA
chr10	5773	5776	+	ONT10.3977.19335	CDS	NRG3
chr10	5776	6178	+	ONT10.3977.19335	intron	NRG3
chr10	6178	6280	+	ONT10.3977.19335	CDS	NRG3
chr10	6280	6381	+	ONT10.3977.19335	intron	NRG3
chr10	6381	6507	+	ONT10.3977.19335	CDS	NRG3
chr10	6507	6609	+	ONT10.3977.19335	intron	NRG3
chr10	6609	6736	+	ONT10.3977.19335	CDS	NRG3
chr10	6736	7444	+	ONT10.3977.19335	intron	NRG3
chr10	7444	7614	+	ONT10.3977.19335	CDS	NRG3
chr10	7614	7888	+	ONT10.3977.19335	intron	NRG3
chr10	7888	8395	+	ONT10.3977.19335	CDS	NRG3
chr10	8396	9973	+	ONT10.3977.19335	UTR	NA
chr10	5575	5649	+	ONT10.3977.19336	UTR	NA
chr10	5649	5750	+	ONT10.3977.19336	intron	NA
chr10	5750	5772	+	ONT10.3977.19336	UTR	NA
chr10	5773	5776	+	ONT10.3977.19336	CDS	NRG3
chr10	5776	6178	+	ONT10.3977.19336	intron	NRG3
chr10	6178	6280	+	ONT10.3977.19336	CDS	NRG3
chr10	6280	6381	+	ONT10.3977.19336	intron	NRG3
chr10	6381	6507	+	ONT10.3977.19336	CDS	NRG3
chr10	6507	6609	+	ONT10.3977.19336	intron	NRG3
chr10	6609	6736	+	ONT10.3977.19336	CDS	NRG3
chr10	6736	7444	+	ONT10.3977.19336	intron	NRG3
chr10	7444	7614	+	ONT10.3977.19336	CDS	NRG3
chr10	7614	7716	+	ONT10.3977.19336	intron	NRG3
chr10	7716	7787	+	ONT10.3977.19336	CDS	NRG3
chr10	7787	7888	+	ONT10.3977.19336	intron	NRG3
chr10	7888	8395	+	ONT10.3977.19336	CDS	NRG3
chr10	8396	9965	+	ONT10.3977.19336	UTR	NA
chr10	5575	5649	+	ONT10.3977.19339	UTR	NA
chr10	5649	5753	+	ONT10.3977.19339	intron	NA
chr10	5753	5772	+	ONT10.3977.19339	UTR	NA
chr10	5773	5776	+	ONT10.3977.19339	CDS	NRG3
chr10	5776	6178	+	ONT10.3977.19339	intron	NRG3
chr10	6178	6280	+	ONT10.3977.19339	CDS	NRG3
