seqnames	start	end	strand	transcript_id	type	gene_id
chr3	935	3492	-	ENST00000442080.6	UTR	NA
chr3	3493	4113	-	ENST00000442080.6	CDS	ENSG00000205835.9
chr3	4113	4214	-	ENST00000442080.6	intron	ENSG00000205835.9
chr3	4214	4330	-	ENST00000442080.6	CDS	ENSG00000205835.9
chr3	4330	4431	-	ENST00000442080.6	intron	ENSG00000205835.9
chr3	4431	4519	-	ENST00000442080.6	CDS	ENSG00000205835.9
chr3	4519	4620	-	ENST00000442080.6	intron	ENSG00000205835.9
chr3	4620	4794	-	ENST00000442080.6	CDS	ENSG00000205835.9
chr3	4794	4895	-	ENST00000442080.6	intron	ENSG00000205835.9
chr3	4895	4900	-	ENST00000442080.6	CDS	ENSG00000205835.9
chr3	4901	4976	-	ENST00000442080.6	UTR	NA
chr3	2	3495	-	ONT3.9473.23	UTR	NA
chr3	3496	4113	-	ONT3.9473.23	CDS	GMNC
chr3	4113	4214	-	ONT3.9473.23	intron	GMNC
chr3	4214	4330	-	ONT3.9473.23	CDS	GMNC
chr3	4330	4431	-	ONT3.9473.23	intron	GMNC
chr3	4431	4519	-	ONT3.9473.23	CDS	GMNC
chr3	4519	4620	-	ONT3.9473.23	intron	GMNC
chr3	4620	4794	-	ONT3.9473.23	CDS	GMNC
chr3	4794	4895	-	ONT3.9473.23	intron	GMNC
chr3	4895	4900	-	ONT3.9473.23	CDS	GMNC
chr3	4901	4975	-	ONT3.9473.23	UTR	NA
chr3	1076	3495	-	ONT3.9473.37	UTR	NA
chr3	3496	4113	-	ONT3.9473.37	CDS	GMNC
chr3	4113	4214	-	ONT3.9473.37	intron	GMNC
chr3	4214	4330	-	ONT3.9473.37	CDS	GMNC
chr3	4330	4431	-	ONT3.9473.37	intron	GMNC
chr3	4431	4519	-	ONT3.9473.37	CDS	GMNC
chr3	4519	4620	-	ONT3.9473.37	intron	GMNC
chr3	4620	4794	-	ONT3.9473.37	CDS	GMNC
chr3	4794	4895	-	ONT3.9473.37	intron	GMNC
chr3	4895	4900	-	ONT3.9473.37	CDS	GMNC
chr3	4901	4938	-	ONT3.9473.37	UTR	NA
chr3	979	3495	-	ONT3.9473.40	UTR	NA
chr3	3496	4113	-	ONT3.9473.40	CDS	GMNC
chr3	4113	4214	-	ONT3.9473.40	intron	GMNC
chr3	4214	4330	-	ONT3.9473.40	CDS	GMNC
chr3	4330	4431	-	ONT3.9473.40	intron	GMNC
chr3	4431	4519	-	ONT3.9473.40	CDS	GMNC
chr3	4519	4620	-	ONT3.9473.40	intron	GMNC
