seqnames	start	end	strand	transcript_id	type	gene_id
chr8	3	370	-	ENST00000409379.8	UTR	NA
chr8	371	564	-	ENST00000409379.8	CDS	ENSG00000160949.18
chr8	564	669	-	ENST00000409379.8	intron	ENSG00000160949.18
chr8	669	802	-	ENST00000409379.8	CDS	ENSG00000160949.18
chr8	802	903	-	ENST00000409379.8	intron	ENSG00000160949.18
chr8	903	976	-	ENST00000409379.8	CDS	ENSG00000160949.18
chr8	976	1077	-	ENST00000409379.8	intron	ENSG00000160949.18
chr8	1077	1252	-	ENST00000409379.8	CDS	ENSG00000160949.18
chr8	1252	2380	-	ENST00000409379.8	intron	ENSG00000160949.18
chr8	2380	2551	-	ENST00000409379.8	CDS	ENSG00000160949.18
chr8	2551	2655	-	ENST00000409379.8	intron	ENSG00000160949.18
chr8	2655	2956	-	ENST00000409379.8	CDS	ENSG00000160949.18
chr8	2956	3061	-	ENST00000409379.8	intron	ENSG00000160949.18
chr8	3061	3139	-	ENST00000409379.8	CDS	ENSG00000160949.18
chr8	3139	3241	-	ENST00000409379.8	intron	ENSG00000160949.18
chr8	3241	3394	-	ENST00000409379.8	CDS	ENSG00000160949.18
chr8	3394	3495	-	ENST00000409379.8	intron	ENSG00000160949.18
chr8	3495	3571	-	ENST00000409379.8	CDS	ENSG00000160949.18
chr8	3571	3677	-	ENST00000409379.8	intron	ENSG00000160949.18
chr8	3677	4437	-	ENST00000409379.8	CDS	ENSG00000160949.18
chr8	4437	4538	-	ENST00000409379.8	intron	ENSG00000160949.18
chr8	4538	4661	-	ENST00000409379.8	CDS	ENSG00000160949.18
chr8	4661	4737	-	ENST00000409379.8	intron	ENSG00000160949.18
chr8	4737	4900	-	ENST00000409379.8	CDS	ENSG00000160949.18
chr8	4900	5001	-	ENST00000409379.8	intron	ENSG00000160949.18
chr8	5001	5073	-	ENST00000409379.8	CDS	ENSG00000160949.18
chr8	5073	5174	-	ENST00000409379.8	intron	ENSG00000160949.18
chr8	5174	5263	-	ENST00000409379.8	CDS	ENSG00000160949.18
chr8	5263	5356	-	ENST00000409379.8	intron	ENSG00000160949.18
chr8	5356	5438	-	ENST00000409379.8	CDS	ENSG00000160949.18
chr8	5438	5539	-	ENST00000409379.8	intron	ENSG00000160949.18
chr8	5539	5728	-	ENST00000409379.8	CDS	ENSG00000160949.18
chr8	5728	5829	-	ENST00000409379.8	intron	ENSG00000160949.18
chr8	5829	5954	-	ENST00000409379.8	CDS	ENSG00000160949.18
chr8	5954	6055	-	ENST00000409379.8	intron	ENSG00000160949.18
