seqnames	start	end	strand	transcript_id	type	gene_id
chr17	2	214	-	ENST00000591022.6	UTR	NA
chr17	215	391	-	ENST00000591022.6	CDS	ENSG00000068137.15
chr17	391	492	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	492	683	-	ENST00000591022.6	CDS	ENSG00000068137.15
chr17	683	825	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	825	1283	-	ENST00000591022.6	CDS	ENSG00000068137.15
chr17	1283	1384	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	1384	1516	-	ENST00000591022.6	CDS	ENSG00000068137.15
chr17	1516	1617	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	1617	1753	-	ENST00000591022.6	CDS	ENSG00000068137.15
chr17	1753	1854	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	1854	2061	-	ENST00000591022.6	CDS	ENSG00000068137.15
chr17	2061	2162	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	2162	2468	-	ENST00000591022.6	CDS	ENSG00000068137.15
chr17	2468	2569	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	2569	2689	-	ENST00000591022.6	CDS	ENSG00000068137.15
chr17	2689	2790	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	2790	2947	-	ENST00000591022.6	CDS	ENSG00000068137.15
chr17	2947	3034	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	3034	3225	-	ENST00000591022.6	CDS	ENSG00000068137.15
chr17	3225	3325	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	3325	3404	-	ENST00000591022.6	CDS	ENSG00000068137.15
chr17	3404	3505	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	3505	3560	-	ENST00000591022.6	CDS	ENSG00000068137.15
chr17	3560	3661	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	3661	3825	-	ENST00000591022.6	CDS	ENSG00000068137.15
chr17	3826	4253	-	ENST00000591022.6	UTR	NA
chr17	4	217	-	ONT17.1086.22696	UTR	NA
chr17	218	391	-	ONT17.1086.22696	CDS	PLEKHH3
chr17	391	492	-	ONT17.1086.22696	intron	PLEKHH3
chr17	492	632	-	ONT17.1086.22696	CDS	PLEKHH3
chr17	633	683	-	ONT17.1086.22696	UTR	NA
chr17	683	850	-	ONT17.1086.22696	intron	NA
chr17	850	1039	-	ONT17.1086.22696	UTR	NA
chr17	2	217	-	ONT17.1086.22698	UTR	NA
chr17	218	391	-	ONT17.1086.22698	CDS	PLEKHH3
chr17	391	492	-	ONT17.1086.22698	intron	PLEKHH3
chr17	492	632	-	ONT17.1086.22698	CDS	PLEKHH3
chr17	633	724	-	ONT17.1086.22698	UTR	NA
chr17	9	217	-	ONT17.1086.22705	UTR	NA
chr17	218	391	-	ONT17.1086.22705	CDS	PLEKHH3
chr17	391	492	-	ONT17.1086.22705	intron	PLEKHH3
chr17	492	683	-	ONT17.1086.22705	CDS	PLEKHH3
chr17	683	825	-	ONT17.1086.22705	intron	PLEKHH3
chr17	825	923	-	ONT17.1086.22705	CDS	PLEKHH3
chr17	924	971	-	ONT17.1086.22705	UTR	NA
chr17	2	217	-	ONT17.1086.22710	UTR	NA
chr17	218	391	-	ONT17.1086.22710	CDS	PLEKHH3
chr17	391	492	-	ONT17.1086.22710	intron	PLEKHH3
chr17	492	683	-	ONT17.1086.22710	CDS	PLEKHH3
chr17	683	825	-	ONT17.1086.22710	intron	PLEKHH3
chr17	825	923	-	ONT17.1086.22710	CDS	PLEKHH3
chr17	924	1056	-	ONT17.1086.22710	UTR	NA
chr17	20	217	-	ONT17.1086.22713	UTR	NA
chr17	218	391	-	ONT17.1086.22713	CDS	PLEKHH3
chr17	391	492	-	ONT17.1086.22713	intron	PLEKHH3
chr17	492	632	-	ONT17.1086.22713	CDS	PLEKHH3
chr17	633	683	-	ONT17.1086.22713	UTR	NA
chr17	683	825	-	ONT17.1086.22713	intron	NA
chr17	825	847	-	ONT17.1086.22713	UTR	NA
chr17	5	217	-	ONT17.1086.22719	UTR	NA
chr17	218	391	-	ONT17.1086.22719	CDS	PLEKHH3
chr17	391	492	-	ONT17.1086.22719	intron	PLEKHH3
chr17	492	632	-	ONT17.1086.22719	CDS	PLEKHH3
chr17	633	683	-	ONT17.1086.22719	UTR	NA
chr17	683	850	-	ONT17.1086.22719	intron	NA
chr17	850	965	-	ONT17.1086.22719	UTR	NA
chr17	9	217	-	ONT17.1086.22724	UTR	NA
chr17	218	391	-	ONT17.1086.22724	CDS	PLEKHH3
chr17	391	492	-	ONT17.1086.22724	intron	PLEKHH3
chr17	492	632	-	ONT17.1086.22724	CDS	PLEKHH3
chr17	633	683	-	ONT17.1086.22724	UTR	NA
chr17	683	850	-	ONT17.1086.22724	intron	NA
chr17	850	906	-	ONT17.1086.22724	UTR	NA
chr17	2	391	-	ENST00000591022.6	exon	ENSG00000068137.15
chr17	391	492	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	492	683	-	ENST00000591022.6	exon	ENSG00000068137.15
chr17	683	825	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	825	1283	-	ENST00000591022.6	exon	ENSG00000068137.15
chr17	1283	1384	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	1384	1516	-	ENST00000591022.6	exon	ENSG00000068137.15
chr17	1516	1617	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	1617	1753	-	ENST00000591022.6	exon	ENSG00000068137.15
chr17	1753	1854	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	1854	2061	-	ENST00000591022.6	exon	ENSG00000068137.15
chr17	2061	2162	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	2162	2468	-	ENST00000591022.6	exon	ENSG00000068137.15
chr17	2468	2569	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	2569	2689	-	ENST00000591022.6	exon	ENSG00000068137.15
chr17	2689	2790	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	2790	2947	-	ENST00000591022.6	exon	ENSG00000068137.15
chr17	2947	3034	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	3034	3225	-	ENST00000591022.6	exon	ENSG00000068137.15
chr17	3225	3325	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	3325	3404	-	ENST00000591022.6	exon	ENSG00000068137.15
chr17	3404	3505	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	3505	3560	-	ENST00000591022.6	exon	ENSG00000068137.15
chr17	3560	3661	-	ENST00000591022.6	intron	ENSG00000068137.15
chr17	3661	4253	-	ENST00000591022.6	exon	ENSG00000068137.15
chr17	4	391	-	ONT17.1086.22696	exon	PLEKHH3
chr17	391	492	-	ONT17.1086.22696	intron	PLEKHH3
