seqnames	start	end	strand	transcript_id	type	gene_id
chr12	67	169	+	ENST00000257548.10	UTR	NA
chr12	170	252	+	ENST00000257548.10	CDS	ENSG00000135093.13
chr12	252	566	+	ENST00000257548.10	intron	ENSG00000135093.13
chr12	566	675	+	ENST00000257548.10	CDS	ENSG00000135093.13
chr12	675	778	+	ENST00000257548.10	intron	ENSG00000135093.13
chr12	778	960	+	ENST00000257548.10	CDS	ENSG00000135093.13
chr12	960	1064	+	ENST00000257548.10	intron	ENSG00000135093.13
chr12	1064	1167	+	ENST00000257548.10	CDS	ENSG00000135093.13
chr12	1167	1271	+	ENST00000257548.10	intron	ENSG00000135093.13
chr12	1271	1369	+	ENST00000257548.10	CDS	ENSG00000135093.13
chr12	1369	1472	+	ENST00000257548.10	intron	ENSG00000135093.13
chr12	1472	1517	+	ENST00000257548.10	CDS	ENSG00000135093.13
chr12	1517	1618	+	ENST00000257548.10	intron	ENSG00000135093.13
chr12	1618	1712	+	ENST00000257548.10	CDS	ENSG00000135093.13
chr12	1712	2054	+	ENST00000257548.10	intron	ENSG00000135093.13
chr12	2054	2113	+	ENST00000257548.10	CDS	ENSG00000135093.13
chr12	2113	2653	+	ENST00000257548.10	intron	ENSG00000135093.13
chr12	2653	2739	+	ENST00000257548.10	CDS	ENSG00000135093.13
chr12	2739	3383	+	ENST00000257548.10	intron	ENSG00000135093.13
chr12	3383	3463	+	ENST00000257548.10	CDS	ENSG00000135093.13
chr12	3463	3563	+	ENST00000257548.10	intron	ENSG00000135093.13
chr12	3563	3782	+	ENST00000257548.10	CDS	ENSG00000135093.13
chr12	3782	3998	+	ENST00000257548.10	intron	ENSG00000135093.13
chr12	3998	4118	+	ENST00000257548.10	CDS	ENSG00000135093.13
chr12	4118	4219	+	ENST00000257548.10	intron	ENSG00000135093.13
chr12	4219	4486	+	ENST00000257548.10	CDS	ENSG00000135093.13
chr12	4487	6575	+	ENST00000257548.10	UTR	NA
chr12	40	169	+	ONT12.4312.5300	UTR	NA
chr12	170	252	+	ONT12.4312.5300	CDS	USP30
chr12	252	566	+	ONT12.4312.5300	intron	USP30
chr12	566	675	+	ONT12.4312.5300	CDS	USP30
chr12	675	778	+	ONT12.4312.5300	intron	USP30
chr12	778	960	+	ONT12.4312.5300	CDS	USP30
chr12	960	1064	+	ONT12.4312.5300	intron	USP30
chr12	1064	1167	+	ONT12.4312.5300	CDS	USP30
chr12	1167	1271	+	ONT12.4312.5300	intron	USP30
chr12	1271	1369	+	ONT12.4312.5300	CDS	USP30
chr12	1369	1475	+	ONT12.4312.5300	intron	USP30
chr12	1475	1517	+	ONT12.4312.5300	CDS	USP30
chr12	1517	1618	+	ONT12.4312.5300	intron	USP30
chr12	1618	1712	+	ONT12.4312.5300	CDS	USP30
chr12	1712	2054	+	ONT12.4312.5300	intron	USP30
chr12	2054	2113	+	ONT12.4312.5300	CDS	USP30
chr12	2113	2653	+	ONT12.4312.5300	intron	USP30
chr12	2653	2739	+	ONT12.4312.5300	CDS	USP30
chr12	2739	3383	+	ONT12.4312.5300	intron	USP30
chr12	3383	3463	+	ONT12.4312.5300	CDS	USP30
chr12	3463	3563	+	ONT12.4312.5300	intron	USP30
chr12	3563	3782	+	ONT12.4312.5300	CDS	USP30
chr12	3782	3998	+	ONT12.4312.5300	intron	USP30
chr12	3998	4118	+	ONT12.4312.5300	CDS	USP30
chr12	4118	4219	+	ONT12.4312.5300	intron	USP30
chr12	4219	4483	+	ONT12.4312.5300	CDS	USP30
chr12	4484	6571	+	ONT12.4312.5300	UTR	NA
chr12	2	169	+	ONT12.4312.5302	UTR	NA
chr12	170	252	+	ONT12.4312.5302	CDS	USP30
chr12	252	566	+	ONT12.4312.5302	intron	USP30
chr12	566	675	+	ONT12.4312.5302	CDS	USP30
chr12	675	778	+	ONT12.4312.5302	intron	USP30
chr12	778	960	+	ONT12.4312.5302	CDS	USP30
chr12	960	1064	+	ONT12.4312.5302	intron	USP30
chr12	1064	1167	+	ONT12.4312.5302	CDS	USP30
chr12	1167	1271	+	ONT12.4312.5302	intron	USP30
chr12	1271	1369	+	ONT12.4312.5302	CDS	USP30
chr12	1369	1472	+	ONT12.4312.5302	intron	USP30
chr12	1472	1517	+	ONT12.4312.5302	CDS	USP30
chr12	1517	1618	+	ONT12.4312.5302	intron	USP30
chr12	1618	1712	+	ONT12.4312.5302	CDS	USP30
chr12	1712	2054	+	ONT12.4312.5302	intron	USP30
chr12	2054	2113	+	ONT12.4312.5302	CDS	USP30
chr12	2113	2653	+	ONT12.4312.5302	intron	USP30
chr12	2653	2731	+	ONT12.4312.5302	CDS	USP30
chr12	2731	3383	+	ONT12.4312.5302	intron	USP30
chr12	3383	3387	+	ONT12.4312.5302	CDS	USP30
chr12	3388	3463	+	ONT12.4312.5302	UTR	NA
chr12	3463	3563	+	ONT12.4312.5302	intron	NA
chr12	3563	3782	+	ONT12.4312.5302	UTR	NA
chr12	3782	3998	+	ONT12.4312.5302	intron	NA
chr12	3998	4118	+	ONT12.4312.5302	UTR	NA
chr12	4118	4219	+	ONT12.4312.5302	intron	NA
chr12	4219	6565	+	ONT12.4312.5302	UTR	NA
chr12	6	169	+	ONT12.4312.5303	UTR	NA
chr12	170	252	+	ONT12.4312.5303	CDS	USP30
chr12	252	566	+	ONT12.4312.5303	intron	USP30
chr12	566	675	+	ONT12.4312.5303	CDS	USP30
chr12	675	778	+	ONT12.4312.5303	intron	USP30
chr12	778	960	+	ONT12.4312.5303	CDS	USP30
chr12	960	1064	+	ONT12.4312.5303	intron	USP30
chr12	1064	1167	+	ONT12.4312.5303	CDS	USP30
chr12	1167	1271	+	ONT12.4312.5303	intron	USP30
chr12	1271	1369	+	ONT12.4312.5303	CDS	USP30
chr12	1369	1472	+	ONT12.4312.5303	intron	USP30
chr12	1472	1517	+	ONT12.4312.5303	CDS	USP30
chr12	1517	1618	+	ONT12.4312.5303	intron	USP30
chr12	1618	1712	+	ONT12.4312.5303	CDS	USP30
chr12	1712	2054	+	ONT12.4312.5303	intron	USP30
chr12	2054	2113	+	ONT12.4312.5303	CDS	USP30
chr12	2113	2653	+	ONT12.4312.5303	intron	USP30
chr12	2653	2739	+	ONT12.4312.5303	CDS	USP30
chr12	2739	3383	+	ONT12.4312.5303	intron	USP30
chr12	3383	3463	+	ONT12.4312.5303	CDS	USP30
chr12	3463	3563	+	ONT12.4312.5303	intron	USP30
chr12	3563	3782	+	ONT12.4312.5303	CDS	USP30
chr12	3782	3998	+	ONT12.4312.5303	intron	USP30
chr12	3998	4118	+	ONT12.4312.5303	CDS	USP30
chr12	4118	4219	+	ONT12.4312.5303	intron	USP30
chr12	4219	4483	+	ONT12.4312.5303	CDS	USP30
chr12	4484	4934	+	ONT12.4312.5303	UTR	NA
chr12	85	169	+	ONT12.4312.5306	UTR	NA
chr12	170	252	+	ONT12.4312.5306	CDS	USP30
chr12	252	1064	+	ONT12.4312.5306	intron	USP30
chr12	1064	1088	+	ONT12.4312.5306	CDS	USP30
chr12	1089	1167	+	ONT12.4312.5306	UTR	NA
chr12	1167	1271	+	ONT12.4312.5306	intron	NA
chr12	1271	1369	+	ONT12.4312.5306	UTR	NA
chr12	1369	1472	+	ONT12.4312.5306	intron	NA
chr12	1472	1517	+	ONT12.4312.5306	UTR	NA
chr12	1517	1618	+	ONT12.4312.5306	intron	NA
chr12	1618	1712	+	ONT12.4312.5306	UTR	NA
chr12	1712	2054	+	ONT12.4312.5306	intron	NA
chr12	2054	2113	+	ONT12.4312.5306	UTR	NA
chr12	2113	2653	+	ONT12.4312.5306	intron	NA
chr12	2653	2739	+	ONT12.4312.5306	UTR	NA
chr12	2739	3383	+	ONT12.4312.5306	intron	NA
chr12	3383	3463	+	ONT12.4312.5306	UTR	NA
chr12	3463	3563	+	ONT12.4312.5306	intron	NA
chr12	3563	3782	+	ONT12.4312.5306	UTR	NA
chr12	3782	3998	+	ONT12.4312.5306	intron	NA
chr12	3998	4118	+	ONT12.4312.5306	UTR	NA
chr12	4118	4219	+	ONT12.4312.5306	intron	NA
chr12	4219	6575	+	ONT12.4312.5306	UTR	NA
chr12	31	169	+	ONT12.4312.5307	UTR	NA
chr12	170	252	+	ONT12.4312.5307	CDS	USP30
chr12	252	1064	+	ONT12.4312.5307	intron	USP30
chr12	1064	1088	+	ONT12.4312.5307	CDS	USP30
chr12	1089	1167	+	ONT12.4312.5307	UTR	NA
chr12	1167	1271	+	ONT12.4312.5307	intron	NA
chr12	1271	1369	+	ONT12.4312.5307	UTR	NA
chr12	1369	1472	+	ONT12.4312.5307	intron	NA
chr12	1472	1517	+	ONT12.4312.5307	UTR	NA
chr12	1517	1618	+	ONT12.4312.5307	intron	NA
chr12	1618	1712	+	ONT12.4312.5307	UTR	NA
chr12	1712	2054	+	ONT12.4312.5307	intron	NA
chr12	2054	2113	+	ONT12.4312.5307	UTR	NA
chr12	2113	2653	+	ONT12.4312.5307	intron	NA
chr12	2653	2739	+	ONT12.4312.5307	UTR	NA
chr12	2739	3383	+	ONT12.4312.5307	intron	NA
chr12	3383	3463	+	ONT12.4312.5307	UTR	NA
