seqnames	start	end	strand	transcript_id	type	gene_id
chr2	4261	7693	-	ENST00000420128.6	UTR	NA
chr2	7694	7713	-	ENST00000420128.6	CDS	ENSG00000226124.9
chr2	7713	7814	-	ENST00000420128.6	intron	ENSG00000226124.9
chr2	7814	7999	-	ENST00000420128.6	CDS	ENSG00000226124.9
chr2	7999	8100	-	ENST00000420128.6	intron	ENSG00000226124.9
chr2	8100	8195	-	ENST00000420128.6	CDS	ENSG00000226124.9
chr2	8195	8296	-	ENST00000420128.6	intron	ENSG00000226124.9
chr2	8296	8413	-	ENST00000420128.6	CDS	ENSG00000226124.9
chr2	8414	8417	-	ENST00000420128.6	UTR	NA
chr2	8417	8518	-	ENST00000420128.6	intron	NA
chr2	8518	8970	-	ENST00000420128.6	UTR	NA
chr2	13	1253	-	ONT2.11494.342	UTR	NA
chr2	1253	1354	-	ONT2.11494.342	intron	NA
chr2	1354	1357	-	ONT2.11494.342	UTR	NA
chr2	1358	1485	-	ONT2.11494.342	CDS	FTCDNL1
chr2	1485	7814	-	ONT2.11494.342	intron	FTCDNL1
chr2	7814	7999	-	ONT2.11494.342	CDS	FTCDNL1
chr2	7999	8100	-	ONT2.11494.342	intron	FTCDNL1
chr2	8100	8195	-	ONT2.11494.342	CDS	FTCDNL1
chr2	8195	8296	-	ONT2.11494.342	intron	FTCDNL1
chr2	8296	8413	-	ONT2.11494.342	CDS	FTCDNL1
chr2	8414	8417	-	ONT2.11494.342	UTR	NA
chr2	8417	8850	-	ONT2.11494.342	intron	NA
chr2	8850	8934	-	ONT2.11494.342	UTR	NA
chr2	2	1253	-	ONT2.11494.355	UTR	NA
chr2	1253	1354	-	ONT2.11494.355	intron	NA
chr2	1354	1357	-	ONT2.11494.355	UTR	NA
chr2	1358	1485	-	ONT2.11494.355	CDS	FTCDNL1
chr2	1485	7814	-	ONT2.11494.355	intron	FTCDNL1
chr2	7814	7999	-	ONT2.11494.355	CDS	FTCDNL1
chr2	7999	8100	-	ONT2.11494.355	intron	FTCDNL1
chr2	8100	8195	-	ONT2.11494.355	CDS	FTCDNL1
chr2	8195	8296	-	ONT2.11494.355	intron	FTCDNL1
chr2	8296	8413	-	ONT2.11494.355	CDS	FTCDNL1
chr2	8414	8417	-	ONT2.11494.355	UTR	NA
chr2	8417	8518	-	ONT2.11494.355	intron	NA
chr2	8518	8636	-	ONT2.11494.355	UTR	NA
chr2	1075	1253	-	ONT2.11494.425	UTR	NA
chr2	1253	1354	-	ONT2.11494.425	intron	NA
chr2	1354	1357	-	ONT2.11494.425	UTR	NA
chr2	1358	1485	-	ONT2.11494.425	CDS	FTCDNL1
chr2	1485	7814	-	ONT2.11494.425	intron	FTCDNL1
chr2	7814	7999	-	ONT2.11494.425	CDS	FTCDNL1
chr2	7999	8100	-	ONT2.11494.425	intron	FTCDNL1
chr2	8100	8195	-	ONT2.11494.425	CDS	FTCDNL1
chr2	8195	8296	-	ONT2.11494.425	intron	FTCDNL1
chr2	8296	8413	-	ONT2.11494.425	CDS	FTCDNL1
chr2	8414	8417	-	ONT2.11494.425	UTR	NA
chr2	8417	8518	-	ONT2.11494.425	intron	NA
chr2	8518	8654	-	ONT2.11494.425	UTR	NA
chr2	1586	4140	-	ONT2.11494.721	UTR	NA
chr2	4141	4160	-	ONT2.11494.721	CDS	FTCDNL1
chr2	4160	7814	-	ONT2.11494.721	intron	FTCDNL1
chr2	7814	7999	-	ONT2.11494.721	CDS	FTCDNL1
chr2	7999	8100	-	ONT2.11494.721	intron	FTCDNL1
chr2	8100	8195	-	ONT2.11494.721	CDS	FTCDNL1
chr2	8195	8296	-	ONT2.11494.721	intron	FTCDNL1
chr2	8296	8413	-	ONT2.11494.721	CDS	FTCDNL1
chr2	8414	8417	-	ONT2.11494.721	UTR	NA
chr2	8417	8850	-	ONT2.11494.721	intron	NA
chr2	8850	8940	-	ONT2.11494.721	UTR	NA
chr2	1592	4140	-	ONT2.11494.727	UTR	NA
chr2	4141	4160	-	ONT2.11494.727	CDS	FTCDNL1
chr2	4160	7814	-	ONT2.11494.727	intron	FTCDNL1
chr2	7814	7999	-	ONT2.11494.727	CDS	FTCDNL1
chr2	7999	8100	-	ONT2.11494.727	intron	FTCDNL1
chr2	8100	8195	-	ONT2.11494.727	CDS	FTCDNL1
chr2	8195	8296	-	ONT2.11494.727	intron	FTCDNL1
chr2	8296	8413	-	ONT2.11494.727	CDS	FTCDNL1
chr2	8414	8417	-	ONT2.11494.727	UTR	NA
chr2	8417	8537	-	ONT2.11494.727	intron	NA
chr2	8537	8926	-	ONT2.11494.727	UTR	NA
chr2	3861	4140	-	ONT2.11494.752	UTR	NA
chr2	4141	4160	-	ONT2.11494.752	CDS	FTCDNL1
chr2	4160	7814	-	ONT2.11494.752	intron	FTCDNL1
chr2	7814	7999	-	ONT2.11494.752	CDS	FTCDNL1
chr2	7999	8100	-	ONT2.11494.752	intron	FTCDNL1
chr2	8100	8195	-	ONT2.11494.752	CDS	FTCDNL1
chr2	8195	8296	-	ONT2.11494.752	intron	FTCDNL1
chr2	8296	8413	-	ONT2.11494.752	CDS	FTCDNL1
chr2	8414	8417	-	ONT2.11494.752	UTR	NA
chr2	8417	8850	-	ONT2.11494.752	intron	NA
chr2	8850	8934	-	ONT2.11494.752	UTR	NA
chr2	3864	4140	-	ONT2.11494.770	UTR	NA
chr2	4141	4160	-	ONT2.11494.770	CDS	FTCDNL1
chr2	4160	7814	-	ONT2.11494.770	intron	FTCDNL1
chr2	7814	7999	-	ONT2.11494.770	CDS	FTCDNL1
chr2	7999	8100	-	ONT2.11494.770	intron	FTCDNL1
chr2	8100	8195	-	ONT2.11494.770	CDS	FTCDNL1
chr2	8195	8296	-	ONT2.11494.770	intron	FTCDNL1
chr2	8296	8413	-	ONT2.11494.770	CDS	FTCDNL1
chr2	8414	8417	-	ONT2.11494.770	UTR	NA
chr2	8417	8537	-	ONT2.11494.770	intron	NA
chr2	8537	8651	-	ONT2.11494.770	UTR	NA
chr2	7129	10581	-	ENST00000420128.6	exon	ENSG00000226124.9
chr2	10581	12386	-	ENST00000420128.6	intron	ENSG00000226124.9
chr2	12386	12571	-	ENST00000420128.6	exon	ENSG00000226124.9
chr2	12571	15273	-	ENST00000420128.6	intron	ENSG00000226124.9
chr2	15273	15368	-	ENST00000420128.6	exon	ENSG00000226124.9
chr2	15368	15469	-	ENST00000420128.6	intron	ENSG00000226124.9
chr2	15469	15590	-	ENST00000420128.6	exon	ENSG00000226124.9
chr2	15590	15694	-	ENST00000420128.6	intron	NA
chr2	15694	16146	-	ENST00000420128.6	exon	ENSG00000226124.9
chr2	10682	12571	-	ONT2.11494.1476	exon	FTCDNL1
chr2	12572	12667	-	ONT2.11494.1476	exon	FTCDNL1
chr2	12668	12789	-	ONT2.11494.1476	exon	FTCDNL1
chr2	12790	12868	-	ONT2.11494.1476	exon	FTCDNL1
chr2	10691	12571	-	ONT2.11494.1477	exon	FTCDNL1
chr2	12572	12667	-	ONT2.11494.1477	exon	FTCDNL1
chr2	12668	12789	-	ONT2.11494.1477	exon	FTCDNL1
chr2	12790	12931	-	ONT2.11494.1477	exon	FTCDNL1
chr2	11175	12571	-	ONT2.11494.1486	exon	FTCDNL1
chr2	12572	12667	-	ONT2.11494.1486	exon	FTCDNL1
chr2	12668	12789	-	ONT2.11494.1486	exon	FTCDNL1
chr2	12790	12882	-	ONT2.11494.1486	exon	FTCDNL1
chr2	11175	12571	-	ONT2.11494.1490	exon	FTCDNL1
chr2	12572	12667	-	ONT2.11494.1490	exon	FTCDNL1
chr2	12668	12789	-	ONT2.11494.1490	exon	FTCDNL1
chr2	12790	12868	-	ONT2.11494.1490	exon	FTCDNL1
chr2	11175	12571	-	ONT2.11494.1492	exon	FTCDNL1
chr2	12572	12667	-	ONT2.11494.1492	exon	FTCDNL1
chr2	12668	12787	-	ONT2.11494.1492	exon	FTCDNL1
chr2	11179	12571	-	ONT2.11494.1498	exon	FTCDNL1
chr2	12572	12667	-	ONT2.11494.1498	exon	FTCDNL1
chr2	12668	12789	-	ONT2.11494.1498	exon	FTCDNL1
chr2	12790	12910	-	ONT2.11494.1498	exon	FTCDNL1
chr2	11188	12571	-	ONT2.11494.1500	exon	FTCDNL1
chr2	12572	12667	-	ONT2.11494.1500	exon	FTCDNL1
chr2	12668	12789	-	ONT2.11494.1500	exon	FTCDNL1
chr2	12790	12861	-	ONT2.11494.1500	exon	FTCDNL1
chr2	11188	12571	-	ONT2.11494.1505	exon	FTCDNL1
chr2	12572	12667	-	ONT2.11494.1505	exon	FTCDNL1
chr2	12668	12785	-	ONT2.11494.1505	exon	FTCDNL1
chr2	12672	14163	-	ONT2.11494.1632	exon	FTCDNL1
chr2	14164	14259	-	ONT2.11494.1632	exon	FTCDNL1
chr2	14260	14381	-	ONT2.11494.1632	exon	FTCDNL1
chr2	14382	14494	-	ONT2.11494.1632	exon	FTCDNL1
chr2	12689	14163	-	ONT2.11494.1634	exon	FTCDNL1
chr2	14164	14259	-	ONT2.11494.1634	exon	FTCDNL1
chr2	14260	14381	-	ONT2.11494.1634	exon	FTCDNL1
chr2	14382	14507	-	ONT2.11494.1634	exon	FTCDNL1
chr2	14264	15368	-	ONT2.11494.1686	exon	FTCDNL1
chr2	15369	15490	-	ONT2.11494.1686	exon	FTCDNL1
chr2	15491	15687	-	ONT2.11494.1686	exon	FTCDNL1
chr2	15274	15368	-	ONT2.11494.1693	exon	FTCDNL1
chr2	15369	15490	-	ONT2.11494.1693	exon	FTCDNL1
chr2	15491	15575	-	ONT2.11494.1693	exon	FTCDNL1
chr2	15515	15590	-	ONT2.11494.1698	exon	FTCDNL1
chr2	15591	15983	-	ONT2.11494.1698	exon	FTCDNL1
chr2	15520	15590	-	ONT2.11494.1699	exon	FTCDNL1
chr2	15591	15702	-	ONT2.11494.1699	exon	FTCDNL1
chr2	2	3301	-	ONT2.11494.256	exon	FTCDNL1
chr2	3302	3433	-	ONT2.11494.256	exon	FTCDNL1
chr2	3434	3529	-	ONT2.11494.256	exon	FTCDNL1
chr2	3530	3651	-	ONT2.11494.256	exon	FTCDNL1
chr2	3652	3709	-	ONT2.11494.256	exon	FTCDNL1
chr2	2079	3301	-	ONT2.11494.323	exon	FTCDNL1
chr2	3302	3433	-	ONT2.11494.323	exon	FTCDNL1
chr2	3434	3529	-	ONT2.11494.323	exon	FTCDNL1
chr2	3530	3651	-	ONT2.11494.323	exon	FTCDNL1
chr2	3652	3732	-	ONT2.11494.323	exon	FTCDNL1
chr2	1996	3301	-	ONT2.11494.324	exon	FTCDNL1
chr2	3302	3433	-	ONT2.11494.324	exon	FTCDNL1
chr2	3434	3529	-	ONT2.11494.324	exon	FTCDNL1
chr2	3530	3651	-	ONT2.11494.324	exon	FTCDNL1
chr2	3652	3993	-	ONT2.11494.324	exon	FTCDNL1
chr2	2041	3301	-	ONT2.11494.333	exon	FTCDNL1
chr2	3302	3433	-	ONT2.11494.333	exon	FTCDNL1
chr2	3434	3529	-	ONT2.11494.333	exon	FTCDNL1
chr2	3530	3651	-	ONT2.11494.333	exon	FTCDNL1
chr2	3652	3799	-	ONT2.11494.333	exon	FTCDNL1
chr2	2041	3301	-	ONT2.11494.334	exon	FTCDNL1
chr2	3302	3397	-	ONT2.11494.334	exon	FTCDNL1
chr2	3398	3519	-	ONT2.11494.334	exon	FTCDNL1
chr2	3520	3637	-	ONT2.11494.334	exon	FTCDNL1
chr2	2061	3301	-	ONT2.11494.337	exon	FTCDNL1
chr2	3302	3433	-	ONT2.11494.337	exon	FTCDNL1
chr2	3434	3529	-	ONT2.11494.337	exon	FTCDNL1
chr2	3530	3651	-	ONT2.11494.337	exon	FTCDNL1
chr2	3652	3759	-	ONT2.11494.337	exon	FTCDNL1
chr2	2077	3301	-	ONT2.11494.339	exon	FTCDNL1
chr2	3302	3397	-	ONT2.11494.339	exon	FTCDNL1
chr2	3398	3519	-	ONT2.11494.339	exon	FTCDNL1
chr2	3520	3595	-	ONT2.11494.339	exon	FTCDNL1
chr2	2061	3301	-	ONT2.11494.342	exon	FTCDNL1
chr2	3301	3402	-	ONT2.11494.342	intron	NA
chr2	3402	3533	-	ONT2.11494.342	exon	FTCDNL1
chr2	3533	12386	-	ONT2.11494.342	intron	FTCDNL1
chr2	12386	12571	-	ONT2.11494.342	exon	FTCDNL1
chr2	12571	15273	-	ONT2.11494.342	intron	FTCDNL1
chr2	15273	15368	-	ONT2.11494.342	exon	FTCDNL1
chr2	15368	15469	-	ONT2.11494.342	intron	FTCDNL1
chr2	15469	15590	-	ONT2.11494.342	exon	FTCDNL1
chr2	15590	16026	-	ONT2.11494.342	intron	NA
chr2	16026	16110	-	ONT2.11494.342	exon	FTCDNL1
chr2	2045	3301	-	ONT2.11494.345	exon	FTCDNL1
