seqnames	start	end	strand	transcript_id	type	gene_id
chr19	2	192	+	ENST00000248076.4	UTR	NA
chr19	193	301	+	ENST00000248076.4	CDS	ENSG00000127533.4
chr19	301	402	+	ENST00000248076.4	intron	ENSG00000127533.4
chr19	402	1453	+	ENST00000248076.4	CDS	ENSG00000127533.4
chr19	1454	3435	+	ENST00000248076.4	UTR	NA
chr19	31	192	+	ONT19.47.128327	UTR	NA
chr19	193	301	+	ONT19.47.128327	CDS	F2RL3
chr19	301	402	+	ONT19.47.128327	intron	F2RL3
chr19	402	1450	+	ONT19.47.128327	CDS	F2RL3
chr19	1451	2848	+	ONT19.47.128327	UTR	NA
chr19	2	301	+	ENST00000248076.4	exon	ENSG00000127533.4
chr19	301	402	+	ENST00000248076.4	intron	ENSG00000127533.4
chr19	402	3435	+	ENST00000248076.4	exon	ENSG00000127533.4
chr19	31	301	+	ONT19.47.128327	exon	F2RL3
chr19	301	402	+	ONT19.47.128327	intron	F2RL3
chr19	402	2848	+	ONT19.47.128327	exon	F2RL3
