seqnames	start	end	strand	transcript_id	type	gene_id
chr1	47	187	+	ENST00000366788.8	UTR	NA
chr1	188	389	+	ENST00000366788.8	CDS	ENSG00000203685.11
chr1	389	490	+	ENST00000366788.8	intron	ENSG00000203685.11
chr1	490	669	+	ENST00000366788.8	CDS	ENSG00000203685.11
chr1	669	784	+	ENST00000366788.8	intron	ENSG00000203685.11
chr1	784	792	+	ENST00000366788.8	CDS	ENSG00000203685.11
chr1	792	903	+	ENST00000366788.8	intron	ENSG00000203685.11
chr1	903	940	+	ENST00000366788.8	CDS	ENSG00000203685.11
chr1	941	8127	+	ENST00000366788.8	UTR	NA
chr1	2	187	+	ONT1.9283.29300	UTR	NA
chr1	188	389	+	ONT1.9283.29300	CDS	STUM
chr1	389	490	+	ONT1.9283.29300	intron	STUM
chr1	490	669	+	ONT1.9283.29300	CDS	STUM
chr1	669	893	+	ONT1.9283.29300	intron	STUM
chr1	893	978	+	ONT1.9283.29300	CDS	STUM
chr1	979	8124	+	ONT1.9283.29300	UTR	NA
chr1	48	187	+	ONT1.9283.29311	UTR	NA
chr1	188	389	+	ONT1.9283.29311	CDS	STUM
chr1	389	490	+	ONT1.9283.29311	intron	STUM
chr1	490	669	+	ONT1.9283.29311	CDS	STUM
chr1	669	903	+	ONT1.9283.29311	intron	STUM
chr1	903	937	+	ONT1.9283.29311	CDS	STUM
chr1	938	1090	+	ONT1.9283.29311	UTR	NA
chr1	40	187	+	ONT1.9283.29312	UTR	NA
chr1	188	389	+	ONT1.9283.29312	CDS	STUM
chr1	389	490	+	ONT1.9283.29312	intron	STUM
chr1	490	669	+	ONT1.9283.29312	CDS	STUM
chr1	669	903	+	ONT1.9283.29312	intron	STUM
chr1	903	937	+	ONT1.9283.29312	CDS	STUM
chr1	938	2002	+	ONT1.9283.29312	UTR	NA
chr1	41	187	+	ONT1.9283.29316	UTR	NA
chr1	188	389	+	ONT1.9283.29316	CDS	STUM
chr1	389	490	+	ONT1.9283.29316	intron	STUM
chr1	490	677	+	ONT1.9283.29316	CDS	STUM
chr1	678	679	+	ONT1.9283.29316	UTR	NA
chr1	679	903	+	ONT1.9283.29316	intron	NA
chr1	903	2710	+	ONT1.9283.29316	UTR	NA
chr1	2710	4576	+	ONT1.9283.29316	intron	NA
chr1	4576	8111	+	ONT1.9283.29316	UTR	NA
chr1	43	187	+	ONT1.9283.29318	UTR	NA
chr1	188	389	+	ONT1.9283.29318	CDS	STUM
chr1	389	490	+	ONT1.9283.29318	intron	STUM
chr1	490	669	+	ONT1.9283.29318	CDS	STUM
chr1	669	893	+	ONT1.9283.29318	intron	STUM
chr1	893	978	+	ONT1.9283.29318	CDS	STUM
chr1	979	2710	+	ONT1.9283.29318	UTR	NA
chr1	2710	4576	+	ONT1.9283.29318	intron	NA
chr1	4576	8111	+	ONT1.9283.29318	UTR	NA
chr1	75	187	+	ONT1.9283.29335	UTR	NA
chr1	188	389	+	ONT1.9283.29335	CDS	STUM
chr1	389	490	+	ONT1.9283.29335	intron	STUM
chr1	490	669	+	ONT1.9283.29335	CDS	STUM
chr1	669	893	+	ONT1.9283.29335	intron	STUM
chr1	893	978	+	ONT1.9283.29335	CDS	STUM
chr1	979	8109	+	ONT1.9283.29335	UTR	NA
chr1	76	187	+	ONT1.9283.29343	UTR	NA
chr1	188	389	+	ONT1.9283.29343	CDS	STUM
chr1	389	490	+	ONT1.9283.29343	intron	STUM
chr1	490	669	+	ONT1.9283.29343	CDS	STUM
