seqnames	start	end	strand	transcript_id	type	gene_id
chr12	124	465	+	ENST00000267260.5	UTR	NA
chr12	466	596	+	ENST00000267260.5	CDS	ENSG00000139767.10
chr12	596	989	+	ENST00000267260.5	intron	ENSG00000139767.10
chr12	989	1135	+	ENST00000267260.5	CDS	ENSG00000139767.10
chr12	1135	1945	+	ENST00000267260.5	intron	ENSG00000139767.10
chr12	1945	2031	+	ENST00000267260.5	CDS	ENSG00000139767.10
chr12	2031	2134	+	ENST00000267260.5	intron	ENSG00000139767.10
chr12	2134	2205	+	ENST00000267260.5	CDS	ENSG00000139767.10
chr12	2205	5360	+	ENST00000267260.5	intron	ENSG00000139767.10
chr12	5360	5386	+	ENST00000267260.5	CDS	ENSG00000139767.10
chr12	5386	5489	+	ENST00000267260.5	intron	ENSG00000139767.10
chr12	5489	5539	+	ENST00000267260.5	CDS	ENSG00000139767.10
chr12	5539	5839	+	ENST00000267260.5	intron	ENSG00000139767.10
chr12	5839	5937	+	ENST00000267260.5	CDS	ENSG00000139767.10
chr12	5937	8219	+	ENST00000267260.5	intron	ENSG00000139767.10
chr12	8219	8375	+	ENST00000267260.5	CDS	ENSG00000139767.10
chr12	8375	10884	+	ENST00000267260.5	intron	ENSG00000139767.10
chr12	10884	11188	+	ENST00000267260.5	CDS	ENSG00000139767.10
chr12	11188	13259	+	ENST00000267260.5	intron	ENSG00000139767.10
chr12	13259	13462	+	ENST00000267260.5	CDS	ENSG00000139767.10
chr12	13462	13879	+	ENST00000267260.5	intron	ENSG00000139767.10
chr12	13879	13989	+	ENST00000267260.5	CDS	ENSG00000139767.10
chr12	13989	14090	+	ENST00000267260.5	intron	ENSG00000139767.10
chr12	14090	14230	+	ENST00000267260.5	CDS	ENSG00000139767.10
chr12	14230	14331	+	ENST00000267260.5	intron	ENSG00000139767.10
chr12	14331	14637	+	ENST00000267260.5	CDS	ENSG00000139767.10
chr12	14638	20887	+	ENST00000267260.5	UTR	NA
chr12	2	465	+	ONT12.4739.137	UTR	NA
chr12	466	596	+	ONT12.4739.137	CDS	SRRM4
chr12	596	989	+	ONT12.4739.137	intron	SRRM4
chr12	989	1135	+	ONT12.4739.137	CDS	SRRM4
chr12	1135	1945	+	ONT12.4739.137	intron	SRRM4
chr12	1945	2031	+	ONT12.4739.137	CDS	SRRM4
chr12	2031	2134	+	ONT12.4739.137	intron	SRRM4
chr12	2134	2205	+	ONT12.4739.137	CDS	SRRM4
chr12	2205	5360	+	ONT12.4739.137	intron	SRRM4
chr12	5360	5386	+	ONT12.4739.137	CDS	SRRM4
chr12	5386	5489	+	ONT12.4739.137	intron	SRRM4
chr12	5489	5539	+	ONT12.4739.137	CDS	SRRM4
chr12	5539	5839	+	ONT12.4739.137	intron	SRRM4
chr12	5839	5937	+	ONT12.4739.137	CDS	SRRM4
chr12	5937	8219	+	ONT12.4739.137	intron	SRRM4
chr12	8219	8375	+	ONT12.4739.137	CDS	SRRM4
chr12	8375	10884	+	ONT12.4739.137	intron	SRRM4
chr12	10884	11234	+	ONT12.4739.137	CDS	SRRM4
chr12	11235	12103	+	ONT12.4739.137	UTR	NA
chr12	50	465	+	ONT12.4739.153	UTR	NA
chr12	466	596	+	ONT12.4739.153	CDS	SRRM4
chr12	596	989	+	ONT12.4739.153	intron	SRRM4
chr12	989	1139	+	ONT12.4739.153	CDS	SRRM4
chr12	1140	1844	+	ONT12.4739.153	UTR	NA
chr12	78	465	+	ONT12.4739.176	UTR	NA
chr12	466	596	+	ONT12.4739.176	CDS	SRRM4
chr12	596	989	+	ONT12.4739.176	intron	SRRM4
chr12	989	1135	+	ONT12.4739.176	CDS	SRRM4
chr12	1135	1945	+	ONT12.4739.176	intron	SRRM4
chr12	1945	2031	+	ONT12.4739.176	CDS	SRRM4
chr12	2031	2134	+	ONT12.4739.176	intron	SRRM4
chr12	2134	2242	+	ONT12.4739.176	CDS	SRRM4
chr12	2242	5489	+	ONT12.4739.176	intron	SRRM4
chr12	5489	5497	+	ONT12.4739.176	CDS	SRRM4
chr12	5498	5539	+	ONT12.4739.176	UTR	NA
chr12	5539	5839	+	ONT12.4739.176	intron	NA
chr12	5839	5937	+	ONT12.4739.176	UTR	NA
chr12	5937	8219	+	ONT12.4739.176	intron	NA
chr12	8219	8676	+	ONT12.4739.176	UTR	NA
chr12	78	465	+	ONT12.4739.179	UTR	NA
chr12	466	596	+	ONT12.4739.179	CDS	SRRM4
chr12	596	989	+	ONT12.4739.179	intron	SRRM4
chr12	989	1135	+	ONT12.4739.179	CDS	SRRM4
chr12	1135	1945	+	ONT12.4739.179	intron	SRRM4
chr12	1945	2031	+	ONT12.4739.179	CDS	SRRM4
chr12	2031	2134	+	ONT12.4739.179	intron	SRRM4
chr12	2134	2205	+	ONT12.4739.179	CDS	SRRM4
chr12	2205	6593	+	ONT12.4739.179	intron	SRRM4
chr12	6593	6680	+	ONT12.4739.179	CDS	SRRM4
chr12	6681	8107	+	ONT12.4739.179	UTR	NA
chr12	78	465	+	ONT12.4739.180	UTR	NA
chr12	466	596	+	ONT12.4739.180	CDS	SRRM4
chr12	596	989	+	ONT12.4739.180	intron	SRRM4
chr12	989	1135	+	ONT12.4739.180	CDS	SRRM4
chr12	1135	1945	+	ONT12.4739.180	intron	SRRM4
chr12	1945	2031	+	ONT12.4739.180	CDS	SRRM4
chr12	2031	2134	+	ONT12.4739.180	intron	SRRM4
chr12	2134	2205	+	ONT12.4739.180	CDS	SRRM4
chr12	2205	5360	+	ONT12.4739.180	intron	SRRM4
chr12	5360	5386	+	ONT12.4739.180	CDS	SRRM4
chr12	5386	6631	+	ONT12.4739.180	intron	SRRM4
chr12	6631	6646	+	ONT12.4739.180	CDS	SRRM4
chr12	6647	8107	+	ONT12.4739.180	UTR	NA
chr12	78	465	+	ONT12.4739.182	UTR	NA
chr12	466	596	+	ONT12.4739.182	CDS	SRRM4
chr12	596	989	+	ONT12.4739.182	intron	SRRM4
chr12	989	1135	+	ONT12.4739.182	CDS	SRRM4
chr12	1135	1945	+	ONT12.4739.182	intron	SRRM4
chr12	1945	2031	+	ONT12.4739.182	CDS	SRRM4
chr12	2031	2134	+	ONT12.4739.182	intron	SRRM4
chr12	2134	2205	+	ONT12.4739.182	CDS	SRRM4
chr12	2205	5360	+	ONT12.4739.182	intron	SRRM4
chr12	5360	5386	+	ONT12.4739.182	CDS	SRRM4
chr12	5386	5489	+	ONT12.4739.182	intron	SRRM4
chr12	5489	5539	+	ONT12.4739.182	CDS	SRRM4
chr12	5539	5839	+	ONT12.4739.182	intron	SRRM4
chr12	5839	5937	+	ONT12.4739.182	CDS	SRRM4
chr12	5937	8219	+	ONT12.4739.182	intron	SRRM4
chr12	8219	8375	+	ONT12.4739.182	CDS	SRRM4
chr12	8375	10884	+	ONT12.4739.182	intron	SRRM4
chr12	10884	11188	+	ONT12.4739.182	CDS	SRRM4
chr12	11188	13259	+	ONT12.4739.182	intron	SRRM4
chr12	13259	13462	+	ONT12.4739.182	CDS	SRRM4
chr12	13462	13879	+	ONT12.4739.182	intron	SRRM4
chr12	13879	13989	+	ONT12.4739.182	CDS	SRRM4
chr12	13989	14090	+	ONT12.4739.182	intron	SRRM4
chr12	14090	14230	+	ONT12.4739.182	CDS	SRRM4
