seqnames	start	end	strand	transcript_id	type	gene_id
chr17	78	597	-	ENST00000507680.6	UTR	NA
chr17	598	723	-	ENST00000507680.6	CDS	ENSG00000167083.7
chr17	723	824	-	ENST00000507680.6	intron	ENSG00000167083.7
chr17	824	910	-	ENST00000507680.6	CDS	ENSG00000167083.7
chr17	911	929	-	ENST00000507680.6	UTR	NA
chr17	929	1030	-	ENST00000507680.6	intron	NA
chr17	1030	1139	-	ENST00000507680.6	UTR	NA
chr17	1139	2052	-	ENST00000507680.6	intron	NA
chr17	2052	2182	-	ENST00000507680.6	UTR	NA
chr17	2	600	-	ONT17.1127.4382	UTR	NA
chr17	601	723	-	ONT17.1127.4382	CDS	GNGT2
chr17	723	824	-	ONT17.1127.4382	intron	GNGT2
chr17	824	910	-	ONT17.1127.4382	CDS	GNGT2
chr17	911	929	-	ONT17.1127.4382	UTR	NA
chr17	929	1030	-	ONT17.1127.4382	intron	NA
chr17	1030	1139	-	ONT17.1127.4382	UTR	NA
chr17	1139	1392	-	ONT17.1127.4382	intron	NA
chr17	1392	1431	-	ONT17.1127.4382	UTR	NA
chr17	75	600	-	ONT17.1127.4384	UTR	NA
chr17	601	723	-	ONT17.1127.4384	CDS	GNGT2
chr17	723	824	-	ONT17.1127.4384	intron	GNGT2
chr17	824	910	-	ONT17.1127.4384	CDS	GNGT2
chr17	911	929	-	ONT17.1127.4384	UTR	NA
chr17	929	1030	-	ONT17.1127.4384	intron	NA
chr17	1030	1139	-	ONT17.1127.4384	UTR	NA
chr17	1139	2052	-	ONT17.1127.4384	intron	NA
chr17	2052	2178	-	ONT17.1127.4384	UTR	NA
chr17	84	600	-	ONT17.1127.4386	UTR	NA
chr17	601	723	-	ONT17.1127.4386	CDS	GNGT2
chr17	723	824	-	ONT17.1127.4386	intron	GNGT2
chr17	824	910	-	ONT17.1127.4386	CDS	GNGT2
chr17	911	929	-	ONT17.1127.4386	UTR	NA
chr17	929	1030	-	ONT17.1127.4386	intron	NA
chr17	1030	1139	-	ONT17.1127.4386	UTR	NA
chr17	1139	1532	-	ONT17.1127.4386	intron	NA
chr17	1532	1907	-	ONT17.1127.4386	UTR	NA
chr17	81	600	-	ONT17.1127.4387	UTR	NA
chr17	601	723	-	ONT17.1127.4387	CDS	GNGT2
chr17	723	824	-	ONT17.1127.4387	intron	GNGT2
chr17	824	910	-	ONT17.1127.4387	CDS	GNGT2
chr17	911	929	-	ONT17.1127.4387	UTR	NA
chr17	929	1030	-	ONT17.1127.4387	intron	NA
chr17	1030	1139	-	ONT17.1127.4387	UTR	NA
chr17	1139	2008	-	ONT17.1127.4387	intron	NA
chr17	2008	2181	-	ONT17.1127.4387	UTR	NA
chr17	84	600	-	ONT17.1127.4388	UTR	NA
chr17	601	723	-	ONT17.1127.4388	CDS	GNGT2
