seqnames	start	end	strand	transcript_id	type	gene_id
chr1	72	223	+	ENST00000458013.7	UTR	NA
chr1	224	534	+	ENST00000458013.7	CDS	ENSG00000143376.14
chr1	534	639	+	ENST00000458013.7	intron	ENSG00000143376.14
chr1	639	870	+	ENST00000458013.7	CDS	ENSG00000143376.14
chr1	870	975	+	ENST00000458013.7	intron	ENSG00000143376.14
chr1	975	1167	+	ENST00000458013.7	CDS	ENSG00000143376.14
chr1	1167	1268	+	ENST00000458013.7	intron	ENSG00000143376.14
chr1	1268	1332	+	ENST00000458013.7	CDS	ENSG00000143376.14
chr1	1332	1439	+	ENST00000458013.7	intron	ENSG00000143376.14
chr1	1439	1543	+	ENST00000458013.7	CDS	ENSG00000143376.14
chr1	1543	1644	+	ENST00000458013.7	intron	ENSG00000143376.14
chr1	1644	1722	+	ENST00000458013.7	CDS	ENSG00000143376.14
chr1	1722	1827	+	ENST00000458013.7	intron	ENSG00000143376.14
chr1	1827	1990	+	ENST00000458013.7	CDS	ENSG00000143376.14
chr1	1990	2420	+	ENST00000458013.7	intron	ENSG00000143376.14
chr1	2420	2509	+	ENST00000458013.7	CDS	ENSG00000143376.14
chr1	2509	2611	+	ENST00000458013.7	intron	ENSG00000143376.14
chr1	2611	2760	+	ENST00000458013.7	CDS	ENSG00000143376.14
chr1	2760	3019	+	ENST00000458013.7	intron	ENSG00000143376.14
chr1	3019	3147	+	ENST00000458013.7	CDS	ENSG00000143376.14
chr1	3147	3248	+	ENST00000458013.7	intron	ENSG00000143376.14
chr1	3248	3307	+	ENST00000458013.7	CDS	ENSG00000143376.14
chr1	3307	4194	+	ENST00000458013.7	intron	ENSG00000143376.14
chr1	4194	4244	+	ENST00000458013.7	CDS	ENSG00000143376.14
chr1	4245	8904	+	ENST00000458013.7	UTR	NA
chr1	2	223	+	ONT1.4980.69388	UTR	NA
chr1	224	463	+	ONT1.4980.69388	CDS	SNX27
chr1	463	975	+	ONT1.4980.69388	intron	SNX27
chr1	975	1167	+	ONT1.4980.69388	CDS	SNX27
chr1	1167	1268	+	ONT1.4980.69388	intron	SNX27
chr1	1268	1332	+	ONT1.4980.69388	CDS	SNX27
chr1	1332	1439	+	ONT1.4980.69388	intron	SNX27
chr1	1439	1543	+	ONT1.4980.69388	CDS	SNX27
chr1	1543	1644	+	ONT1.4980.69388	intron	SNX27
chr1	1644	1722	+	ONT1.4980.69388	CDS	SNX27
chr1	1722	1827	+	ONT1.4980.69388	intron	SNX27
chr1	1827	1990	+	ONT1.4980.69388	CDS	SNX27
chr1	1990	2420	+	ONT1.4980.69388	intron	SNX27
chr1	2420	2509	+	ONT1.4980.69388	CDS	SNX27
chr1	2509	2611	+	ONT1.4980.69388	intron	SNX27
chr1	2611	2760	+	ONT1.4980.69388	CDS	SNX27
chr1	2760	3019	+	ONT1.4980.69388	intron	SNX27
chr1	3019	3147	+	ONT1.4980.69388	CDS	SNX27
chr1	3147	3248	+	ONT1.4980.69388	intron	SNX27
chr1	3248	3307	+	ONT1.4980.69388	CDS	SNX27
chr1	3307	3417	+	ONT1.4980.69388	intron	SNX27
chr1	3417	3425	+	ONT1.4980.69388	CDS	SNX27
chr1	3426	4303	+	ONT1.4980.69388	UTR	NA
chr1	9	223	+	ONT1.4980.69392	UTR	NA
chr1	224	534	+	ONT1.4980.69392	CDS	SNX27
chr1	534	639	+	ONT1.4980.69392	intron	SNX27
chr1	639	870	+	ONT1.4980.69392	CDS	SNX27
chr1	870	975	+	ONT1.4980.69392	intron	SNX27
chr1	975	1167	+	ONT1.4980.69392	CDS	SNX27
chr1	1167	1268	+	ONT1.4980.69392	intron	SNX27
chr1	1268	1332	+	ONT1.4980.69392	CDS	SNX27
chr1	1332	1439	+	ONT1.4980.69392	intron	SNX27
chr1	1439	1543	+	ONT1.4980.69392	CDS	SNX27
chr1	1543	1644	+	ONT1.4980.69392	intron	SNX27
chr1	1644	1722	+	ONT1.4980.69392	CDS	SNX27
chr1	1722	1827	+	ONT1.4980.69392	intron	SNX27
chr1	1827	1990	+	ONT1.4980.69392	CDS	SNX27
chr1	1990	2420	+	ONT1.4980.69392	intron	SNX27
chr1	2420	2509	+	ONT1.4980.69392	CDS	SNX27
chr1	2509	2611	+	ONT1.4980.69392	intron	SNX27
chr1	2611	2760	+	ONT1.4980.69392	CDS	SNX27
chr1	2760	3019	+	ONT1.4980.69392	intron	SNX27
chr1	3019	3147	+	ONT1.4980.69392	CDS	SNX27
chr1	3147	3248	+	ONT1.4980.69392	intron	SNX27
chr1	3248	3307	+	ONT1.4980.69392	CDS	SNX27
chr1	3307	3417	+	ONT1.4980.69392	intron	SNX27
chr1	3417	3425	+	ONT1.4980.69392	CDS	SNX27
chr1	3426	4798	+	ONT1.4980.69392	UTR	NA
chr1	61	223	+	ONT1.4980.69393	UTR	NA
chr1	224	534	+	ONT1.4980.69393	CDS	SNX27
chr1	534	639	+	ONT1.4980.69393	intron	SNX27
chr1	639	870	+	ONT1.4980.69393	CDS	SNX27
chr1	870	975	+	ONT1.4980.69393	intron	SNX27
chr1	975	1167	+	ONT1.4980.69393	CDS	SNX27
chr1	1167	1268	+	ONT1.4980.69393	intron	SNX27
chr1	1268	1332	+	ONT1.4980.69393	CDS	SNX27
chr1	1332	1439	+	ONT1.4980.69393	intron	SNX27
chr1	1439	1543	+	ONT1.4980.69393	CDS	SNX27
chr1	1543	1644	+	ONT1.4980.69393	intron	SNX27
chr1	1644	1722	+	ONT1.4980.69393	CDS	SNX27
chr1	1722	1827	+	ONT1.4980.69393	intron	SNX27
chr1	1827	1990	+	ONT1.4980.69393	CDS	SNX27
chr1	1990	2420	+	ONT1.4980.69393	intron	SNX27
chr1	2420	2509	+	ONT1.4980.69393	CDS	SNX27
chr1	2509	2611	+	ONT1.4980.69393	intron	SNX27
chr1	2611	2760	+	ONT1.4980.69393	CDS	SNX27
chr1	2760	3019	+	ONT1.4980.69393	intron	SNX27
chr1	3019	3147	+	ONT1.4980.69393	CDS	SNX27
chr1	3147	3248	+	ONT1.4980.69393	intron	SNX27
chr1	3248	3307	+	ONT1.4980.69393	CDS	SNX27
chr1	3307	3417	+	ONT1.4980.69393	intron	SNX27
chr1	3417	3425	+	ONT1.4980.69393	CDS	SNX27
chr1	3426	4340	+	ONT1.4980.69393	UTR	NA
chr1	132	223	+	ONT1.4980.69396	UTR	NA
chr1	224	534	+	ONT1.4980.69396	CDS	SNX27
chr1	534	639	+	ONT1.4980.69396	intron	SNX27
chr1	639	870	+	ONT1.4980.69396	CDS	SNX27
chr1	870	975	+	ONT1.4980.69396	intron	SNX27
chr1	975	1167	+	ONT1.4980.69396	CDS	SNX27
chr1	1167	1268	+	ONT1.4980.69396	intron	SNX27
chr1	1268	1332	+	ONT1.4980.69396	CDS	SNX27
chr1	1332	1439	+	ONT1.4980.69396	intron	SNX27
chr1	1439	1543	+	ONT1.4980.69396	CDS	SNX27
chr1	1543	1644	+	ONT1.4980.69396	intron	SNX27
chr1	1644	1722	+	ONT1.4980.69396	CDS	SNX27
chr1	1722	1827	+	ONT1.4980.69396	intron	SNX27
chr1	1827	1990	+	ONT1.4980.69396	CDS	SNX27
chr1	1990	2420	+	ONT1.4980.69396	intron	SNX27
chr1	2420	2509	+	ONT1.4980.69396	CDS	SNX27
chr1	2509	2611	+	ONT1.4980.69396	intron	SNX27
chr1	2611	2760	+	ONT1.4980.69396	CDS	SNX27
chr1	2760	3019	+	ONT1.4980.69396	intron	SNX27
chr1	3019	3147	+	ONT1.4980.69396	CDS	SNX27
chr1	3147	3248	+	ONT1.4980.69396	intron	SNX27
chr1	3248	3307	+	ONT1.4980.69396	CDS	SNX27
chr1	3307	4194	+	ONT1.4980.69396	intron	SNX27
chr1	4194	4241	+	ONT1.4980.69396	CDS	SNX27
chr1	4242	4798	+	ONT1.4980.69396	UTR	NA
chr1	40	223	+	ONT1.4980.69400	UTR	NA
chr1	224	534	+	ONT1.4980.69400	CDS	SNX27
chr1	534	639	+	ONT1.4980.69400	intron	SNX27
chr1	639	870	+	ONT1.4980.69400	CDS	SNX27
chr1	870	975	+	ONT1.4980.69400	intron	SNX27
chr1	975	1167	+	ONT1.4980.69400	CDS	SNX27
chr1	1167	1268	+	ONT1.4980.69400	intron	SNX27
chr1	1268	1332	+	ONT1.4980.69400	CDS	SNX27
chr1	1332	1439	+	ONT1.4980.69400	intron	SNX27
chr1	1439	1543	+	ONT1.4980.69400	CDS	SNX27
chr1	1543	1644	+	ONT1.4980.69400	intron	SNX27
chr1	1644	1722	+	ONT1.4980.69400	CDS	SNX27
chr1	1722	1827	+	ONT1.4980.69400	intron	SNX27
chr1	1827	1990	+	ONT1.4980.69400	CDS	SNX27
chr1	1990	2420	+	ONT1.4980.69400	intron	SNX27
chr1	2420	2509	+	ONT1.4980.69400	CDS	SNX27
chr1	2509	2611	+	ONT1.4980.69400	intron	SNX27
chr1	2611	2760	+	ONT1.4980.69400	CDS	SNX27
chr1	2760	3019	+	ONT1.4980.69400	intron	SNX27
chr1	3019	3147	+	ONT1.4980.69400	CDS	SNX27
chr1	3147	3248	+	ONT1.4980.69400	intron	SNX27
chr1	3248	3307	+	ONT1.4980.69400	CDS	SNX27
chr1	3307	4194	+	ONT1.4980.69400	intron	SNX27
chr1	4194	4241	+	ONT1.4980.69400	CDS	SNX27
chr1	4242	8902	+	ONT1.4980.69400	UTR	NA
chr1	77	223	+	ONT1.4980.69406	UTR	NA
chr1	224	534	+	ONT1.4980.69406	CDS	SNX27
chr1	534	639	+	ONT1.4980.69406	intron	SNX27
chr1	639	870	+	ONT1.4980.69406	CDS	SNX27
chr1	870	975	+	ONT1.4980.69406	intron	SNX27
chr1	975	1167	+	ONT1.4980.69406	CDS	SNX27
chr1	1167	1268	+	ONT1.4980.69406	intron	SNX27
chr1	1268	1332	+	ONT1.4980.69406	CDS	SNX27
chr1	1332	1439	+	ONT1.4980.69406	intron	SNX27
chr1	1439	1543	+	ONT1.4980.69406	CDS	SNX27
chr1	1543	1644	+	ONT1.4980.69406	intron	SNX27
chr1	1644	1722	+	ONT1.4980.69406	CDS	SNX27
chr1	1722	1827	+	ONT1.4980.69406	intron	SNX27
chr1	1827	1990	+	ONT1.4980.69406	CDS	SNX27
chr1	1990	2420	+	ONT1.4980.69406	intron	SNX27
chr1	2420	2509	+	ONT1.4980.69406	CDS	SNX27
chr1	2509	2611	+	ONT1.4980.69406	intron	SNX27
chr1	2611	2826	+	ONT1.4980.69406	CDS	SNX27
chr1	2827	2916	+	ONT1.4980.69406	UTR	NA
chr1	55	223	+	ONT1.4980.69429	UTR	NA
chr1	224	534	+	ONT1.4980.69429	CDS	SNX27
chr1	534	639	+	ONT1.4980.69429	intron	SNX27
chr1	639	870	+	ONT1.4980.69429	CDS	SNX27
chr1	870	975	+	ONT1.4980.69429	intron	SNX27
chr1	975	1167	+	ONT1.4980.69429	CDS	SNX27
chr1	1167	1268	+	ONT1.4980.69429	intron	SNX27
chr1	1268	1332	+	ONT1.4980.69429	CDS	SNX27
chr1	1332	1439	+	ONT1.4980.69429	intron	SNX27
chr1	1439	1543	+	ONT1.4980.69429	CDS	SNX27
chr1	1543	1644	+	ONT1.4980.69429	intron	SNX27
chr1	1644	1722	+	ONT1.4980.69429	CDS	SNX27
chr1	1722	1827	+	ONT1.4980.69429	intron	SNX27
chr1	1827	1990	+	ONT1.4980.69429	CDS	SNX27
chr1	1990	2420	+	ONT1.4980.69429	intron	SNX27
chr1	2420	2509	+	ONT1.4980.69429	CDS	SNX27
chr1	2509	2611	+	ONT1.4980.69429	intron	SNX27
chr1	2611	2760	+	ONT1.4980.69429	CDS	SNX27
chr1	2760	3019	+	ONT1.4980.69429	intron	SNX27
chr1	3019	3147	+	ONT1.4980.69429	CDS	SNX27
chr1	3147	3248	+	ONT1.4980.69429	intron	SNX27
chr1	3248	3328	+	ONT1.4980.69429	CDS	SNX27
chr1	3329	4329	+	ONT1.4980.69429	UTR	NA
chr1	66	223	+	ONT1.4980.69458	UTR	NA
chr1	224	403	+	ONT1.4980.69458	CDS	SNX27
chr1	403	639	+	ONT1.4980.69458	intron	SNX27
chr1	639	656	+	ONT1.4980.69458	CDS	SNX27
chr1	657	870	+	ONT1.4980.69458	UTR	NA
chr1	870	975	+	ONT1.4980.69458	intron	NA
chr1	975	1167	+	ONT1.4980.69458	UTR	NA
chr1	1167	1268	+	ONT1.4980.69458	intron	NA
chr1	1268	1332	+	ONT1.4980.69458	UTR	NA
chr1	1332	1439	+	ONT1.4980.69458	intron	NA
chr1	1439	1543	+	ONT1.4980.69458	UTR	NA
chr1	1543	1644	+	ONT1.4980.69458	intron	NA
chr1	1644	1722	+	ONT1.4980.69458	UTR	NA
