seqnames	start	end	strand	transcript_id	type	gene_id
chr1	2	352	-	ENST00000378412.8	UTR	NA
chr1	353	452	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	452	557	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	557	633	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	633	734	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	734	829	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	829	930	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	930	995	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	995	1108	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	1108	1241	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	1241	1342	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	1342	1461	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	1461	1562	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	1562	1620	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	1620	1721	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	1721	1824	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	1824	1925	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	1925	2008	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	2008	2109	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	2109	2207	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	2207	2326	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	2326	2454	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	2454	2555	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	2555	2648	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	2648	2749	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	2749	2885	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	2885	2986	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	2986	3075	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	3075	3178	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	3178	3312	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	3312	3413	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	3413	3478	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	3478	3604	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	3604	3722	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	3722	3823	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	3823	3918	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	3918	4019	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	4019	4099	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	4099	4200	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	4200	4361	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	4361	4462	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	4462	4521	-	ENST00000378412.8	CDS	ENSG00000142606.16
chr1	4521	4701	-	ENST00000378412.8	intron	ENSG00000142606.16
chr1	4701	4778	-	ENST00000378412.8	CDS	ENSG00000142606.16
