seqnames	start	end	strand	transcript_id	type	gene_id
chr3	622	688	+	ENST00000349841.10	UTR	NA
chr3	688	1491	+	ENST00000349841.10	intron	NA
chr3	1491	1521	+	ENST00000349841.10	UTR	NA
chr3	1522	1787	+	ENST00000349841.10	CDS	ENSG00000085274.16
chr3	1787	2499	+	ENST00000349841.10	intron	ENSG00000085274.16
chr3	2499	3292	+	ENST00000349841.10	CDS	ENSG00000085274.16
chr3	3292	3620	+	ENST00000349841.10	intron	ENSG00000085274.16
chr3	3620	3779	+	ENST00000349841.10	CDS	ENSG00000085274.16
chr3	3779	3886	+	ENST00000349841.10	intron	ENSG00000085274.16
chr3	3886	4064	+	ENST00000349841.10	CDS	ENSG00000085274.16
chr3	4064	4898	+	ENST00000349841.10	intron	ENSG00000085274.16
chr3	4898	4981	+	ENST00000349841.10	CDS	ENSG00000085274.16
chr3	4981	6043	+	ENST00000349841.10	intron	ENSG00000085274.16
chr3	6043	6129	+	ENST00000349841.10	CDS	ENSG00000085274.16
chr3	6129	6240	+	ENST00000349841.10	intron	ENSG00000085274.16
chr3	6240	6505	+	ENST00000349841.10	CDS	ENSG00000085274.16
chr3	6506	9540	+	ENST00000349841.10	UTR	NA
chr3	631	688	+	ONT3.8547.1004	UTR	NA
chr3	688	1257	+	ONT3.8547.1004	intron	NA
chr3	1257	1323	+	ONT3.8547.1004	UTR	NA
chr3	1323	1491	+	ONT3.8547.1004	intron	NA
chr3	1491	1521	+	ONT3.8547.1004	UTR	NA
chr3	1522	1787	+	ONT3.8547.1004	CDS	MYNN
chr3	1787	2499	+	ONT3.8547.1004	intron	MYNN
chr3	2499	3292	+	ONT3.8547.1004	CDS	MYNN
chr3	3292	3620	+	ONT3.8547.1004	intron	MYNN
chr3	3620	3779	+	ONT3.8547.1004	CDS	MYNN
chr3	3779	3886	+	ONT3.8547.1004	intron	MYNN
chr3	3886	4064	+	ONT3.8547.1004	CDS	MYNN
chr3	4064	4898	+	ONT3.8547.1004	intron	MYNN
chr3	4898	4981	+	ONT3.8547.1004	CDS	MYNN
chr3	4981	6043	+	ONT3.8547.1004	intron	MYNN
chr3	6043	6129	+	ONT3.8547.1004	CDS	MYNN
chr3	6129	6240	+	ONT3.8547.1004	intron	MYNN
chr3	6240	6502	+	ONT3.8547.1004	CDS	MYNN
chr3	6503	7009	+	ONT3.8547.1004	UTR	NA
chr3	622	688	+	ONT3.8547.1005	UTR	NA
chr3	688	1491	+	ONT3.8547.1005	intron	NA
chr3	1491	1521	+	ONT3.8547.1005	UTR	NA
chr3	1522	1787	+	ONT3.8547.1005	CDS	MYNN
chr3	1787	2499	+	ONT3.8547.1005	intron	MYNN
chr3	2499	3292	+	ONT3.8547.1005	CDS	MYNN
chr3	3292	3620	+	ONT3.8547.1005	intron	MYNN
chr3	3620	3779	+	ONT3.8547.1005	CDS	MYNN
chr3	3779	3886	+	ONT3.8547.1005	intron	MYNN
chr3	3886	4068	+	ONT3.8547.1005	CDS	MYNN
chr3	4068	7685	+	ONT3.8547.1005	intron	MYNN
chr3	7685	7712	+	ONT3.8547.1005	CDS	MYNN
chr3	7713	9002	+	ONT3.8547.1005	UTR	NA
chr3	623	688	+	ONT3.8547.1006	UTR	NA
chr3	688	1491	+	ONT3.8547.1006	intron	NA
chr3	1491	1521	+	ONT3.8547.1006	UTR	NA
chr3	1522	1787	+	ONT3.8547.1006	CDS	MYNN
chr3	1787	2499	+	ONT3.8547.1006	intron	MYNN
chr3	2499	3276	+	ONT3.8547.1006	CDS	MYNN
chr3	3276	3620	+	ONT3.8547.1006	intron	MYNN
chr3	3620	3679	+	ONT3.8547.1006	CDS	MYNN
chr3	3680	3779	+	ONT3.8547.1006	UTR	NA
chr3	3779	3886	+	ONT3.8547.1006	intron	NA
chr3	3886	4064	+	ONT3.8547.1006	UTR	NA
chr3	4064	4898	+	ONT3.8547.1006	intron	NA
chr3	4898	4981	+	ONT3.8547.1006	UTR	NA
chr3	4981	6043	+	ONT3.8547.1006	intron	NA
chr3	6043	6129	+	ONT3.8547.1006	UTR	NA
chr3	6129	6240	+	ONT3.8547.1006	intron	NA
chr3	6240	6656	+	ONT3.8547.1006	UTR	NA
chr3	622	688	+	ONT3.8547.1009	UTR	NA
chr3	688	1491	+	ONT3.8547.1009	intron	NA
chr3	1491	1521	+	ONT3.8547.1009	UTR	NA
chr3	1522	1787	+	ONT3.8547.1009	CDS	MYNN
chr3	1787	2499	+	ONT3.8547.1009	intron	MYNN
chr3	2499	3292	+	ONT3.8547.1009	CDS	MYNN
chr3	3292	3620	+	ONT3.8547.1009	intron	MYNN
chr3	3620	3779	+	ONT3.8547.1009	CDS	MYNN
chr3	3779	3886	+	ONT3.8547.1009	intron	MYNN
chr3	3886	4064	+	ONT3.8547.1009	CDS	MYNN
chr3	4064	4898	+	ONT3.8547.1009	intron	MYNN
chr3	4898	4981	+	ONT3.8547.1009	CDS	MYNN
chr3	4981	6043	+	ONT3.8547.1009	intron	MYNN
chr3	6043	6139	+	ONT3.8547.1009	CDS	MYNN
chr3	6139	6246	+	ONT3.8547.1009	intron	MYNN
chr3	6246	6249	+	ONT3.8547.1009	CDS	MYNN
chr3	6250	7374	+	ONT3.8547.1009	UTR	NA
chr3	631	688	+	ONT3.8547.1013	UTR	NA
chr3	688	1491	+	ONT3.8547.1013	intron	NA
chr3	1491	1521	+	ONT3.8547.1013	UTR	NA
chr3	1522	1787	+	ONT3.8547.1013	CDS	MYNN
chr3	1787	2499	+	ONT3.8547.1013	intron	MYNN
chr3	2499	3292	+	ONT3.8547.1013	CDS	MYNN
chr3	3292	3620	+	ONT3.8547.1013	intron	MYNN
chr3	3620	3779	+	ONT3.8547.1013	CDS	MYNN
chr3	3779	3886	+	ONT3.8547.1013	intron	MYNN
chr3	3886	4105	+	ONT3.8547.1013	CDS	MYNN
chr3	4106	6129	+	ONT3.8547.1013	UTR	NA
chr3	6129	6240	+	ONT3.8547.1013	intron	NA
chr3	6240	6650	+	ONT3.8547.1013	UTR	NA
chr3	631	688	+	ONT3.8547.1015	UTR	NA
chr3	688	1257	+	ONT3.8547.1015	intron	NA
chr3	1257	1323	+	ONT3.8547.1015	UTR	NA
chr3	1323	1491	+	ONT3.8547.1015	intron	NA
chr3	1491	1521	+	ONT3.8547.1015	UTR	NA
chr3	1522	1787	+	ONT3.8547.1015	CDS	MYNN
chr3	1787	2499	+	ONT3.8547.1015	intron	MYNN
chr3	2499	3292	+	ONT3.8547.1015	CDS	MYNN
chr3	3292	3620	+	ONT3.8547.1015	intron	MYNN
chr3	3620	3779	+	ONT3.8547.1015	CDS	MYNN
chr3	3779	3886	+	ONT3.8547.1015	intron	MYNN
chr3	3886	4064	+	ONT3.8547.1015	CDS	MYNN
chr3	4064	6043	+	ONT3.8547.1015	intron	MYNN
chr3	6043	6129	+	ONT3.8547.1015	CDS	MYNN
chr3	6129	6240	+	ONT3.8547.1015	intron	MYNN
