seqnames	start	end	strand	transcript_id	type	gene_id
chr7	43	244	+	ENST00000310396.10	UTR	NA
chr7	244	723	+	ENST00000310396.10	intron	NA
chr7	723	953	+	ENST00000310396.10	UTR	NA
chr7	954	1202	+	ENST00000310396.10	CDS	ENSG00000106034.18
chr7	1202	1303	+	ENST00000310396.10	intron	ENSG00000106034.18
chr7	1303	1486	+	ENST00000310396.10	CDS	ENSG00000106034.18
chr7	1486	2697	+	ENST00000310396.10	intron	ENSG00000106034.18
chr7	2697	2803	+	ENST00000310396.10	CDS	ENSG00000106034.18
chr7	2803	2904	+	ENST00000310396.10	intron	ENSG00000106034.18
chr7	2904	2979	+	ENST00000310396.10	CDS	ENSG00000106034.18
chr7	2979	3464	+	ENST00000310396.10	intron	ENSG00000106034.18
chr7	3464	3596	+	ENST00000310396.10	CDS	ENSG00000106034.18
chr7	3596	3697	+	ENST00000310396.10	intron	ENSG00000106034.18
chr7	3697	3865	+	ENST00000310396.10	CDS	ENSG00000106034.18
chr7	3865	3966	+	ENST00000310396.10	intron	ENSG00000106034.18
chr7	3966	4108	+	ENST00000310396.10	CDS	ENSG00000106034.18
chr7	4108	4209	+	ENST00000310396.10	intron	ENSG00000106034.18
chr7	4209	4281	+	ENST00000310396.10	CDS	ENSG00000106034.18
chr7	4281	4382	+	ENST00000310396.10	intron	ENSG00000106034.18
chr7	4382	4549	+	ENST00000310396.10	CDS	ENSG00000106034.18
chr7	4549	4650	+	ENST00000310396.10	intron	ENSG00000106034.18
chr7	4650	4754	+	ENST00000310396.10	CDS	ENSG00000106034.18
chr7	4754	4855	+	ENST00000310396.10	intron	ENSG00000106034.18
chr7	4855	5024	+	ENST00000310396.10	CDS	ENSG00000106034.18
chr7	5024	5125	+	ENST00000310396.10	intron	ENSG00000106034.18
chr7	5125	5195	+	ENST00000310396.10	CDS	ENSG00000106034.18
chr7	5195	5296	+	ENST00000310396.10	intron	ENSG00000106034.18
chr7	5296	5346	+	ENST00000310396.10	CDS	ENSG00000106034.18
chr7	5346	5447	+	ENST00000310396.10	intron	ENSG00000106034.18
chr7	5447	5633	+	ENST00000310396.10	CDS	ENSG00000106034.18
chr7	5633	5734	+	ENST00000310396.10	intron	ENSG00000106034.18
chr7	5734	5902	+	ENST00000310396.10	CDS	ENSG00000106034.18
