seqnames	start	end	strand	transcript_id	type	gene_id
chr12	6327	9176	-	ENST00000537304.6	UTR	NA
chr12	9177	9282	-	ENST00000537304.6	CDS	ENSG00000048540.16
chr12	9282	10029	-	ENST00000537304.6	intron	ENSG00000048540.16
chr12	10029	10154	-	ENST00000537304.6	CDS	ENSG00000048540.16
chr12	10154	10480	-	ENST00000537304.6	intron	ENSG00000048540.16
chr12	10480	10688	-	ENST00000537304.6	CDS	ENSG00000048540.16
chr12	10689	10693	-	ENST00000537304.6	UTR	NA
chr12	10693	13548	-	ENST00000537304.6	intron	NA
chr12	13548	13644	-	ENST00000537304.6	UTR	NA
chr12	2	1363	-	ONT12.370.4039	UTR	NA
chr12	1363	1464	-	ONT12.370.4039	intron	NA
chr12	1464	1573	-	ONT12.370.4039	UTR	NA
chr12	1573	1674	-	ONT12.370.4039	intron	NA
chr12	1674	1844	-	ONT12.370.4039	UTR	NA
chr12	1844	1945	-	ONT12.370.4039	intron	NA
chr12	1945	2136	-	ONT12.370.4039	UTR	NA
chr12	2136	4002	-	ONT12.370.4039	intron	NA
chr12	4002	4108	-	ONT12.370.4039	UTR	NA
chr12	4109	4139	-	ONT12.370.4039	CDS	LMO3
chr12	4139	10029	-	ONT12.370.4039	intron	LMO3
chr12	10029	10154	-	ONT12.370.4039	CDS	LMO3
chr12	10154	10480	-	ONT12.370.4039	intron	LMO3
chr12	10480	10688	-	ONT12.370.4039	CDS	LMO3
chr12	10689	10693	-	ONT12.370.4039	UTR	NA
chr12	10693	13548	-	ONT12.370.4039	intron	NA
chr12	13548	13969	-	ONT12.370.4039	UTR	NA
chr12	2237	4079	-	ONT12.370.4282	UTR	NA
chr12	4080	4139	-	ONT12.370.4282	CDS	LMO3
chr12	4139	4240	-	ONT12.370.4282	intron	LMO3
chr12	4240	4357	-	ONT12.370.4282	CDS	LMO3
chr12	4357	10029	-	ONT12.370.4282	intron	LMO3
chr12	10029	10154	-	ONT12.370.4282	CDS	LMO3
chr12	10154	10480	-	ONT12.370.4282	intron	LMO3
chr12	10480	10688	-	ONT12.370.4282	CDS	LMO3
chr12	10689	10693	-	ONT12.370.4282	UTR	NA
chr12	10693	13548	-	ONT12.370.4282	intron	NA
chr12	13548	14012	-	ONT12.370.4282	UTR	NA
chr12	4458	5435	-	ONT12.370.4421	UTR	NA
chr12	5436	5517	-	ONT12.370.4421	CDS	LMO3
chr12	5517	10029	-	ONT12.370.4421	intron	LMO3
chr12	10029	10154	-	ONT12.370.4421	CDS	LMO3
chr12	10154	10480	-	ONT12.370.4421	intron	LMO3
chr12	10480	10688	-	ONT12.370.4421	CDS	LMO3
chr12	10689	10693	-	ONT12.370.4421	UTR	NA
chr12	10693	16428	-	ONT12.370.4421	intron	NA
chr12	16428	16786	-	ONT12.370.4421	UTR	NA
chr12	4461	5435	-	ONT12.370.4422	UTR	NA
chr12	5436	5517	-	ONT12.370.4422	CDS	LMO3
chr12	5517	10029	-	ONT12.370.4422	intron	LMO3
chr12	10029	10154	-	ONT12.370.4422	CDS	LMO3
chr12	10154	10480	-	ONT12.370.4422	intron	LMO3
chr12	10480	10688	-	ONT12.370.4422	CDS	LMO3
chr12	10689	10693	-	ONT12.370.4422	UTR	NA
chr12	10693	13548	-	ONT12.370.4422	intron	NA
chr12	13548	13969	-	ONT12.370.4422	UTR	NA
chr12	5618	9179	-	ONT12.370.4596	UTR	NA
chr12	9180	9282	-	ONT12.370.4596	CDS	LMO3
chr12	9282	10029	-	ONT12.370.4596	intron	LMO3
chr12	10029	10154	-	ONT12.370.4596	CDS	LMO3
chr12	10154	10480	-	ONT12.370.4596	intron	LMO3
chr12	10480	10688	-	ONT12.370.4596	CDS	LMO3
chr12	10689	10693	-	ONT12.370.4596	UTR	NA
chr12	10693	15273	-	ONT12.370.4596	intron	NA
chr12	15273	15417	-	ONT12.370.4596	UTR	NA
chr12	5707	9179	-	ONT12.370.4608	UTR	NA
chr12	9180	9282	-	ONT12.370.4608	CDS	LMO3
chr12	9282	10029	-	ONT12.370.4608	intron	LMO3
chr12	10029	10154	-	ONT12.370.4608	CDS	LMO3
chr12	10154	10480	-	ONT12.370.4608	intron	LMO3
chr12	10480	10688	-	ONT12.370.4608	CDS	LMO3
chr12	10689	10693	-	ONT12.370.4608	UTR	NA
chr12	10693	13548	-	ONT12.370.4608	intron	NA
chr12	13548	14010	-	ONT12.370.4608	UTR	NA
chr12	5707	9179	-	ONT12.370.4611	UTR	NA
chr12	9180	9282	-	ONT12.370.4611	CDS	LMO3
chr12	9282	10029	-	ONT12.370.4611	intron	LMO3
chr12	10029	10154	-	ONT12.370.4611	CDS	LMO3
chr12	10154	10480	-	ONT12.370.4611	intron	LMO3
chr12	10480	10688	-	ONT12.370.4611	CDS	LMO3
chr12	10689	10693	-	ONT12.370.4611	UTR	NA
chr12	10693	13548	-	ONT12.370.4611	intron	NA
chr12	13548	13611	-	ONT12.370.4611	UTR	NA
chr12	13611	15273	-	ONT12.370.4611	intron	NA
chr12	15273	15429	-	ONT12.370.4611	UTR	NA
chr12	5878	9179	-	ONT12.370.4630	UTR	NA
chr12	9180	9282	-	ONT12.370.4630	CDS	LMO3
chr12	9282	10029	-	ONT12.370.4630	intron	LMO3
chr12	10029	10154	-	ONT12.370.4630	CDS	LMO3
chr12	10154	10480	-	ONT12.370.4630	intron	LMO3
chr12	10480	10688	-	ONT12.370.4630	CDS	LMO3
chr12	10689	10693	-	ONT12.370.4630	UTR	NA
chr12	10693	15273	-	ONT12.370.4630	intron	NA
chr12	15273	15461	-	ONT12.370.4630	UTR	NA
chr12	5892	9179	-	ONT12.370.4633	UTR	NA
chr12	9180	9282	-	ONT12.370.4633	CDS	LMO3
chr12	9282	10029	-	ONT12.370.4633	intron	LMO3
chr12	10029	10154	-	ONT12.370.4633	CDS	LMO3
chr12	10154	10480	-	ONT12.370.4633	intron	LMO3
chr12	10480	10688	-	ONT12.370.4633	CDS	LMO3
chr12	10689	10693	-	ONT12.370.4633	UTR	NA
chr12	10693	13548	-	ONT12.370.4633	intron	NA
chr12	13548	14060	-	ONT12.370.4633	UTR	NA
chr12	5893	9179	-	ONT12.370.4635	UTR	NA
chr12	9180	9282	-	ONT12.370.4635	CDS	LMO3
chr12	9282	10029	-	ONT12.370.4635	intron	LMO3
chr12	10029	10154	-	ONT12.370.4635	CDS	LMO3
chr12	10154	10480	-	ONT12.370.4635	intron	LMO3
chr12	10480	10688	-	ONT12.370.4635	CDS	LMO3
chr12	10689	10693	-	ONT12.370.4635	UTR	NA
chr12	10693	13548	-	ONT12.370.4635	intron	NA
chr12	13548	13614	-	ONT12.370.4635	UTR	NA
chr12	13614	15273	-	ONT12.370.4635	intron	NA
chr12	15273	15458	-	ONT12.370.4635	UTR	NA
chr12	5999	9179	-	ONT12.370.4648	UTR	NA
chr12	9180	9282	-	ONT12.370.4648	CDS	LMO3
chr12	9282	10029	-	ONT12.370.4648	intron	LMO3
chr12	10029	10154	-	ONT12.370.4648	CDS	LMO3
chr12	10154	10480	-	ONT12.370.4648	intron	LMO3
chr12	10480	10693	-	ONT12.370.4648	CDS	LMO3
chr12	10693	12395	-	ONT12.370.4648	intron	LMO3
chr12	12395	12422	-	ONT12.370.4648	CDS	LMO3
chr12	12423	12559	-	ONT12.370.4648	UTR	NA
chr12	6095	9179	-	ONT12.370.4653	UTR	NA
chr12	9180	9282	-	ONT12.370.4653	CDS	LMO3
chr12	9282	10029	-	ONT12.370.4653	intron	LMO3
chr12	10029	10154	-	ONT12.370.4653	CDS	LMO3
chr12	10154	10480	-	ONT12.370.4653	intron	LMO3
chr12	10480	10688	-	ONT12.370.4653	CDS	LMO3
chr12	10689	10693	-	ONT12.370.4653	UTR	NA
chr12	10693	15273	-	ONT12.370.4653	intron	NA
chr12	15273	15441	-	ONT12.370.4653	UTR	NA
chr12	6103	9179	-	ONT12.370.4654	UTR	NA
chr12	9180	9282	-	ONT12.370.4654	CDS	LMO3
chr12	9282	10029	-	ONT12.370.4654	intron	LMO3
chr12	10029	10154	-	ONT12.370.4654	CDS	LMO3
chr12	10154	10480	-	ONT12.370.4654	intron	LMO3
chr12	10480	10688	-	ONT12.370.4654	CDS	LMO3
chr12	10689	10693	-	ONT12.370.4654	UTR	NA
chr12	10693	13548	-	ONT12.370.4654	intron	NA
chr12	13548	14001	-	ONT12.370.4654	UTR	NA
chr12	6099	9179	-	ONT12.370.4655	UTR	NA
chr12	9180	9282	-	ONT12.370.4655	CDS	LMO3
chr12	9282	10029	-	ONT12.370.4655	intron	LMO3
chr12	10029	10154	-	ONT12.370.4655	CDS	LMO3
chr12	10154	10480	-	ONT12.370.4655	intron	LMO3
chr12	10480	10688	-	ONT12.370.4655	CDS	LMO3
chr12	10689	10693	-	ONT12.370.4655	UTR	NA
chr12	10693	13548	-	ONT12.370.4655	intron	NA
chr12	13548	13614	-	ONT12.370.4655	UTR	NA
