seqnames	start	end	strand	transcript_id	type	gene_id
chr1	2	4961	-	ENST00000684568.2	UTR	NA
chr1	4962	5276	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	5276	5841	-	ENST00000684568.2	intron	ENSG00000067208.16
chr1	5841	5936	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	5936	6083	-	ENST00000684568.2	intron	ENSG00000067208.16
chr1	6083	6178	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	6178	6279	-	ENST00000684568.2	intron	ENSG00000067208.16
chr1	6279	6425	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	6425	6526	-	ENST00000684568.2	intron	ENSG00000067208.16
chr1	6526	6684	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	6684	6785	-	ENST00000684568.2	intron	ENSG00000067208.16
chr1	6785	6925	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	6925	7026	-	ENST00000684568.2	intron	ENSG00000067208.16
chr1	7026	7160	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	7160	7261	-	ENST00000684568.2	intron	ENSG00000067208.16
chr1	7261	7407	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	7407	7508	-	ENST00000684568.2	intron	ENSG00000067208.16
chr1	7508	7540	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	7540	7645	-	ENST00000684568.2	intron	ENSG00000067208.16
chr1	7645	7698	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	7698	7799	-	ENST00000684568.2	intron	ENSG00000067208.16
chr1	7799	7859	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	7859	7961	-	ENST00000684568.2	intron	ENSG00000067208.16
chr1	7961	8058	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	8058	8159	-	ENST00000684568.2	intron	ENSG00000067208.16
chr1	8159	8248	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	8248	8349	-	ENST00000684568.2	intron	ENSG00000067208.16
chr1	8349	8492	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	8492	8593	-	ENST00000684568.2	intron	ENSG00000067208.16
chr1	8593	8718	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	8718	8819	-	ENST00000684568.2	intron	ENSG00000067208.16
chr1	8819	8893	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	8893	8994	-	ENST00000684568.2	intron	ENSG00000067208.16
chr1	8994	9218	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	9218	9319	-	ENST00000684568.2	intron	ENSG00000067208.16
chr1	9319	9508	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	9508	9809	-	ENST00000684568.2	intron	ENSG00000067208.16
chr1	9809	9960	-	ENST00000684568.2	CDS	ENSG00000067208.16
chr1	9961	10038	-	ENST00000684568.2	UTR	NA
chr1	10038	10721	-	ENST00000684568.2	intron	NA
chr1	10721	10993	-	ENST00000684568.2	UTR	NA
chr1	3748	4841	-	ONT1.3174.12503	UTR	NA
chr1	4841	4874	-	ONT1.3174.12503	intron	NA
chr1	4874	5229	-	ONT1.3174.12503	UTR	NA
chr1	5230	5276	-	ONT1.3174.12503	CDS	EVI5
chr1	5276	5837	-	ONT1.3174.12503	intron	EVI5
chr1	5837	5936	-	ONT1.3174.12503	CDS	EVI5
chr1	5936	6083	-	ONT1.3174.12503	intron	EVI5
chr1	6083	6178	-	ONT1.3174.12503	CDS	EVI5
chr1	6178	6279	-	ONT1.3174.12503	intron	EVI5
chr1	6279	6425	-	ONT1.3174.12503	CDS	EVI5
chr1	6425	6526	-	ONT1.3174.12503	intron	EVI5
chr1	6526	6684	-	ONT1.3174.12503	CDS	EVI5
chr1	6684	6785	-	ONT1.3174.12503	intron	EVI5
chr1	6785	6925	-	ONT1.3174.12503	CDS	EVI5
chr1	6925	7026	-	ONT1.3174.12503	intron	EVI5
chr1	7026	7058	-	ONT1.3174.12503	CDS	EVI5
chr1	7059	7160	-	ONT1.3174.12503	UTR	NA
chr1	7160	7261	-	ONT1.3174.12503	intron	NA
chr1	7261	7407	-	ONT1.3174.12503	UTR	NA
chr1	7407	7508	-	ONT1.3174.12503	intron	NA
chr1	7508	7540	-	ONT1.3174.12503	UTR	NA
chr1	7540	7641	-	ONT1.3174.12503	intron	NA
chr1	7641	7698	-	ONT1.3174.12503	UTR	NA
chr1	7698	7799	-	ONT1.3174.12503	intron	NA
chr1	7799	7859	-	ONT1.3174.12503	UTR	NA
chr1	7859	7961	-	ONT1.3174.12503	intron	NA
chr1	7961	8045	-	ONT1.3174.12503	UTR	NA
chr1	3774	4839	-	ONT1.3174.12525	UTR	NA
chr1	4839	4874	-	ONT1.3174.12525	intron	NA
chr1	4874	4964	-	ONT1.3174.12525	UTR	NA
chr1	4965	5276	-	ONT1.3174.12525	CDS	EVI5
chr1	5276	5841	-	ONT1.3174.12525	intron	EVI5
chr1	5841	5936	-	ONT1.3174.12525	CDS	EVI5
chr1	5936	6083	-	ONT1.3174.12525	intron	EVI5
chr1	6083	6178	-	ONT1.3174.12525	CDS	EVI5
chr1	6178	6279	-	ONT1.3174.12525	intron	EVI5
chr1	6279	6425	-	ONT1.3174.12525	CDS	EVI5
chr1	6425	6526	-	ONT1.3174.12525	intron	EVI5
