seqnames	start	end	strand	transcript_id	type	gene_id
chr4	768	1082	+	ENST00000264426.14	UTR	NA
chr4	1083	1170	+	ENST00000264426.14	CDS	ENSG00000120251.21
chr4	1170	1707	+	ENST00000264426.14	intron	ENSG00000120251.21
chr4	1707	1847	+	ENST00000264426.14	CDS	ENSG00000120251.21
chr4	1847	2145	+	ENST00000264426.14	intron	ENSG00000120251.21
chr4	2145	2384	+	ENST00000264426.14	CDS	ENSG00000120251.21
chr4	2384	2491	+	ENST00000264426.14	intron	ENSG00000120251.21
chr4	2491	2687	+	ENST00000264426.14	CDS	ENSG00000120251.21
chr4	2687	4600	+	ENST00000264426.14	intron	ENSG00000120251.21
chr4	4600	4653	+	ENST00000264426.14	CDS	ENSG00000120251.21
chr4	4653	5511	+	ENST00000264426.14	intron	ENSG00000120251.21
chr4	5511	5672	+	ENST00000264426.14	CDS	ENSG00000120251.21
chr4	5672	7598	+	ENST00000264426.14	intron	ENSG00000120251.21
chr4	7598	7765	+	ENST00000264426.14	CDS	ENSG00000120251.21
chr4	7765	8028	+	ENST00000264426.14	intron	ENSG00000120251.21
chr4	8028	8132	+	ENST00000264426.14	CDS	ENSG00000120251.21
chr4	8132	8789	+	ENST00000264426.14	intron	ENSG00000120251.21
chr4	8789	8899	+	ENST00000264426.14	CDS	ENSG00000120251.21
chr4	8899	10450	+	ENST00000264426.14	intron	ENSG00000120251.21
chr4	10450	10656	+	ENST00000264426.14	CDS	ENSG00000120251.21
chr4	10656	11156	+	ENST00000264426.14	intron	ENSG00000120251.21
chr4	11156	11526	+	ENST00000264426.14	CDS	ENSG00000120251.21
chr4	11526	16043	+	ENST00000264426.14	intron	ENSG00000120251.21
chr4	16043	16241	+	ENST00000264426.14	CDS	ENSG00000120251.21
chr4	16241	18261	+	ENST00000264426.14	intron	ENSG00000120251.21
chr4	18261	18508	+	ENST00000264426.14	CDS	ENSG00000120251.21
chr4	18508	19375	+	ENST00000264426.14	intron	ENSG00000120251.21
chr4	19375	19489	+	ENST00000264426.14	CDS	ENSG00000120251.21
chr4	19489	21164	+	ENST00000264426.14	intron	ENSG00000120251.21
chr4	21164	21412	+	ENST00000264426.14	CDS	ENSG00000120251.21
chr4	21412	21800	+	ENST00000264426.14	intron	NA
chr4	21800	24440	+	ENST00000264426.14	UTR	NA
chr4	7753	7765	+	ONT4.11756.10034	UTR	NA
chr4	7765	8028	+	ONT4.11756.10034	intron	NA
chr4	8028	8102	+	ONT4.11756.10034	UTR	NA
chr4	8103	8132	+	ONT4.11756.10034	CDS	GRIA2
chr4	8132	8789	+	ONT4.11756.10034	intron	GRIA2
chr4	8789	8899	+	ONT4.11756.10034	CDS	GRIA2
chr4	8899	10450	+	ONT4.11756.10034	intron	GRIA2
chr4	10450	10656	+	ONT4.11756.10034	CDS	GRIA2
chr4	10656	11156	+	ONT4.11756.10034	intron	GRIA2
chr4	11156	11526	+	ONT4.11756.10034	CDS	GRIA2
chr4	11526	16043	+	ONT4.11756.10034	intron	GRIA2
chr4	16043	16241	+	ONT4.11756.10034	CDS	GRIA2
chr4	16241	18261	+	ONT4.11756.10034	intron	GRIA2
chr4	18261	18508	+	ONT4.11756.10034	CDS	GRIA2
chr4	18508	19903	+	ONT4.11756.10034	intron	GRIA2
chr4	19903	20017	+	ONT4.11756.10034	CDS	GRIA2
chr4	20017	21164	+	ONT4.11756.10034	intron	GRIA2
chr4	21164	21409	+	ONT4.11756.10034	CDS	GRIA2
chr4	21410	21412	+	ONT4.11756.10034	UTR	NA
chr4	21412	21800	+	ONT4.11756.10034	intron	NA
chr4	21800	22651	+	ONT4.11756.10034	UTR	NA
chr4	8026	8102	+	ONT4.11756.10068	UTR	NA
chr4	8103	8132	+	ONT4.11756.10068	CDS	GRIA2
chr4	8132	8789	+	ONT4.11756.10068	intron	GRIA2
chr4	8789	8899	+	ONT4.11756.10068	CDS	GRIA2
chr4	8899	10450	+	ONT4.11756.10068	intron	GRIA2
chr4	10450	10656	+	ONT4.11756.10068	CDS	GRIA2
chr4	10656	11156	+	ONT4.11756.10068	intron	GRIA2
chr4	11156	11526	+	ONT4.11756.10068	CDS	GRIA2
chr4	11526	16043	+	ONT4.11756.10068	intron	GRIA2
chr4	16043	16241	+	ONT4.11756.10068	CDS	GRIA2
chr4	16241	18261	+	ONT4.11756.10068	intron	GRIA2
chr4	18261	18508	+	ONT4.11756.10068	CDS	GRIA2
chr4	18508	19375	+	ONT4.11756.10068	intron	GRIA2
chr4	19375	19489	+	ONT4.11756.10068	CDS	GRIA2
chr4	19489	21164	+	ONT4.11756.10068	intron	GRIA2
chr4	21164	21409	+	ONT4.11756.10068	CDS	GRIA2
chr4	21410	21412	+	ONT4.11756.10068	UTR	NA
chr4	21412	21800	+	ONT4.11756.10068	intron	NA
chr4	21800	24428	+	ONT4.11756.10068	UTR	NA
chr4	8026	8102	+	ONT4.11756.10070	UTR	NA
chr4	8103	8132	+	ONT4.11756.10070	CDS	GRIA2
chr4	8132	8789	+	ONT4.11756.10070	intron	GRIA2
chr4	8789	8899	+	ONT4.11756.10070	CDS	GRIA2
chr4	8899	10450	+	ONT4.11756.10070	intron	GRIA2
chr4	10450	10656	+	ONT4.11756.10070	CDS	GRIA2
chr4	10656	11156	+	ONT4.11756.10070	intron	GRIA2
chr4	11156	11526	+	ONT4.11756.10070	CDS	GRIA2
chr4	11526	16043	+	ONT4.11756.10070	intron	GRIA2
chr4	16043	16241	+	ONT4.11756.10070	CDS	GRIA2
chr4	16241	18261	+	ONT4.11756.10070	intron	GRIA2
chr4	18261	18508	+	ONT4.11756.10070	CDS	GRIA2
chr4	18508	19903	+	ONT4.11756.10070	intron	GRIA2
chr4	19903	20017	+	ONT4.11756.10070	CDS	GRIA2
chr4	20017	21164	+	ONT4.11756.10070	intron	GRIA2
chr4	21164	21409	+	ONT4.11756.10070	CDS	GRIA2
chr4	21410	21412	+	ONT4.11756.10070	UTR	NA
chr4	21412	21800	+	ONT4.11756.10070	intron	NA
chr4	21800	22651	+	ONT4.11756.10070	UTR	NA
chr4	8079	8102	+	ONT4.11756.10073	UTR	NA
chr4	8103	8132	+	ONT4.11756.10073	CDS	GRIA2
chr4	8132	8789	+	ONT4.11756.10073	intron	GRIA2
chr4	8789	8899	+	ONT4.11756.10073	CDS	GRIA2
chr4	8899	10450	+	ONT4.11756.10073	intron	GRIA2
chr4	10450	10656	+	ONT4.11756.10073	CDS	GRIA2
chr4	10656	11156	+	ONT4.11756.10073	intron	GRIA2
chr4	11156	11526	+	ONT4.11756.10073	CDS	GRIA2
chr4	11526	16043	+	ONT4.11756.10073	intron	GRIA2
chr4	16043	16241	+	ONT4.11756.10073	CDS	GRIA2
chr4	16241	18261	+	ONT4.11756.10073	intron	GRIA2
chr4	18261	18508	+	ONT4.11756.10073	CDS	GRIA2
chr4	18508	19375	+	ONT4.11756.10073	intron	GRIA2
chr4	19375	19489	+	ONT4.11756.10073	CDS	GRIA2
chr4	19489	21164	+	ONT4.11756.10073	intron	GRIA2
chr4	21164	21409	+	ONT4.11756.10073	CDS	GRIA2
chr4	21410	21412	+	ONT4.11756.10073	UTR	NA
chr4	21412	21800	+	ONT4.11756.10073	intron	NA
chr4	21800	22651	+	ONT4.11756.10073	UTR	NA
chr4	8026	8102	+	ONT4.11756.10075	UTR	NA
chr4	8103	8132	+	ONT4.11756.10075	CDS	GRIA2
chr4	8132	8789	+	ONT4.11756.10075	intron	GRIA2
chr4	8789	8899	+	ONT4.11756.10075	CDS	GRIA2
chr4	8899	10450	+	ONT4.11756.10075	intron	GRIA2
chr4	10450	10656	+	ONT4.11756.10075	CDS	GRIA2
chr4	10656	11156	+	ONT4.11756.10075	intron	GRIA2
chr4	11156	11526	+	ONT4.11756.10075	CDS	GRIA2
chr4	11526	16043	+	ONT4.11756.10075	intron	GRIA2
chr4	16043	16241	+	ONT4.11756.10075	CDS	GRIA2
chr4	16241	18261	+	ONT4.11756.10075	intron	GRIA2
chr4	18261	18508	+	ONT4.11756.10075	CDS	GRIA2
chr4	18508	19375	+	ONT4.11756.10075	intron	GRIA2
chr4	19375	19489	+	ONT4.11756.10075	CDS	GRIA2
chr4	19489	21164	+	ONT4.11756.10075	intron	GRIA2
chr4	21164	21409	+	ONT4.11756.10075	CDS	GRIA2
chr4	21410	21412	+	ONT4.11756.10075	UTR	NA
chr4	21412	21800	+	ONT4.11756.10075	intron	NA
chr4	21800	24155	+	ONT4.11756.10075	UTR	NA
chr4	8048	8102	+	ONT4.11756.10076	UTR	NA
chr4	8103	8132	+	ONT4.11756.10076	CDS	GRIA2
chr4	8132	8789	+	ONT4.11756.10076	intron	GRIA2
chr4	8789	8899	+	ONT4.11756.10076	CDS	GRIA2
chr4	8899	10450	+	ONT4.11756.10076	intron	GRIA2
chr4	10450	10656	+	ONT4.11756.10076	CDS	GRIA2
chr4	10656	11156	+	ONT4.11756.10076	intron	GRIA2
chr4	11156	11526	+	ONT4.11756.10076	CDS	GRIA2
chr4	11526	16043	+	ONT4.11756.10076	intron	GRIA2
