seqnames	start	end	strand	transcript_id	type	gene_id
chr22	2022	4013	-	ENST00000334679.4	UTR	NA
chr22	4014	4583	-	ENST00000334679.4	CDS	ENSG00000167065.14
chr22	4584	4657	-	ENST00000334679.4	UTR	NA
chr22	4657	5680	-	ENST00000334679.4	intron	NA
chr22	5680	6093	-	ENST00000334679.4	UTR	NA
chr22	2	248	-	ONT22.569.4047	UTR	NA
chr22	248	3590	-	ONT22.569.4047	intron	NA
chr22	3590	3837	-	ONT22.569.4047	UTR	NA
chr22	3837	3981	-	ONT22.569.4047	intron	NA
chr22	3981	4016	-	ONT22.569.4047	UTR	NA
chr22	4017	4583	-	ONT22.569.4047	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.4047	UTR	NA
chr22	4657	5680	-	ONT22.569.4047	intron	NA
chr22	5680	6089	-	ONT22.569.4047	UTR	NA
chr22	2	248	-	ONT22.569.4052	UTR	NA
chr22	248	3981	-	ONT22.569.4052	intron	NA
chr22	3981	4016	-	ONT22.569.4052	UTR	NA
chr22	4017	4583	-	ONT22.569.4052	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.4052	UTR	NA
chr22	4657	5025	-	ONT22.569.4052	intron	NA
chr22	5025	6055	-	ONT22.569.4052	UTR	NA
chr22	7	248	-	ONT22.569.4053	UTR	NA
chr22	248	3981	-	ONT22.569.4053	intron	NA
chr22	3981	4016	-	ONT22.569.4053	UTR	NA
chr22	4017	4583	-	ONT22.569.4053	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.4053	UTR	NA
chr22	4657	5680	-	ONT22.569.4053	intron	NA
chr22	5680	6105	-	ONT22.569.4053	UTR	NA
chr22	5	248	-	ONT22.569.4054	UTR	NA
chr22	248	3981	-	ONT22.569.4054	intron	NA
chr22	3981	4016	-	ONT22.569.4054	UTR	NA
chr22	4017	4583	-	ONT22.569.4054	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.4054	UTR	NA
chr22	4657	5025	-	ONT22.569.4054	intron	NA
chr22	5025	5156	-	ONT22.569.4054	UTR	NA
chr22	5156	5680	-	ONT22.569.4054	intron	NA
chr22	5680	6086	-	ONT22.569.4054	UTR	NA
chr22	2	248	-	ONT22.569.4056	UTR	NA
chr22	248	3981	-	ONT22.569.4056	intron	NA
chr22	3981	4016	-	ONT22.569.4056	UTR	NA
chr22	4017	4583	-	ONT22.569.4056	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.4056	UTR	NA
chr22	4657	5680	-	ONT22.569.4056	intron	NA
chr22	5680	6050	-	ONT22.569.4056	UTR	NA
chr22	2	248	-	ONT22.569.4059	UTR	NA
chr22	248	3590	-	ONT22.569.4059	intron	NA
chr22	3590	4016	-	ONT22.569.4059	UTR	NA
chr22	4017	4583	-	ONT22.569.4059	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.4059	UTR	NA
chr22	4657	5680	-	ONT22.569.4059	intron	NA
chr22	5680	6082	-	ONT22.569.4059	UTR	NA
chr22	7	248	-	ONT22.569.4071	UTR	NA
chr22	248	3981	-	ONT22.569.4071	intron	NA
chr22	3981	4016	-	ONT22.569.4071	UTR	NA
chr22	4017	4442	-	ONT22.569.4071	CDS	DUSP18
chr22	4443	4446	-	ONT22.569.4071	UTR	NA
chr22	6	248	-	ONT22.569.4081	UTR	NA
chr22	248	3590	-	ONT22.569.4081	intron	NA
chr22	3590	3837	-	ONT22.569.4081	UTR	NA
chr22	3837	3981	-	ONT22.569.4081	intron	NA
chr22	3981	4119	-	ONT22.569.4081	UTR	NA
chr22	4120	4305	-	ONT22.569.4081	CDS	DUSP18
chr22	4305	4416	-	ONT22.569.4081	intron	DUSP18
chr22	4416	4583	-	ONT22.569.4081	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.4081	UTR	NA
chr22	4657	5025	-	ONT22.569.4081	intron	NA
chr22	5025	5156	-	ONT22.569.4081	UTR	NA
chr22	5156	5680	-	ONT22.569.4081	intron	NA
chr22	5680	6057	-	ONT22.569.4081	UTR	NA
chr22	349	4016	-	ONT22.569.4788	UTR	NA
chr22	4017	4583	-	ONT22.569.4788	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.4788	UTR	NA
chr22	4657	5025	-	ONT22.569.4788	intron	NA
chr22	5025	5399	-	ONT22.569.4788	UTR	NA
chr22	1102	4016	-	ONT22.569.4838	UTR	NA
chr22	4017	4583	-	ONT22.569.4838	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.4838	UTR	NA
chr22	4657	5680	-	ONT22.569.4838	intron	NA
chr22	5680	6084	-	ONT22.569.4838	UTR	NA
chr22	1095	4016	-	ONT22.569.4855	UTR	NA
chr22	4017	4583	-	ONT22.569.4855	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.4855	UTR	NA
chr22	4657	5025	-	ONT22.569.4855	intron	NA
chr22	5025	5156	-	ONT22.569.4855	UTR	NA
chr22	5156	5680	-	ONT22.569.4855	intron	NA
chr22	5680	6099	-	ONT22.569.4855	UTR	NA
chr22	1429	4016	-	ONT22.569.4883	UTR	NA
chr22	4017	4583	-	ONT22.569.4883	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.4883	UTR	NA
chr22	4657	5025	-	ONT22.569.4883	intron	NA
chr22	5025	6076	-	ONT22.569.4883	UTR	NA
chr22	1999	3837	-	ONT22.569.4915	UTR	NA
chr22	3837	3981	-	ONT22.569.4915	intron	NA
chr22	3981	4016	-	ONT22.569.4915	UTR	NA
chr22	4017	4583	-	ONT22.569.4915	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.4915	UTR	NA
chr22	4657	5680	-	ONT22.569.4915	intron	NA
chr22	5680	6093	-	ONT22.569.4915	UTR	NA
chr22	2012	3837	-	ONT22.569.4923	UTR	NA
chr22	3837	3981	-	ONT22.569.4923	intron	NA
chr22	3981	4119	-	ONT22.569.4923	UTR	NA
chr22	4120	4305	-	ONT22.569.4923	CDS	DUSP18
chr22	4305	4416	-	ONT22.569.4923	intron	DUSP18
chr22	4416	4583	-	ONT22.569.4923	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.4923	UTR	NA
chr22	4657	5680	-	ONT22.569.4923	intron	NA
chr22	5680	6076	-	ONT22.569.4923	UTR	NA
chr22	2608	4016	-	ONT22.569.5007	UTR	NA
chr22	4017	4583	-	ONT22.569.5007	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5007	UTR	NA
chr22	4657	5680	-	ONT22.569.5007	intron	NA
chr22	5680	6060	-	ONT22.569.5007	UTR	NA
chr22	2638	4016	-	ONT22.569.5008	UTR	NA
chr22	4017	4583	-	ONT22.569.5008	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5008	UTR	NA
chr22	4657	5025	-	ONT22.569.5008	intron	NA
chr22	5025	6081	-	ONT22.569.5008	UTR	NA
chr22	2670	3837	-	ONT22.569.5011	UTR	NA
chr22	3837	3981	-	ONT22.569.5011	intron	NA
chr22	3981	4016	-	ONT22.569.5011	UTR	NA
chr22	4017	4583	-	ONT22.569.5011	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5011	UTR	NA
chr22	4657	5680	-	ONT22.569.5011	intron	NA
chr22	5680	6099	-	ONT22.569.5011	UTR	NA
chr22	2608	4016	-	ONT22.569.5016	UTR	NA
chr22	4017	4583	-	ONT22.569.5016	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5016	UTR	NA
chr22	4657	5025	-	ONT22.569.5016	intron	NA
chr22	5025	5156	-	ONT22.569.5016	UTR	NA
chr22	5156	5680	-	ONT22.569.5016	intron	NA
chr22	5680	6027	-	ONT22.569.5016	UTR	NA
chr22	2615	4016	-	ONT22.569.5018	UTR	NA
chr22	4017	4583	-	ONT22.569.5018	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5018	UTR	NA
chr22	4657	4758	-	ONT22.569.5018	intron	NA
chr22	4758	4924	-	ONT22.569.5018	UTR	NA
chr22	4924	5025	-	ONT22.569.5018	intron	NA
chr22	5025	6105	-	ONT22.569.5018	UTR	NA
chr22	2613	4016	-	ONT22.569.5021	UTR	NA
chr22	4017	4583	-	ONT22.569.5021	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5021	UTR	NA
chr22	4657	4758	-	ONT22.569.5021	intron	NA
chr22	4758	4924	-	ONT22.569.5021	UTR	NA
chr22	4924	5025	-	ONT22.569.5021	intron	NA
chr22	5025	5177	-	ONT22.569.5021	UTR	NA
chr22	5177	5234	-	ONT22.569.5021	intron	NA
chr22	5234	6078	-	ONT22.569.5021	UTR	NA
chr22	2656	4016	-	ONT22.569.5023	UTR	NA
chr22	4017	4583	-	ONT22.569.5023	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5023	UTR	NA
chr22	4657	4758	-	ONT22.569.5023	intron	NA
chr22	4758	4924	-	ONT22.569.5023	UTR	NA
chr22	4924	5680	-	ONT22.569.5023	intron	NA
chr22	5680	6057	-	ONT22.569.5023	UTR	NA
chr22	2617	3837	-	ONT22.569.5028	UTR	NA
chr22	3837	3981	-	ONT22.569.5028	intron	NA
chr22	3981	4016	-	ONT22.569.5028	UTR	NA
chr22	4017	4226	-	ONT22.569.5028	CDS	DUSP18
chr22	4227	4279	-	ONT22.569.5028	UTR	NA
chr22	2658	4016	-	ONT22.569.5067	UTR	NA
chr22	4017	4583	-	ONT22.569.5067	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5067	UTR	NA
chr22	4657	4758	-	ONT22.569.5067	intron	NA
chr22	4758	4864	-	ONT22.569.5067	UTR	NA
chr22	4864	5025	-	ONT22.569.5067	intron	NA
chr22	5025	5156	-	ONT22.569.5067	UTR	NA
chr22	5156	5680	-	ONT22.569.5067	intron	NA
chr22	5680	6101	-	ONT22.569.5067	UTR	NA
chr22	2639	4016	-	ONT22.569.5088	UTR	NA
chr22	4017	4583	-	ONT22.569.5088	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5088	UTR	NA
chr22	4657	4758	-	ONT22.569.5088	intron	NA
chr22	4758	4924	-	ONT22.569.5088	UTR	NA
chr22	4924	5680	-	ONT22.569.5088	intron	NA
chr22	5680	5916	-	ONT22.569.5088	UTR	NA
chr22	3088	4016	-	ONT22.569.5170	UTR	NA
chr22	4017	4583	-	ONT22.569.5170	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5170	UTR	NA
chr22	4657	5680	-	ONT22.569.5170	intron	NA
chr22	5680	6087	-	ONT22.569.5170	UTR	NA
chr22	3423	4016	-	ONT22.569.5179	UTR	NA
chr22	4017	4583	-	ONT22.569.5179	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5179	UTR	NA
chr22	4657	5025	-	ONT22.569.5179	intron	NA
chr22	5025	6075	-	ONT22.569.5179	UTR	NA
chr22	3426	4016	-	ONT22.569.5181	UTR	NA
chr22	4017	4583	-	ONT22.569.5181	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5181	UTR	NA
chr22	4657	5680	-	ONT22.569.5181	intron	NA
chr22	5680	6093	-	ONT22.569.5181	UTR	NA
chr22	3629	4016	-	ONT22.569.5190	UTR	NA
chr22	4017	4583	-	ONT22.569.5190	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5190	UTR	NA
chr22	4657	5680	-	ONT22.569.5190	intron	NA
chr22	5680	6067	-	ONT22.569.5190	UTR	NA
chr22	3807	4016	-	ONT22.569.5193	UTR	NA
chr22	4017	4583	-	ONT22.569.5193	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5193	UTR	NA
chr22	4657	5680	-	ONT22.569.5193	intron	NA
chr22	5680	6075	-	ONT22.569.5193	UTR	NA
chr22	3807	4016	-	ONT22.569.5194	UTR	NA
chr22	4017	4583	-	ONT22.569.5194	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5194	UTR	NA
chr22	4657	5025	-	ONT22.569.5194	intron	NA
chr22	5025	5798	-	ONT22.569.5194	UTR	NA
chr22	3812	4016	-	ONT22.569.5195	UTR	NA
chr22	4017	4583	-	ONT22.569.5195	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5195	UTR	NA
chr22	4657	5025	-	ONT22.569.5195	intron	NA
chr22	5025	6086	-	ONT22.569.5195	UTR	NA
chr22	3807	4016	-	ONT22.569.5196	UTR	NA
chr22	4017	4583	-	ONT22.569.5196	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5196	UTR	NA
chr22	4657	4758	-	ONT22.569.5196	intron	NA
chr22	4758	4924	-	ONT22.569.5196	UTR	NA
chr22	4924	5025	-	ONT22.569.5196	intron	NA
chr22	5025	6093	-	ONT22.569.5196	UTR	NA
chr22	3813	4016	-	ONT22.569.5197	UTR	NA
chr22	4017	4583	-	ONT22.569.5197	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5197	UTR	NA
chr22	4657	5025	-	ONT22.569.5197	intron	NA
chr22	5025	5156	-	ONT22.569.5197	UTR	NA
chr22	5156	5680	-	ONT22.569.5197	intron	NA
chr22	5680	6081	-	ONT22.569.5197	UTR	NA
chr22	3807	4016	-	ONT22.569.5199	UTR	NA
chr22	4017	4583	-	ONT22.569.5199	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5199	UTR	NA
chr22	4657	5680	-	ONT22.569.5199	intron	NA
chr22	5680	6018	-	ONT22.569.5199	UTR	NA
chr22	3807	4016	-	ONT22.569.5200	UTR	NA
chr22	4017	4583	-	ONT22.569.5200	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5200	UTR	NA
chr22	4657	5025	-	ONT22.569.5200	intron	NA
chr22	5025	5176	-	ONT22.569.5200	UTR	NA
chr22	5176	5234	-	ONT22.569.5200	intron	NA
chr22	5234	6058	-	ONT22.569.5200	UTR	NA
chr22	3810	4016	-	ONT22.569.5205	UTR	NA
chr22	4017	4583	-	ONT22.569.5205	CDS	DUSP18
chr22	4584	4657	-	ONT22.569.5205	UTR	NA
chr22	4657	5025	-	ONT22.569.5205	intron	NA
chr22	5025	5330	-	ONT22.569.5205	UTR	NA
chr22	3812	4016	-	ONT22.569.5209	UTR	NA
chr22	4017	4583	-	ONT22.569.5209	CDS	DUSP18
