seqnames	start	end	strand	transcript_id	type	gene_id
chr1	2	5172	-	ENST00000315927.9	UTR	NA
chr1	5173	5876	-	ENST00000315927.9	CDS	ENSG00000180667.11
chr1	5876	6003	-	ENST00000315927.9	intron	ENSG00000180667.11
chr1	6003	6348	-	ENST00000315927.9	CDS	ENSG00000180667.11
chr1	6349	6523	-	ENST00000315927.9	UTR	NA
chr1	2187	5175	-	ONT1.8137.140	UTR	NA
chr1	5176	5876	-	ONT1.8137.140	CDS	YOD1
chr1	5876	6003	-	ONT1.8137.140	intron	YOD1
chr1	6003	6213	-	ONT1.8137.140	CDS	YOD1
chr1	6214	6330	-	ONT1.8137.140	UTR	NA
chr1	2400	5175	-	ONT1.8137.144	UTR	NA
chr1	5176	5876	-	ONT1.8137.144	CDS	YOD1
chr1	5876	6003	-	ONT1.8137.144	intron	YOD1
chr1	6003	6213	-	ONT1.8137.144	CDS	YOD1
chr1	6214	6300	-	ONT1.8137.144	UTR	NA
chr1	2598	5175	-	ONT1.8137.147	UTR	NA
chr1	5176	5876	-	ONT1.8137.147	CDS	YOD1
chr1	5876	6003	-	ONT1.8137.147	intron	YOD1
chr1	6003	6213	-	ONT1.8137.147	CDS	YOD1
chr1	6214	6292	-	ONT1.8137.147	UTR	NA
chr1	2844	5175	-	ONT1.8137.148	UTR	NA
chr1	5176	5876	-	ONT1.8137.148	CDS	YOD1
chr1	5876	6003	-	ONT1.8137.148	intron	YOD1
chr1	6003	6213	-	ONT1.8137.148	CDS	YOD1
chr1	6214	6321	-	ONT1.8137.148	UTR	NA
chr1	2842	5175	-	ONT1.8137.150	UTR	NA
chr1	5176	5874	-	ONT1.8137.150	CDS	YOD1
chr1	5875	5876	-	ONT1.8137.150	UTR	NA
chr1	5876	6003	-	ONT1.8137.150	intron	NA
chr1	6003	6139	-	ONT1.8137.150	UTR	NA
chr1	3315	5175	-	ONT1.8137.172	UTR	NA
chr1	5176	5876	-	ONT1.8137.172	CDS	YOD1
chr1	5876	6003	-	ONT1.8137.172	intron	YOD1
chr1	6003	6213	-	ONT1.8137.172	CDS	YOD1
chr1	6214	6304	-	ONT1.8137.172	UTR	NA
chr1	3916	5175	-	ONT1.8137.185	UTR	NA
chr1	5176	5876	-	ONT1.8137.185	CDS	YOD1
chr1	5876	6003	-	ONT1.8137.185	intron	YOD1
chr1	6003	6213	-	ONT1.8137.185	CDS	YOD1
chr1	6214	6315	-	ONT1.8137.185	UTR	NA
chr1	4052	5175	-	ONT1.8137.193	UTR	NA
chr1	5176	5876	-	ONT1.8137.193	CDS	YOD1
chr1	5876	6003	-	ONT1.8137.193	intron	YOD1
chr1	6003	6213	-	ONT1.8137.193	CDS	YOD1
chr1	6214	6333	-	ONT1.8137.193	UTR	NA
chr1	4263	5175	-	ONT1.8137.197	UTR	NA
chr1	5176	5876	-	ONT1.8137.197	CDS	YOD1
chr1	5876	6003	-	ONT1.8137.197	intron	YOD1
chr1	6003	6213	-	ONT1.8137.197	CDS	YOD1
chr1	6214	6301	-	ONT1.8137.197	UTR	NA
chr1	4899	5175	-	ONT1.8137.203	UTR	NA
chr1	5176	5876	-	ONT1.8137.203	CDS	YOD1
chr1	5876	6003	-	ONT1.8137.203	intron	YOD1
chr1	6003	6213	-	ONT1.8137.203	CDS	YOD1
chr1	6214	6293	-	ONT1.8137.203	UTR	NA
chr1	5	5175	-	ONT1.8137.46	UTR	NA
chr1	5176	5876	-	ONT1.8137.46	CDS	YOD1
chr1	5876	6003	-	ONT1.8137.46	intron	YOD1
chr1	6003	6213	-	ONT1.8137.46	CDS	YOD1
chr1	6214	6323	-	ONT1.8137.46	UTR	NA
chr1	6	5175	-	ONT1.8137.81	UTR	NA
chr1	5176	5874	-	ONT1.8137.81	CDS	YOD1
chr1	5875	5902	-	ONT1.8137.81	UTR	NA
chr1	5902	6003	-	ONT1.8137.81	intron	NA
chr1	6003	6318	-	ONT1.8137.81	UTR	NA
chr1	2	5876	-	ENST00000315927.9	exon	ENSG00000180667.11
chr1	5876	6003	-	ENST00000315927.9	intron	ENSG00000180667.11
chr1	6003	6523	-	ENST00000315927.9	exon	ENSG00000180667.11
chr1	2187	5876	-	ONT1.8137.140	exon	YOD1
chr1	5876	6003	-	ONT1.8137.140	intron	YOD1
chr1	6003	6330	-	ONT1.8137.140	exon	YOD1
chr1	2400	5876	-	ONT1.8137.144	exon	YOD1
chr1	5876	6003	-	ONT1.8137.144	intron	YOD1
chr1	6003	6300	-	ONT1.8137.144	exon	YOD1
chr1	2598	5876	-	ONT1.8137.147	exon	YOD1
chr1	5876	6003	-	ONT1.8137.147	intron	YOD1
chr1	6003	6292	-	ONT1.8137.147	exon	YOD1
chr1	2844	5876	-	ONT1.8137.148	exon	YOD1
chr1	5876	6003	-	ONT1.8137.148	intron	YOD1
chr1	6003	6321	-	ONT1.8137.148	exon	YOD1
chr1	2842	5876	-	ONT1.8137.150	exon	YOD1
chr1	5876	6003	-	ONT1.8137.150	intron	NA
chr1	6003	6139	-	ONT1.8137.150	exon	YOD1
chr1	3315	5876	-	ONT1.8137.172	exon	YOD1
chr1	5876	6003	-	ONT1.8137.172	intron	YOD1
chr1	6003	6304	-	ONT1.8137.172	exon	YOD1
chr1	3916	5876	-	ONT1.8137.185	exon	YOD1
chr1	5876	6003	-	ONT1.8137.185	intron	YOD1
chr1	6003	6315	-	ONT1.8137.185	exon	YOD1
chr1	4052	5876	-	ONT1.8137.193	exon	YOD1
chr1	5876	6003	-	ONT1.8137.193	intron	YOD1
chr1	6003	6333	-	ONT1.8137.193	exon	YOD1
chr1	4263	5876	-	ONT1.8137.197	exon	YOD1
chr1	5876	6003	-	ONT1.8137.197	intron	YOD1
chr1	6003	6301	-	ONT1.8137.197	exon	YOD1
chr1	4899	5876	-	ONT1.8137.203	exon	YOD1
chr1	5876	6003	-	ONT1.8137.203	intron	YOD1
chr1	6003	6293	-	ONT1.8137.203	exon	YOD1
chr1	5	5876	-	ONT1.8137.46	exon	YOD1
chr1	5876	6003	-	ONT1.8137.46	intron	YOD1
chr1	6003	6323	-	ONT1.8137.46	exon	YOD1
chr1	6	5902	-	ONT1.8137.81	exon	YOD1
chr1	5902	6003	-	ONT1.8137.81	intron	NA
chr1	6003	6318	-	ONT1.8137.81	exon	YOD1
