seqnames	start	end	strand	transcript_id	type	gene_id
chr12	3149	3215	+	ENST00000442218.3	UTR	NA
chr12	3216	3351	+	ENST00000442218.3	CDS	ENSG00000211584.14
chr12	3351	4137	+	ENST00000442218.3	intron	ENSG00000211584.14
chr12	4137	4304	+	ENST00000442218.3	CDS	ENSG00000211584.14
chr12	4304	5254	+	ENST00000442218.3	intron	ENSG00000211584.14
chr12	5254	5393	+	ENST00000442218.3	CDS	ENSG00000211584.14
chr12	5394	7860	+	ENST00000442218.3	UTR	NA
chr12	3146	3215	+	ONT12.1665.1023	UTR	NA
chr12	3216	3351	+	ONT12.1665.1023	CDS	SLC48A1
chr12	3351	4137	+	ONT12.1665.1023	intron	SLC48A1
chr12	4137	4304	+	ONT12.1665.1023	CDS	SLC48A1
chr12	4304	5254	+	ONT12.1665.1023	intron	SLC48A1
chr12	5254	5380	+	ONT12.1665.1023	CDS	SLC48A1
chr12	5380	5501	+	ONT12.1665.1023	intron	SLC48A1
chr12	5501	5570	+	ONT12.1665.1023	CDS	SLC48A1
chr12	5571	6779	+	ONT12.1665.1023	UTR	NA
chr12	3149	3215	+	ONT12.1665.1028	UTR	NA
chr12	3216	3351	+	ONT12.1665.1028	CDS	SLC48A1
chr12	3351	4137	+	ONT12.1665.1028	intron	SLC48A1
chr12	4137	4304	+	ONT12.1665.1028	CDS	SLC48A1
chr12	4304	5254	+	ONT12.1665.1028	intron	SLC48A1
chr12	5254	5390	+	ONT12.1665.1028	CDS	SLC48A1
chr12	5391	7732	+	ONT12.1665.1028	UTR	NA
chr12	3147	3215	+	ONT12.1665.1033	UTR	NA
chr12	3216	3351	+	ONT12.1665.1033	CDS	SLC48A1
chr12	3351	4137	+	ONT12.1665.1033	intron	SLC48A1
chr12	4137	4304	+	ONT12.1665.1033	CDS	SLC48A1
chr12	4304	5254	+	ONT12.1665.1033	intron	SLC48A1
chr12	5254	5390	+	ONT12.1665.1033	CDS	SLC48A1
chr12	5391	6655	+	ONT12.1665.1033	UTR	NA
chr12	6655	6682	+	ONT12.1665.1033	intron	NA
chr12	6682	6765	+	ONT12.1665.1033	UTR	NA
chr12	3149	3215	+	ONT12.1665.1042	UTR	NA
chr12	3216	3351	+	ONT12.1665.1042	CDS	SLC48A1
chr12	3351	4159	+	ONT12.1665.1042	intron	SLC48A1
chr12	4159	4163	+	ONT12.1665.1042	CDS	SLC48A1
chr12	4164	4304	+	ONT12.1665.1042	UTR	NA
chr12	4304	5254	+	ONT12.1665.1042	intron	NA
chr12	5254	7862	+	ONT12.1665.1042	UTR	NA
chr12	3214	3215	+	ONT12.1665.1044	UTR	NA
chr12	3216	3351	+	ONT12.1665.1044	CDS	SLC48A1
chr12	3351	4137	+	ONT12.1665.1044	intron	SLC48A1
chr12	4137	4304	+	ONT12.1665.1044	CDS	SLC48A1
chr12	4304	5254	+	ONT12.1665.1044	intron	SLC48A1
chr12	5254	5390	+	ONT12.1665.1044	CDS	SLC48A1
chr12	5391	5652	+	ONT12.1665.1044	UTR	NA
chr12	5652	5674	+	ONT12.1665.1044	intron	NA
chr12	5674	6779	+	ONT12.1665.1044	UTR	NA
chr12	3150	3215	+	ONT12.1665.1045	UTR	NA
chr12	3216	3351	+	ONT12.1665.1045	CDS	SLC48A1
chr12	3351	4137	+	ONT12.1665.1045	intron	SLC48A1
chr12	4137	4190	+	ONT12.1665.1045	CDS	SLC48A1
chr12	4190	6132	+	ONT12.1665.1045	intron	SLC48A1
chr12	6132	6541	+	ONT12.1665.1045	CDS	SLC48A1
chr12	6542	6781	+	ONT12.1665.1045	UTR	NA
chr12	3149	3215	+	ONT12.1665.1055	UTR	NA
chr12	3216	3351	+	ONT12.1665.1055	CDS	SLC48A1
chr12	3351	4137	+	ONT12.1665.1055	intron	SLC48A1
chr12	4137	4304	+	ONT12.1665.1055	CDS	SLC48A1
chr12	4304	5254	+	ONT12.1665.1055	intron	SLC48A1
chr12	5254	5329	+	ONT12.1665.1055	CDS	SLC48A1
chr12	5329	5930	+	ONT12.1665.1055	intron	SLC48A1
chr12	5930	6002	+	ONT12.1665.1055	CDS	SLC48A1
chr12	6003	6779	+	ONT12.1665.1055	UTR	NA
chr12	3150	3215	+	ONT12.1665.1079	UTR	NA
chr12	3216	3351	+	ONT12.1665.1079	CDS	SLC48A1
chr12	3351	4137	+	ONT12.1665.1079	intron	SLC48A1
chr12	4137	4304	+	ONT12.1665.1079	CDS	SLC48A1
chr12	4304	5273	+	ONT12.1665.1079	intron	SLC48A1
chr12	5273	6054	+	ONT12.1665.1079	CDS	SLC48A1
chr12	6055	6779	+	ONT12.1665.1079	UTR	NA
chr12	3160	3215	+	ONT12.1665.1082	UTR	NA
chr12	3216	3351	+	ONT12.1665.1082	CDS	SLC48A1
chr12	3351	4137	+	ONT12.1665.1082	intron	SLC48A1
chr12	4137	4304	+	ONT12.1665.1082	CDS	SLC48A1
chr12	4304	5490	+	ONT12.1665.1082	intron	SLC48A1
chr12	5490	5647	+	ONT12.1665.1082	CDS	SLC48A1
chr12	5648	6779	+	ONT12.1665.1082	UTR	NA
chr12	3172	3215	+	ONT12.1665.1083	UTR	NA
chr12	3216	3351	+	ONT12.1665.1083	CDS	SLC48A1
chr12	3351	4137	+	ONT12.1665.1083	intron	SLC48A1
chr12	4137	4304	+	ONT12.1665.1083	CDS	SLC48A1
chr12	4304	5254	+	ONT12.1665.1083	intron	SLC48A1
chr12	5254	5390	+	ONT12.1665.1083	CDS	SLC48A1
chr12	5391	5825	+	ONT12.1665.1083	UTR	NA
chr12	5825	5961	+	ONT12.1665.1083	intron	NA
chr12	5961	6779	+	ONT12.1665.1083	UTR	NA
chr12	3172	3215	+	ONT12.1665.1140	UTR	NA
chr12	3216	3351	+	ONT12.1665.1140	CDS	SLC48A1
chr12	3351	4137	+	ONT12.1665.1140	intron	SLC48A1
chr12	4137	4314	+	ONT12.1665.1140	CDS	SLC48A1
chr12	4314	5273	+	ONT12.1665.1140	intron	SLC48A1
chr12	5273	5390	+	ONT12.1665.1140	CDS	SLC48A1
chr12	5391	6781	+	ONT12.1665.1140	UTR	NA
chr12	3254	3335	+	ONT12.1665.1175	UTR	NA
chr12	3336	3351	+	ONT12.1665.1175	CDS	SLC48A1
chr12	3351	4137	+	ONT12.1665.1175	intron	SLC48A1
chr12	4137	4304	+	ONT12.1665.1175	CDS	SLC48A1
chr12	4304	5263	+	ONT12.1665.1175	intron	SLC48A1
chr12	5263	5390	+	ONT12.1665.1175	CDS	SLC48A1
chr12	5391	6765	+	ONT12.1665.1175	UTR	NA
chr12	3323	3335	+	ONT12.1665.1179	UTR	NA
chr12	3336	3351	+	ONT12.1665.1179	CDS	SLC48A1
chr12	3351	4137	+	ONT12.1665.1179	intron	SLC48A1
chr12	4137	4304	+	ONT12.1665.1179	CDS	SLC48A1
chr12	4304	5254	+	ONT12.1665.1179	intron	SLC48A1
chr12	5254	5390	+	ONT12.1665.1179	CDS	SLC48A1
chr12	5391	6758	+	ONT12.1665.1179	UTR	NA
chr12	3308	3335	+	ONT12.1665.1181	UTR	NA
chr12	3336	3351	+	ONT12.1665.1181	CDS	SLC48A1
chr12	3351	4137	+	ONT12.1665.1181	intron	SLC48A1
chr12	4137	4304	+	ONT12.1665.1181	CDS	SLC48A1
chr12	4304	5254	+	ONT12.1665.1181	intron	SLC48A1
chr12	5254	5390	+	ONT12.1665.1181	CDS	SLC48A1
chr12	5391	7860	+	ONT12.1665.1181	UTR	NA
chr12	3452	4171	+	ONT12.1665.1203	UTR	NA
chr12	4172	4304	+	ONT12.1665.1203	CDS	SLC48A1
chr12	4304	5254	+	ONT12.1665.1203	intron	SLC48A1
chr12	5254	5390	+	ONT12.1665.1203	CDS	SLC48A1
chr12	5391	6781	+	ONT12.1665.1203	UTR	NA
chr12	3489	3743	+	ONT12.1665.1204	UTR	NA
chr12	3744	3756	+	ONT12.1665.1204	CDS	SLC48A1
chr12	3756	4137	+	ONT12.1665.1204	intron	SLC48A1
chr12	4137	4304	+	ONT12.1665.1204	CDS	SLC48A1
chr12	4304	5254	+	ONT12.1665.1204	intron	SLC48A1
chr12	5254	5390	+	ONT12.1665.1204	CDS	SLC48A1
chr12	5391	6779	+	ONT12.1665.1204	UTR	NA
chr12	3515	3743	+	ONT12.1665.1205	UTR	NA
chr12	3744	3756	+	ONT12.1665.1205	CDS	SLC48A1
chr12	3756	4137	+	ONT12.1665.1205	intron	SLC48A1
chr12	4137	4304	+	ONT12.1665.1205	CDS	SLC48A1
chr12	4304	5254	+	ONT12.1665.1205	intron	SLC48A1
chr12	5254	5390	+	ONT12.1665.1205	CDS	SLC48A1
chr12	5391	6779	+	ONT12.1665.1205	UTR	NA
chr12	4130	4171	+	ONT12.1665.1222	UTR	NA
chr12	4172	4304	+	ONT12.1665.1222	CDS	SLC48A1
chr12	4304	5254	+	ONT12.1665.1222	intron	SLC48A1
chr12	5254	5390	+	ONT12.1665.1222	CDS	SLC48A1
chr12	5391	6779	+	ONT12.1665.1222	UTR	NA
chr12	4138	4171	+	ONT12.1665.1223	UTR	NA
chr12	4172	4304	+	ONT12.1665.1223	CDS	SLC48A1
chr12	4304	5254	+	ONT12.1665.1223	intron	SLC48A1
chr12	5254	5390	+	ONT12.1665.1223	CDS	SLC48A1
chr12	5391	7860	+	ONT12.1665.1223	UTR	NA
chr12	4131	4171	+	ONT12.1665.1224	UTR	NA
chr12	4172	4304	+	ONT12.1665.1224	CDS	SLC48A1
chr12	4304	5263	+	ONT12.1665.1224	intron	SLC48A1
chr12	5263	5390	+	ONT12.1665.1224	CDS	SLC48A1
chr12	5391	6776	+	ONT12.1665.1224	UTR	NA
chr12	4162	4171	+	ONT12.1665.1227	UTR	NA
chr12	4172	4304	+	ONT12.1665.1227	CDS	SLC48A1
chr12	4304	5254	+	ONT12.1665.1227	intron	SLC48A1
chr12	5254	5390	+	ONT12.1665.1227	CDS	SLC48A1
chr12	5391	6779	+	ONT12.1665.1227	UTR	NA
chr12	4154	4171	+	ONT12.1665.1230	UTR	NA
chr12	4172	4304	+	ONT12.1665.1230	CDS	SLC48A1
chr12	4304	5254	+	ONT12.1665.1230	intron	SLC48A1
chr12	5254	5390	+	ONT12.1665.1230	CDS	SLC48A1
chr12	5391	5398	+	ONT12.1665.1230	UTR	NA
chr12	5398	7327	+	ONT12.1665.1230	intron	NA
chr12	7327	7860	+	ONT12.1665.1230	UTR	NA
chr12	4206	4304	+	ONT12.1665.1233	UTR	NA
chr12	4304	5254	+	ONT12.1665.1233	intron	NA
chr12	5254	5334	+	ONT12.1665.1233	UTR	NA
chr12	5335	6054	+	ONT12.1665.1233	CDS	SLC48A1
chr12	6055	7860	+	ONT12.1665.1233	UTR	NA
chr12	4285	4304	+	ONT12.1665.1240	UTR	NA
chr12	4304	5254	+	ONT12.1665.1240	intron	NA
chr12	5254	5334	+	ONT12.1665.1240	UTR	NA
chr12	5335	6054	+	ONT12.1665.1240	CDS	SLC48A1
chr12	6055	7860	+	ONT12.1665.1240	UTR	NA
chr12	4288	4304	+	ONT12.1665.1241	UTR	NA
chr12	4304	5254	+	ONT12.1665.1241	intron	NA
chr12	5254	5334	+	ONT12.1665.1241	UTR	NA
chr12	5335	6054	+	ONT12.1665.1241	CDS	SLC48A1
chr12	6055	6779	+	ONT12.1665.1241	UTR	NA
chr12	2	155	+	ONT12.1665.706	UTR	NA
chr12	155	2207	+	ONT12.1665.706	intron	NA
chr12	2207	2392	+	ONT12.1665.706	UTR	NA
chr12	2392	2493	+	ONT12.1665.706	intron	NA
chr12	2493	2643	+	ONT12.1665.706	UTR	NA
chr12	2643	4137	+	ONT12.1665.706	intron	NA
chr12	4137	4171	+	ONT12.1665.706	UTR	NA
chr12	4172	4304	+	ONT12.1665.706	CDS	SLC48A1
chr12	4304	5254	+	ONT12.1665.706	intron	SLC48A1
chr12	5254	5390	+	ONT12.1665.706	CDS	SLC48A1
chr12	5391	6779	+	ONT12.1665.706	UTR	NA
chr12	256	1140	+	ONT12.1665.715	UTR	NA
chr12	1140	2207	+	ONT12.1665.715	intron	NA
chr12	2207	2392	+	ONT12.1665.715	UTR	NA
chr12	2392	2493	+	ONT12.1665.715	intron	NA
chr12	2493	2643	+	ONT12.1665.715	UTR	NA
chr12	2643	4137	+	ONT12.1665.715	intron	NA
chr12	4137	4171	+	ONT12.1665.715	UTR	NA
chr12	4172	4304	+	ONT12.1665.715	CDS	SLC48A1
chr12	4304	5254	+	ONT12.1665.715	intron	SLC48A1
chr12	5254	5390	+	ONT12.1665.715	CDS	SLC48A1
chr12	5391	6779	+	ONT12.1665.715	UTR	NA
chr12	583	651	+	ONT12.1665.729	UTR	NA
chr12	651	2207	+	ONT12.1665.729	intron	NA
chr12	2207	2392	+	ONT12.1665.729	UTR	NA
chr12	2392	2493	+	ONT12.1665.729	intron	NA
chr12	2493	2643	+	ONT12.1665.729	UTR	NA
chr12	2643	4137	+	ONT12.1665.729	intron	NA
chr12	4137	4171	+	ONT12.1665.729	UTR	NA
chr12	4172	4304	+	ONT12.1665.729	CDS	SLC48A1
chr12	4304	5254	+	ONT12.1665.729	intron	SLC48A1
