seqnames	start	end	strand	transcript_id	type	gene_id
chr9	522	749	+	ENST00000358157.3	UTR	NA
chr9	749	4309	+	ENST00000358157.3	intron	NA
chr9	4309	4455	+	ENST00000358157.3	UTR	NA
chr9	4456	5595	+	ENST00000358157.3	CDS	ENSG00000213694.6
chr9	5596	8410	+	ENST00000358157.3	UTR	NA
chr9	641	749	+	ONT9.3047.106	UTR	NA
chr9	749	4309	+	ONT9.3047.106	intron	NA
chr9	4309	4455	+	ONT9.3047.106	UTR	NA
chr9	4456	5592	+	ONT9.3047.106	CDS	S1PR3
chr9	5593	8265	+	ONT9.3047.106	UTR	NA
chr9	662	749	+	ONT9.3047.108	UTR	NA
chr9	749	4309	+	ONT9.3047.108	intron	NA
chr9	4309	4455	+	ONT9.3047.108	UTR	NA
chr9	4456	5592	+	ONT9.3047.108	CDS	S1PR3
chr9	5593	8261	+	ONT9.3047.108	UTR	NA
chr9	23	167	+	ONT9.3047.23	UTR	NA
chr9	168	356	+	ONT9.3047.23	CDS	S1PR3
chr9	356	524	+	ONT9.3047.23	intron	S1PR3
chr9	524	749	+	ONT9.3047.23	CDS	S1PR3
chr9	749	850	+	ONT9.3047.23	intron	S1PR3
chr9	850	986	+	ONT9.3047.23	CDS	S1PR3
chr9	987	2690	+	ONT9.3047.23	UTR	NA
chr9	2	167	+	ONT9.3047.24	UTR	NA
chr9	168	356	+	ONT9.3047.24	CDS	S1PR3
chr9	356	524	+	ONT9.3047.24	intron	S1PR3
chr9	524	749	+	ONT9.3047.24	CDS	S1PR3
chr9	749	4309	+	ONT9.3047.24	intron	S1PR3
chr9	4309	4358	+	ONT9.3047.24	CDS	S1PR3
chr9	4359	6902	+	ONT9.3047.24	UTR	NA
chr9	57	167	+	ONT9.3047.27	UTR	NA
chr9	168	356	+	ONT9.3047.27	CDS	S1PR3
chr9	356	524	+	ONT9.3047.27	intron	S1PR3
chr9	524	749	+	ONT9.3047.27	CDS	S1PR3
chr9	749	4309	+	ONT9.3047.27	intron	S1PR3
chr9	4309	4358	+	ONT9.3047.27	CDS	S1PR3
chr9	4359	8266	+	ONT9.3047.27	UTR	NA
chr9	62	167	+	ONT9.3047.48	UTR	NA
chr9	168	356	+	ONT9.3047.48	CDS	S1PR3
chr9	356	524	+	ONT9.3047.48	intron	S1PR3
chr9	524	749	+	ONT9.3047.48	CDS	S1PR3
chr9	749	850	+	ONT9.3047.48	intron	S1PR3
chr9	850	986	+	ONT9.3047.48	CDS	S1PR3
chr9	987	2687	+	ONT9.3047.48	UTR	NA
chr9	120	167	+	ONT9.3047.56	UTR	NA
chr9	168	356	+	ONT9.3047.56	CDS	S1PR3
chr9	356	524	+	ONT9.3047.56	intron	S1PR3
chr9	524	749	+	ONT9.3047.56	CDS	S1PR3
chr9	749	4309	+	ONT9.3047.56	intron	S1PR3
chr9	4309	4358	+	ONT9.3047.56	CDS	S1PR3
chr9	4359	8255	+	ONT9.3047.56	UTR	NA
chr9	242	356	+	ONT9.3047.57	UTR	NA
chr9	356	524	+	ONT9.3047.57	intron	NA
chr9	524	715	+	ONT9.3047.57	UTR	NA
chr9	716	749	+	ONT9.3047.57	CDS	S1PR3
chr9	749	850	+	ONT9.3047.57	intron	S1PR3
chr9	850	986	+	ONT9.3047.57	CDS	S1PR3
chr9	987	4208	+	ONT9.3047.57	UTR	NA
chr9	457	749	+	ONT9.3047.62	UTR	NA
chr9	749	4309	+	ONT9.3047.62	intron	NA
chr9	4309	4455	+	ONT9.3047.62	UTR	NA
chr9	4456	5592	+	ONT9.3047.62	CDS	S1PR3
chr9	5593	8263	+	ONT9.3047.62	UTR	NA
chr9	486	749	+	ONT9.3047.65	UTR	NA
chr9	749	4309	+	ONT9.3047.65	intron	NA
chr9	4309	4455	+	ONT9.3047.65	UTR	NA
chr9	4456	5592	+	ONT9.3047.65	CDS	S1PR3
chr9	5593	6902	+	ONT9.3047.65	UTR	NA
chr9	507	749	+	ONT9.3047.68	UTR	NA
chr9	749	4309	+	ONT9.3047.68	intron	NA
chr9	4309	4455	+	ONT9.3047.68	UTR	NA
chr9	4456	5592	+	ONT9.3047.68	CDS	S1PR3
chr9	5593	8260	+	ONT9.3047.68	UTR	NA
chr9	500	749	+	ONT9.3047.71	UTR	NA
chr9	749	4309	+	ONT9.3047.71	intron	NA
chr9	4309	4455	+	ONT9.3047.71	UTR	NA
chr9	4456	5592	+	ONT9.3047.71	CDS	S1PR3
chr9	5593	7066	+	ONT9.3047.71	UTR	NA
chr9	522	749	+	ONT9.3047.85	UTR	NA
chr9	749	4309	+	ONT9.3047.85	intron	NA
