seqnames	start	end	strand	transcript_id	type	gene_id
chr1	498	565	+	ENST00000509305.6	UTR	NA
chr1	565	1097	+	ENST00000509305.6	intron	NA
chr1	1097	1119	+	ENST00000509305.6	UTR	NA
chr1	1120	1300	+	ENST00000509305.6	CDS	ENSG00000173369.18
chr1	1300	1429	+	ENST00000509305.6	intron	ENSG00000173369.18
chr1	1429	2006	+	ENST00000509305.6	CDS	ENSG00000173369.18
chr1	2007	2254	+	ENST00000509305.6	UTR	NA
chr1	2	224	+	ONT1.747.373	UTR	NA
chr1	224	1097	+	ONT1.747.373	intron	NA
chr1	1097	1113	+	ONT1.747.373	UTR	NA
chr1	1114	1300	+	ONT1.747.373	CDS	C1QB
chr1	1300	1429	+	ONT1.747.373	intron	C1QB
chr1	1429	2003	+	ONT1.747.373	CDS	C1QB
chr1	2004	2147	+	ONT1.747.373	UTR	NA
chr1	325	565	+	ONT1.747.374	UTR	NA
chr1	565	1097	+	ONT1.747.374	intron	NA
chr1	1097	1113	+	ONT1.747.374	UTR	NA
chr1	1114	1300	+	ONT1.747.374	CDS	C1QB
chr1	1300	1429	+	ONT1.747.374	intron	C1QB
chr1	1429	2003	+	ONT1.747.374	CDS	C1QB
chr1	2004	2149	+	ONT1.747.374	UTR	NA
chr1	387	565	+	ONT1.747.375	UTR	NA
chr1	565	836	+	ONT1.747.375	intron	NA
chr1	836	988	+	ONT1.747.375	UTR	NA
chr1	988	1097	+	ONT1.747.375	intron	NA
chr1	1097	1113	+	ONT1.747.375	UTR	NA
chr1	1114	1300	+	ONT1.747.375	CDS	C1QB
chr1	1300	1429	+	ONT1.747.375	intron	C1QB
chr1	1429	2003	+	ONT1.747.375	CDS	C1QB
chr1	2004	2144	+	ONT1.747.375	UTR	NA
chr1	414	565	+	ONT1.747.376	UTR	NA
chr1	565	1097	+	ONT1.747.376	intron	NA
chr1	1097	1113	+	ONT1.747.376	UTR	NA
chr1	1114	1300	+	ONT1.747.376	CDS	C1QB
chr1	1300	1429	+	ONT1.747.376	intron	C1QB
chr1	1429	2003	+	ONT1.747.376	CDS	C1QB
chr1	2004	2149	+	ONT1.747.376	UTR	NA
chr1	386	565	+	ONT1.747.378	UTR	NA
chr1	565	1097	+	ONT1.747.378	intron	NA
chr1	1097	1113	+	ONT1.747.378	UTR	NA
chr1	1114	1300	+	ONT1.747.378	CDS	C1QB
chr1	1300	1429	+	ONT1.747.378	intron	C1QB
chr1	1429	2003	+	ONT1.747.378	CDS	C1QB
chr1	2004	2254	+	ONT1.747.378	UTR	NA
chr1	457	565	+	ONT1.747.385	UTR	NA
chr1	565	1097	+	ONT1.747.385	intron	NA
chr1	1097	1300	+	ONT1.747.385	UTR	NA
chr1	1300	1429	+	ONT1.747.385	intron	NA
chr1	1429	1452	+	ONT1.747.385	UTR	NA
chr1	1453	1507	+	ONT1.747.385	CDS	C1QB
chr1	1507	1546	+	ONT1.747.385	intron	C1QB
chr1	1546	2003	+	ONT1.747.385	CDS	C1QB
chr1	2004	2153	+	ONT1.747.385	UTR	NA
chr1	474	565	+	ONT1.747.388	UTR	NA
chr1	565	836	+	ONT1.747.388	intron	NA
chr1	836	988	+	ONT1.747.388	UTR	NA
chr1	988	1097	+	ONT1.747.388	intron	NA
chr1	1097	1113	+	ONT1.747.388	UTR	NA
chr1	1114	1300	+	ONT1.747.388	CDS	C1QB
chr1	1300	1429	+	ONT1.747.388	intron	C1QB
chr1	1429	2003	+	ONT1.747.388	CDS	C1QB
chr1	2004	2254	+	ONT1.747.388	UTR	NA
chr1	525	565	+	ONT1.747.389	UTR	NA
chr1	565	836	+	ONT1.747.389	intron	NA
chr1	836	988	+	ONT1.747.389	UTR	NA
chr1	988	1097	+	ONT1.747.389	intron	NA
chr1	1097	1113	+	ONT1.747.389	UTR	NA
chr1	1114	1300	+	ONT1.747.389	CDS	C1QB
chr1	1300	1429	+	ONT1.747.389	intron	C1QB
chr1	1429	2003	+	ONT1.747.389	CDS	C1QB
chr1	2004	2153	+	ONT1.747.389	UTR	NA
chr1	492	565	+	ONT1.747.391	UTR	NA
chr1	565	1097	+	ONT1.747.391	intron	NA
chr1	1097	1113	+	ONT1.747.391	UTR	NA
chr1	1114	1300	+	ONT1.747.391	CDS	C1QB
chr1	1300	1429	+	ONT1.747.391	intron	C1QB
chr1	1429	1730	+	ONT1.747.391	CDS	C1QB
chr1	1730	1860	+	ONT1.747.391	intron	C1QB
chr1	1860	2003	+	ONT1.747.391	CDS	C1QB
chr1	2004	2151	+	ONT1.747.391	UTR	NA
chr1	525	565	+	ONT1.747.395	UTR	NA
chr1	565	1097	+	ONT1.747.395	intron	NA
chr1	1097	1113	+	ONT1.747.395	UTR	NA
chr1	1114	1300	+	ONT1.747.395	CDS	C1QB
chr1	1300	1438	+	ONT1.747.395	intron	C1QB
chr1	1438	2003	+	ONT1.747.395	CDS	C1QB
chr1	2004	2153	+	ONT1.747.395	UTR	NA
chr1	498	565	+	ONT1.747.407	UTR	NA
chr1	565	1097	+	ONT1.747.407	intron	NA
chr1	1097	1300	+	ONT1.747.407	UTR	NA
chr1	1300	1429	+	ONT1.747.407	intron	NA
chr1	1429	1496	+	ONT1.747.407	UTR	NA
