seqnames	start	end	strand	transcript_id	type	gene_id
chr3	5	239	-	ENST00000395694.7	UTR	NA
chr3	240	998	-	ENST00000395694.7	CDS	ENSG00000164051.14
chr3	998	1539	-	ENST00000395694.7	intron	ENSG00000164051.14
chr3	1539	1703	-	ENST00000395694.7	CDS	ENSG00000164051.14
chr3	1703	1975	-	ENST00000395694.7	intron	ENSG00000164051.14
chr3	1975	2289	-	ENST00000395694.7	CDS	ENSG00000164051.14
chr3	2290	2294	-	ENST00000395694.7	UTR	NA
chr3	2294	3901	-	ENST00000395694.7	intron	NA
chr3	3901	4032	-	ENST00000395694.7	UTR	NA
chr3	23	242	-	ONT3.1657.28412	UTR	NA
chr3	243	998	-	ONT3.1657.28412	CDS	CCDC51
chr3	998	1539	-	ONT3.1657.28412	intron	CCDC51
chr3	1539	1703	-	ONT3.1657.28412	CDS	CCDC51
chr3	1703	1975	-	ONT3.1657.28412	intron	CCDC51
chr3	1975	2289	-	ONT3.1657.28412	CDS	CCDC51
chr3	2290	2294	-	ONT3.1657.28412	UTR	NA
chr3	2294	3901	-	ONT3.1657.28412	intron	NA
chr3	3901	3982	-	ONT3.1657.28412	UTR	NA
chr3	6	242	-	ONT3.1657.28413	UTR	NA
chr3	243	998	-	ONT3.1657.28413	CDS	CCDC51
chr3	998	1539	-	ONT3.1657.28413	intron	CCDC51
chr3	1539	1703	-	ONT3.1657.28413	CDS	CCDC51
chr3	1703	1975	-	ONT3.1657.28413	intron	CCDC51
chr3	1975	2289	-	ONT3.1657.28413	CDS	CCDC51
chr3	2290	2294	-	ONT3.1657.28413	UTR	NA
chr3	2294	4009	-	ONT3.1657.28413	intron	NA
chr3	4009	4027	-	ONT3.1657.28413	UTR	NA
chr3	2	242	-	ONT3.1657.28414	UTR	NA
chr3	243	998	-	ONT3.1657.28414	CDS	CCDC51
chr3	998	1539	-	ONT3.1657.28414	intron	CCDC51
chr3	1539	1691	-	ONT3.1657.28414	CDS	CCDC51
chr3	1692	1703	-	ONT3.1657.28414	UTR	NA
chr3	1703	1975	-	ONT3.1657.28414	intron	NA
chr3	1975	2173	-	ONT3.1657.28414	UTR	NA
chr3	2173	3901	-	ONT3.1657.28414	intron	NA
chr3	3901	4002	-	ONT3.1657.28414	UTR	NA
chr3	5	998	-	ONT3.1657.28415	UTR	NA
chr3	998	1539	-	ONT3.1657.28415	intron	NA
chr3	1539	1796	-	ONT3.1657.28415	UTR	NA
chr3	1797	1808	-	ONT3.1657.28415	CDS	CCDC51
chr3	1808	1975	-	ONT3.1657.28415	intron	CCDC51
chr3	1975	2289	-	ONT3.1657.28415	CDS	CCDC51
chr3	2290	2297	-	ONT3.1657.28415	UTR	NA
chr3	5	242	-	ONT3.1657.28416	UTR	NA
chr3	243	998	-	ONT3.1657.28416	CDS	CCDC51
chr3	998	1539	-	ONT3.1657.28416	intron	CCDC51
chr3	1539	1703	-	ONT3.1657.28416	CDS	CCDC51
chr3	1703	1975	-	ONT3.1657.28416	intron	CCDC51
chr3	1975	2289	-	ONT3.1657.28416	CDS	CCDC51
chr3	2290	2297	-	ONT3.1657.28416	UTR	NA
chr3	2	242	-	ONT3.1657.28418	UTR	NA
