seqnames	start	end	strand	transcript_id	type	gene_id
chr12	306	383	+	ENST00000526639.3	UTR	NA
chr12	383	2635	+	ENST00000526639.3	intron	NA
chr12	2635	2637	+	ENST00000526639.3	UTR	NA
chr12	2638	3381	+	ENST00000526639.3	CDS	ENSG00000184209.15
chr12	3382	4033	+	ENST00000526639.3	UTR	NA
chr12	2	108	+	ONT12.4740.57592	UTR	NA
chr12	108	188	+	ONT12.4740.57592	intron	NA
chr12	188	203	+	ONT12.4740.57592	UTR	NA
chr12	204	383	+	ONT12.4740.57592	CDS	SNRNP35
chr12	383	2635	+	ONT12.4740.57592	intron	SNRNP35
chr12	2635	3378	+	ONT12.4740.57592	CDS	SNRNP35
chr12	3379	3487	+	ONT12.4740.57592	UTR	NA
chr12	13	203	+	ONT12.4740.57594	UTR	NA
chr12	204	383	+	ONT12.4740.57594	CDS	SNRNP35
chr12	383	2635	+	ONT12.4740.57594	intron	SNRNP35
chr12	2635	3378	+	ONT12.4740.57594	CDS	SNRNP35
chr12	3379	3487	+	ONT12.4740.57594	UTR	NA
chr12	32	203	+	ONT12.4740.57600	UTR	NA
chr12	204	383	+	ONT12.4740.57600	CDS	SNRNP35
chr12	383	2635	+	ONT12.4740.57600	intron	SNRNP35
chr12	2635	3378	+	ONT12.4740.57600	CDS	SNRNP35
chr12	3379	3486	+	ONT12.4740.57600	UTR	NA
chr12	250	383	+	ONT12.4740.57603	UTR	NA
chr12	383	2635	+	ONT12.4740.57603	intron	NA
chr12	2635	2637	+	ONT12.4740.57603	UTR	NA
chr12	2638	3378	+	ONT12.4740.57603	CDS	SNRNP35
chr12	3379	3489	+	ONT12.4740.57603	UTR	NA
chr12	315	383	+	ONT12.4740.57610	UTR	NA
chr12	383	486	+	ONT12.4740.57610	intron	NA
chr12	486	915	+	ONT12.4740.57610	UTR	NA
chr12	915	1062	+	ONT12.4740.57610	intron	NA
chr12	1062	1410	+	ONT12.4740.57610	UTR	NA
chr12	1411	1422	+	ONT12.4740.57610	CDS	SNRNP35
chr12	1422	2635	+	ONT12.4740.57610	intron	SNRNP35
chr12	2635	3378	+	ONT12.4740.57610	CDS	SNRNP35
chr12	3379	3487	+	ONT12.4740.57610	UTR	NA
chr12	271	383	+	ONT12.4740.57612	UTR	NA
chr12	383	2635	+	ONT12.4740.57612	intron	NA
chr12	2635	2637	+	ONT12.4740.57612	UTR	NA
chr12	2638	3378	+	ONT12.4740.57612	CDS	SNRNP35
chr12	3379	3450	+	ONT12.4740.57612	UTR	NA
chr12	3450	5121	+	ONT12.4740.57612	intron	NA
chr12	5121	6198	+	ONT12.4740.57612	UTR	NA
chr12	295	383	+	ONT12.4740.57616	UTR	NA
chr12	383	2635	+	ONT12.4740.57616	intron	NA
chr12	2635	2637	+	ONT12.4740.57616	UTR	NA
chr12	2638	3378	+	ONT12.4740.57616	CDS	SNRNP35
chr12	3379	4766	+	ONT12.4740.57616	UTR	NA
chr12	271	383	+	ONT12.4740.57617	UTR	NA
chr12	383	486	+	ONT12.4740.57617	intron	NA
chr12	486	584	+	ONT12.4740.57617	UTR	NA
chr12	584	2635	+	ONT12.4740.57617	intron	NA
chr12	2635	2637	+	ONT12.4740.57617	UTR	NA
chr12	2638	3378	+	ONT12.4740.57617	CDS	SNRNP35
chr12	3379	3483	+	ONT12.4740.57617	UTR	NA
chr12	292	383	+	ONT12.4740.57621	UTR	NA
chr12	383	2635	+	ONT12.4740.57621	intron	NA
chr12	2635	2637	+	ONT12.4740.57621	UTR	NA
chr12	2638	3378	+	ONT12.4740.57621	CDS	SNRNP35
chr12	3379	3485	+	ONT12.4740.57621	UTR	NA
chr12	280	383	+	ONT12.4740.57623	UTR	NA
chr12	383	486	+	ONT12.4740.57623	intron	NA
chr12	486	796	+	ONT12.4740.57623	UTR	NA
chr12	796	1052	+	ONT12.4740.57623	intron	NA
chr12	1052	1410	+	ONT12.4740.57623	UTR	NA
chr12	1411	1422	+	ONT12.4740.57623	CDS	SNRNP35
chr12	1422	2635	+	ONT12.4740.57623	intron	SNRNP35
chr12	2635	3378	+	ONT12.4740.57623	CDS	SNRNP35
chr12	3379	3487	+	ONT12.4740.57623	UTR	NA
chr12	280	383	+	ONT12.4740.57624	UTR	NA
chr12	383	2635	+	ONT12.4740.57624	intron	NA
chr12	2635	2637	+	ONT12.4740.57624	UTR	NA
chr12	2638	3294	+	ONT12.4740.57624	CDS	SNRNP35
chr12	3294	3376	+	ONT12.4740.57624	intron	NA
chr12	3376	3487	+	ONT12.4740.57624	UTR	NA
chr12	312	383	+	ONT12.4740.57630	UTR	NA
chr12	383	486	+	ONT12.4740.57630	intron	NA
chr12	486	553	+	ONT12.4740.57630	UTR	NA
chr12	553	1221	+	ONT12.4740.57630	intron	NA
chr12	1221	1410	+	ONT12.4740.57630	UTR	NA
chr12	1411	1422	+	ONT12.4740.57630	CDS	SNRNP35
chr12	1422	2635	+	ONT12.4740.57630	intron	SNRNP35
chr12	2635	3378	+	ONT12.4740.57630	CDS	SNRNP35
chr12	3379	3487	+	ONT12.4740.57630	UTR	NA
chr12	326	383	+	ONT12.4740.57632	UTR	NA
chr12	383	2635	+	ONT12.4740.57632	intron	NA
chr12	2635	2637	+	ONT12.4740.57632	UTR	NA
chr12	2638	3374	+	ONT12.4740.57632	CDS	SNRNP35
chr12	3374	4584	+	ONT12.4740.57632	intron	SNRNP35
chr12	4584	4683	+	ONT12.4740.57632	CDS	SNRNP35
chr12	4684	4766	+	ONT12.4740.57632	UTR	NA
chr12	310	383	+	ONT12.4740.57635	UTR	NA
chr12	383	486	+	ONT12.4740.57635	intron	NA
chr12	486	1410	+	ONT12.4740.57635	UTR	NA
chr12	1411	1422	+	ONT12.4740.57635	CDS	SNRNP35
chr12	1422	2635	+	ONT12.4740.57635	intron	SNRNP35
chr12	2635	3378	+	ONT12.4740.57635	CDS	SNRNP35
chr12	3379	3487	+	ONT12.4740.57635	UTR	NA
chr12	319	383	+	ONT12.4740.57639	UTR	NA
chr12	383	486	+	ONT12.4740.57639	intron	NA
chr12	486	728	+	ONT12.4740.57639	UTR	NA
chr12	728	1523	+	ONT12.4740.57639	intron	NA
chr12	1523	1691	+	ONT12.4740.57639	UTR	NA
chr12	1691	2635	+	ONT12.4740.57639	intron	NA
chr12	2635	2637	+	ONT12.4740.57639	UTR	NA
chr12	2638	3378	+	ONT12.4740.57639	CDS	SNRNP35
chr12	3379	3487	+	ONT12.4740.57639	UTR	NA
chr12	355	383	+	ONT12.4740.57642	UTR	NA
chr12	383	486	+	ONT12.4740.57642	intron	NA
chr12	486	833	+	ONT12.4740.57642	UTR	NA
chr12	833	1062	+	ONT12.4740.57642	intron	NA
chr12	1062	1410	+	ONT12.4740.57642	UTR	NA
chr12	1411	1422	+	ONT12.4740.57642	CDS	SNRNP35
chr12	1422	2635	+	ONT12.4740.57642	intron	SNRNP35
chr12	2635	3378	+	ONT12.4740.57642	CDS	SNRNP35
chr12	3379	3484	+	ONT12.4740.57642	UTR	NA
chr12	301	383	+	ONT12.4740.57648	UTR	NA
chr12	383	492	+	ONT12.4740.57648	intron	NA
chr12	492	584	+	ONT12.4740.57648	UTR	NA
chr12	584	2635	+	ONT12.4740.57648	intron	NA
chr12	2635	2637	+	ONT12.4740.57648	UTR	NA
chr12	2638	3378	+	ONT12.4740.57648	CDS	SNRNP35
chr12	3379	3483	+	ONT12.4740.57648	UTR	NA
chr12	306	383	+	ONT12.4740.57652	UTR	NA
chr12	383	486	+	ONT12.4740.57652	intron	NA
chr12	486	728	+	ONT12.4740.57652	UTR	NA
chr12	728	2635	+	ONT12.4740.57652	intron	NA
chr12	2635	2637	+	ONT12.4740.57652	UTR	NA
chr12	2638	3378	+	ONT12.4740.57652	CDS	SNRNP35
chr12	3379	3484	+	ONT12.4740.57652	UTR	NA
chr12	285	383	+	ONT12.4740.57653	UTR	NA
chr12	383	486	+	ONT12.4740.57653	intron	NA
chr12	486	845	+	ONT12.4740.57653	UTR	NA
chr12	845	1034	+	ONT12.4740.57653	intron	NA
chr12	1034	1410	+	ONT12.4740.57653	UTR	NA
chr12	1411	1422	+	ONT12.4740.57653	CDS	SNRNP35
chr12	1422	2635	+	ONT12.4740.57653	intron	SNRNP35
chr12	2635	3378	+	ONT12.4740.57653	CDS	SNRNP35
chr12	3379	3484	+	ONT12.4740.57653	UTR	NA
chr12	306	383	+	ONT12.4740.57655	UTR	NA
chr12	383	2635	+	ONT12.4740.57655	intron	NA
chr12	2635	2637	+	ONT12.4740.57655	UTR	NA
chr12	2638	3378	+	ONT12.4740.57655	CDS	SNRNP35
chr12	3378	5121	+	ONT12.4740.57655	intron	NA
chr12	5121	6392	+	ONT12.4740.57655	UTR	NA
chr12	290	383	+	ONT12.4740.57665	UTR	NA
chr12	383	492	+	ONT12.4740.57665	intron	NA
chr12	492	919	+	ONT12.4740.57665	UTR	NA
chr12	919	1062	+	ONT12.4740.57665	intron	NA
chr12	1062	1410	+	ONT12.4740.57665	UTR	NA
chr12	1411	1422	+	ONT12.4740.57665	CDS	SNRNP35
chr12	1422	2635	+	ONT12.4740.57665	intron	SNRNP35
chr12	2635	3378	+	ONT12.4740.57665	CDS	SNRNP35
chr12	3379	3487	+	ONT12.4740.57665	UTR	NA
chr12	292	383	+	ONT12.4740.57667	UTR	NA
chr12	383	486	+	ONT12.4740.57667	intron	NA
chr12	486	936	+	ONT12.4740.57667	UTR	NA
chr12	936	1062	+	ONT12.4740.57667	intron	NA
chr12	1062	1410	+	ONT12.4740.57667	UTR	NA
chr12	1411	1422	+	ONT12.4740.57667	CDS	SNRNP35
chr12	1422	2635	+	ONT12.4740.57667	intron	SNRNP35
chr12	2635	3378	+	ONT12.4740.57667	CDS	SNRNP35
chr12	3379	3487	+	ONT12.4740.57667	UTR	NA
chr12	306	383	+	ONT12.4740.57668	UTR	NA
chr12	383	486	+	ONT12.4740.57668	intron	NA
chr12	486	897	+	ONT12.4740.57668	UTR	NA
chr12	897	1062	+	ONT12.4740.57668	intron	NA
chr12	1062	1410	+	ONT12.4740.57668	UTR	NA
chr12	1411	1422	+	ONT12.4740.57668	CDS	SNRNP35
chr12	1422	2635	+	ONT12.4740.57668	intron	SNRNP35
chr12	2635	3378	+	ONT12.4740.57668	CDS	SNRNP35
chr12	3379	3487	+	ONT12.4740.57668	UTR	NA
chr12	292	383	+	ONT12.4740.57669	UTR	NA
chr12	383	486	+	ONT12.4740.57669	intron	NA
