seqnames	start	end	strand	transcript_id	type	gene_id
chr13	683	2183	-	ENST00000239882.7	UTR	NA
chr13	2184	2787	-	ENST00000239882.7	CDS	ENSG00000120690.16
chr13	2787	2888	-	ENST00000239882.7	intron	ENSG00000120690.16
chr13	2888	3337	-	ENST00000239882.7	CDS	ENSG00000120690.16
chr13	3337	3438	-	ENST00000239882.7	intron	ENSG00000120690.16
chr13	3438	3630	-	ENST00000239882.7	CDS	ENSG00000120690.16
chr13	3630	3731	-	ENST00000239882.7	intron	ENSG00000120690.16
chr13	3731	3814	-	ENST00000239882.7	CDS	ENSG00000120690.16
chr13	3814	3915	-	ENST00000239882.7	intron	ENSG00000120690.16
chr13	3915	4082	-	ENST00000239882.7	CDS	ENSG00000120690.16
chr13	4082	4183	-	ENST00000239882.7	intron	ENSG00000120690.16
chr13	4183	4290	-	ENST00000239882.7	CDS	ENSG00000120690.16
chr13	4290	4391	-	ENST00000239882.7	intron	ENSG00000120690.16
chr13	4391	4571	-	ENST00000239882.7	CDS	ENSG00000120690.16
chr13	4571	4672	-	ENST00000239882.7	intron	ENSG00000120690.16
chr13	4672	4746	-	ENST00000239882.7	CDS	ENSG00000120690.16
chr13	4747	4971	-	ENST00000239882.7	UTR	NA
chr13	4971	5210	-	ENST00000239882.7	intron	NA
chr13	5210	5298	-	ENST00000239882.7	UTR	NA
chr13	2	2186	-	ONT13.1216.5693	UTR	NA
chr13	2187	2787	-	ONT13.1216.5693	CDS	ELF1
chr13	2787	2888	-	ONT13.1216.5693	intron	ELF1
chr13	2888	3337	-	ONT13.1216.5693	CDS	ELF1
chr13	3337	3438	-	ONT13.1216.5693	intron	ELF1
chr13	3438	3630	-	ONT13.1216.5693	CDS	ELF1
chr13	3630	3731	-	ONT13.1216.5693	intron	ELF1
chr13	3731	3814	-	ONT13.1216.5693	CDS	ELF1
chr13	3814	3915	-	ONT13.1216.5693	intron	ELF1
chr13	3915	4082	-	ONT13.1216.5693	CDS	ELF1
chr13	4082	4183	-	ONT13.1216.5693	intron	ELF1
chr13	4183	4290	-	ONT13.1216.5693	CDS	ELF1
chr13	4290	4391	-	ONT13.1216.5693	intron	ELF1
chr13	4391	4571	-	ONT13.1216.5693	CDS	ELF1
chr13	4571	4672	-	ONT13.1216.5693	intron	ELF1
chr13	4672	4746	-	ONT13.1216.5693	CDS	ELF1
chr13	4747	4971	-	ONT13.1216.5693	UTR	NA
chr13	4971	5399	-	ONT13.1216.5693	intron	NA
chr13	5399	5511	-	ONT13.1216.5693	UTR	NA
chr13	787	2186	-	ONT13.1216.5701	UTR	NA
chr13	2187	2787	-	ONT13.1216.5701	CDS	ELF1
chr13	2787	2888	-	ONT13.1216.5701	intron	ELF1
chr13	2888	3337	-	ONT13.1216.5701	CDS	ELF1
chr13	3337	3438	-	ONT13.1216.5701	intron	ELF1
chr13	3438	3472	-	ONT13.1216.5701	CDS	ELF1
chr13	3473	3579	-	ONT13.1216.5701	UTR	NA
chr13	790	2186	-	ONT13.1216.5702	UTR	NA
chr13	2187	2787	-	ONT13.1216.5702	CDS	ELF1
chr13	2787	2888	-	ONT13.1216.5702	intron	ELF1
chr13	2888	2931	-	ONT13.1216.5702	CDS	ELF1
chr13	2932	2963	-	ONT13.1216.5702	UTR	NA
chr13	790	2186	-	ONT13.1216.5704	UTR	NA
chr13	2187	2787	-	ONT13.1216.5704	CDS	ELF1
chr13	2787	2888	-	ONT13.1216.5704	intron	ELF1
chr13	2888	3337	-	ONT13.1216.5704	CDS	ELF1
chr13	3337	3438	-	ONT13.1216.5704	intron	ELF1
chr13	3438	3630	-	ONT13.1216.5704	CDS	ELF1
chr13	3630	3731	-	ONT13.1216.5704	intron	ELF1
chr13	3731	3814	-	ONT13.1216.5704	CDS	ELF1
chr13	3814	3915	-	ONT13.1216.5704	intron	ELF1
chr13	3915	4082	-	ONT13.1216.5704	CDS	ELF1
chr13	4082	4183	-	ONT13.1216.5704	intron	ELF1
chr13	4183	4290	-	ONT13.1216.5704	CDS	ELF1
chr13	4290	4391	-	ONT13.1216.5704	intron	ELF1
chr13	4391	4469	-	ONT13.1216.5704	CDS	ELF1
chr13	4470	4502	-	ONT13.1216.5704	UTR	NA
chr13	794	2722	-	ONT13.1216.5706	UTR	NA
chr13	2723	2787	-	ONT13.1216.5706	CDS	ELF1
chr13	2787	3915	-	ONT13.1216.5706	intron	ELF1
chr13	3915	4082	-	ONT13.1216.5706	CDS	ELF1
chr13	4082	4183	-	ONT13.1216.5706	intron	ELF1
chr13	4183	4290	-	ONT13.1216.5706	CDS	ELF1
chr13	4290	4391	-	ONT13.1216.5706	intron	ELF1
chr13	4391	4469	-	ONT13.1216.5706	CDS	ELF1
chr13	4470	4512	-	ONT13.1216.5706	UTR	NA
chr13	793	2186	-	ONT13.1216.5707	UTR	NA
chr13	2187	2787	-	ONT13.1216.5707	CDS	ELF1
chr13	2787	2888	-	ONT13.1216.5707	intron	ELF1
chr13	2888	2931	-	ONT13.1216.5707	CDS	ELF1
chr13	2932	3181	-	ONT13.1216.5707	UTR	NA
chr13	791	2186	-	ONT13.1216.5709	UTR	NA
chr13	2187	2787	-	ONT13.1216.5709	CDS	ELF1
chr13	2787	2888	-	ONT13.1216.5709	intron	ELF1
chr13	2888	3273	-	ONT13.1216.5709	CDS	ELF1
chr13	3274	3322	-	ONT13.1216.5709	UTR	NA
chr13	787	2186	-	ONT13.1216.5714	UTR	NA
chr13	2187	2787	-	ONT13.1216.5714	CDS	ELF1
chr13	2787	2888	-	ONT13.1216.5714	intron	ELF1
chr13	2888	3337	-	ONT13.1216.5714	CDS	ELF1
chr13	3337	3438	-	ONT13.1216.5714	intron	ELF1
chr13	3438	3630	-	ONT13.1216.5714	CDS	ELF1
chr13	3630	3731	-	ONT13.1216.5714	intron	ELF1
chr13	3731	3814	-	ONT13.1216.5714	CDS	ELF1
chr13	3814	3915	-	ONT13.1216.5714	intron	ELF1
chr13	3915	4082	-	ONT13.1216.5714	CDS	ELF1
chr13	4082	4183	-	ONT13.1216.5714	intron	ELF1
chr13	4183	4290	-	ONT13.1216.5714	CDS	ELF1
chr13	4290	4391	-	ONT13.1216.5714	intron	ELF1
chr13	4391	4571	-	ONT13.1216.5714	CDS	ELF1
chr13	4571	4672	-	ONT13.1216.5714	intron	ELF1
chr13	4672	4746	-	ONT13.1216.5714	CDS	ELF1
chr13	4747	4968	-	ONT13.1216.5714	UTR	NA
chr13	787	2186	-	ONT13.1216.5718	UTR	NA
chr13	2187	2787	-	ONT13.1216.5718	CDS	ELF1
chr13	2787	2888	-	ONT13.1216.5718	intron	ELF1
chr13	2888	3337	-	ONT13.1216.5718	CDS	ELF1
chr13	3337	3438	-	ONT13.1216.5718	intron	ELF1
chr13	3438	3630	-	ONT13.1216.5718	CDS	ELF1
chr13	3630	3731	-	ONT13.1216.5718	intron	ELF1
chr13	3731	3814	-	ONT13.1216.5718	CDS	ELF1
chr13	3814	3915	-	ONT13.1216.5718	intron	ELF1
chr13	3915	4082	-	ONT13.1216.5718	CDS	ELF1
chr13	4082	4183	-	ONT13.1216.5718	intron	ELF1
chr13	4183	4290	-	ONT13.1216.5718	CDS	ELF1
chr13	4290	4391	-	ONT13.1216.5718	intron	ELF1
chr13	4391	4571	-	ONT13.1216.5718	CDS	ELF1
chr13	4571	4672	-	ONT13.1216.5718	intron	ELF1
chr13	4672	4746	-	ONT13.1216.5718	CDS	ELF1
chr13	4747	4971	-	ONT13.1216.5718	UTR	NA
chr13	4971	5399	-	ONT13.1216.5718	intron	NA
chr13	5399	5787	-	ONT13.1216.5718	UTR	NA
chr13	787	2722	-	ONT13.1216.5719	UTR	NA
chr13	2723	2787	-	ONT13.1216.5719	CDS	ELF1
chr13	2787	2895	-	ONT13.1216.5719	intron	ELF1
chr13	2895	3337	-	ONT13.1216.5719	CDS	ELF1
chr13	3337	3438	-	ONT13.1216.5719	intron	ELF1
chr13	3438	3630	-	ONT13.1216.5719	CDS	ELF1
chr13	3630	3731	-	ONT13.1216.5719	intron	ELF1
chr13	3731	3814	-	ONT13.1216.5719	CDS	ELF1
chr13	3814	3915	-	ONT13.1216.5719	intron	ELF1
chr13	3915	4082	-	ONT13.1216.5719	CDS	ELF1
chr13	4082	4183	-	ONT13.1216.5719	intron	ELF1
chr13	4183	4290	-	ONT13.1216.5719	CDS	ELF1
chr13	4290	4391	-	ONT13.1216.5719	intron	ELF1
chr13	4391	4469	-	ONT13.1216.5719	CDS	ELF1
chr13	4470	4510	-	ONT13.1216.5719	UTR	NA
chr13	787	2186	-	ONT13.1216.5720	UTR	NA
chr13	2187	2787	-	ONT13.1216.5720	CDS	ELF1
chr13	2787	2888	-	ONT13.1216.5720	intron	ELF1
chr13	2888	3337	-	ONT13.1216.5720	CDS	ELF1
chr13	3337	3438	-	ONT13.1216.5720	intron	ELF1
chr13	3438	3630	-	ONT13.1216.5720	CDS	ELF1
chr13	3630	3731	-	ONT13.1216.5720	intron	ELF1
chr13	3731	3814	-	ONT13.1216.5720	CDS	ELF1
chr13	3814	3915	-	ONT13.1216.5720	intron	ELF1
chr13	3915	4082	-	ONT13.1216.5720	CDS	ELF1
chr13	4082	4183	-	ONT13.1216.5720	intron	ELF1
chr13	4183	4290	-	ONT13.1216.5720	CDS	ELF1
chr13	4290	4391	-	ONT13.1216.5720	intron	ELF1
chr13	4391	4571	-	ONT13.1216.5720	CDS	ELF1
chr13	4571	4672	-	ONT13.1216.5720	intron	ELF1
chr13	4672	4746	-	ONT13.1216.5720	CDS	ELF1
chr13	4747	4971	-	ONT13.1216.5720	UTR	NA
chr13	4971	5399	-	ONT13.1216.5720	intron	NA
chr13	5399	6041	-	ONT13.1216.5720	UTR	NA
chr13	790	1178	-	ONT13.1216.5723	UTR	NA
chr13	1179	1202	-	ONT13.1216.5723	CDS	ELF1
chr13	1202	2358	-	ONT13.1216.5723	intron	ELF1
chr13	2358	2787	-	ONT13.1216.5723	CDS	ELF1
chr13	2787	2888	-	ONT13.1216.5723	intron	ELF1
chr13	2888	3337	-	ONT13.1216.5723	CDS	ELF1
chr13	3337	3438	-	ONT13.1216.5723	intron	ELF1
chr13	3438	3630	-	ONT13.1216.5723	CDS	ELF1
chr13	3630	3731	-	ONT13.1216.5723	intron	ELF1
chr13	3731	3814	-	ONT13.1216.5723	CDS	ELF1
chr13	3814	3915	-	ONT13.1216.5723	intron	ELF1
chr13	3915	4082	-	ONT13.1216.5723	CDS	ELF1
