seqnames	start	end	strand	transcript_id	type	gene_id
chr17	7	927	-	ENST00000307877.7	UTR	NA
chr17	928	1155	-	ENST00000307877.7	CDS	ENSG00000167881.15
chr17	1155	1318	-	ENST00000307877.7	intron	ENSG00000167881.15
chr17	1318	1373	-	ENST00000307877.7	CDS	ENSG00000167881.15
chr17	1373	1496	-	ENST00000307877.7	intron	ENSG00000167881.15
chr17	1496	1571	-	ENST00000307877.7	CDS	ENSG00000167881.15
chr17	1571	1926	-	ENST00000307877.7	intron	ENSG00000167881.15
chr17	1926	2055	-	ENST00000307877.7	CDS	ENSG00000167881.15
chr17	2055	2156	-	ENST00000307877.7	intron	ENSG00000167881.15
chr17	2156	2250	-	ENST00000307877.7	CDS	ENSG00000167881.15
chr17	2250	2902	-	ENST00000307877.7	intron	ENSG00000167881.15
chr17	2902	3058	-	ENST00000307877.7	CDS	ENSG00000167881.15
chr17	3058	3215	-	ENST00000307877.7	intron	ENSG00000167881.15
chr17	3215	3279	-	ENST00000307877.7	CDS	ENSG00000167881.15
chr17	3279	3470	-	ENST00000307877.7	intron	ENSG00000167881.15
chr17	3470	3568	-	ENST00000307877.7	CDS	ENSG00000167881.15
chr17	3568	5462	-	ENST00000307877.7	intron	ENSG00000167881.15
chr17	5462	5602	-	ENST00000307877.7	CDS	ENSG00000167881.15
chr17	5602	5717	-	ENST00000307877.7	intron	ENSG00000167881.15
chr17	5717	5799	-	ENST00000307877.7	CDS	ENSG00000167881.15
chr17	5799	6489	-	ENST00000307877.7	intron	ENSG00000167881.15
chr17	6489	6598	-	ENST00000307877.7	CDS	ENSG00000167881.15
chr17	6598	6699	-	ENST00000307877.7	intron	ENSG00000167881.15
chr17	6699	6781	-	ENST00000307877.7	CDS	ENSG00000167881.15
chr17	6781	6889	-	ENST00000307877.7	intron	ENSG00000167881.15
chr17	6889	7084	-	ENST00000307877.7	CDS	ENSG00000167881.15
chr17	7084	7691	-	ENST00000307877.7	intron	ENSG00000167881.15
chr17	7691	7804	-	ENST00000307877.7	CDS	ENSG00000167881.15
chr17	7804	8313	-	ENST00000307877.7	intron	ENSG00000167881.15
chr17	8313	8379	-	ENST00000307877.7	CDS	ENSG00000167881.15
chr17	8379	8492	-	ENST00000307877.7	intron	ENSG00000167881.15
chr17	8492	8678	-	ENST00000307877.7	CDS	ENSG00000167881.15
chr17	8679	8701	-	ENST00000307877.7	UTR	NA
chr17	10	930	-	ONT17.2072.28995	UTR	NA
chr17	931	1155	-	ONT17.2072.28995	CDS	SRP68
chr17	1155	1318	-	ONT17.2072.28995	intron	SRP68
chr17	1318	1373	-	ONT17.2072.28995	CDS	SRP68
chr17	1373	1496	-	ONT17.2072.28995	intron	SRP68
chr17	1496	1571	-	ONT17.2072.28995	CDS	SRP68
chr17	1571	1926	-	ONT17.2072.28995	intron	SRP68
chr17	1926	2055	-	ONT17.2072.28995	CDS	SRP68
chr17	2055	2156	-	ONT17.2072.28995	intron	SRP68
chr17	2156	2250	-	ONT17.2072.28995	CDS	SRP68
chr17	2250	2902	-	ONT17.2072.28995	intron	SRP68
chr17	2902	3058	-	ONT17.2072.28995	CDS	SRP68
chr17	3058	3215	-	ONT17.2072.28995	intron	SRP68
chr17	3215	3279	-	ONT17.2072.28995	CDS	SRP68
chr17	3279	3470	-	ONT17.2072.28995	intron	SRP68
chr17	3470	3568	-	ONT17.2072.28995	CDS	SRP68
chr17	3568	5462	-	ONT17.2072.28995	intron	SRP68
chr17	5462	5602	-	ONT17.2072.28995	CDS	SRP68
chr17	5602	5717	-	ONT17.2072.28995	intron	SRP68
chr17	5717	5799	-	ONT17.2072.28995	CDS	SRP68
chr17	5799	6489	-	ONT17.2072.28995	intron	SRP68
chr17	6489	6598	-	ONT17.2072.28995	CDS	SRP68
chr17	6598	6699	-	ONT17.2072.28995	intron	SRP68
chr17	6699	6760	-	ONT17.2072.28995	CDS	SRP68
chr17	6761	6781	-	ONT17.2072.28995	UTR	NA
chr17	6781	6885	-	ONT17.2072.28995	intron	NA
chr17	6885	7084	-	ONT17.2072.28995	UTR	NA
chr17	7084	7691	-	ONT17.2072.28995	intron	NA
chr17	7691	7777	-	ONT17.2072.28995	UTR	NA
chr17	7	1155	-	ONT17.2072.28996	UTR	NA
chr17	1155	1318	-	ONT17.2072.28996	intron	NA
chr17	1318	1373	-	ONT17.2072.28996	UTR	NA
chr17	1373	1496	-	ONT17.2072.28996	intron	NA
chr17	1496	1571	-	ONT17.2072.28996	UTR	NA
chr17	1571	1926	-	ONT17.2072.28996	intron	NA
chr17	1926	2055	-	ONT17.2072.28996	UTR	NA
chr17	2055	2156	-	ONT17.2072.28996	intron	NA
chr17	2156	2250	-	ONT17.2072.28996	UTR	NA
chr17	2250	2902	-	ONT17.2072.28996	intron	NA
chr17	2902	3058	-	ONT17.2072.28996	UTR	NA
chr17	3058	3215	-	ONT17.2072.28996	intron	NA
chr17	3215	3279	-	ONT17.2072.28996	UTR	NA
chr17	3279	3470	-	ONT17.2072.28996	intron	NA
chr17	3470	3568	-	ONT17.2072.28996	UTR	NA
chr17	3568	5462	-	ONT17.2072.28996	intron	NA
chr17	5462	5602	-	ONT17.2072.28996	UTR	NA
chr17	5602	5717	-	ONT17.2072.28996	intron	NA
chr17	5717	5799	-	ONT17.2072.28996	UTR	NA
chr17	5799	6489	-	ONT17.2072.28996	intron	NA
chr17	6489	6598	-	ONT17.2072.28996	UTR	NA
chr17	6598	6699	-	ONT17.2072.28996	intron	NA
chr17	6699	6746	-	ONT17.2072.28996	UTR	NA
chr17	6747	6781	-	ONT17.2072.28996	CDS	SRP68
chr17	6781	6885	-	ONT17.2072.28996	intron	SRP68
chr17	6885	7084	-	ONT17.2072.28996	CDS	SRP68
chr17	7084	7691	-	ONT17.2072.28996	intron	SRP68
chr17	7691	7804	-	ONT17.2072.28996	CDS	SRP68
chr17	7804	8313	-	ONT17.2072.28996	intron	SRP68
chr17	8313	8379	-	ONT17.2072.28996	CDS	SRP68
chr17	8379	8492	-	ONT17.2072.28996	intron	SRP68
chr17	8492	8678	-	ONT17.2072.28996	CDS	SRP68
chr17	8679	8701	-	ONT17.2072.28996	UTR	NA
chr17	7	930	-	ONT17.2072.29002	UTR	NA
chr17	931	1155	-	ONT17.2072.29002	CDS	SRP68
chr17	1155	1318	-	ONT17.2072.29002	intron	SRP68
chr17	1318	1373	-	ONT17.2072.29002	CDS	SRP68
chr17	1373	1496	-	ONT17.2072.29002	intron	SRP68
chr17	1496	1571	-	ONT17.2072.29002	CDS	SRP68
chr17	1571	1926	-	ONT17.2072.29002	intron	SRP68
chr17	1926	2055	-	ONT17.2072.29002	CDS	SRP68
chr17	2055	2156	-	ONT17.2072.29002	intron	SRP68
chr17	2156	2250	-	ONT17.2072.29002	CDS	SRP68
chr17	2250	2902	-	ONT17.2072.29002	intron	SRP68
chr17	2902	3058	-	ONT17.2072.29002	CDS	SRP68
chr17	3058	3215	-	ONT17.2072.29002	intron	SRP68
chr17	3215	3279	-	ONT17.2072.29002	CDS	SRP68
chr17	3279	3470	-	ONT17.2072.29002	intron	SRP68
chr17	3470	3568	-	ONT17.2072.29002	CDS	SRP68
chr17	3568	5462	-	ONT17.2072.29002	intron	SRP68
chr17	5462	5602	-	ONT17.2072.29002	CDS	SRP68
chr17	5602	5717	-	ONT17.2072.29002	intron	SRP68
chr17	5717	5799	-	ONT17.2072.29002	CDS	SRP68
chr17	5799	6489	-	ONT17.2072.29002	intron	SRP68
