seqnames	start	end	strand	transcript_id	type	gene_id
chr3	2	4789	-	ENST00000691995.1	UTR	NA
chr3	4790	4838	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	4838	4939	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	4939	4994	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	4994	5074	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	5074	5126	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	5126	5227	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	5227	5335	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	5335	5436	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	5436	5546	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	5546	5647	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	5647	5747	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	5747	5978	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	5978	6015	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	6015	6116	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	6116	6170	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	6170	6882	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	6882	6968	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	6968	7069	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	7069	7252	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	7252	7353	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	7353	7566	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	7566	7667	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	7667	7737	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	7737	7838	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	7838	7967	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	7967	9710	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	9710	9785	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	9785	9886	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	9886	9988	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	9988	10089	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	10089	10210	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	10210	10311	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	10311	10356	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	10356	11004	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	11004	11141	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	11141	11242	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	11242	11370	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	11370	11464	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	11464	11566	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	11566	11667	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	11667	11731	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	11731	11832	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	11832	11909	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	11909	12164	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	12164	12225	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	12225	12326	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	12326	12465	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	12465	12566	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	12566	12790	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	12790	12891	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	12891	12977	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	12977	13958	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	13958	14037	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	14037	14138	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	14138	14205	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	14205	14306	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	14306	14384	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	14384	14485	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	14485	14526	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	14526	14627	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	14627	14711	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	14711	14812	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	14812	14910	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	14910	15011	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	15011	15141	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	15141	15242	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	15242	15302	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	15302	15403	-	ENST00000691995.1	intron	ENSG00000163491.17
chr3	15403	15476	-	ENST00000691995.1	CDS	ENSG00000163491.17
chr3	15477	15510	-	ENST00000691995.1	UTR	NA
chr3	15510	15805	-	ENST00000691995.1	intron	NA
chr3	15805	15963	-	ENST00000691995.1	UTR	NA
chr3	8441	8681	-	ONT3.821.1250	UTR	NA
chr3	8682	8718	-	ONT3.821.1250	CDS	NEK10
chr3	8718	9710	-	ONT3.821.1250	intron	NEK10
chr3	9710	9785	-	ONT3.821.1250	CDS	NEK10
chr3	9785	9886	-	ONT3.821.1250	intron	NEK10
chr3	9886	9988	-	ONT3.821.1250	CDS	NEK10
chr3	9988	10089	-	ONT3.821.1250	intron	NEK10
chr3	10089	10210	-	ONT3.821.1250	CDS	NEK10
chr3	10210	10311	-	ONT3.821.1250	intron	NEK10
chr3	10311	10356	-	ONT3.821.1250	CDS	NEK10
chr3	10356	11004	-	ONT3.821.1250	intron	NEK10
chr3	11004	11141	-	ONT3.821.1250	CDS	NEK10
chr3	11141	11242	-	ONT3.821.1250	intron	NEK10
chr3	11242	11370	-	ONT3.821.1250	CDS	NEK10
chr3	11370	11464	-	ONT3.821.1250	intron	NEK10
chr3	11464	11566	-	ONT3.821.1250	CDS	NEK10
chr3	11566	11667	-	ONT3.821.1250	intron	NEK10
chr3	11667	11731	-	ONT3.821.1250	CDS	NEK10
chr3	11731	11832	-	ONT3.821.1250	intron	NEK10
chr3	11832	11909	-	ONT3.821.1250	CDS	NEK10
chr3	11909	12164	-	ONT3.821.1250	intron	NEK10
chr3	12164	12225	-	ONT3.821.1250	CDS	NEK10
chr3	12225	12326	-	ONT3.821.1250	intron	NEK10
chr3	12326	12465	-	ONT3.821.1250	CDS	NEK10
chr3	12465	12566	-	ONT3.821.1250	intron	NEK10
chr3	12566	12790	-	ONT3.821.1250	CDS	NEK10
chr3	12790	12891	-	ONT3.821.1250	intron	NEK10
chr3	12891	12977	-	ONT3.821.1250	CDS	NEK10
chr3	12977	13958	-	ONT3.821.1250	intron	NEK10
chr3	13958	14037	-	ONT3.821.1250	CDS	NEK10
chr3	14037	14138	-	ONT3.821.1250	intron	NEK10
chr3	14138	14205	-	ONT3.821.1250	CDS	NEK10
chr3	14205	14306	-	ONT3.821.1250	intron	NEK10
chr3	14306	14384	-	ONT3.821.1250	CDS	NEK10
chr3	14384	14485	-	ONT3.821.1250	intron	NEK10
