seqnames	start	end	strand	transcript_id	type	gene_id
chr1	23	161	+	ENST00000295706.9	UTR	NA
chr1	161	262	+	ENST00000295706.9	intron	NA
chr1	262	660	+	ENST00000295706.9	UTR	NA
chr1	661	894	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	894	995	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	995	1096	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	1096	1197	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	1197	1361	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	1361	1462	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	1462	1536	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	1536	1637	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	1637	1726	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	1726	1830	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	1830	2021	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	2021	2122	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	2122	2268	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	2268	2529	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	2529	2663	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	2663	3320	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	3320	3403	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	3403	3504	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	3504	3635	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	3635	3738	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	3738	3800	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	3800	3901	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	3901	3992	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	3992	4093	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	4093	4201	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	4201	4309	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	4309	4517	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	4517	4619	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	4619	4859	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	4859	4961	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	4961	4996	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	4996	5098	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	5098	5231	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	5231	5334	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	5334	5500	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	5500	5602	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	5602	5695	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	5695	5796	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	5796	5877	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	5877	5980	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	5980	6180	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	6180	6281	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	6281	6343	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	6343	6467	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	6467	6493	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	6493	6617	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	6617	6792	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	6792	6894	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	6894	6991	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	6991	7092	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	7092	7267	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	7267	7368	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	7368	7436	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	7436	7537	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	7537	7717	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	7717	8191	+	ENST00000295706.9	intron	ENSG00000143847.16
chr1	8191	8243	+	ENST00000295706.9	CDS	ENSG00000143847.16
chr1	8244	10586	+	ENST00000295706.9	UTR	NA
chr1	2	161	+	ONT1.8030.4655	UTR	NA
chr1	161	262	+	ONT1.8030.4655	intron	NA
chr1	262	660	+	ONT1.8030.4655	UTR	NA
chr1	661	894	+	ONT1.8030.4655	CDS	PPFIA4
chr1	894	995	+	ONT1.8030.4655	intron	PPFIA4
chr1	995	1096	+	ONT1.8030.4655	CDS	PPFIA4
chr1	1096	1197	+	ONT1.8030.4655	intron	PPFIA4
chr1	1197	1361	+	ONT1.8030.4655	CDS	PPFIA4
chr1	1361	1462	+	ONT1.8030.4655	intron	PPFIA4
chr1	1462	1536	+	ONT1.8030.4655	CDS	PPFIA4
chr1	1536	1637	+	ONT1.8030.4655	intron	PPFIA4
chr1	1637	1726	+	ONT1.8030.4655	CDS	PPFIA4
chr1	1726	1830	+	ONT1.8030.4655	intron	PPFIA4
chr1	1830	2021	+	ONT1.8030.4655	CDS	PPFIA4
chr1	2021	2122	+	ONT1.8030.4655	intron	PPFIA4
chr1	2122	2268	+	ONT1.8030.4655	CDS	PPFIA4
chr1	2268	2529	+	ONT1.8030.4655	intron	PPFIA4
chr1	2529	2711	+	ONT1.8030.4655	CDS	PPFIA4
chr1	2712	3219	+	ONT1.8030.4655	UTR	NA
chr1	15	161	+	ONT1.8030.4656	UTR	NA
chr1	161	262	+	ONT1.8030.4656	intron	NA
